Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,51.08,0.79,16.26%,169.85M,0.88%,6.86B,30.02,1.34,-8.98%,142.12M,11.58%,137.70M,3.21,0.28,92.49%,5.30%,28.73%,1.55B,4.42,27.64%,10.07%,4.72,31.38%,9.34,4.31,8.39%,4.94%,7.53M,36.82%,1.10,36.51,15.89%,8.52%,27.55,40.64,36.96%,0.33 (0.82%),25.41,18.47%,6.47%,-0.89%,1.15,0.33 (0.82%),1.71,0.20%,41.40%,46.21%,0.75,"Nov 20, 2024",2.70,28.10%,16.27%,66.56,1.35%,1.94%,2400,0.35,2.55%,8.87%,2.25,38.71,Yes / Yes,0.34,6.98%,45.61%,0.70,39.82,0.95%,5.82%,2.91%,Oct 29 AMC,1.60M,40.28,2.45%,7.63%,22.20%,"

","1,118,417",1.16%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.33,7.50%,143.01M,0.00%,1.53B,17.14,0.58,-8.62%,142.03M,0.40%,-47.27M,-,0.12,72.23%,2.40%,16.12%,445.68M,3.43,71.21%,-3.98%,1.14,2.05%,1.27,7.84,2.65%,-6.17%,3.41M,8.99%,3.54,2.81,15.00%,-31.02%,7.70,10.85,5.74%,-,-,9.40%,-7.99%,-8.39%,1.67,-,2.71,12.97%,68.16%,29.09%,0.07,-,2.71,60.38%,-6.31%,66.80,0.39%,0.36%,1618,2.12,7.33%,-10.61%,3.00,10.00,Yes / Yes,2.08,70.33%,-,0.54,9.93,2.46%,98.33%,6.80%,Aug 21 AMC,2.99M,9.94,0.32%,4.83%,7.58%,"

","1,620,647",0.10%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,33.24,5.32,0.08%,451.55M,-0.08%,79.10B,27.68,6.39,-0.96%,450.80M,-1.10%,2.43B,3.58,1.38,94.79%,1.04%,-3.68%,9.15B,8.64,10.75%,-1.46%,2.14,2.58%,11.59,15.25,8.42%,17.07%,4.69M,0.08%,3.83,46.15,9.29%,47.13%,144.80,201.92,-10.42%,1.70 (0.96%),34.27,11.57%,20.27%,-12.44%,0.89,1.73 (0.98%),2.27,8.05%,68.49%,22.11%,3.79,"Oct 31, 2024",3.69,8.09%,36.45%,46.46,1.88%,2.33%,14100,1.29,9.33%,26.55%,1.43,222.36,Yes / Yes,1.29,16.43%,30.71%,1.09,175.25,4.34%,8.49%,11.02%,Nov 04 BMO,2.19M,176.81,0.65%,-3.81%,-0.60%,"

","2,391,381",0.89%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.29,1.43,0.86%,598.04M,-1.56%,11.35B,10.35,1.83,0.00%,592.88M,-17.87%,1.20B,1.14,0.45,28.53%,2.72%,-14.31%,5.83B,1.95,11.52%,-12.05%,5.13,-17.98%,10.74,1.77,12.31%,9.47%,16.12M,-14.96%,5.47,3.47,11.68%,14.45%,15.90,27.50,-10.81%,0.66 (3.50%),-,13.37%,13.77%,-30.98%,-0.13,0.97 (5.11%),0.94,15.78%,31.29%,19.41%,0.66,"Sep 10, 2024",0.96,-2.64%,24.78%,26.66,2.37%,2.67%,23554,0.30,8.68%,20.51%,1.27,27.20,Yes / Yes,0.01,3.34%,40.76%,0.98,19.00,1.13%,0.45%,17.70%,Nov 19 AMC,3.14M,18.98,-8.24%,-18.00%,-11.97%,"

","3,081,709",-0.11%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.39,38.31%,152.49M,-1.16%,32.25B,59.55,3.50,-0.14%,94.65M,15.33%,-57.71M,-,0.68,48.78%,4.06%,7.93%,2.17B,14.87,-10.49%,4.49%,2.08,23.36%,8.36,24.96,22.62%,-1.39%,3.84M,5.56%,15.58,13.38,18.50%,-5.77%,153.45,259.61,-5.89%,-,55.12,-10.72%,-4.38%,-19.68%,0.82,-,1.04,48.57%,77.87%,35.88%,6.18,-,1.04,72.20%,-5.71%,60.92,2.78%,3.00%,7348,0.97,34.07%,-2.66%,1.73,220.37,Yes / Yes,0.04,53.13%,-,2.67,206.59,3.71%,22.75%,30.30%,Dec 02 AMC,1.85M,208.51,2.89%,9.63%,11.17%,"

","4,927,325",0.93%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.53,13.59%,71.15M,13.31%,259.40M,-,-2.93,-0.02%,61.58M,34.07%,-179.28M,-,-0.79,89.80%,8.07%,13.31%,40.56M,6.40,45.10%,-6.15%,2.39,-67.89%,4.98,0.73,-19.28%,-34.60%,4.97M,-67.47%,5.52,0.66,-,-42.89%,2.66,18.07,-75.84%,-,-,-50.05%,-45.41%,-79.75%,1.84,-,7.29,-20.00%,96.77%,37.59%,0.32,-,7.29,45.45%,-515.94%,56.16,6.16%,11.13%,168,0.12,-,-442.02%,1.89,10.50,Yes / Yes,0.11,28.19%,-,0.52,3.61,-,38.39%,-,Nov 06,2.08M,3.66,2.15%,8.79%,-51.12%,"

","1,081,611",1.39%,ZNTL
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,27.74,3.00,14.68%,306.50M,-3.23%,25.47B,18.01,4.62,-1.49%,261.50M,11.20%,941.21M,4.05,1.30,57.63%,3.40%,20.75%,4.63B,5.50,-15.87%,-1.44%,2.73,34.63%,28.31,2.94,5.30%,9.41%,8.88M,22.53%,25.16,3.30,6.85%,11.70%,55.06,92.80,15.58%,-,14.77,-,10.80%,-10.44%,-0.04,-,4.50,95.81%,74.54%,50.94%,2.90,-,4.50,296.12%,17.93%,56.06,3.91%,3.11%,7420,0.01,2.87%,20.34%,2.47,90.76,Yes / Yes,0.00,44.84%,0.00%,0.90,82.69,1.23%,5.67%,3.59%,Nov 25 AMC,3.26M,83.11,1.26%,10.56%,26.47%,"

","2,940,848",0.51%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.24%,108.14M,10.48%,3.16B,-,-1.77,-20.95%,107.88M,-3.38%,-270.85M,-,-0.70,43.88%,4.53%,50.90%,355.75M,8.88,21.57%,-4.96%,5.06,62.22%,6.78,4.30,34.63%,-26.70%,4.89M,7.00%,6.62,4.41,-,-34.98%,13.48,36.60,6.84%,-,-,-16.93%,-40.20%,-20.22%,0.99,-,2.87,2095.12%,63.17%,116.62%,1.66,-,3.01,10.91%,-95.07%,55.82,4.71%,5.21%,2175,0.19,35.01%,-76.13%,1.36,50.19,Yes / Yes,0.01,40.53%,-,0.71,28.85,0.02%,94.89%,47.72%,Nov 12 BMO,966.25K,29.20,2.68%,6.88%,42.34%,"

","686,924",1.21%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.26,8.87%,128.32M,-7.03%,441.42M,25.28,0.14,0.00%,116.94M,-9.95%,-41.45M,-,0.02,17.12%,0.02%,15.82%,1.23B,0.36,-24.73%,-0.26%,0.31,-64.65%,2.72,1.27,225.40%,-3.21%,0.02M,-,2.29,1.50,-,-7.35%,2.62,21.91,-78.91%,-,-,-,-9.02%,-84.30%,-,-,1.62,26.18%,17.54%,31.30%,0.25,-,1.81,72.88%,-3.55%,39.84,8.99%,6.75%,3476,0.23,1.40%,-3.38%,1.00,4.31,No / Yes,0.05,59.85%,-,0.24,3.34,-,50.00%,1.80%,Nov 22 BMO,76.32K,3.44,-8.00%,-5.53%,-56.87%,"

","18,278",2.99%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,289.64,0.03,36.39%,75.06M,-1.54%,864.67M,-,-0.18,-0.49%,62.15M,-3.45%,3.57M,-,-0.11,53.61%,5.81%,-4.99%,498.90M,1.73,-129.44%,1.69%,7.87,-9.78%,0.14,64.34,-35.01%,0.55%,3.61M,-33.26%,5.15,1.74,-,430.38%,7.21,15.35,-35.61%,-,12.89,-,0.63%,-41.69%,1.15,-,7.35,17.01%,89.13%,24.13%,0.43,-,7.35,-94.10%,5.24%,44.71,4.19%,5.03%,1000,40.75,-30.73%,0.72%,2.62,10.40,Yes / Yes,40.47,-111.35%,0.00%,1.19,8.86,4.27%,70.54%,-24.77%,Nov 06 AMC,458.97K,8.95,-5.55%,-5.56%,-9.89%,"

","546,943",1.02%,ZIP
