Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.91,0.98,11.57%,168.52M,2.53%,6.07B,24.56,1.47,-57.94%,148.79M,0.56%,6.49B,4.74,0.36,91.77%,3.56%,7.89%,169.50M,3.84,4.79%,1.13%,5.56,-7.39%,1.58B,3.93,9.60%,6.29%,5.29M,-3.22%,9.19,41.98,7.78%,10.49%,41.15 -12.27%,18.75%,0.86,23.35,32.18% -7.41%,8.11%,27.74 30.14%,28.70%,0.37 (1.02%),18.45,19.81% -5.41%,41.66%,1.20%,1.46%,137.23%,0.35 (0.97%),4.10,38.39%,16.67%,0.75,177.89%,"May 20, 2025",1.72,3.22%,10.72%,53.32,2.25,3.23% 0.62%,2.87,29.71%,0.09%,1.03,37.00,35.98%,0.36,4.01%,3.94%,0.95,35.37,2500,0.35,Apr 22 AMC,0.44%,951.80K,36.10,"Mar 29, 2012",Yes / Yes,6.90% 1.36%,"

","900,788",2.06%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,28.25,5.57,0.10%,446.04M,-4.25%,70.05B,23.06,6.82,-0.65%,444.77M,-2.54%,75.08B,3.48,1.62,95.98%,2.37%,-3.49%,2.52B,7.54,5.38%,0.35%,3.58,-7.88%,9.29B,15.08,9.35%,17.70%,10.54M,-3.43%,10.44,40.70,8.13%,51.85%,200.33 -21.46%,-7.26%,3.87,30.71,8.55% 11.91%,25.04%,139.70 12.63%,-0.46%,1.99 (1.27%),19.12,5.98% 8.14%,69.48%,2.40%,1.69%,15.49%,1.86 (1.18%),8.09,7.23%,37.01%,3.89,219.34%,"Jul 18, 2025",1.04,6.32%,27.12%,41.05,1.58,18.93% 21.14%,1.74,7.88%,-4.75%,0.95,199.92,32.86%,1.45,1.37%,-1.22%,0.81,157.17,13800,1.16,May 06 BMO,-7.79%,2.94M,157.34,"Feb 01, 2013",Yes / Yes,5.00% 1.37%,"

","2,392,570",0.11%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.06,1.57,0.86%,593.65M,-0.52%,10.31B,9.54,1.82,0.00%,588.53M,1.94%,9.57B,1.00,0.40,22.11%,2.35%,-13.42%,1.30B,1.65,8.34%,-8.97%,4.95,-13.42%,6.26B,1.62,12.66%,10.29%,13.84M,-11.20%,10.73,3.24,11.01%,15.68%,27.50 -36.87%,-21.31%,5.35,-,18.24% 8.45%,15.06%,16.34 6.24%,-27.90%,0.68 (3.91%),4.96,9.28% 13.97%,29.66%,1.73%,1.87%,-50.52%,0.70 (4.03%),1.53,10.00%,24.06%,0.43,-,"Apr 10, 2025",1.02,13.41%,20.76%,46.29,1.38,- -,1.05,38.73%,0.07%,-0.18,23.42,45.76%,0.27,8.02%,-4.09%,0.28,17.21,24471,0.01,May 20 AMC,-13.94%,2.80M,17.36,"Oct 27, 2016",Yes / Yes,-15.96% -9.78%,"

","777,576",0.87%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.78%,155.70M,2.82%,48.34B,84.95,3.65,-0.85%,96.78M,24.82%,46.56B,-,0.80,54.86%,8.67%,51.30%,-38.78M,18.98,0.04%,9.94%,3.09,54.88%,2.55B,26.78,14.52%,-0.81%,8.39M,72.09%,11.59,16.08,11.75%,-2.68%,309.18 0.41%,73.04%,19.30,69.94,41.55% -10.72%,-2.11%,153.45 102.32%,109.42%,-,-,47.68% 48.24%,77.33%,1.51%,2.54%,201.97%,-,18.28,49.20%,-4.59%,8.10,-,-,1.18,25.46%,-1.52%,78.90,1.68,- -,1.18,-121.43%,6.81%,1.09,312.77,-,0.68,22.57%,23.60%,1.07,302.94,7348,0.02,May 29 AMC,49.92%,2.71M,310.46,"Mar 16, 2018",Yes / Yes,11.64% 1.74%,"

","2,910,264",2.48%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.20,3.33,14.65%,261.11M,0.84%,23.38B,13.62,5.67,-1.63%,259.62M,-6.08%,15.63B,9.24,1.38,62.59%,3.18%,1.71%,1.05B,4.98,1.20%,-0.42%,3.49,-8.66%,4.70B,2.63,1.17%,9.87%,8.27M,-5.32%,29.34,2.99,2.51%,12.19%,92.80 -16.73%,37.47%,25.82,13.73,-10.66% 106.45%,11.73%,55.06 40.34%,-31.58%,-,14.82,4.40% 49.60%,75.85%,0.69%,1.18%,-68.14%,-,3.33,24.11%,18.13%,1.49,-,-,4.48,2.98%,22.31%,41.04,2.36,- -,4.48,18.68%,-2.44%,0.70,90.37,0.00%,0.01,2.93%,-1.19%,0.71,77.99,7412,0.00,May 21 AMC,-0.35%,2.37M,77.27,"Apr 18, 2019",Yes / Yes,9.22% 0.72%,"

","1,683,886",-0.92%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,109.84M,-12.17%,3.96B,84.37,0.43,-23.35%,109.14M,10.49%,3.29B,-,-0.40,50.87%,4.68%,2.62%,-252.07M,9.46,48.41%,-5.65%,4.17,33.52%,418.33M,4.82,131.82%,-23.32%,5.11M,37.50%,7.48,4.61,-,-32.05%,44.34 -18.79%,91.34%,7.80,-,30.00% -3.18%,-30.63%,16.01 124.92%,46.92%,-,-,40.35% 98.38%,63.45%,5.85%,5.18%,-50.16%,-,7.87,28.63%,-64.09%,1.93,-,-,3.09,43.72%,-60.26%,51.48,1.38,- -,3.26,18.43%,0.62%,0.95,52.18,-,0.24,22.19%,10.27%,0.61,34.55,1869,0.02,May 08 BMO,22.46%,1.23M,36.01,"Sep 20, 2017",Yes / Yes,92.78% -5.41%,"

","750,956",4.23%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,0.35%,6.58B,11.98,2.17,-,-,-12.19%,10.11B,-,-0.86,4.01%,-,-3.92%,-710.26M,0.57,61.80%,-2.40%,1.38,-9.94%,11.52B,-,249.48%,-11.48%,1.03M,-8.39%,-12.89,4.82,-,-,33.32 -21.97%,21.61%,5.39,-,5.46% -,-,13.00 100.00%,-,-,-,118.43% 118.66%,17.93%,0.34%,1.81%,-,-,0.88,37.41%,-7.36%,0.71,-,-,0.45,43.08%,-6.16%,47.38,1.00,- -,0.59,66.34%,-1.95%,0.16,39.64,-,-,47.60%,4.47%,0.47,25.94,17439,-,May 15 BMO,5.17%,747.08K,26.00,"May 10, 2024",Yes / Yes,-136.23% 19.27%,"

","353,224",0.23%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.64,5.13,1.68%,147.57M,4.30%,7.30B,8.94,5.54,-1.33%,145.09M,6.07%,-,1.59,1.30,78.50%,3.87%,-0.08%,756.00M,1.46,5.14%,-2.11%,3.08,-12.01%,4.98B,1.17,6.37%,0.91%,5.62M,-8.81%,42.43,-,6.07%,13.06%,63.22 -21.75%,19.49%,-,7.47,-9.99% 3.54%,10.04%,39.32 25.81%,-6.87%,1.74 (3.51%),-,19.10% 8.98%,-,1.53%,1.69%,33.81%,1.70 (3.44%),-,28.90%,21.03%,1.22,54.02%,"May 15, 2025",-,4.84%,15.17%,57.96,2.88,4.85% 5.34%,0.15,18.40%,2.88%,0.86,52.20,33.52%,0.74,-0.83%,5.80%,0.66,48.58,9406,0.19,Apr 21 AMC,-3.70%,1.82M,49.47,"Mar 17, 1980",Yes / Yes,-4.71% -0.18%,"

","1,207,997",1.83%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.84,19.53,1.18%,120.46M,-6.34%,1.98B,-,-1.97,0.00%,119.04M,-9.39%,5.55B,-,1.22,48.42%,18.20%,-7.97%,2.35B,0.22,-81.90%,-8.44%,3.10,-10.97%,8.87B,0.50,-161.21%,23.04%,21.67M,-23.61%,32.86,0.85,-,72.40%,29.00 -43.45%,-10.31%,19.19,0.56,-23.79% -,27.51%,11.03 48.62%,-67.05%,1.09 (6.62%),1.39,-7.73% 20.63%,34.71%,3.76%,2.88%,-,7.61 (46.43%),0.63,192.29%,31.33%,0.87,-,"Jun 02, 2025",1.10,65.83%,26.52%,45.63,4.00,16.67% -,1.18,226.86%,-4.55%,1.75,15.36,22.25%,1.49,28.46%,2.28%,0.96,16.53,6700,1.16,May 19 BMO,-12.72%,6.98M,16.40,"Jan 28, 2021",Yes / Yes,30.79% 9.06%,"

","6,719,339",-0.79%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.65,0.33,78.19%,252.58M,0.92%,3.56B,17.64,0.50,0.00%,55.08M,2.82%,4.40B,1.40,-,11.93%,8.40%,20.89%,83.40M,1.69,20.96%,-5.02%,4.63,0.81%,2.11B,2.33,17.78%,2.78%,4.62M,5.81%,3.76,11.75,18.99%,8.89%,12.15 -28.07%,-25.17%,0.74,18.38,- -,4.94%,6.05 44.46%,-15.80%,0.15 (1.70%),9.95,11.29% -,55.89%,1.23%,1.44%,-,0.13 (1.48%),2.09,-37.52%,9.45%,0.26,-,"Jul 07, 2025",0.80,2.26%,3.96%,55.85,2.75,15.87% -,1.41,-54950.00%,0.89%,0.74,8.77,41.68%,1.13,-,6.84%,0.91,8.84,7395,0.78,Mar 27 BMO,5.75%,999.21K,8.74,"Dec 20, 2021",Yes / Yes,-2.99% -4.68%,"

","912,190",-1.13%,ZGN
