Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Equinox Gold Corp,Basic Materials,Gold,Canada,AMEX,-,12.44,0.53,15.43%,455.23M,-2.93%,3.02B,4.71,1.41,0.00%,385.70M,-3.64%,269.62M,0.17,0.11,55.07%,5.78%,13.36%,1.51B,1.99,342.51%,-5.92%,2.05,13.16%,7.46,0.89,32.32%,4.87%,22.29M,26.10%,0.54,12.30,74.75%,9.23%,4.48,7.45,31.87%,-,-,-,5.77%,-11.14%,1.21,-,0.53,53.91%,19.48%,47.77%,0.32,-,1.14,607.14%,16.10%,48.12,2.84%,5.21%,-,0.42,39.14%,17.81%,2.14,8.25,Yes / Yes,0.37,400.00%,0.00%,0.63,6.67,0.75%,-17.27%,93.08%,Feb 20 BMO,10.85M,6.62,0.02%,-0.99%,11.19%,"

","6,846,278",-0.75%,EQX
MAG Silver Corp,Basic Materials,Silver,Canada,AMEX,-,20.58,0.75,9.97%,103.36M,2.12%,1.60B,19.74,0.78,0.00%,93.14M,-0.74%,77.78M,14.00,0.25,59.49%,1.98%,6.60%,0.00M,-,18.40%,1.14%,2.46,-12.74%,5.72,2.70,-12.01%,13.65%,1.84M,20.16%,1.57,9.83,1.47%,14.17%,11.17,18.08,14.59%,0.34 (2.24%),64.48,-,13.11%,-14.70%,0.67,0.18 (1.17%),45.24,0.00%,-,38.04%,0.85,"Apr 04, 2025",45.24,59.20%,-,51.19,3.88%,6.36%,49,0.00,-,-,1.45,19.98,Yes / Yes,0.00,20.47%,24.78%,0.50,15.67,40.40%,-18.52%,-,May 12 BMO,750.61K,15.42,2.97%,0.52%,4.86%,"

","371,650",-1.60%,MAG
Cornerstone Strategic Investment Fund Inc,Financial,Closed-End Fund - Equity,USA,AMEX,-,4.56,1.53,-,252.76M,3.26%,1.76B,-,-,-,252.71M,-5.68%,-,-,-,14.42%,8.50%,-21.15%,22.35M,78.81,-,-,8.34,-12.33%,7.03,0.99,-,-,21.48M,-3.86%,-,-,-,-,6.16,9.30,-18.86%,-,-,-,-,-25.05%,1.09,1.36 (19.49%),-,-,-,13.22%,0.23,"May 15, 2025",-,-,-,43.56,1.70%,3.97%,-,-,-,-,-,-,No / Yes,-,-,83.70%,0.59,6.94,-,-,-15.40%,-,2.57M,6.97,-0.71%,-7.62%,-13.01%,"

","1,529,239",0.43%,CLM
B2gold Corp,Basic Materials,Gold,Canada,AMEX,-,-,-0.48,4.87%,1.32B,-5.20%,4.09B,6.87,0.45,0.00%,1.26B,7.64%,-629.89M,-,0.08,54.53%,4.46%,30.80%,1.90B,2.15,193.28%,1.98%,1.24,-9.62%,2.26,1.37,-3.84%,-13.00%,55.98M,20.16%,0.26,11.74,45.50%,-18.54%,2.20,3.51,27.05%,0.09 (2.97%),21532.27,-,-18.50%,-11.68%,0.45,0.14 (4.52%),0.73,12.32%,37.13%,40.91%,0.17,"Mar 07, 2025",1.55,-2109.62%,31.86%,51.03,3.18%,5.75%,-,0.15,-1.67%,-33.12%,2.00,4.35,Yes / Yes,0.14,89.66%,-,0.61,3.09,-0.41%,-83.87%,-2.38%,May 07 AMC,45.32M,3.10,0.76%,4.57%,7.99%,"

","27,515,589",0.32%,BTG
Sprott Physical Gold and Silver Trust,Financial,Asset Management,Canada,AMEX,-,-,-,-,194.55M,-1.12%,5.68B,-,-,-,194.55M,3.99%,-,-,-,-,0.03%,15.60%,-,-,-,-,0.08,12.22%,-,-,-,-,0.06M,34.81%,-,-,-,-,20.96,30.18,22.90%,-,-,-,-,-3.25%,0.30,-,-,-,-,39.31%,0.53,"Oct 30, 2017",-,-,-,57.47,1.23%,1.53%,-,-,-,-,-,-,No / Yes,-,-,-,0.84,29.52,-,-,-,-,727.19K,29.20,2.51%,5.31%,15.98%,"

","611,684",-1.08%,CEF
Central Securities Corp,Financial,Closed-End Fund - Equity,USA,NYSE,-,4.37,10.15,42.07%,28.94M,4.55%,1.28B,-,-,0.02%,16.76M,-1.36%,-,-,-,10.43%,0.02%,-6.15%,23.70M,54.20,-,-,0.09,-4.46%,54.26,0.82,-,-,0.00M,9.04%,-,-,-,-,40.24,49.51,-2.85%,-,-,-,-,-10.34%,0.78,2.25 (5.07%),-,-,-,10.31%,1.19,"Nov 15, 2024",-,-,-,55.45,1.99%,3.44%,-,-,-,-,-,-,No / Yes,-,-4.30%,22.18%,0.85,43.69,-,-,3.40%,-,31.23K,44.39,3.29%,-0.77%,-2.58%,"

","26,612",1.60%,CET
Exodus Movement Inc,Technology,Software - Infrastructure,USA,AMEX,-,10.34,3.96,74.17%,28.60M,4.54%,1.17B,17.36,2.36,-0.01%,7.39M,-14.36%,112.96M,-,0.27,0.06%,1.59%,-48.89%,116.27M,10.08,-65.06%,-84.53%,1.47,177.39%,10.70,3.83,91.87%,-,0.12M,1446.04%,2.39,17.13,-,-,8.00,117.40,33.54%,-,-,-,43.86%,-65.10%,3.41,-,9.92,118.01%,60.41%,412.13%,4.67,-,9.92,539.42%,26.43%,48.55,8.69%,10.47%,210,0.00,-,97.15%,1.00,52.30,No / Yes,0.00,26462.89%,0.00%,0.42,42.18,56.95%,155.14%,273.85%,Mar 03 AMC,79.60K,40.97,-1.92%,0.24%,46.31%,"

","33,611",-2.87%,EXOD
Centrus Energy Corp,Energy,Uranium,USA,AMEX,RUT,16.13,4.40,8.40%,16.05M,8.78%,1.19B,20.42,3.48,-0.28%,15.36M,7.11%,73.20M,-,-0.01,70.73%,21.97%,-10.09%,442.00M,2.69,-36.00%,24.51%,4.53,-16.84%,9.63,7.37,21.51%,7.69%,3.37M,73.54%,41.84,1.70,-3.41%,75.58%,33.51,122.94,6.53%,-,44.39,-,11.07%,-42.28%,1.14,-,2.28,16.81%,23.01%,111.76%,5.26,"Nov 22, 2005",2.74,-19.69%,10.93%,54.27,4.79%,9.40%,322,3.39,38.04%,16.56%,1.57,141.74,Yes / Yes,3.10,-10.57%,0.00%,0.30,70.37,42.12%,156.68%,46.33%,May 07 AMC,745.56K,70.96,10.97%,-4.85%,3.83%,"

","226,365",0.84%,LEU
Denison Mines Corp,Energy,Uranium,Canada,AMEX,-,-,-0.07,0.89%,895.71M,10.08%,1.27B,-,-0.03,0.00%,887.75M,6.77%,-66.40M,-,-0.02,49.84%,7.43%,-20.22%,2.93M,434.11,19.28%,30.45%,1.08,-35.45%,0.44,3.24,52.63%,-,65.99M,-27.92%,0.09,15.93,35.70%,-,1.08,2.47,-21.11%,-,-,-26.28%,-16.92%,-42.51%,1.41,-,3.54,3.39%,-1315.17%,31.48%,0.09,-,3.65,-266.97%,-1574.84%,54.31,5.72%,7.29%,-,0.00,-,-2264.50%,1.08,2.88,Yes / Yes,0.00,-146.09%,-,1.02,1.46,-,-58.33%,-59.49%,May 12 AMC,61.24M,1.42,8.77%,1.87%,-20.31%,"

","62,607,555",-2.74%,DNN
Empire State Realty OP LP,Real Estate,REIT - Office,USA,NYSE,-,-,-,89.27%,18.18M,-3.08%,1.83B,-,-,0.00%,17.96M,-16.54%,47.44M,-,-,0.66%,0.02%,-32.33%,767.92M,2.39,-,-,0.35,-37.81%,6.16,1.10,-,1.18%,0.00M,-31.02%,1.58,4.27,-,5.12%,6.39,11.50,-33.61%,-,20.82,0.44%,1.38%,-41.22%,1.64,0.14 (2.07%),-,1.56%,29.81%,5.79%,0.32,"Mar 14, 2025",-,-,20.67%,38.94,3.38%,3.57%,667,2.43,3.83%,6.18%,-,-,No / Yes,2.33,18.41%,49.45%,0.62,7.12,-,-,2.45%,-,8.83K,6.76,-4.59%,-15.55%,-29.83%,"

","5,441",-5.06%,ESBA
