Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,51.90,0.79,16.26%,169.85M,1.59%,7.00B,30.49,1.34,-8.94%,142.12M,4.41%,137.70M,3.27,0.28,92.49%,5.30%,25.06%,1.55B,4.51,27.64%,10.07%,4.73,35.77%,9.34,4.38,8.39%,4.94%,7.53M,38.81%,1.10,37.26,15.89%,8.52%,27.55,40.84,39.14%,0.33 (0.81%),25.93,18.47%,6.47%,0.20%,1.15,0.33 (0.81%),1.71,0.20%,41.40%,48.53%,0.76,"Nov 20, 2024",2.70,28.10%,16.27%,66.70,1.94%,1.66%,2400,0.35,2.55%,8.87%,2.25,38.71,Yes / Yes,0.34,6.98%,45.61%,0.52,40.41,0.95%,5.82%,2.91%,Oct 29 AMC,1.59M,40.92,2.96%,7.72%,23.27%,"

","831,555",1.26%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.33,7.50%,143.01M,0.10%,1.53B,17.16,0.58,-8.62%,142.03M,0.51%,-47.27M,-,0.14,72.46%,2.40%,16.51%,445.68M,3.43,71.21%,-4.01%,1.13,0.40%,1.27,7.85,2.65%,-6.17%,3.41M,14.63%,3.54,2.81,15.00%,-31.02%,7.70,10.85,5.85%,-,-,9.40%,-7.99%,-8.29%,1.68,-,2.71,12.97%,68.16%,29.22%,0.06,-,2.71,60.38%,-6.31%,63.57,0.46%,0.40%,1618,2.12,7.33%,-10.61%,3.00,10.00,Yes / Yes,2.08,70.33%,-,0.53,9.98,0.77%,39.13%,6.80%,Dec 09 AMC,3.01M,9.95,0.25%,3.51%,7.17%,"

","1,607,050",-0.30%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,33.49,5.32,0.08%,451.55M,0.76%,81.15B,27.93,6.38,-0.95%,450.80M,2.24%,2.43B,3.61,1.38,94.82%,1.04%,-6.90%,9.15B,8.87,10.75%,-1.48%,2.10,-0.38%,11.59,15.37,8.26%,17.07%,4.69M,-2.02%,3.76,47.35,9.29%,47.13%,144.80,201.92,-9.74%,1.70 (0.95%),35.16,11.57%,20.27%,-11.77%,0.88,1.73 (0.97%),2.27,8.05%,68.49%,23.03%,3.82,"Oct 31, 2024",3.69,8.09%,36.45%,50.79,2.22%,2.06%,14100,1.29,9.33%,26.55%,1.43,220.60,Yes / Yes,1.29,16.43%,30.71%,1.07,176.46,4.34%,8.49%,11.02%,Nov 04 BMO,2.23M,178.15,1.13%,-2.16%,0.36%,"

","2,387,101",0.96%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.57,1.43,0.86%,598.04M,2.16%,11.60B,10.58,1.83,0.00%,592.88M,-14.84%,1.20B,1.16,0.45,28.51%,2.72%,-10.97%,5.83B,1.99,11.81%,-11.61%,5.18,-18.43%,10.74,1.81,12.31%,9.47%,16.12M,-8.80%,5.47,3.55,11.68%,14.45%,15.90,27.50,-8.88%,0.66 (3.43%),-,13.37%,13.77%,-29.49%,-0.14,0.97 (5.00%),0.94,15.78%,31.29%,21.99%,0.66,"Sep 10, 2024",0.96,-2.64%,24.78%,38.56,2.30%,2.67%,23554,0.30,8.68%,20.51%,1.27,27.20,Yes / Yes,0.01,3.34%,40.76%,1.13,18.49,1.13%,0.45%,17.70%,Nov 19 AMC,3.11M,19.39,-1.84%,-14.69%,-10.06%,"

","3,527,437",4.87%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.24,38.31%,153.41M,-1.14%,32.61B,57.97,3.56,-0.14%,94.61M,4.79%,-36.27M,-,0.69,48.86%,4.06%,32.22%,2.30B,14.18,-6.24%,4.49%,2.14,12.08%,9.31,22.14,18.88%,-0.87%,3.84M,3.04%,17.12,12.04,16.32%,-3.24%,153.45,259.61,-6.96%,-,50.01,-10.72%,-2.47%,-20.60%,0.83,-,1.09,48.57%,77.81%,34.33%,7.78,-,1.09,79.05%,-4.74%,54.19,5.06%,3.58%,7348,0.87,30.77%,-1.58%,1.80,226.32,Yes / Yes,0.03,65.17%,-,1.13,211.99,3.71%,22.75%,26.42%,Dec 02 AMC,1.79M,206.13,-0.04%,6.53%,10.34%,"

","2,024,973",-2.76%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.53,13.59%,71.15M,6.28%,290.50M,-,-2.93,-0.02%,61.58M,2.10%,-179.28M,-,-0.79,83.16%,8.07%,18.96%,40.56M,7.16,45.10%,-6.33%,2.38,-62.78%,4.98,0.78,-19.28%,-34.60%,4.97M,-68.32%,5.24,0.74,-,-42.89%,2.66,18.07,-74.32%,-,-,-50.05%,-45.41%,-78.47%,1.84,-,7.29,-20.00%,96.77%,46.24%,0.31,-,7.29,45.45%,-515.94%,60.66,8.34%,9.12%,168,0.12,-,-442.02%,1.89,10.50,Yes / Yes,0.11,28.19%,-,0.64,3.50,-,38.39%,-,Nov 06,2.09M,3.89,11.11%,16.88%,-46.23%,"

","1,329,605",11.14%,ZNTL
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,28.57,3.00,14.68%,306.50M,2.97%,27.13B,15.99,5.35,-1.77%,261.50M,6.72%,941.21M,4.17,1.30,57.73%,3.40%,28.31%,4.63B,5.86,4.32%,-1.46%,2.77,35.93%,28.31,3.02,-1.51%,9.41%,8.88M,18.98%,24.32,3.52,6.85%,11.70%,55.06,92.80,19.01%,-,15.73,-,10.80%,-7.78%,-0.03,-,4.50,95.81%,74.54%,55.43%,2.67,-,4.50,296.12%,17.93%,59.62,2.42%,3.12%,7420,0.01,2.87%,20.34%,2.49,90.76,Yes / Yes,0.00,44.84%,0.00%,1.09,86.22,1.23%,5.67%,3.59%,Nov 25 AMC,3.21M,85.58,2.59%,11.56%,29.14%,"

","3,513,530",-0.74%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.24%,108.14M,-0.99%,3.13B,-,-1.77,-20.95%,107.88M,-6.17%,-270.85M,-,-0.70,43.92%,4.53%,42.41%,355.75M,8.79,21.57%,-5.43%,5.09,44.55%,6.78,4.26,34.63%,-26.70%,4.89M,5.13%,6.62,4.37,-,-34.98%,13.48,36.60,5.78%,-,-,-16.93%,-40.20%,-21.01%,0.99,-,2.87,2095.12%,63.17%,114.47%,1.59,-,3.01,10.91%,-95.07%,53.54,4.36%,5.58%,2175,0.19,35.01%,-76.13%,1.36,50.19,Yes / Yes,0.01,40.53%,-,0.81,27.97,0.02%,94.89%,47.72%,Nov 12 BMO,959.63K,28.91,3.51%,3.21%,39.45%,"

","780,854",3.36%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.26,8.87%,128.32M,7.56%,474.78M,37.29,0.10,0.00%,116.94M,-5.37%,-41.45M,-,-0.01,17.12%,0.02%,24.16%,1.23B,0.39,-95.06%,-0.26%,0.32,-70.04%,2.72,1.36,158.61%,-3.21%,0.02M,-,2.29,1.61,-,-7.35%,2.62,21.91,-77.31%,-,-,-,-9.02%,-83.12%,0.43,-,1.62,26.18%,17.54%,41.22%,0.25,-,1.81,72.88%,-3.55%,53.20,6.98%,6.74%,3476,0.23,1.40%,-3.38%,1.00,4.32,No / Yes,0.05,59.85%,-,1.71,3.64,-,50.00%,1.80%,Nov 22 BMO,75.36K,3.70,0.76%,0.07%,-51.31%,"

","128,903",1.65%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,265.37,0.03,28.77%,75.06M,-8.38%,783.85M,-,-0.18,-0.61%,69.47M,-26.13%,3.57M,-,-0.11,53.63%,5.20%,-8.58%,498.90M,1.57,-129.44%,1.70%,7.81,-13.32%,0.14,58.95,-35.01%,0.55%,3.61M,-37.69%,5.21,1.58,-,430.38%,7.21,15.35,-41.01%,-,11.68,-,0.63%,-46.58%,1.15,-,7.35,17.01%,89.13%,13.73%,0.42,-,7.35,-94.10%,5.24%,37.48,4.77%,4.89%,1000,40.75,-30.73%,0.72%,2.62,10.40,Yes / Yes,40.47,-111.35%,0.00%,1.08,8.15,4.27%,70.54%,-24.77%,Nov 06 AMC,462.20K,8.20,-9.38%,-12.50%,-16.26%,"

","501,228",0.61%,ZIP
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,13.22,4.39,1.59%,147.70M,-3.09%,8.58B,11.82,4.91,-5.86%,145.36M,0.90%,647.00M,3.56,1.27,76.40%,3.93%,26.85%,4.94B,1.74,12.35%,-2.59%,4.26,40.67%,40.25,1.44,0.55%,0.79%,5.71M,51.30%,-,-,3.71%,11.76%,37.18,63.22,32.37%,1.64 (2.83%),11.47,1.26%,9.09%,-8.15%,1.09,1.66 (2.86%),-,9.97%,-,56.19%,1.55,"Nov 14, 2024",0.14,-18.96%,18.06%,50.94,2.28%,2.38%,9679,0.57,11.67%,13.10%,2.96,58.47,Yes / Yes,0.12,21.38%,37.74%,0.63,59.16,1.76%,16.48%,8.11%,Oct 21 AMC,1.34M,58.07,-2.75%,6.77%,24.42%,"

","848,281",-1.84%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,1.73,11.93,17.55%,120.39M,3.99%,2.52B,6.92,2.97,0.00%,99.23M,-15.38%,1.44B,0.04,2.83,46.86%,13.53%,30.59%,7.47B,0.34,165.86%,14.91%,1.97,4.27%,32.61,0.63,-79.85%,14.97%,13.43M,197.04%,18.93,1.09,47.44%,44.28%,6.70,29.00,116.98%,5.61 (27.23%),1.18,-,17.37%,-28.97%,1.70,3.93 (19.06%),1.26,29.90%,27.42%,207.48%,1.42,"Dec 02, 2024",1.33,167.33%,23.81%,43.50,4.96%,6.07%,6460,1.49,21.47%,19.26%,3.88,20.11,Yes / Yes,1.11,149.38%,-,1.21,20.96,15.59%,34.46%,117.22%,Nov 20 BMO,6.81M,20.60,-8.13%,-5.82%,17.98%,"

","8,246,586",-1.72%,ZIM
ZoomInfo Technologies Inc,Technology,Software - Application,USA,NASD,-,408.96,0.03,19.59%,342.91M,-3.52%,3.79B,11.79,0.93,2.21%,276.57M,-6.88%,9.00M,38.38,0.23,77.68%,14.31%,13.34%,1.22B,3.10,-7.81%,-13.53%,4.68,-12.32%,4.87,2.25,-0.15%,0.13%,39.58M,-28.08%,0.43,25.64,10.65%,0.46%,7.65,19.39,-40.72%,-,11.40,-,0.30%,-43.48%,1.02,-,0.63,56.47%,83.40%,43.27%,0.45,-,0.63,-92.06%,11.26%,50.87,2.95%,4.48%,3516,0.82,-0.26%,0.74%,2.79,11.49,Yes / Yes,0.81,-11.84%,0.00%,0.57,11.04,1.41%,26.87%,-3.25%,Nov 12 AMC,8.45M,10.96,0.31%,2.62%,-11.07%,"

","4,860,739",-0.72%,ZI
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,19.92,0.43,76.02%,252.42M,3.54%,3.47B,19.95,0.43,0.00%,60.54M,13.96%,108.84M,-,-,21.64%,2.67%,-10.44%,2.12B,1.63,-27.50%,-1.58%,1.75,-31.53%,3.62,2.35,15.87%,3.69%,1.62M,-27.25%,0.84,10.14,-2.63%,12.47%,7.13,15.26,-26.62%,0.12 (1.44%),15.34,-,6.48%,-44.36%,0.67,0.13 (1.53%),0.79,11.31%,55.26%,19.07%,0.36,"Jul 05, 2024",1.41,20.85%,9.24%,62.22,4.52%,4.82%,7201,1.19,21.21%,5.13%,2.62,9.38,Yes / Yes,0.84,-54950.00%,24.23%,0.86,8.27,-5.04%,-45.65%,-,Sep 18 BMO,921.84K,8.49,8.24%,4.78%,-22.19%,"

","797,313",2.66%,ZGN
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.57,77.72%,54.32M,-2.12%,19.21B,44.11,1.79,0.95%,52.03M,12.61%,-133.00M,-,0.22,19.41%,2.52%,45.25%,2.16B,8.91,7.32%,-1.93%,2.44,85.50%,19.94,3.96,31.29%,-2.08%,1.31M,75.36%,8.94,8.83,32.70%,-2.90%,38.06,83.67,39.16%,-,77.13,-2.24%,-2.54%,-5.67%,2.07,-,3.13,16.49%,76.44%,107.38%,2.47,-,3.13,14.69%,-9.93%,64.12,2.27%,3.15%,6263,0.25,13.12%,-6.17%,2.04,74.57,Yes / Yes,0.13,28.33%,-,0.45,79.28,4.60%,38.66%,17.14%,Nov 06 AMC,538.26K,78.93,2.31%,17.72%,49.22%,"

","242,286",-0.44%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.70,22.56%,205.64M,-4.33%,5.54B,29.24,0.79,0.31%,183.88M,-32.91%,-120.29M,-,0.23,64.16%,7.17%,-8.05%,901.40M,6.14,149.95%,9.83%,1.81,40.32%,2.06,11.15,31.04%,-17.43%,13.19M,193.36%,1.74,13.23,38.15%,-38.51%,7.65,38.20,160.43%,-,58.85,-42.41%,-17.93%,-39.87%,1.12,-,3.32,24.26%,54.40%,200.26%,2.57,-,3.32,48.22%,-11.33%,46.08,10.84%,13.95%,1783,0.41,29.97%,-13.34%,1.53,38.42,Yes / Yes,0.41,66.07%,-,1.63,26.18,6.18%,393.67%,41.97%,Nov 11 AMC,7.28M,22.97,0.20%,-14.90%,14.75%,"

","11,898,252",-12.26%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,51.53,1.14,1.86%,42.74M,-2.05%,2.54B,7.96,7.39,0.12%,42.11M,19.94%,62.38M,7.36,2.63,109.08%,5.84%,21.88%,1.38B,1.84,8.56%,0.47%,4.02,4.09%,41.00,1.43,9.92%,1.83%,2.46M,-6.91%,8.93,6.58,7.00%,3.51%,37.76,70.90,-12.55%,-,11.63,-19.19%,2.38%,-17.12%,1.36,-,1.42,3.32%,73.19%,55.61%,1.70,"May 17, 2019",1.42,37.87%,15.30%,63.42,2.34%,3.50%,4200,0.49,0.58%,4.52%,1.75,73.43,Yes / Yes,0.49,-64.47%,0.00%,0.69,58.38,2.28%,8.79%,3.69%,Nov 07 AMC,611.26K,58.76,1.75%,14.96%,10.93%,"

","421,312",0.65%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,55.81,7.37,0.73%,51.54M,0.29%,21.44B,25.49,16.13,-2.09%,51.21M,3.54%,382.00M,2.65,3.95,90.62%,0.98%,22.81%,4.65B,4.61,37.07%,-1.78%,1.41,35.90%,66.37,6.20,19.87%,5.09%,0.50M,76.32%,12.97,31.71,21.10%,11.87%,232.29,413.27,50.45%,-,27.91,-5.89%,6.75%,-0.49%,1.64,-,0.96,2.84%,45.19%,77.03%,7.28,-,1.37,-17.82%,13.42%,64.23,1.64%,1.73%,9750,0.69,-8.43%,8.21%,2.15,418.57,Yes / Yes,0.66,1003.08%,0.00%,0.73,409.32,3.12%,8.02%,30.67%,Oct 29 BMO,355.16K,411.23,2.84%,6.86%,23.85%,"

","259,536",0.47%,ZBRA
