Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.51,4.16%,69.58M,3.38%,1.02B,-,-1.75,48.10%,66.61M,4.86%,-113.67M,-,-0.10,95.79%,6.58%,-14.76%,62.20M,16.38,16.11%,1.85%,9.79,39.71%,5.23,2.80,-21.46%,-21.79%,4.38M,28.57%,4.28,3.43,12.51%,-28.73%,7.97,17.70,0.20%,-,-,-6.52%,-29.58%,-17.12%,1.12,-,4.10,341.20%,82.55%,84.07%,0.73,-,4.10,-148.23%,-194.58%,52.72,6.16%,4.64%,277,0.06,-86.52%,-182.75%,1.50,20.44,Yes / Yes,0.05,3.54%,-,0.66,15.01,-10.62%,1.71%,-3.07%,Mar 05 AMC,447.30K,14.67,1.02%,3.74%,22.24%,"

","295,605",-2.27%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,38.90,0.92,16.26%,170.31M,-5.79%,6.09B,23.86,1.50,-2.03%,142.37M,-5.37%,160.20M,4.01,0.29,83.36%,4.26%,-9.19%,1.57B,3.89,4.92%,-3.26%,6.40,14.20%,9.32,3.84,11.71%,5.98%,6.06M,12.90%,1.16,30.74,9.71%,9.96%,28.25,41.15,-4.05%,0.37 (1.04%),22.40,-7.41%,7.54%,-13.03%,1.16,0.33 (0.92%),1.81,0.56%,41.36%,26.69%,0.85,"Feb 20, 2025",2.91,44.23%,16.48%,32.91,2.01%,2.06%,2500,0.35,2.35%,10.23%,2.25,40.57,Yes / Yes,0.34,166.58%,35.98%,1.37,35.47,1.11%,14.78%,3.90%,Feb 04 AMC,947.21K,35.79,-6.16%,-6.30%,3.50%,"

","1,299,558",0.90%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,28.63,5.47,0.11%,448.47M,-8.98%,70.07B,22.78,6.87,-0.77%,446.90M,-7.61%,2.49B,3.18,1.42,94.98%,1.92%,-11.61%,9.26B,7.57,4.82%,-2.11%,3.09,-14.99%,10.64,14.71,10.69%,17.43%,8.58M,-14.99%,4.44,35.26,9.00%,50.91%,144.80,200.53,-3.96%,1.97 (1.26%),30.49,11.91%,24.46%,-21.97%,0.94,1.80 (1.15%),1.08,8.22%,69.10%,8.07%,4.90,"Apr 21, 2025",1.75,7.70%,36.65%,31.39,3.71%,2.50%,13800,1.42,8.33%,26.86%,1.55,212.80,Yes / Yes,1.13,12.87%,32.86%,2.48,157.52,0.86%,2.77%,4.70%,Feb 13 BMO,2.78M,156.48,-7.72%,-7.41%,-11.75%,"

","6,900,960",-0.66%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.85,1.43,0.86%,598.04M,0.61%,11.83B,11.02,1.80,0.00%,592.88M,5.16%,1.20B,1.24,0.45,25.16%,2.72%,-4.90%,5.83B,2.03,10.73%,-14.83%,5.50,0.41%,10.74,1.84,10.98%,9.47%,16.12M,10.38%,5.47,3.62,11.20%,14.45%,17.89,27.50,1.18%,0.66 (3.32%),-,13.37%,13.77%,-28.07%,-0.12,0.97 (4.90%),0.94,14.65%,31.29%,10.56%,0.54,"Sep 10, 2024",0.96,-2.64%,24.78%,56.13,2.58%,2.39%,23554,0.30,8.68%,20.51%,1.35,26.52,Yes / Yes,0.01,3.34%,40.76%,0.61,20.09,1.13%,0.45%,17.70%,Nov 19 AMC,2.93M,19.78,3.56%,3.48%,-6.75%,"

","1,798,591",-1.54%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.24,38.08%,153.41M,2.04%,33.28B,61.39,3.53,-0.12%,95.00M,15.63%,-36.27M,-,0.69,50.06%,5.72%,3.35%,2.30B,14.47,-6.48%,4.13%,3.05,13.94%,9.31,23.29,18.42%,-0.87%,5.43M,-14.37%,17.65,12.29,10.31%,-3.24%,153.45,255.00,20.21%,-,51.03,-10.72%,-2.47%,-14.95%,0.87,-,1.09,48.57%,77.81%,41.33%,6.21,-,1.09,79.05%,-4.74%,67.90,2.83%,2.97%,7348,0.87,30.77%,-1.58%,1.82,227.84,Yes / Yes,0.03,65.17%,-,1.08,212.70,3.71%,22.75%,26.42%,Mar 05 AMC,1.78M,216.87,6.58%,10.22%,15.78%,"

","1,923,262",1.96%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,28.44,3.00,14.70%,306.50M,-2.18%,26.11B,18.46,4.62,-2.49%,261.21M,7.25%,941.21M,59.25,1.30,61.75%,3.41%,0.19%,4.63B,5.64,-15.87%,0.89%,2.95,47.28%,28.31,3.01,5.30%,9.41%,8.92M,32.83%,25.16,3.39,0.48%,11.70%,55.06,92.80,4.40%,-,15.14,-,10.80%,-8.19%,0.23,-,4.50,97.66%,74.54%,54.74%,2.36,-,4.50,296.12%,17.93%,53.77,2.83%,2.90%,7420,0.01,2.87%,20.34%,2.32,93.21,Yes / Yes,0.00,44.84%,0.00%,0.77,85.10,1.23%,5.67%,3.59%,Feb 24 AMC,3.02M,85.20,0.79%,1.97%,20.72%,"

","2,316,602",0.12%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.21%,108.94M,12.76%,3.37B,-,-1.64,-9.70%,107.51M,21.87%,-270.85M,-,-0.67,51.17%,7.18%,3.27%,355.75M,9.47,22.15%,-8.32%,10.11,85.77%,6.78,4.56,38.99%,-26.70%,7.71M,59.52%,6.57,4.71,-,-34.98%,13.48,36.60,18.10%,-,-,-16.93%,-40.20%,-15.49%,1.13,-,2.87,136.21%,63.17%,129.45%,1.49,-,3.01,10.91%,-95.07%,71.78,5.28%,4.78%,2175,0.19,35.01%,-76.13%,1.17,48.24,Yes / Yes,0.01,40.53%,-,3.06,29.00,0.02%,94.89%,47.72%,Feb 27 BMO,762.84K,30.93,12.89%,15.61%,35.00%,"

","2,331,602",6.66%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-4.75,-,247.58M,-1.67%,6.26B,-,-0.84,-,-,-0.75%,-1166.93M,-,-0.31,4.16%,-,-13.18%,9.64B,0.65,37.16%,26.26%,2.61,63.23%,-6.12,-,72.71%,-28.75%,1.78M,-,4.78,5.30,-,-,13.00,32.76,-10.85%,-,-,-,-,-22.77%,-,-,0.52,180.45%,15.31%,94.62%,1.58,-,0.64,-4.45%,-11.88%,47.09,5.26%,5.59%,16645,-,39.99%,-12.10%,1.00,36.86,Yes / Yes,-,17.20%,-,1.14,26.33,-8.56%,12.14%,32.16%,Nov 14 BMO,681.54K,25.30,-1.34%,-6.03%,12.53%,"

","773,889",-3.91%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,11.46,4.95,1.57%,147.87M,1.34%,8.39B,9.87,5.75,-1.30%,145.27M,-0.87%,732.00M,2.06,1.18,78.42%,2.82%,-5.70%,4.99B,1.68,6.57%,-3.41%,3.40,23.09%,40.97,1.39,9.01%,0.89%,4.09M,40.48%,-,-,5.57%,13.19%,38.01,63.22,4.66%,1.73 (3.04%),11.21,3.53%,10.35%,-10.19%,1.08,1.68 (2.96%),-,10.13%,-,49.38%,1.47,"Feb 13, 2025",0.17,14.10%,20.26%,50.28,2.23%,2.37%,9406,0.78,7.91%,14.66%,2.82,63.88,Yes / Yes,0.16,72.04%,33.54%,1.17,55.74,4.18%,6.00%,4.59%,Jan 21 AMC,1.20M,56.78,-0.88%,0.42%,13.08%,"

","1,409,871",1.87%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,1.66,11.93,1.08%,120.39M,2.48%,2.39B,8.02,2.47,0.00%,119.05M,19.43%,1.44B,0.02,3.22,52.45%,14.01%,-17.49%,7.47B,0.32,168.18%,10.35%,2.56,8.96%,32.61,0.61,-83.81%,14.97%,16.67M,71.26%,19.24,1.03,86.64%,44.28%,8.73,29.00,-7.55%,5.83 (29.38%),1.12,-,17.37%,-31.55%,1.65,3.93 (19.78%),1.26,36.98%,27.42%,127.27%,1.08,"Dec 02, 2024",1.33,167.33%,23.81%,56.16,5.36%,5.20%,6460,1.49,21.47%,19.26%,4.00,18.34,Yes / Yes,1.11,149.38%,-,0.76,20.13,15.59%,34.46%,117.22%,Nov 20 BMO,6.50M,19.85,9.15%,3.22%,1.98%,"

","4,945,353",-1.39%,ZIM
ZoomInfo Technologies Inc,Technology,Software - Application,USA,NASD,-,392.16,0.03,20.68%,342.91M,2.24%,3.61B,11.40,0.92,-0.02%,299.65M,3.24%,9.00M,-,0.23,85.13%,3.92%,-0.19%,1.22B,2.95,-7.85%,-15.67%,1.62,14.24%,4.87,2.16,-0.97%,0.13%,11.74M,-41.97%,0.43,24.43,-0.94%,0.46%,7.65,18.27,0.00%,-,10.86,-,0.30%,-42.47%,1.02,-,0.63,44.78%,83.40%,37.39%,0.38,-,0.63,-92.06%,11.26%,55.14,3.37%,3.60%,3516,0.82,-0.26%,0.74%,3.00,11.20,Yes / Yes,0.81,-11.84%,0.00%,0.73,10.24,1.41%,26.87%,-3.25%,Feb 25 AMC,7.24M,10.51,2.76%,1.13%,-4.59%,"

","5,263,706",2.64%,ZI
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,21.05,0.43,76.38%,252.42M,2.16%,3.65B,20.77,0.43,0.00%,59.63M,10.47%,108.84M,13.76,-,17.14%,2.68%,17.25%,2.12B,1.72,-25.59%,-1.65%,2.07,-12.32%,3.62,2.48,15.36%,3.69%,1.60M,-29.48%,0.84,10.69,1.53%,12.47%,7.13,15.26,8.60%,0.12 (1.36%),16.16,-,6.48%,-41.22%,0.67,0.13 (1.45%),0.79,11.31%,55.26%,25.81%,0.35,"Jul 05, 2024",1.41,20.85%,9.24%,53.91,4.06%,4.10%,7201,1.19,21.21%,5.13%,2.75,9.82,Yes / Yes,0.84,-54950.00%,24.23%,1.19,8.92,-5.04%,-45.65%,-,Sep 18 BMO,770.22K,8.97,-0.42%,4.78%,-8.45%,"

","913,029",0.56%,ZGN
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.48,78.55%,54.33M,-9.37%,19.33B,33.80,2.29,-0.22%,52.22M,5.10%,-112.00M,-,0.36,18.52%,1.36%,7.03%,2.24B,8.65,24.74%,-3.40%,1.45,50.10%,19.99,3.87,32.85%,-1.79%,0.71M,37.96%,7.44,10.39,31.30%,-2.39%,38.06,86.58,9.10%,-,67.83,20.21%,-2.27%,-10.72%,2.33,-,2.81,-1.65%,76.43%,103.10%,3.05,-,2.81,29.56%,-8.50%,48.31,5.14%,3.23%,6856,0.14,14.96%,-5.01%,2.03,88.12,Yes / Yes,0.02,29.78%,-,1.62,76.89,1.34%,2.01%,16.88%,Feb 11 AMC,487.51K,77.30,-2.79%,1.57%,30.30%,"

","788,684",0.53%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.70,21.18%,205.64M,13.99%,5.86B,32.00,0.77,0.34%,187.16M,31.26%,-120.29M,-,0.22,60.43%,13.10%,39.02%,901.40M,6.50,148.89%,9.88%,3.28,1.52%,2.06,11.99,31.52%,-17.43%,24.51M,142.06%,1.76,14.01,-,-38.51%,9.93,38.20,37.24%,-,62.31,-42.41%,-17.93%,-35.37%,1.18,-,3.32,24.26%,54.40%,148.77%,1.36,-,3.32,48.22%,-11.33%,74.73,7.01%,5.29%,1783,0.41,29.97%,-13.34%,1.62,36.92,Yes / Yes,0.41,66.07%,-,1.49,23.49,6.18%,393.67%,41.97%,Feb 25 AMC,7.47M,24.69,23.70%,23.79%,12.62%,"

","11,160,654",5.11%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,46.08,1.14,1.56%,42.74M,-1.87%,2.25B,7.11,7.39,0.15%,42.07M,-2.78%,62.38M,5.33,2.63,109.92%,5.79%,-9.10%,1.38B,1.63,8.56%,-3.22%,6.43,21.53%,41.00,1.28,9.92%,1.83%,2.44M,-20.03%,9.03,5.82,8.65%,3.51%,37.76,70.02,-3.29%,-,10.28,-19.19%,2.38%,-24.95%,1.39,-,1.42,0.74%,73.19%,39.17%,1.72,"May 17, 2019",1.42,37.87%,15.30%,44.27,3.16%,3.02%,4200,0.49,0.58%,4.52%,1.75,73.43,Yes / Yes,0.49,-64.47%,0.00%,0.81,53.41,2.28%,8.79%,3.69%,Feb 24 AMC,378.62K,52.55,-1.96%,-4.29%,1.65%,"

","307,012",-1.61%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,32.54,10.17,0.75%,51.51M,-7.63%,17.01B,19.32,17.13,-1.81%,50.98M,-17.79%,528.00M,2.97,3.61,90.46%,1.27%,-17.28%,4.97B,3.42,12.78%,-0.70%,1.48,-3.53%,69.62,4.76,12.37%,6.91%,0.65M,30.88%,17.54,18.88,10.94%,15.95%,266.75,427.76,-14.28%,-,17.83,0.42%,9.05%,-22.60%,1.65,-,1.03,3.32%,46.24%,24.12%,12.01,-,1.43,78.02%,15.17%,28.57,4.16%,2.90%,9900,0.66,8.07%,10.62%,2.24,392.54,Yes / Yes,0.63,853.30%,0.00%,2.62,318.36,1.29%,1.50%,31.65%,Feb 13 BMO,438.21K,331.08,-12.90%,-15.09%,-6.75%,"

","1,150,056",4.00%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,23.02,4.44,0.14%,199.07M,1.75%,20.34B,11.54,8.85,0.00%,198.76M,-6.21%,903.70M,3.70,1.78,92.75%,3.73%,-7.08%,7.68B,2.65,2.74%,-5.13%,4.33,-7.02%,62.00,1.65,7.72%,4.22%,7.42M,-16.14%,2.64,38.71,6.22%,7.24%,97.69,133.90,-3.27%,0.89 (0.87%),15.70,-4.15%,5.07%,-23.69%,1.04,0.96 (0.94%),0.99,-0.55%,74.17%,4.60%,2.34,"Dec 30, 2024",1.91,-9.29%,19.19%,40.76,2.04%,2.11%,18000,0.50,3.84%,11.77%,2.52,120.00,Yes / Yes,0.43,-40.29%,21.67%,1.04,100.52,0.44%,0.64%,4.28%,Feb 06 BMO,1.72M,102.18,-3.90%,-4.01%,-6.40%,"

","1,777,894",1.65%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.48,33.80%,181.94M,-8.40%,19.38B,35.13,2.29,-0.54%,160.59M,5.31%,-112.00M,-,0.37,66.56%,7.02%,7.91%,2.24B,8.67,25.68%,-3.53%,4.06,51.10%,19.99,4.03,32.24%,-1.79%,11.27M,38.79%,7.74,10.41,31.81%,-2.39%,38.45,89.39,8.82%,-,67.99,20.21%,-2.27%,-9.86%,2.26,-,2.81,-1.65%,76.43%,109.57%,3.06,"Jan 12, 2011",2.81,29.56%,-8.50%,48.98,4.95%,3.13%,6856,0.14,14.96%,-5.01%,2.07,87.71,Yes / Yes,0.02,29.78%,-,0.73,79.97,1.27%,0.30%,16.88%,Feb 11 AMC,2.77M,80.58,-2.33%,1.79%,31.41%,"

","2,013,767",0.76%,Z
