Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.44%,74.85M,-6.38%,1.36B,-,-0.87,2.17%,73.13M,7.31%,1.09B,-,-0.52,102.12%,9.64%,48.92%,-73.68M,11.03,47.33%,0.37%,10.79,58.13%,122.87M,4.04,-2.26%,-15.95%,7.05M,22.27%,4.44,4.82,5.70%,-19.89%,19.98 -10.41%,21.27%,3.72,-,26.71% 15.81%,-21.07%,9.03 98.23%,140.27%,-,-,41.95% 20.90%,89.52%,3.48%,4.27%,-54.24%,-,8.90,35.69%,-67.32%,0.73,-,-,7.69,95.94%,-59.96%,50.11,1.18,- -,7.69,106.06%,-2.56%,1.31,25.70,-,0.06,153.21%,5.77%,1.77,18.05,286,0.05,Nov 06 AMC,29.08%,653.07K,17.90,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","1,158,476",-0.83%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,42.39,1.12,11.53%,167.47M,1.93%,7.97B,29.05,1.64,-1.73%,148.06M,0.63%,8.27B,3.60,0.33,91.33%,3.81%,7.86%,192.30M,4.80,16.51%,-0.52%,5.98,35.43%,1.66B,5.01,9.93%,6.93%,5.65M,27.69%,9.50,30.65,11.79%,11.76%,50.03 -4.80%,28.21%,1.55,27.62,32.18% -7.41%,9.03%,27.74 71.70%,106.19%,0.37 (0.78%),22.63,19.81% -5.41%,41.36%,2.37%,2.54%,193.38%,0.36 (0.76%),4.98,42.07%,16.69%,1.21,403.03%,"Nov 20, 2025",1.83,6.88%,11.59%,55.66,2.44,3.23% 0.62%,2.78,44.39%,2.13%,1.10,49.57,35.98%,0.35,11.07%,2.18%,0.69,48.14,2500,0.34,Oct 28 AMC,21.59%,944.10K,47.63,"Mar 29, 2012",Yes / Yes,8.64% 2.88%,"

","649,383",-1.06%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,20.15,5.93,0.18%,443.18M,-17.03%,52.69B,17.50,6.83,-0.08%,442.39M,-16.68%,57.88B,2.48,1.43,96.96%,1.97%,-18.86%,2.65B,5.61,7.14%,1.08%,2.87,-26.06%,9.40B,9.78,7.72%,17.96%,8.73M,-26.62%,12.23,25.28,8.12%,49.87%,181.85 -34.25%,-31.75%,4.73,23.52,8.55% 11.91%,20.92%,119.07 0.41%,-21.71%,1.99 (1.67%),14.38,5.98% 8.14%,70.29%,3.03%,2.00%,-24.59%,2.00 (1.67%),6.16,11.51%,37.63%,3.97,174.54%,"Oct 31, 2025",2.28,2.68%,28.21%,15.86,1.57,18.93% 21.14%,3.64,8.17%,-15.23%,0.98,179.86,32.86%,1.35,0.50%,-17.49%,2.30,120.49,13800,1.35,Nov 04 BMO,-23.28%,3.04M,119.56,"Feb 01, 2013",Yes / Yes,4.88% -0.41%,"

","6,992,372",-0.77%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.93,1.46,0.00%,593.65M,0.85%,11.22B,11.17,1.69,-,593.65M,-1.05%,10.24B,1.64,0.35,14.53%,3.02%,-8.16%,1.21B,1.75,-0.76%,-8.53%,10.41,-0.32%,6.42B,1.69,13.47%,9.38%,17.93M,-3.32%,11.20,3.03,7.88%,13.98%,23.02 -17.90%,-15.85%,6.24,-,18.24% 8.45%,13.37%,16.34 15.67%,7.75%,0.62 (3.31%),5.56,9.28% 13.97%,27.49%,1.78%,2.05%,-32.71%,0.65 (3.44%),1.60,2.41%,21.97%,0.41,-,"Sep 30, 2025",1.19,14.40%,18.81%,48.66,1.46,- -,1.21,-25.19%,-0.10%,-0.18,22.98,45.76%,0.29,10.45%,-0.04%,0.68,18.89,24471,0.01,Nov 19 AMC,-0.18%,1.72M,18.90,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","1,179,069",0.05%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.21%,158.30M,-1.28%,50.33B,72.34,4.40,-0.57%,99.39M,1.28%,48.55B,-,0.86,55.24%,5.40%,17.88%,-41.48M,18.83,11.40%,-1.29%,3.63,36.36%,2.67B,27.97,20.28%,-0.75%,5.37M,76.22%,11.37,14.09,18.11%,-2.70%,336.99 -5.66%,71.94%,22.57,69.26,54.06% 21.31%,-1.17%,164.78 92.94%,111.40%,-,31732.79,34.81% 44.03%,76.82%,3.14%,2.68%,134.20%,-,18.16,31.04%,-4.48%,9.73,-,-,1.94,23.31%,-1.55%,52.88,1.63,- -,1.94,-14.36%,0.47%,1.05,327.63,-,1.00,21.31%,5.93%,0.84,323.90,7923,0.97,Sep 02 AMC,23.00%,1.48M,317.92,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,242,011",-1.85%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,21.66,3.80,11.18%,267.28M,-2.51%,24.61B,13.87,5.93,-1.43%,265.82M,2.97%,16.87B,5.19,1.44,65.16%,2.05%,14.88%,1.19B,5.18,5.55%,0.36%,1.73,2.45%,4.75B,2.76,1.35%,11.03%,5.44M,0.75%,29.82,3.16,4.17%,13.60%,92.80 -11.40%,8.84%,26.02,13.34,-10.66% 106.45%,13.23%,64.41 27.65%,-0.81%,-,14.34,4.40% 49.60%,76.38%,3.11%,2.65%,-82.16%,-,3.55,36.57%,20.43%,2.27,-,-,4.36,3.63%,24.99%,47.52,2.26,- -,4.36,66.82%,-0.55%,0.81,92.80,0.00%,0.01,4.71%,-0.92%,0.66,83.57,7412,0.00,Nov 24 AMC,4.41%,3.14M,82.22,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,084,057",-1.62%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.04%,109.91M,-9.29%,2.58B,93.36,0.25,-17.87%,109.00M,-31.29%,1.94B,-,-0.06,36.78%,4.41%,-33.78%,-212.37M,6.02,46.03%,-4.04%,6.62,-20.56%,427.80M,3.21,117.67%,-19.74%,4.81M,-11.61%,7.20,3.09,-,-28.39%,44.34 -47.79%,-25.06%,7.48,-,30.02% -3.16%,-26.45%,23.82 -2.81%,-7.47%,-,-,40.31% 98.33%,62.39%,5.05%,4.46%,-71.79%,-,4.52,33.47%,-57.71%,1.34,-,-,2.93,32.38%,-49.64%,25.95,1.27,- -,3.12,54.50%,-15.51%,0.86,52.75,-,0.24,9.81%,-23.85%,3.39,24.80,1869,0.01,Nov 06 BMO,-29.22%,727.28K,23.15,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","2,462,142",-6.65%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,-3.36%,7.15B,13.49,2.07,-,-,-7.74%,10.64B,-,-0.23,4.40%,-,-3.63%,-462.32M,0.57,56.05%,0.03%,0.93,7.06%,12.55B,-,222.69%,-7.04%,0.52M,-1.69%,-13.26,5.02,-,-,33.32 -16.26%,10.06%,5.56,-,5.46% -,-,17.91 55.78%,-,-,-,118.43% 118.66%,18.90%,1.55%,2.16%,-,-,0.85,62.51%,-4.64%,0.73,-,-,0.49,39.14%,-3.68%,41.05,1.00,- -,0.59,82.59%,-3.53%,0.13,35.63,-,-,37.06%,-4.66%,0.31,27.50,17439,-,Nov 17 BMO,3.04%,556.51K,27.90,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","173,885",1.45%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.17,5.59,1.54%,147.64M,-1.33%,7.57B,8.44,6.07,-0.12%,145.36M,-8.65%,-,1.03,1.56,79.22%,4.79%,-1.52%,826.00M,1.53,17.53%,0.31%,3.76,9.58%,4.95B,1.11,4.33%,0.96%,6.96M,-5.53%,46.05,-,8.89%,12.75%,63.22 -18.93%,0.18%,-,9.45,-9.99% 3.54%,9.91%,39.32 30.34%,-0.70%,1.75 (3.42%),-,19.10% 8.98%,-,2.42%,3.64%,58.82%,1.74 (3.40%),-,27.77%,22.37%,1.68,73.85%,"Nov 13, 2025",-,0.12%,16.70%,42.35,2.70,4.85% 5.34%,0.14,7.81%,-1.47%,0.87,61.55,33.52%,0.76,-2.03%,-7.09%,0.90,51.88,9406,0.21,Oct 20 AMC,-1.51%,1.85M,51.25,"Mar 17, 1980",Yes / Yes,1.27% 2.13%,"

","1,667,936",-1.21%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.88,16.63,1.18%,120.46M,-0.48%,1.77B,-,-3.41,0.00%,119.04M,7.56%,5.91B,-,0.84,54.75%,19.85%,-5.42%,2.00B,0.21,-83.48%,4.24%,4.79,2.88%,8.58B,0.45,-215.75%,19.27%,23.62M,-31.72%,32.35,1.00,-,59.06%,29.00 -49.45%,-36.60%,14.72,0.54,-23.79% -,23.31%,11.03 32.85%,-39.11%,1.04 (7.13%),1.59,-7.73% 20.63%,32.33%,5.07%,4.21%,-,6.78 (46.25%),0.69,202.12%,28.74%,0.64,-,"Sep 02, 2025",1.11,43.57%,23.37%,53.75,3.78,16.67% -,1.20,-93.86%,4.23%,1.66,13.38,22.25%,1.52,-15.36%,5.13%,0.85,15.11,6700,1.21,Nov 20 BMO,-8.45%,4.94M,14.66,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","4,204,814",-2.98%,ZIM
