Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,42.53,0.71,16.01%,172.26M,1.42%,5.18B,23.10,1.30,-16.36%,145.05M,-0.46%,124.20M,2.98,0.31,84.31%,2.88%,-5.54%,1.53B,3.38,20.75%,5.97%,4.44,6.99%,9.34,3.21,10.89%,4.22%,4.18M,10.70%,0.91,32.98,14.28%,7.19%,25.09,34.58,2.01%,0.27 (0.90%),18.31,18.47%,5.80%,-13.24%,1.17,0.31 (1.03%),1.95,0.20%,39.86%,19.57%,0.71,"May 17, 2024",3.31,95.74%,15.14%,50.28,2.28%,2.12%,2400,0.33,8.34%,8.11%,2.25,35.14,Yes / Yes,0.33,52.74%,45.61%,1.42,29.18,1.18%,12.06%,0.46%,Apr 23 AMC,942.50K,30.00,0.58%,-3.05%,-0.30%,"

","1,339,204",2.81%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.88%,137.79M,-6.74%,1.33B,17.40,0.52,-9.00%,136.44M,-9.28%,-62.61M,-,0.10,73.66%,5.27%,7.28%,438.33M,3.04,29.29%,-0.36%,4.52,5.52%,0.94,9.56,21.09%,-8.44%,7.18M,-18.20%,3.69,2.43,-,-51.53%,7.05,11.80,-4.36%,-,-,9.40%,-11.66%,-23.81%,1.70,-,2.50,12.97%,67.51%,27.52%,0.31,-,2.50,50.48%,-8.58%,40.25,3.00%,2.92%,1618,2.90,7.97%,-14.28%,1.86,12.00,Yes / Yes,2.85,34.02%,-,0.62,8.75,0.88%,61.76%,6.47%,May 22 AMC,1.59M,8.99,-4.86%,-8.48%,1.47%,"

","994,239",2.74%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,34.26,5.19,0.08%,458.37M,1.22%,81.10B,27.81,6.39,-5.51%,455.91M,-0.61%,2.39B,3.59,1.50,95.75%,1.37%,8.91%,8.73B,9.29,8.41%,0.02%,2.02,-9.29%,11.07,16.06,10.83%,17.02%,6.25M,4.47%,4.33,41.06,9.53%,50.06%,144.80,201.92,-9.95%,1.74 (0.98%),46.34,11.57%,20.26%,-11.98%,0.86,1.61 (0.91%),1.94,8.05%,68.34%,22.75%,3.80,"Jul 18, 2024",3.33,17.17%,35.97%,59.56,1.64%,2.13%,14100,1.34,7.91%,27.38%,1.21,215.19,Yes / Yes,1.33,9.89%,30.71%,0.64,173.49,1.70%,2.54%,9.50%,May 02 BMO,3.10M,177.74,2.81%,3.85%,0.60%,"

","1,989,872",2.45%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.16,1.43,1.10%,606.77M,-2.50%,12.16B,10.28,1.97,0.00%,593.93M,-14.85%,1.19B,0.94,0.43,38.94%,2.77%,-0.88%,5.52B,2.20,14.05%,3.57%,4.50,3.79%,9.92,2.04,18.54%,9.82%,16.46M,-22.90%,4.58,4.42,15.01%,15.03%,15.90,28.04,-4.89%,0.70 (3.46%),-,13.37%,13.12%,-27.82%,-0.12,0.62 (3.06%),1.11,15.78%,31.20%,27.34%,0.61,"Apr 09, 2024",1.15,7.93%,24.81%,36.59,2.50%,2.54%,23554,0.27,3.63%,21.49%,1.31,29.32,Yes / Yes,0.13,-18.31%,0.00%,0.56,20.01,7.20%,-22.68%,4.72%,May 15 AMC,3.66M,20.24,-5.03%,-8.76%,-5.03%,"

","2,050,518",1.15%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.50,39.54%,147.17M,-1.25%,29.61B,58.84,3.33,-0.16%,91.39M,6.53%,-73.50M,-,0.70,47.28%,5.28%,6.51%,2.03B,14.59,68.40%,5.55%,2.26,-13.41%,7.22,27.12,10.47%,-1.99%,4.82M,32.93%,14.82,13.22,26.82%,-8.68%,131.59,259.61,-11.57%,-,53.85,-17.41%,-3.23%,-24.53%,0.84,-,1.67,53.60%,77.75%,48.89%,6.48,-,1.67,73.33%,-6.90%,60.03,3.79%,3.18%,5962,1.13,37.16%,-3.62%,1.52,231.17,Yes / Yes,1.08,139.17%,-,0.68,197.37,3.19%,33.96%,32.09%,May 30 AMC,2.14M,195.92,3.68%,8.75%,0.93%,"

","1,460,833",-0.73%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-3.36,12.49%,70.77M,14.37%,282.62M,-,-3.63,-0.47%,62.14M,-61.91%,-218.90M,-,-0.84,113.60%,15.48%,-72.98%,40.56M,6.97,40.00%,-0.93%,6.96,-75.70%,6.46,0.62,-35.33%,-41.82%,9.62M,-85.44%,6.89,0.58,-,-51.86%,3.27,29.03,-73.73%,-,-,-50.05%,-43.66%,-86.29%,1.70,-,9.19,-20.00%,96.66%,21.71%,0.67,-,9.19,21.74%,-527.00%,27.44,11.62%,14.17%,168,0.10,-,-539.70%,2.27,10.70,Yes / Yes,0.09,113.26%,-,0.91,3.94,170.40%,118.25%,-,May 07 BMO,1.38M,3.98,-27.06%,-56.60%,-69.52%,"

","1,262,953",1.02%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,21.05,2.69,22.24%,260.90M,-3.46%,17.50B,12.26,4.62,-0.42%,240.46M,-10.10%,838.33M,14.03,1.21,59.95%,3.83%,-9.03%,4.56B,3.84,-15.87%,-0.53%,2.83,-17.14%,26.83,2.11,5.30%,8.90%,9.21M,-18.84%,23.88,2.37,1.50%,11.31%,55.63,75.90,-21.29%,-,10.64,-,10.05%,-25.43%,-0.06,-,4.36,95.81%,74.87%,1.74%,1.25,-,4.36,19565.00%,17.35%,37.44,1.88%,2.35%,7420,0.01,3.13%,18.37%,2.57,74.89,Yes / Yes,0.00,1250.20%,0.00%,1.08,56.00,1.35%,13.52%,3.25%,May 20 AMC,3.25M,56.60,-2.83%,-6.90%,-12.37%,"

","3,510,485",1.07%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.50,0.53%,99.12M,3.60%,1.77B,-,-1.63,-14.58%,98.59M,-10.80%,-338.95M,-,-0.71,44.20%,2.86%,15.84%,291.07M,6.08,18.27%,-2.03%,4.82,-32.83%,7.83,2.28,42.51%,-31.41%,2.82M,-35.67%,7.57,2.36,-,-38.44%,13.48,32.60,-34.72%,-,-,-16.93%,-44.04%,-45.28%,1.05,-,4.43,2095.12%,62.86%,32.34%,0.87,-,4.63,18.13%,-129.65%,48.90,4.17%,4.25%,2175,0.08,25.94%,-116.45%,1.17,51.92,Yes / Yes,0.01,-7.51%,-,0.67,17.05,15.83%,40.53%,38.78%,May 08 AMC,585.68K,17.84,-1.63%,-3.43%,-17.46%,"

","391,464",4.63%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.87%,127.44M,-1.56%,483.00M,6.07,0.62,0.00%,116.14M,-69.31%,-126.89M,-,0.00,0.52%,0.07%,-77.09%,1.20B,0.40,128.70%,-,0.53,-77.93%,2.82,1.34,2411.11%,-4.29%,0.08M,-,2.21,1.72,-,-9.63%,3.19,21.91,-76.76%,-,-,-,-27.40%,-82.71%,-,-,1.63,26.18%,16.84%,18.81%,0.65,-,1.82,18.59%,-4.42%,31.00,6.13%,18.28%,3476,0.28,-3.00%,-10.53%,1.00,15.75,No / Yes,0.04,44.09%,-,0.64,3.72,-5.44%,-26.68%,-8.66%,May 21 BMO,158.17K,3.79,-13.84%,-55.22%,-72.80%,"

","100,455",1.74%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,24.32,0.36,30.33%,76.17M,-4.00%,858.04M,-,-0.14,-0.56%,69.19M,-8.67%,37.58M,2.36,-0.08,51.11%,4.48%,-23.81%,584.21M,1.47,-163.75%,-1.82%,5.66,-39.37%,0.13,67.81,52.34%,5.70%,3.10M,-52.71%,5.17,1.67,10.30%,855.40%,8.01,19.29,-37.84%,-,8.74,-,6.67%,-55.21%,1.17,-,6.58,17.01%,89.88%,7.87%,0.34,-,6.58,-27.43%,12.87%,39.93,4.64%,3.35%,1000,43.95,-32.16%,6.43%,2.62,11.70,Yes / Yes,43.55,-244.08%,0.00%,0.78,8.37,1.01%,-15.35%,-33.48%,May 09 AMC,547.84K,8.64,-3.71%,-10.18%,-27.02%,"

","426,221",3.23%,ZIP
