Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.51,4.07%,69.58M,-7.06%,968.80M,-,-1.75,49.69%,66.62M,-5.87%,-113.67M,-,-0.10,96.26%,6.57%,-5.55%,62.20M,15.58,16.11%,-2.38%,10.00,25.68%,5.23,2.67,-21.46%,-21.79%,4.38M,18.82%,4.28,3.26,12.51%,-28.73%,7.97,17.70,-4.71%,-,-,-6.52%,-29.58%,-21.19%,1.12,-,4.10,341.20%,82.55%,75.03%,0.70,-,4.10,-148.23%,-194.58%,45.91,4.46%,4.70%,277,0.06,-86.52%,-182.75%,1.50,20.44,Yes / Yes,0.05,3.54%,-,0.62,14.39,-10.62%,1.71%,-3.07%,Mar 05 AMC,437.99K,13.95,-3.55%,-1.56%,15.22%,"

","272,670",-3.06%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,37.88,0.92,16.30%,170.31M,-1.75%,5.93B,23.23,1.50,-49.66%,150.48M,-10.94%,160.20M,3.90,0.29,90.06%,4.03%,-10.66%,1.57B,3.78,4.92%,-9.67%,6.30,10.42%,9.32,3.74,11.71%,5.98%,6.06M,12.09%,1.16,29.93,9.71%,9.96%,28.25,41.15,-6.57%,0.37 (1.07%),21.81,-7.41%,7.54%,-15.31%,1.17,0.34 (0.98%),1.81,0.56%,41.36%,23.36%,0.79,"Feb 20, 2025",2.91,44.23%,16.48%,27.66,1.73%,2.13%,2500,0.35,2.35%,10.23%,2.25,40.57,Yes / Yes,0.34,166.58%,35.98%,0.81,34.88,1.11%,14.78%,3.90%,Feb 04 AMC,962.19K,34.85,-6.80%,-7.73%,0.58%,"

","775,824",-0.09%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,30.24,5.47,0.11%,448.47M,4.95%,74.02B,24.18,6.84,-0.84%,447.32M,-0.99%,2.49B,3.47,1.41,95.07%,1.92%,-5.84%,9.26B,8.00,3.71%,-0.76%,2.94,-9.62%,10.64,15.54,11.37%,17.43%,8.58M,-12.25%,4.44,37.25,8.71%,50.91%,144.80,200.53,1.46%,1.97 (1.19%),32.21,11.91%,24.46%,-17.57%,0.95,1.80 (1.09%),1.08,8.22%,69.10%,14.16%,4.55,"Apr 21, 2025",1.75,7.70%,36.65%,48.26,2.02%,2.50%,13800,1.42,8.33%,26.86%,1.52,210.47,Yes / Yes,1.13,12.87%,32.86%,1.27,160.46,0.86%,2.77%,4.70%,Feb 13 BMO,2.92M,165.31,-1.65%,-1.43%,-6.72%,"

","3,697,615",3.02%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.87,1.43,0.86%,598.04M,-1.39%,11.85B,11.03,1.80,0.00%,592.88M,7.31%,1.20B,1.24,0.45,25.12%,2.72%,-5.85%,5.83B,2.03,10.64%,-6.79%,5.75,-5.71%,10.74,1.84,10.98%,9.47%,16.12M,4.32%,5.47,3.62,11.17%,14.45%,17.89,27.50,1.33%,0.66 (3.32%),-,13.37%,13.77%,-27.96%,-0.13,0.97 (4.90%),0.94,14.65%,31.29%,10.73%,0.61,"Sep 10, 2024",0.96,-2.64%,24.78%,53.00,2.58%,2.44%,23554,0.30,8.68%,20.51%,1.35,26.53,Yes / Yes,0.01,3.34%,40.76%,0.92,20.78,1.13%,0.45%,17.70%,Nov 19 AMC,2.80M,19.81,2.09%,2.99%,-6.51%,"

","2,568,786",-4.67%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.24,38.06%,153.41M,-7.36%,30.24B,55.78,3.53,-0.12%,95.05M,2.26%,-36.27M,-,0.69,50.08%,5.72%,-3.58%,2.30B,13.15,-6.48%,2.71%,2.96,-1.71%,9.31,21.16,18.42%,-0.87%,5.43M,-7.89%,17.65,11.17,10.31%,-3.24%,153.45,251.55,9.22%,-,46.36,-10.72%,-2.47%,-21.67%,0.88,-,1.09,48.57%,77.81%,28.41%,7.23,-,1.09,79.05%,-4.74%,43.49,4.41%,3.44%,7348,0.87,30.77%,-1.58%,1.82,228.63,Yes / Yes,0.03,65.17%,-,0.72,198.56,3.71%,22.75%,26.42%,Mar 05 AMC,1.83M,197.05,-4.25%,0.28%,4.88%,"

","1,311,104",-0.76%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,27.07,3.00,14.71%,306.50M,-4.70%,24.86B,14.74,5.50,-2.48%,261.45M,1.36%,941.21M,159.25,1.31,61.85%,3.41%,4.31%,4.63B,5.37,-3.25%,6.78%,2.98,34.65%,28.31,2.86,2.65%,9.41%,8.92M,32.19%,25.16,3.22,0.17%,11.70%,55.06,92.80,-0.62%,-,14.41,-,10.80%,-12.61%,0.23,-,4.50,97.66%,74.54%,47.29%,2.51,-,4.50,296.12%,17.93%,39.90,3.27%,3.03%,7420,0.01,2.87%,20.34%,2.32,93.21,Yes / Yes,0.00,44.84%,0.00%,2.08,82.50,0.80%,8.10%,3.59%,Feb 24 AMC,2.99M,81.10,-4.86%,-2.78%,14.23%,"

","6,220,094",-1.70%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.95%,108.94M,13.62%,3.59B,-,-1.66,-1.74%,107.91M,28.51%,-270.85M,-,-0.65,51.40%,7.15%,26.00%,355.75M,10.09,22.46%,-5.56%,11.16,88.29%,6.78,4.86,38.25%,-26.70%,7.71M,65.49%,6.57,5.01,-,-34.98%,13.48,36.60,25.81%,-,-,-16.93%,-40.20%,-9.97%,1.10,-,2.87,136.21%,63.17%,144.44%,1.63,-,3.01,10.91%,-95.07%,73.28,5.06%,4.69%,2175,0.19,35.01%,-76.13%,1.17,48.24,Yes / Yes,0.01,40.53%,-,3.24,33.78,0.02%,94.89%,47.72%,Feb 27 BMO,691.29K,32.95,15.19%,21.75%,41.86%,"

","2,242,885",-2.46%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-4.75,-,247.58M,-10.25%,5.85B,-,-0.61,-,-,-6.67%,-1166.93M,-,-0.31,4.16%,-,12.85%,9.64B,0.61,35.61%,71.70%,2.83,40.24%,-6.12,-,80.70%,-28.75%,1.78M,-,4.78,4.95,-,-,13.00,32.76,-16.74%,-,-,-,-,-27.87%,-,-,0.52,180.45%,15.31%,81.77%,1.57,-,0.64,-4.45%,-11.88%,39.67,6.74%,5.88%,16645,-,39.99%,-12.10%,1.00,36.38,Yes / Yes,-,17.20%,-,0.97,24.47,-8.56%,12.14%,32.16%,Mar 20 BMO,628.53K,23.63,-6.74%,-11.65%,4.92%,"

","611,987",-3.43%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.67,4.95,1.64%,147.87M,-5.18%,7.81B,9.19,5.75,-2.15%,145.33M,-8.91%,732.00M,1.92,1.18,78.44%,2.82%,-10.16%,4.99B,1.56,6.57%,2.54%,3.33,12.28%,40.97,1.29,9.01%,0.89%,4.09M,33.46%,-,-,5.57%,13.19%,38.01,63.22,-2.58%,1.73 (3.27%),10.44,3.53%,10.35%,-16.40%,1.09,1.68 (3.18%),-,10.13%,-,39.04%,1.51,"Feb 13, 2025",0.17,14.10%,20.26%,34.70,2.93%,2.57%,9406,0.78,7.91%,14.66%,2.82,63.88,Yes / Yes,0.16,72.04%,33.54%,1.10,53.42,4.18%,6.00%,4.59%,Jan 21 AMC,1.23M,52.85,-6.44%,-5.95%,4.77%,"

","1,353,740",-1.07%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,1.83,11.93,1.17%,120.39M,8.54%,2.63B,8.83,2.47,0.00%,118.97M,28.08%,1.44B,0.02,3.22,52.56%,14.02%,-15.18%,7.47B,0.35,168.18%,12.84%,2.82,4.20%,32.61,0.67,-83.81%,14.97%,16.67M,82.31%,19.24,1.14,86.64%,44.28%,8.73,29.00,1.77%,5.83 (26.69%),1.24,-,17.37%,-24.66%,1.63,3.93 (17.97%),1.26,36.98%,27.42%,150.17%,1.07,"Dec 02, 2024",1.33,167.33%,23.81%,66.46,5.13%,5.25%,6460,1.49,21.47%,19.26%,4.00,18.34,Yes / Yes,1.11,149.38%,-,1.18,20.91,15.59%,34.46%,117.22%,Mar 12 BMO,5.92M,21.85,14.67%,13.34%,11.28%,"

","7,008,306",4.50%,ZIM
