Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.85,3.31%,75.14M,1.78%,2.03B,46.95,0.57,-1.87%,72.86M,2.64%,1.79B,0.88,-0.47,99.50%,5.41%,61.87%,-63.43M,15.07,40.06%,-1.66%,3.48,115.48%,134.48M,6.36,158.93%,-14.34%,3.94M,83.54%,4.23,8.04,53.07%,-18.46%,28.49 -5.69%,88.17%,3.34,-,26.71% 15.81%,-18.90%,9.03 197.56%,279.52%,-,-,41.95% 20.90%,90.49%,3.65%,4.53%,-47.80%,-,13.33,43.93%,-52.51%,1.17,-,-,6.94,116.21%,-47.16%,61.78,1.00,- -,6.94,34.02%,2.37%,1.30,35.54,-,0.06,72.59%,19.34%,0.21,26.86,286,0.05,Nov 06 AMC,71.47%,1.13M,26.87,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","237,822",0.04%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,42.58,1.12,11.52%,167.47M,1.01%,8.01B,28.97,1.65,-1.75%,148.07M,-0.37%,8.30B,2.34,0.34,93.92%,3.63%,2.27%,192.30M,4.82,17.59%,1.33%,6.52,31.03%,1.66B,5.03,9.70%,6.93%,5.38M,28.26%,9.50,30.78,12.37%,11.76%,50.03 -4.38%,27.64%,1.55,27.74,32.18% -7.41%,9.03%,27.74 72.46%,130.33%,0.37 (0.78%),22.73,19.81% -5.41%,41.36%,1.39%,1.85%,152.69%,0.38 (0.79%),5.00,42.07%,16.69%,0.93,435.29%,"Nov 20, 2025",1.83,6.88%,11.59%,55.33,2.11,3.23% 0.62%,2.78,44.39%,1.12%,1.11,51.25,35.98%,0.35,11.07%,1.86%,0.42,47.95,2500,0.34,Oct 28 AMC,16.76%,824.02K,47.84,"Mar 29, 2012",Yes / Yes,8.64% 2.88%,"

","347,394",-0.23%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,21.27,5.93,0.18%,441.46M,2.83%,55.63B,18.60,6.79,0.00%,439.89M,-1.30%,60.82B,2.43,1.40,96.92%,2.47%,-12.03%,2.65B,5.92,7.07%,-1.70%,2.31,-19.17%,9.40B,10.32,7.09%,17.96%,10.88M,-22.53%,12.23,26.69,7.64%,49.87%,177.40 -28.84%,-23.16%,4.73,24.83,8.55% 11.91%,20.92%,115.25 9.53%,-11.40%,1.99 (1.58%),15.11,5.98% 8.14%,70.29%,1.76%,2.32%,-22.86%,2.00 (1.58%),6.47,11.51%,37.63%,2.93,170.13%,"Jan 20, 2026",2.28,2.68%,28.21%,56.83,1.73,18.93% 21.14%,3.64,8.17%,3.45%,0.97,159.27,32.86%,1.35,0.50%,-1.17%,0.69,125.49,13800,1.35,Nov 04 BMO,-14.70%,4.70M,126.23,"Feb 01, 2013",Yes / Yes,4.88% -0.41%,"

","3,226,774",0.59%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.26,1.49,0.00%,591.63M,-0.61%,12.40B,11.86,1.79,-,582.69M,3.60%,10.67B,1.30,0.44,11.64%,3.18%,10.20%,1.23B,1.88,5.39%,-1.55%,10.95,19.69%,6.59B,1.87,11.53%,9.42%,18.53M,8.85%,11.39,3.49,9.14%,13.83%,22.01 -3.32%,7.47%,6.10,-,18.24% 8.45%,13.37%,16.34 30.23%,-19.53%,0.67 (3.15%),5.94,9.28% 13.97%,26.00%,1.32%,1.59%,-21.44%,0.65 (3.05%),1.62,3.12%,20.42%,0.41,-,"Sep 30, 2025",1.34,12.89%,18.61%,60.61,1.45,- -,1.38,7.47%,0.89%,-0.20,23.48,45.76%,0.19,11.30%,6.85%,0.32,21.27,24471,0.01,Nov 19 AMC,11.56%,1.69M,21.28,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","541,607",0.05%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.26,35.68%,159.47M,-0.25%,36.76B,51.61,4.47,-0.14%,102.58M,-20.44%,35.27B,2.79,0.89,52.46%,6.23%,-21.76%,-41.04M,12.97,16.10%,-1.72%,3.80,-26.89%,2.83B,18.54,17.30%,-0.73%,6.39M,27.78%,12.43,11.07,18.49%,-2.41%,336.99 -31.59%,23.98%,20.83,43.38,54.06% 21.31%,-1.10%,164.78 39.90%,103.03%,-,1809.85,34.81% 44.03%,76.55%,1.79%,2.57%,17.68%,-,12.45,-8.83%,-4.14%,7.17,-,-,1.74,23.24%,-1.45%,30.57,1.51,- -,1.74,7.34%,-2.92%,1.01,327.30,-,0.93,25.50%,-17.74%,0.33,229.60,7923,0.89,Nov 25 AMC,-14.22%,1.68M,230.52,"Mar 16, 2018",Yes / Yes,12.10% 1.92%,"

","552,857",0.40%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,17.11,5.15,10.52%,266.35M,-1.50%,26.07B,14.55,6.05,-2.42%,264.96M,1.97%,18.16B,3.41,1.49,68.74%,2.53%,4.18%,1.59B,5.42,7.73%,4.34%,2.39,12.32%,4.81B,2.82,1.40%,14.44%,6.70M,7.88%,31.27,3.28,4.27%,17.74%,91.43 -3.70%,3.25%,26.87,13.02,-10.66% 106.45%,17.11%,64.41 36.69%,28.41%,-,13.92,4.40% 49.60%,76.89%,1.74%,2.37%,-78.32%,-,3.78,72.42%,22.86%,2.16,-,-,4.36,3.85%,33.17%,54.13,2.26,- -,4.36,204.90%,0.37%,0.88,94.96,0.00%,0.01,4.44%,3.77%,0.42,87.79,7412,0.00,Nov 24 AMC,10.75%,2.80M,88.04,"Apr 18, 2019",Yes / Yes,5.65% 1.25%,"

","1,180,111",0.28%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.95,2.12%,110.59M,6.69%,2.04B,-,-1.50,-10.39%,108.86M,-7.89%,1.44B,-,-0.37,28.54%,4.87%,-42.03%,-206.71M,4.61,39.52%,-0.39%,6.39,-47.24%,441.78M,2.67,4.70%,-19.28%,5.30M,-30.01%,6.87,2.49,-,-28.96%,44.34 -58.66%,-30.93%,7.35,-,30.02% -3.16%,-26.82%,16.82 8.98%,-39.54%,-,-,40.31% 98.33%,61.31%,3.52%,3.21%,-85.37%,-,3.26,30.16%,-51.59%,0.78,-,-,2.68,23.73%,-46.79%,40.37,1.55,- -,2.87,23.67%,-0.79%,0.82,41.67,-,0.29,12.75%,-15.94%,0.60,18.58,1869,0.01,Nov 06 BMO,-40.51%,828.96K,18.33,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","495,023",-1.35%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.64,5.59,1.47%,147.64M,-0.08%,8.79B,9.80,6.07,-0.11%,145.47M,11.80%,-,1.09,1.56,80.76%,4.58%,3.42%,823.00M,1.78,17.95%,1.79%,3.56,15.62%,4.95B,1.29,4.04%,0.96%,6.67M,9.70%,46.05,-,8.96%,12.71%,60.77 -2.07%,9.43%,-,8.56,-9.99% 3.54%,9.59%,39.32 51.35%,29.00%,1.75 (2.95%),-,19.10% 8.98%,-,1.49%,2.06%,44.86%,1.76 (2.96%),-,27.30%,22.37%,1.24,114.37%,"Nov 13, 2025",-,0.12%,16.64%,68.53,2.62,4.85% 5.34%,0.16,7.93%,3.30%,0.85,63.50,33.52%,0.80,-2.03%,10.27%,0.40,59.55,9406,0.25,Jan 20 AMC,14.20%,1.87M,59.51,"Mar 17, 1980",Yes / Yes,1.27% 2.13%,"

","747,637",-0.07%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,2.57,8.32,1.18%,120.46M,10.91%,2.57B,-,-3.23,0.00%,119.04M,9.43%,6.29B,-,-0.99,40.87%,18.28%,53.16%,1.00B,0.34,-83.89%,-11.34%,4.54,29.16%,7.59B,0.64,-212.68%,9.16%,21.76M,-0.56%,33.34,1.32,-,25.25%,23.61 -9.57%,4.30%,16.19,1.06,-23.79% -,11.79%,11.03 93.48%,30.64%,1.18 (5.53%),2.27,-7.73% 20.63%,23.74%,4.12%,4.49%,-,4.28 (20.05%),0.83,-30.30%,19.63%,0.98,-,"Dec 01, 2025",1.22,1.63%,13.21%,68.03,4.00,16.67% -,1.30,-89.07%,6.81%,1.63,15.60,22.25%,1.41,-35.73%,23.72%,0.61,21.07,6700,1.12,Nov 20 BMO,34.36%,4.79M,21.35,"Jan 28, 2021",Yes / Yes,33.09% 2.34%,"

","2,922,529",1.33%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,25.85,0.41,75.38%,254.09M,0.96%,4.28B,21.51,0.49,0.00%,62.55M,-0.66%,5.31B,1.05,-,23.98%,5.53%,15.05%,103.34M,2.06,23.07%,0.97%,5.30,22.46%,2.08B,2.56,11.89%,3.34%,3.46M,26.76%,4.09,15.90,20.42%,10.58%,11.00 -4.82%,23.03%,0.66,23.16,- -,5.45%,6.05 73.06%,1.26%,0.14 (1.35%),11.90,11.29% -,55.55%,2.12%,2.59%,-,0.14 (1.36%),2.55,-5.94%,8.97%,0.28,-,"Jul 07, 2025",0.79,-1.88%,4.97%,52.21,1.82,15.87% -,1.42,-54950.00%,-0.38%,0.75,11.42,42.68%,1.17,-,1.66%,0.36,10.46,7395,0.82,Sep 05 BMO,18.03%,652.46K,10.47,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","236,511",0.10%,ZGN
