Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,50.20,0.64,16.93%,172.26M,0.88%,5.51B,25.28,1.27,-2.36%,142.87M,0.50%,112.70M,3.50,0.26,84.83%,3.70%,9.32%,1.53B,3.60,18.11%,6.00%,4.83,10.07%,9.30,3.44,10.60%,3.77%,5.29M,42.36%,0.79,40.30,14.35%,6.48%,19.29,33.95,8.91%,0.26 (0.82%),23.69,18.47%,5.28%,-5.66%,1.23,0.30 (0.94%),1.77,1.96%,38.51%,66.04%,0.71,"Feb 16, 2024",3.02,36.01%,14.25%,57.04,1.90%,2.04%,2400,0.34,19.40%,7.36%,2.43,34.00,Yes / Yes,0.33,38.11%,45.61%,0.59,31.40,1.78%,13.04%,4.85%,Feb 06 AMC,1.10M,32.03,0.91%,5.84%,13.09%,"

","642,977",2.01%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.49,7.27%,143.12M,13.12%,1.31B,17.58,0.52,-9.40%,132.71M,6.65%,-68.19M,-,0.07,75.49%,3.45%,0.88%,431.66M,3.03,21.72%,-0.38%,3.81,-1.08%,0.88,10.42,29.46%,-9.14%,4.58M,-5.87%,3.59,2.54,-,-59.08%,7.05,12.12,-2.77%,-,-,9.40%,-12.86%,-24.58%,1.89,-,2.65,12.97%,70.92%,29.65%,0.36,-,2.37,47.34%,-14.73%,60.82,4.67%,3.26%,1549,3.02,8.98%,-15.80%,1.57,11.57,Yes / Yes,2.97,39.06%,-,1.16,8.62,-0.10%,140.00%,7.40%,Feb 28 AMC,1.20M,9.14,9.00%,5.23%,-0.65%,"

","1,401,633",6.03%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,35.80,5.07,0.09%,458.37M,-8.48%,83.11B,27.98,6.49,-10.27%,457.47M,-7.46%,2.34B,3.56,1.36,95.49%,0.74%,1.04%,8.54B,9.73,8.90%,0.02%,1.59,-2.86%,10.90,16.65,11.98%,16.05%,3.41M,8.67%,4.46,40.72,10.07%,49.86%,151.03,201.92,-8.04%,1.74 (0.96%),51.27,11.57%,19.95%,-10.11%,0.87,1.56 (0.86%),2.00,8.05%,68.28%,20.18%,4.38,"Apr 18, 2024",3.36,12.77%,35.92%,36.37,2.45%,2.16%,14100,1.36,5.74%,27.43%,1.47,227.20,Yes / Yes,1.35,15.54%,30.71%,1.79,183.53,1.13%,-5.80%,8.48%,Feb 13 BMO,2.15M,181.51,-5.54%,-5.79%,0.46%,"

","3,839,004",-1.10%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.57,1.48,0.56%,609.17M,4.59%,12.01B,11.30,1.78,0.00%,595.25M,12.63%,1.23B,0.82,0.38,42.79%,2.52%,-6.17%,5.37B,2.24,32.18%,3.70%,4.14,-19.30%,9.82,2.04,15.73%,10.77%,15.00M,-20.02%,4.06,4.95,16.50%,16.18%,15.90,30.05,-5.69%,0.47 (2.36%),-,17.08%,13.74%,-33.21%,-0.05,0.00 (0.00%),1.13,18.73%,30.39%,26.27%,0.73,"Apr 05, 2023",1.17,26.78%,24.33%,62.27,4.56%,3.06%,24888,0.30,0.98%,22.98%,1.24,30.93,Yes / Yes,0.13,12.24%,0.00%,0.88,20.44,-8.49%,2.56%,-3.57%,Mar 19 AMC,3.63M,20.07,6.94%,7.90%,-13.38%,"

","3,200,627",-1.81%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.94,40.83%,147.17M,-16.82%,29.85B,61.45,3.28,-0.48%,87.77M,-14.25%,-138.67M,-,0.65,48.66%,5.09%,1.19%,1.90B,15.75,53.88%,5.66%,1.89,27.10%,6.40,31.44,18.90%,-3.98%,4.47M,70.74%,16.58,12.14,37.13%,-18.64%,84.93,259.61,-9.16%,-,59.63,-17.41%,-6.46%,-22.47%,0.84,-,1.90,53.60%,77.40%,136.98%,11.92,-,1.90,58.51%,-9.62%,34.43,5.30%,4.12%,5962,1.29,40.62%,-7.32%,1.59,260.62,Yes / Yes,1.24,51.94%,-,1.42,202.42,3.42%,30.99%,35.45%,Feb 29 AMC,2.36M,201.27,-14.98%,-13.33%,12.60%,"

","3,343,402",-0.57%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-4.56,10.07%,70.77M,-0.40%,1.05B,-,-3.77,-0.47%,63.81M,28.35%,-292.19M,-,-0.77,109.87%,22.45%,27.47%,0.00M,-,18.03%,-0.98%,16.00,-41.28%,6.18,2.40,-2.93%,-52.39%,14.33M,-20.20%,6.81,2.18,-,-67.09%,9.56,31.46,-1.98%,-,-,-50.05%,-60.82%,-52.80%,1.72,-,7.16,-20.00%,-,55.33%,1.03,-,7.16,-0.81%,0.00%,59.38,6.11%,7.54%,168,0.10,-,-,1.40,33.56,Yes / Yes,0.10,7.17%,-,1.63,14.58,-,-5.93%,-,Feb 27 BMO,895.69K,14.85,11.19%,8.45%,-23.95%,"

","1,463,454",1.85%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,32.64,2.05,24.46%,260.90M,-5.23%,20.41B,13.33,5.03,-0.48%,229.97M,5.39%,637.46M,21.76,1.20,59.46%,5.53%,-2.46%,4.53B,4.51,-5.03%,-0.54%,3.15,-9.42%,26.07,2.57,1.63%,7.06%,12.72M,-3.76%,22.89,2.93,1.50%,8.96%,58.87,75.90,-6.79%,-,13.86,-,7.90%,-11.69%,-0.06,-,4.38,95.81%,74.72%,13.86%,1.91,-,4.38,516.13%,11.60%,52.18,2.38%,2.61%,7420,0.01,3.06%,14.08%,2.70,78.59,Yes / Yes,0.01,368.46%,0.00%,0.54,66.42,1.54%,23.91%,2.56%,Feb 26 AMC,4.04M,67.03,2.71%,-0.21%,-0.67%,"

","2,203,702",0.92%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.46,0.41%,98.72M,-8.67%,1.89B,-,-1.43,-5.93%,98.31M,-11.34%,-334.62M,-,-0.51,42.47%,4.77%,-28.51%,266.72M,7.09,8.70%,-2.08%,6.97,-32.06%,8.19,2.34,54.76%,-29.66%,4.69M,-49.84%,8.17,2.35,-,-36.34%,17.68,40.42,-29.89%,-,-,-16.93%,-41.61%,-52.60%,1.13,-,4.41,2095.12%,64.08%,8.34%,1.28,-,4.63,25.17%,-141.19%,41.40,5.49%,5.60%,2175,0.02,24.03%,-125.46%,1.17,52.95,Yes / Yes,0.01,-52.98%,-,0.59,19.80,-8.76%,-90.47%,5.16%,Feb 27 AMC,672.62K,19.16,-3.83%,-15.17%,-26.29%,"

","398,642",-3.23%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.94,9.46%,127.44M,-6.36%,2.42B,-,-,0.00%,115.39M,7.78%,-151.03M,-,-,0.63%,0.02%,-,1.21B,2.00,-,-,0.36,-,-4.20,-,-,-11.59%,0.02M,-,1.79,10.59,-,-27.55%,15.00,21.91,16.37%,-,-,-,-36.87%,-13.39%,-,-,1.49,39.43%,16.54%,26.53%,1.74,-,1.67,38.67%,-5.65%,52.83,8.68%,10.61%,3956,0.27,-4.58%,-12.49%,1.00,20.69,No / Yes,0.05,59.37%,-,1.56,17.78,-,-,-8.20%,Mar 19 BMO,66.72K,18.98,1.73%,7.81%,8.96%,"

","103,817",6.75%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,26.95,0.47,31.10%,76.17M,-1.18%,1.21B,50.97,0.25,-1.30%,66.22M,-11.67%,49.10M,2.62,-0.04,53.01%,4.61%,-4.70%,645.72M,1.87,-100.67%,-1.83%,5.11,-16.75%,0.08,148.48,8138.53%,7.15%,3.05M,-27.51%,5.41,2.32,10.30%,265.50%,10.27,19.29,-9.57%,-,11.81,-,8.77%,-34.84%,1.27,-,6.57,17.01%,89.72%,22.40%,0.52,-,6.57,-9.45%,13.48%,38.03,3.61%,3.63%,1000,66.40,-28.62%,7.60%,2.38,14.17,Yes / Yes,65.87,-67.13%,0.00%,0.79,12.23,6.05%,-32.61%,-35.42%,Feb 22 AMC,597.10K,12.57,-7.00%,-10.17%,-13.56%,"

","473,696",2.78%,ZIP
