Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.85,3.74%,75.14M,0.84%,1.71B,36.78,0.62,-6.25%,72.59M,-8.57%,1.48B,0.69,-0.47,100.69%,5.27%,25.87%,-63.43M,12.74,40.00%,-2.54%,3.30,86.84%,134.48M,5.37,163.55%,-14.34%,3.82M,-13.71%,4.23,6.80,53.59%,-18.46%,28.49 -20.25%,51.97%,3.34,-,26.71% 15.81%,-18.90%,9.03 151.61%,145.09%,-,-,41.95% 20.90%,90.49%,4.72%,4.47%,-36.25%,-,11.01,43.93%,-52.51%,1.06,-,-,6.94,116.21%,-47.16%,43.83,1.00,- -,6.94,34.02%,-2.12%,1.23,35.62,-,0.06,72.59%,-8.87%,0.50,22.02,286,0.05,Nov 06 AMC,30.81%,1.16M,22.72,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","575,191",3.18%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.77,1.15,11.52%,166.98M,14.47%,8.83B,28.99,1.82,-0.68%,148.06M,14.29%,9.07B,2.98,0.36,92.63%,3.24%,9.64%,198.00M,5.21,9.11%,1.73%,5.28,18.47%,1.70B,5.50,9.78%,7.22%,4.79M,13.53%,9.60,29.39,9.72%,12.06%,52.77 0.02%,38.57%,1.80,27.90,45.87% -2.11%,9.25%,27.74 90.27%,138.72%,0.44 (0.84%),24.05,9.78% -2.36%,41.64%,4.31%,2.69%,168.18%,0.38 (0.72%),5.35,25.84%,17.01%,1.40,537.10%,"Feb 20, 2026",2.07,8.26%,11.68%,73.91,2.25,23.86% 3.50%,3.13,13.96%,11.22%,1.05,55.33,33.04%,0.34,9.85%,11.58%,2.03,51.11,2500,0.34,Feb 03 AMC,22.34%,906.70K,52.78,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","1,843,620",3.27%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,21.47,5.93,0.18%,441.46M,2.08%,56.15B,18.66,6.83,0.00%,439.89M,1.39%,61.34B,2.38,1.40,98.13%,3.54%,5.75%,2.65B,5.98,7.10%,0.45%,2.98,-14.04%,9.40B,10.42,7.68%,17.96%,15.56M,1.27%,12.23,26.94,7.83%,49.87%,177.40 -28.17%,-27.47%,4.73,25.07,8.55% 11.91%,20.92%,115.25 10.56%,-24.07%,1.99 (1.57%),15.24,5.98% 8.14%,70.29%,2.51%,2.39%,-18.10%,2.03 (1.59%),6.53,11.51%,37.63%,3.05,195.98%,"Apr 20, 2026",2.28,2.68%,28.21%,57.15,1.78,18.93% 21.14%,3.64,8.17%,2.13%,0.95,155.27,32.86%,1.35,0.50%,2.65%,0.79,126.73,13800,1.35,Feb 12 BMO,-11.24%,5.23M,127.42,"Feb 01, 2013",Yes / Yes,4.88% -0.41%,"

","4,127,682",0.54%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.15,1.49,0.00%,591.63M,9.85%,14.04B,13.20,1.83,-,582.69M,12.94%,12.31B,1.40,0.45,11.55%,2.92%,27.53%,1.23B,2.13,6.00%,-2.12%,8.58,16.21%,6.59B,2.11,11.67%,9.42%,17.00M,15.32%,11.39,3.95,9.43%,13.83%,23.81 1.20%,27.06%,6.10,-,18.24% 8.45%,13.37%,16.34 47.43%,-16.88%,0.68 (2.83%),6.86,9.28% 13.97%,26.00%,2.35%,2.02%,-27.45%,0.65 (2.70%),1.87,3.12%,20.42%,0.51,-,"Sep 30, 2025",1.34,12.90%,18.61%,74.67,1.43,- -,1.38,7.47%,7.98%,-0.20,23.87,45.76%,0.19,11.30%,11.46%,0.85,23.63,24471,0.01,Nov 19 AMC,23.81%,1.98M,24.09,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","1,690,641",1.95%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.26,35.68%,159.47M,-16.34%,26.68B,37.37,4.48,-0.14%,102.57M,-27.61%,25.20B,2.02,0.89,52.93%,6.76%,-48.34%,-41.04M,9.42,16.26%,-1.75%,3.60,-38.59%,2.83B,13.46,17.41%,-0.73%,6.93M,-25.60%,12.43,8.03,18.48%,-2.41%,336.99 -50.35%,-18.37%,20.83,31.49,54.06% 21.31%,-1.10%,164.78 1.55%,27.23%,-,1292.82,34.81% 44.03%,76.55%,6.73%,4.23%,-18.16%,-,8.89,-8.83%,-4.14%,9.19,-,-,1.74,23.24%,-1.45%,18.74,1.43,- -,1.74,7.34%,-18.01%,1.06,317.67,-,0.93,25.50%,-25.10%,2.35,169.39,7923,0.89,Nov 25 AMC,-38.07%,1.92M,167.33,"Mar 16, 2018",Yes / Yes,12.10% 1.92%,"

","4,521,155",-1.22%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,17.91,5.15,10.52%,266.35M,0.11%,27.30B,15.20,6.07,-2.53%,264.95M,6.43%,19.39B,3.35,1.49,69.08%,2.07%,10.33%,1.59B,5.68,7.74%,3.48%,1.71,28.77%,4.81B,2.95,1.64%,14.44%,5.49M,6.85%,31.27,3.43,4.54%,17.74%,97.58 -5.51%,7.22%,26.87,13.64,-10.66% 106.45%,17.11%,64.41 43.15%,18.04%,-,14.87,4.40% 49.60%,76.89%,5.34%,4.03%,-75.86%,-,4.04,72.42%,22.86%,3.66,-,-,4.36,3.85%,33.17%,56.91,2.12,- -,4.36,204.90%,4.90%,0.90,97.69,0.00%,0.01,4.44%,5.50%,1.17,89.08,7412,0.00,Feb 25 AMC,13.18%,3.21M,92.20,"Apr 18, 2019",Yes / Yes,5.65% 1.25%,"

","3,762,255",3.50%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.95,2.12%,110.59M,8.43%,2.02B,-,-1.17,-9.10%,109.69M,-5.41%,1.42B,-,-0.36,29.44%,3.53%,-27.42%,-206.78M,4.56,32.96%,-4.15%,4.40,-47.18%,441.94M,2.62,33.14%,-19.29%,3.87M,2.04%,6.87,2.47,64.46%,-28.97%,44.34 -59.40%,-33.16%,7.29,-,30.02% -3.16%,-26.83%,15.96 12.78%,-57.65%,-,-,40.31% 98.33%,61.32%,4.94%,3.69%,-89.11%,-,3.21,30.14%,-51.59%,0.78,-,-,2.68,23.78%,-46.79%,51.40,1.31,- -,2.87,23.67%,0.68%,0.87,38.35,-,0.29,12.75%,-1.23%,0.74,16.98,1869,0.01,Nov 06 BMO,-37.15%,879.89K,18.00,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","650,009",6.01%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.87,6.01,1.46%,147.65M,8.98%,9.64B,9.92,6.58,-1.54%,145.49M,8.55%,-,2.38,1.41,80.53%,4.40%,25.85%,887.00M,1.95,3.70%,1.94%,3.91,27.52%,4.94B,1.36,5.58%,1.00%,6.40M,11.53%,48.18,-,4.17%,13.39%,64.87 0.65%,13.69%,-,9.39,1.25% 14.72%,10.25%,39.32 66.05%,22.29%,1.82 (2.79%),-,14.19% 10.90%,-,2.77%,2.48%,46.06%,1.76 (2.70%),-,21.59%,23.77%,1.54,187.87%,"Feb 12, 2026",-,-1.00%,17.94%,72.89,2.68,3.66% 5.29%,0.15,30.96%,7.97%,0.79,66.81,29.28%,0.64,-0.08%,10.83%,1.37,64.12,9195,0.21,Jan 20 AMC,20.86%,1.64M,65.29,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","2,251,331",1.82%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,2.49,8.32,1.17%,120.46M,-6.13%,2.49B,-,-2.57,0.00%,119.05M,-7.47%,6.21B,-,-0.32,44.50%,16.39%,36.86%,1.00B,0.33,-82.23%,-8.31%,4.23,29.82%,7.59B,0.62,-181.01%,9.16%,19.52M,-2.59%,33.34,1.28,-,25.25%,24.47 -15.47%,14.51%,16.19,1.03,-23.79% -,11.79%,11.03 87.40%,5.44%,1.24 (6.02%),2.24,-7.73% 20.63%,23.74%,4.51%,4.75%,64.66%,4.28 (20.70%),0.82,-30.30%,19.63%,1.06,-,"Dec 01, 2025",1.22,1.63%,13.21%,43.66,3.83,16.67% -,1.30,-89.07%,-6.65%,1.56,16.68,22.25%,1.41,-35.73%,-2.04%,0.49,20.33,6700,1.12,Nov 20 BMO,22.68%,4.61M,20.68,"Jan 28, 2021",Yes / Yes,33.09% 2.34%,"

","2,259,483",1.72%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,25.65,0.41,75.38%,254.09M,19.56%,4.25B,21.97,0.47,0.00%,62.55M,-0.67%,5.27B,1.06,-,24.29%,5.30%,3.28%,103.34M,2.04,25.55%,0.97%,5.28,33.55%,2.08B,2.54,6.59%,3.34%,3.32M,1.37%,4.09,15.78,20.70%,10.58%,11.07 -6.19%,16.09%,0.66,22.98,- -,5.45%,6.05 71.74%,-11.12%,0.15 (1.42%),11.83,11.29% -,55.55%,4.55%,4.26%,-0.76%,0.14 (1.37%),2.53,-5.94%,8.97%,0.41,-,"Jul 07, 2025",0.79,-1.88%,4.97%,57.68,1.82,15.87% -,1.42,-54950.00%,5.68%,0.70,11.49,42.68%,1.17,-,1.50%,1.12,10.03,7395,0.82,Sep 05 BMO,11.94%,627.89K,10.39,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","703,133",3.59%,ZGN
