Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.85,3.38%,75.14M,-12.96%,1.74B,40.43,0.57,-4.94%,72.77M,-10.21%,1.51B,0.76,-0.47,99.56%,5.41%,36.94%,-63.43M,12.95,40.06%,-1.77%,3.30,73.69%,134.48M,5.48,159.01%,-14.34%,3.94M,-12.00%,4.23,6.91,53.50%,-18.46%,28.49 -18.67%,61.91%,3.35,-,26.71% 15.81%,-18.90%,9.03 156.59%,202.09%,-,-,41.95% 20.90%,90.49%,7.15%,4.56%,-52.69%,-,11.22,43.93%,-52.51%,1.28,-,-,6.94,116.21%,-47.16%,38.16,1.00,- -,6.94,34.02%,-10.30%,1.25,35.62,-,0.06,72.59%,-2.56%,0.82,23.10,286,0.05,Nov 06 AMC,42.71%,1.19M,23.17,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","984,064",0.30%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,40.94,1.12,11.52%,167.47M,-1.81%,7.68B,27.85,1.65,-1.75%,148.07M,0.15%,7.97B,2.31,0.34,93.96%,3.63%,-1.63%,192.30M,4.63,17.55%,1.29%,6.51,21.73%,1.66B,4.84,9.79%,6.93%,5.38M,-1.05%,9.50,29.52,12.08%,11.76%,50.03 -8.06%,26.72%,1.56,26.60,32.18% -7.41%,9.03%,27.74 65.83%,111.88%,0.37 (0.81%),21.83,19.81% -5.41%,41.36%,2.69%,2.00%,134.75%,0.38 (0.83%),4.80,42.07%,16.69%,0.99,401.64%,"Nov 20, 2025",1.83,6.88%,11.59%,40.51,2.20,3.23% 0.62%,2.78,44.39%,-2.35%,1.10,51.00,35.98%,0.35,11.07%,-2.18%,1.14,45.88,2500,0.34,Oct 28 AMC,10.68%,825.55K,46.00,"Mar 29, 2012",Yes / Yes,8.64% 2.88%,"

","943,590",0.26%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,21.43,5.93,0.18%,441.46M,0.99%,56.04B,18.71,6.80,0.00%,439.90M,9.87%,61.23B,2.43,1.40,99.07%,2.47%,-11.31%,2.65B,5.96,7.07%,-1.59%,2.24,-17.93%,9.40B,10.40,7.25%,17.96%,10.88M,1.07%,12.23,26.89,7.71%,49.87%,177.40 -28.31%,-22.22%,4.73,25.02,8.55% 11.91%,20.92%,115.25 10.34%,-14.63%,1.99 (1.57%),15.21,5.98% 8.14%,70.29%,2.78%,2.24%,-22.26%,2.00 (1.57%),6.52,11.51%,37.63%,2.92,165.38%,"Jan 20, 2026",2.28,2.68%,28.21%,55.48,1.73,18.93% 21.14%,3.64,8.17%,2.17%,0.96,159.27,32.86%,1.35,0.50%,2.27%,0.61,126.85,13800,1.35,Nov 04 BMO,-13.11%,4.86M,127.17,"Feb 01, 2013",Yes / Yes,4.88% -0.41%,"

","2,958,561",0.25%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.55,1.49,0.00%,591.63M,1.12%,12.64B,12.02,1.80,-,582.69M,3.88%,10.92B,1.33,0.45,11.64%,3.18%,13.73%,1.23B,1.92,5.59%,-1.39%,11.09,16.10%,6.59B,1.90,11.54%,9.42%,18.53M,3.88%,11.39,3.56,9.01%,13.83%,22.08 -1.74%,13.67%,6.10,-,18.24% 8.45%,13.37%,16.34 32.80%,-22.60%,0.67 (3.09%),6.08,9.28% 13.97%,26.00%,1.92%,1.57%,-20.17%,0.65 (3.00%),1.66,3.12%,20.42%,0.43,-,"Sep 30, 2025",1.34,12.89%,18.61%,60.29,1.45,- -,1.38,7.47%,1.73%,-0.18,23.59,45.76%,0.19,11.30%,6.72%,1.00,21.72,24471,0.01,Nov 19 AMC,13.48%,1.67M,21.70,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","1,674,159",-0.09%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.26,35.67%,159.47M,-1.74%,35.13B,48.52,4.47,-0.14%,102.58M,-10.81%,33.65B,2.62,0.89,52.55%,6.23%,-31.24%,-41.04M,12.40,16.10%,-1.64%,3.83,-25.20%,2.83B,17.43,17.30%,-0.73%,6.39M,-3.64%,12.43,10.58,18.49%,-2.41%,336.99 -35.69%,17.85%,20.49,41.46,54.06% 21.31%,-1.10%,164.78 31.53%,94.22%,-,1726.40,34.81% 44.03%,76.55%,3.41%,2.56%,10.53%,-,11.88,-8.83%,-4.14%,6.94,-,-,1.74,23.24%,-1.45%,31.10,1.51,- -,1.74,7.34%,-5.09%,1.02,323.09,-,0.93,25.50%,-17.94%,0.95,220.32,7923,0.89,Nov 25 AMC,-19.62%,1.67M,216.73,"Mar 16, 2018",Yes / Yes,12.10% 1.92%,"

","1,589,223",-1.63%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,16.55,5.15,10.52%,266.35M,2.23%,25.36B,14.08,6.05,-2.42%,264.96M,-2.80%,17.45B,3.30,1.49,69.84%,2.53%,3.00%,1.59B,5.28,7.73%,4.10%,2.42,16.05%,4.81B,2.72,1.40%,14.44%,6.70M,-1.29%,31.27,3.19,4.27%,17.74%,91.43 -6.83%,5.88%,26.72,12.67,-10.66% 106.45%,17.11%,64.41 32.25%,25.91%,-,13.38,4.40% 49.60%,76.89%,2.87%,2.40%,-76.34%,-,3.63,72.42%,22.86%,2.23,-,-,4.36,3.85%,33.17%,46.32,2.26,- -,4.36,204.90%,-2.49%,0.90,95.58,0.00%,0.01,4.44%,-0.25%,0.70,85.65,7412,0.00,Nov 24 AMC,6.54%,2.77M,85.18,"Apr 18, 2019",Yes / Yes,5.65% 1.25%,"

","1,926,266",-0.55%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.95,2.12%,110.59M,7.04%,2.06B,-,-1.61,-9.17%,108.86M,-0.80%,1.47B,-,-0.34,28.53%,4.87%,-43.27%,-206.71M,4.67,39.31%,0.21%,5.96,-43.32%,441.78M,2.70,-1.87%,-19.28%,5.30M,5.16%,6.87,2.52,-,-28.96%,44.34 -58.16%,-28.13%,7.35,-,30.02% -3.16%,-26.82%,16.82 10.29%,-45.31%,-,-,40.31% 98.33%,61.31%,3.49%,3.39%,-85.71%,-,3.32,30.16%,-51.59%,0.77,-,-,2.68,23.73%,-46.79%,47.79,1.60,- -,2.87,23.67%,3.85%,0.88,41.95,-,0.29,12.75%,-7.52%,0.76,18.50,1869,0.01,Nov 06 BMO,-38.10%,889.63K,18.55,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","678,967",0.27%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.77,5.59,1.45%,147.64M,1.65%,8.98B,9.85,6.11,-0.11%,145.50M,7.36%,-,1.06,1.57,80.78%,4.58%,7.88%,823.00M,1.82,18.19%,1.81%,3.59,7.17%,4.95B,1.31,4.47%,0.96%,6.67M,2.89%,46.05,-,9.27%,12.71%,61.57 -2.18%,8.72%,-,8.74,-9.99% 3.54%,9.59%,39.32 53.18%,19.91%,1.75 (2.91%),-,19.10% 8.98%,-,2.48%,2.18%,40.30%,1.76 (2.92%),-,27.30%,22.37%,1.27,120.62%,"Nov 13, 2025",-,0.12%,16.64%,62.29,2.69,4.85% 5.34%,0.16,7.93%,1.06%,0.84,65.27,33.52%,0.80,-2.03%,8.59%,0.63,60.82,9406,0.25,Jan 20 AMC,14.54%,1.86M,60.23,"Mar 17, 1980",Yes / Yes,1.27% 2.13%,"

","1,169,840",-0.97%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,2.69,8.32,1.18%,120.46M,2.24%,2.70B,-,-3.24,0.00%,119.04M,12.73%,6.41B,-,-0.99,46.06%,18.28%,73.37%,1.00B,0.36,-83.93%,-9.09%,4.51,40.53%,7.59B,0.67,-213.00%,9.16%,21.76M,5.51%,33.34,1.38,-,25.25%,22.80 -1.75%,4.14%,16.19,1.11,-23.79% -,11.79%,11.03 102.99%,35.47%,1.18 (5.27%),2.32,-7.73% 20.63%,23.74%,4.73%,4.33%,-,4.28 (19.11%),0.85,-30.30%,19.63%,0.92,-,"Dec 01, 2025",1.22,1.63%,13.21%,66.50,4.00,16.67% -,1.30,-89.07%,7.64%,1.63,15.60,22.25%,1.41,-35.73%,19.89%,0.68,22.50,6700,1.12,Nov 20 BMO,39.35%,4.82M,22.40,"Jan 28, 2021",Yes / Yes,33.09% 2.34%,"

","3,272,189",-0.44%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,26.76,0.41,75.38%,254.09M,3.93%,4.42B,22.28,0.49,0.00%,62.55M,6.17%,5.45B,1.07,-,23.99%,5.53%,11.64%,103.34M,2.12,24.00%,0.97%,5.60,22.21%,2.08B,2.65,12.19%,3.34%,3.46M,5.76%,4.09,16.42,20.90%,10.58%,11.00 -1.45%,36.87%,0.66,23.91,- -,5.45%,6.05 79.17%,4.94%,0.14 (1.31%),12.21,11.29% -,55.55%,3.74%,2.72%,-,0.14 (1.31%),2.62,-5.94%,8.97%,0.30,-,"Jul 07, 2025",0.79,-1.88%,4.97%,59.84,1.82,15.87% -,1.42,-54950.00%,3.40%,0.75,11.39,42.68%,1.17,-,4.99%,1.29,10.81,7395,0.82,Sep 05 BMO,20.23%,617.65K,10.84,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","794,131",0.28%,ZGN
