Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.85,3.31%,75.14M,28.76%,1.80B,80.13,0.30,0.00%,72.91M,34.80%,1.56B,-,-0.50,99.43%,10.33%,57.75%,-63.43M,13.36,38.44%,-2.12%,7.75,107.49%,134.48M,5.63,129.81%,-14.34%,7.53M,62.70%,4.23,7.13,59.59%,-18.46%,26.19 -9.05%,59.76%,3.34,-,26.71% 15.81%,-18.90%,9.03 163.79%,180.57%,-,-,41.95% 20.90%,90.49%,8.38%,5.81%,-42.70%,-,11.62,43.93%,-52.51%,1.46,-,-,6.94,116.21%,-47.16%,69.59,1.17,- -,6.94,34.02%,22.16%,1.22,33.82,-,0.06,72.59%,32.15%,1.58,22.60,286,0.05,Nov 06 AMC,68.28%,971.99K,23.82,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","1,533,729",5.40%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,40.41,1.12,11.88%,167.47M,-2.11%,7.60B,27.55,1.65,-1.70%,147.47M,-2.26%,7.89B,3.32,0.34,93.75%,3.87%,-1.65%,192.30M,4.58,17.49%,-1.85%,6.26,27.06%,1.66B,4.78,9.60%,6.93%,5.71M,21.74%,9.50,29.22,12.16%,11.76%,50.03 -9.23%,15.90%,1.55,26.33,32.18% -7.41%,9.03%,27.74 63.70%,83.92%,0.37 (0.82%),21.62,19.81% -5.41%,41.36%,2.54%,2.61%,141.34%,0.38 (0.84%),4.76,42.07%,16.69%,1.18,349.78%,"Nov 20, 2025",1.83,6.88%,11.59%,42.24,2.25,3.23% 0.62%,2.78,44.39%,-2.81%,1.11,50.29,35.98%,0.35,11.07%,-2.80%,0.62,45.45,2500,0.34,Oct 28 AMC,14.84%,912.92K,45.41,"Mar 29, 2012",Yes / Yes,8.64% 2.88%,"

","566,166",-0.09%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.53,5.93,0.20%,441.46M,-4.35%,51.07B,16.99,6.82,-0.07%,439.81M,-21.22%,56.26B,2.47,1.41,96.62%,2.52%,-26.01%,2.65B,5.43,7.09%,0.63%,3.29,-28.45%,9.40B,9.48,7.60%,17.96%,11.07M,-28.87%,12.23,24.51,7.90%,49.87%,181.85 -36.27%,-34.31%,4.73,22.80,8.55% 11.91%,20.92%,115.25 0.56%,-22.65%,1.99 (1.72%),13.98,5.98% 8.14%,70.29%,2.19%,2.19%,-30.09%,2.00 (1.73%),5.99,11.51%,37.63%,3.23,160.25%,"Oct 31, 2025",2.28,2.68%,28.21%,17.18,1.67,18.93% 21.14%,3.64,8.17%,-9.92%,1.01,171.31,32.86%,1.35,0.50%,-16.19%,1.17,117.08,13800,1.35,Nov 04 BMO,-24.37%,3.37M,115.89,"Feb 01, 2013",Yes / Yes,4.88% -0.41%,"

","3,926,258",-1.02%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.67,1.50,0.00%,593.65M,-0.32%,11.25B,11.06,1.71,-,593.65M,-0.16%,9.51B,1.63,0.42,11.43%,3.13%,-0.79%,1.23B,1.71,0.98%,-3.05%,11.56,12.06%,6.59B,1.69,12.39%,9.42%,18.55M,-3.07%,11.20,3.16,7.75%,13.83%,22.01 -13.90%,-8.89%,5.99,-,18.24% 8.45%,13.39%,16.34 15.97%,-13.60%,0.65 (3.44%),5.29,9.28% 13.97%,26.00%,2.35%,1.93%,-40.26%,0.65 (3.43%),1.44,3.12%,20.42%,0.42,-,"Sep 30, 2025",1.34,12.89%,18.61%,49.38,1.48,- -,1.38,8.57%,-0.11%,-0.19,23.24,45.76%,0.19,11.30%,-0.23%,1.15,18.97,24471,0.01,Nov 19 AMC,0.02%,1.60M,18.95,"Oct 27, 2016",Yes / Yes,23.59% 0.48%,"

","1,850,254",-0.11%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,36.08%,158.30M,-9.36%,44.28B,63.62,4.40,-0.53%,101.19M,-9.15%,42.51B,-,0.86,52.86%,5.86%,2.65%,-41.48M,16.57,11.39%,4.58%,4.02,10.64%,2.67B,24.61,20.34%,-0.75%,5.93M,55.05%,11.37,12.40,18.08%,-2.70%,336.99 -16.99%,37.90%,22.57,60.94,54.06% 21.31%,-1.17%,164.78 69.76%,89.96%,-,27781.48,34.81% 44.03%,76.82%,4.43%,3.22%,112.05%,-,15.90,31.04%,-4.48%,10.96,-,-,1.94,23.31%,-1.55%,31.28,1.60,- -,1.94,-14.36%,-11.53%,1.08,333.19,-,1.00,21.31%,-8.57%,0.98,291.81,7923,0.97,Nov 25 AMC,6.04%,1.48M,279.73,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,452,247",-4.14%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,20.66,3.80,11.26%,267.28M,-6.69%,23.47B,13.21,5.93,-1.85%,265.60M,-4.38%,15.74B,4.95,1.44,67.89%,2.54%,-4.91%,1.19B,4.94,5.42%,2.14%,2.18,-4.45%,4.75B,2.63,1.61%,11.03%,6.75M,-3.91%,29.82,3.01,4.17%,13.60%,92.80 -15.50%,-0.65%,26.02,12.72,-10.66% 106.45%,13.23%,64.41 21.75%,-10.32%,-,13.37,4.40% 49.60%,76.38%,2.99%,2.56%,-80.57%,-,3.31,36.57%,20.43%,2.22,-,-,4.36,3.63%,24.99%,35.93,2.29,- -,4.36,66.82%,-6.07%,0.81,93.36,0.00%,0.01,4.71%,-5.30%,0.94,80.71,7412,0.00,Nov 24 AMC,-0.25%,3.10M,78.42,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,915,543",-2.84%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.95,2.12%,110.59M,-6.99%,2.24B,-,-1.35,-10.78%,108.66M,-30.53%,1.65B,-,-0.29,30.69%,4.62%,-42.32%,-206.71M,5.08,42.51%,-1.43%,6.51,-37.82%,441.78M,2.94,9.82%,-19.28%,5.02M,-22.83%,6.87,2.75,-,-28.96%,44.34 -54.42%,-19.71%,7.36,-,30.02% -3.16%,-26.82%,20.13 0.40%,-47.79%,-,-,40.31% 98.33%,61.31%,3.12%,3.87%,-80.47%,-,3.73,30.16%,-51.59%,1.05,-,-,2.68,23.73%,-46.79%,19.47,1.55,- -,2.87,23.67%,-13.80%,0.91,44.73,-,0.29,12.75%,-28.78%,1.55,20.50,1869,0.01,Nov 06 BMO,-37.68%,771.57K,20.21,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","1,196,016",-1.41%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.58,-,253.10M,-2.07%,6.83B,13.01,2.07,-,-,-9.80%,9.94B,-,0.32,7.35%,-,-12.18%,-403.43M,0.47,56.14%,3.77%,0.85,-8.27%,14.40B,-,222.69%,-6.36%,0.43M,-4.97%,-13.78,5.55,-,-,33.32 -19.05%,27.10%,4.86,-,5.46% -,-,17.91 50.59%,-,-,-,118.43% 118.66%,19.49%,1.00%,1.66%,-,-,0.69,66.74%,-3.25%,0.54,-,-,0.45,49.32%,-2.80%,36.41,1.00,- -,0.57,36.90%,-3.66%,0.21,35.56,-,-,72.17%,-6.78%,1.34,27.20,17439,-,Nov 17 BMO,-0.75%,499.95K,26.97,"May 10, 2024",Yes / Yes,-88.48% -5.81%,"

","670,839",-0.85%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.02,5.59,1.56%,147.64M,-0.92%,7.45B,8.31,6.07,-0.12%,145.34M,-2.42%,-,1.01,1.56,80.71%,3.75%,-9.70%,823.00M,1.51,17.62%,0.40%,2.92,7.41%,4.95B,1.10,4.25%,0.96%,5.45M,-7.02%,46.05,-,8.89%,12.71%,63.22 -20.22%,-14.78%,-,7.25,-9.99% 3.54%,9.59%,39.32 28.28%,-5.05%,1.75 (3.48%),-,19.10% 8.98%,-,3.13%,2.70%,34.58%,1.76 (3.49%),-,27.30%,22.37%,1.60,69.43%,"Nov 13, 2025",-,0.12%,16.64%,42.85,2.67,4.85% 5.34%,0.16,7.93%,-2.17%,0.87,61.77,33.52%,0.80,-2.03%,-6.37%,0.90,50.43,9406,0.25,Oct 20 AMC,-2.45%,1.86M,50.44,"Mar 17, 1980",Yes / Yes,1.27% 2.13%,"

","1,684,719",0.02%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,1.01,16.63,1.18%,120.46M,4.62%,2.02B,-,-3.18,0.00%,119.04M,20.16%,6.16B,-,-0.39,40.78%,19.86%,16.56%,2.00B,0.24,-83.75%,2.80%,5.04,-8.42%,8.58B,0.52,-209.85%,19.27%,23.65M,-21.98%,32.35,1.14,-,59.06%,29.00 -42.24%,-34.56%,14.72,0.62,-23.79% -,23.31%,11.03 51.79%,-33.96%,1.04 (6.21%),1.66,-7.73% 20.63%,32.33%,6.22%,4.50%,-,6.78 (40.48%),0.72,202.12%,28.74%,0.78,-,"Sep 02, 2025",1.11,43.57%,23.37%,67.73,3.62,16.67% -,1.20,-93.86%,8.70%,1.61,13.64,22.25%,1.52,-15.36%,15.85%,1.63,16.75,6700,1.21,Nov 20 BMO,5.07%,4.69M,16.75,"Jan 28, 2021",Yes / No,33.09% 2.34%,"

","7,648,908",0.00%,ZIM
