Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.79,0.71,16.39%,172.26M,3.26%,5.58B,24.87,1.30,-9.55%,144.40M,0.97%,124.20M,3.21,0.31,84.28%,3.54%,1.35%,1.53B,3.64,20.75%,5.97%,5.50,12.74%,9.34,3.46,10.89%,4.22%,5.11M,50.37%,0.91,35.51,14.28%,7.19%,20.70,34.58,9.83%,0.27 (0.84%),19.71,18.47%,5.80%,-6.59%,1.22,0.30 (0.93%),1.95,0.20%,39.86%,56.04%,0.78,"May 17, 2024",3.31,95.74%,15.14%,54.71,1.90%,2.53%,2400,0.33,8.34%,8.11%,2.25,35.29,Yes / Yes,0.33,52.74%,45.61%,0.65,32.12,1.18%,12.10%,0.46%,Apr 23 AMC,928.94K,32.30,1.43%,1.09%,8.72%,"

","601,959",0.56%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.49,7.69%,137.79M,6.59%,1.53B,20.41,0.52,-9.19%,134.80M,24.38%,-68.19M,-,0.07,73.94%,4.28%,22.64%,431.66M,3.56,23.03%,-0.37%,3.28,35.61%,0.92,11.48,26.85%,-9.14%,5.77M,39.21%,3.52,2.99,-,-59.08%,7.05,12.12,11.81%,-,-,9.40%,-12.86%,-13.28%,1.73,-,2.37,12.97%,66.48%,49.08%,0.37,-,2.37,47.34%,-13.09%,69.90,3.14%,4.22%,1618,3.02,8.98%,-15.80%,1.67,11.50,Yes / Yes,2.97,39.06%,-,0.57,10.39,-0.10%,140.00%,7.40%,Feb 28 AMC,1.76M,10.51,11.60%,16.49%,18.61%,"

","998,359",1.15%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.47,5.19,0.08%,458.37M,5.78%,76.86B,26.33,6.40,-9.57%,455.94M,1.67%,2.39B,3.41,1.50,96.00%,0.70%,-14.12%,8.73B,8.80,8.57%,0.02%,0.86,3.83%,11.07,15.22,10.76%,17.02%,3.18M,-9.55%,4.33,38.92,9.53%,50.06%,144.80,201.92,-14.65%,1.73 (1.03%),43.92,11.57%,20.26%,-16.58%,0.88,1.61 (0.96%),1.94,8.05%,68.34%,16.33%,4.98,"Apr 18, 2024",3.33,17.17%,35.97%,60.07,3.01%,2.95%,14100,1.34,7.91%,27.38%,1.42,215.99,Yes / Yes,1.33,9.89%,30.71%,0.90,165.95,1.70%,2.54%,9.50%,May 02 BMO,3.70M,168.45,7.54%,-0.22%,-6.23%,"

","3,329,461",1.51%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.86,1.48,0.61%,606.77M,-2.10%,12.30B,10.48,1.96,0.00%,594.97M,-0.92%,1.23B,0.94,0.34,42.84%,3.04%,15.32%,5.46B,2.25,14.54%,3.55%,3.95,-16.36%,13.90,1.48,16.39%,10.37%,18.09M,-26.00%,4.82,4.26,14.70%,15.22%,15.90,30.05,-3.43%,0.71 (3.45%),-,13.37%,13.00%,-31.61%,-0.10,0.62 (3.02%),1.30,15.78%,30.85%,29.29%,0.59,"Apr 09, 2024",1.34,23.33%,24.56%,47.39,2.32%,2.04%,23554,0.26,3.77%,22.58%,1.19,28.57,Yes / Yes,0.13,0.92%,0.00%,0.99,21.40,-2.59%,-0.99%,6.62%,May 15 AMC,4.58M,20.55,0.09%,-0.78%,-6.59%,"

","4,561,114",-3.97%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.94,40.47%,147.17M,2.28%,26.51B,53.86,3.28,-0.40%,89.21M,-3.71%,-138.67M,-,0.65,46.18%,6.18%,-24.64%,1.90B,13.99,54.55%,5.60%,2.38,7.62%,6.40,27.63,18.72%,-3.98%,5.51M,97.73%,16.41,10.78,38.21%,-18.64%,103.62,259.61,-20.16%,-,52.94,-17.41%,-6.46%,-31.86%,0.86,-,1.90,53.60%,77.40%,70.71%,5.50,-,1.90,58.51%,-9.70%,43.48,3.08%,2.80%,5962,1.29,40.62%,-7.32%,1.48,260.85,Yes / Yes,1.24,51.94%,-,0.58,178.14,3.42%,30.99%,35.45%,Feb 29 AMC,2.32M,176.89,0.05%,-7.98%,-5.63%,"

","1,351,519",-0.70%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-4.56,10.10%,70.77M,11.30%,874.13M,-,-3.70,-0.10%,63.84M,-15.80%,-292.19M,-,-0.93,109.78%,26.06%,6.40%,0.00M,-,19.91%,-0.98%,20.39,-31.15%,6.18,1.99,-3.44%,-52.39%,16.64M,-44.77%,6.80,1.81,-,-67.09%,9.56,31.46,-18.75%,-,-,-50.05%,-60.82%,-60.87%,1.83,-,7.16,-20.00%,-,28.77%,0.96,-,7.16,-0.81%,0.00%,47.45,9.08%,7.12%,168,0.10,-,-,1.40,33.56,Yes / Yes,0.10,7.17%,-,0.64,11.72,170.40%,118.25%,-,May 07 BMO,816.12K,12.31,-1.27%,-10.62%,-26.34%,"

","518,362",5.03%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,30.25,2.05,23.80%,260.90M,1.70%,19.29B,12.35,5.03,-0.35%,236.53M,-1.38%,637.46M,20.17,1.19,56.25%,5.40%,-2.30%,4.53B,4.26,-5.51%,-0.54%,3.65,-1.35%,26.07,2.38,2.23%,7.06%,12.78M,-1.99%,22.45,2.77,1.50%,8.96%,58.87,75.90,-13.59%,-,13.11,-,7.90%,-18.13%,-0.01,-,4.38,95.81%,74.72%,5.55%,1.46,-,4.38,516.13%,11.60%,48.97,2.19%,2.14%,7420,0.01,3.06%,14.08%,2.63,78.03,Yes / Yes,0.01,368.46%,0.00%,0.63,61.82,1.54%,23.91%,2.56%,May 20 AMC,3.50M,62.14,1.32%,-3.67%,-6.61%,"

","2,196,797",0.52%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.46,0.54%,98.72M,5.57%,1.65B,-,-1.39,-9.35%,98.19M,7.68%,-334.62M,-,-0.51,42.23%,4.15%,-22.81%,266.72M,6.17,7.60%,-2.02%,6.48,-35.15%,8.19,2.04,56.67%,-29.66%,4.08M,-55.70%,8.17,2.04,-,-36.34%,13.48,39.50,-38.97%,-,-,-16.93%,-41.61%,-57.77%,1.14,-,4.41,2095.12%,64.08%,23.74%,0.82,-,4.63,25.17%,-141.19%,55.71,4.76%,4.53%,2175,0.02,24.03%,-125.46%,1.15,51.69,Yes / Yes,0.01,-52.98%,-,0.61,16.91,-8.76%,-90.47%,5.16%,May 08 AMC,629.04K,16.68,8.89%,-2.36%,-28.35%,"

","382,810",-1.36%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.85,8.87%,127.44M,12.61%,1.65B,14.20,0.91,0.00%,116.14M,-20.99%,-136.80M,-,-0.06,0.63%,0.04%,-26.46%,1.23B,1.34,263.00%,-,0.80,-,2.82,4.59,539.46%,-4.29%,0.04M,-,2.35,5.51,-,-9.63%,11.25,21.91,-20.60%,-,-,-,-28.89%,-40.91%,-,-,1.56,26.18%,16.66%,15.11%,1.19,-,1.73,26.52%,-4.62%,43.34,6.84%,9.04%,3476,0.26,-0.20%,-11.13%,1.00,21.38,No / Yes,0.05,63.33%,-,0.38,12.73,-,-,6.47%,May 21 BMO,52.97K,12.95,-2.51%,-19.98%,-22.16%,"

","20,153",1.73%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,23.17,0.47,30.23%,76.17M,5.16%,1.07B,68.43,0.16,-0.98%,69.28M,-5.26%,49.10M,2.25,-0.06,49.67%,4.77%,-24.03%,645.72M,1.66,-117.29%,-1.82%,6.02,-8.00%,0.08,127.69,298.57%,7.15%,3.31M,-37.04%,5.24,2.06,10.30%,265.50%,10.04,19.29,-22.23%,-,10.50,-,8.77%,-43.96%,1.25,-,6.57,17.01%,89.72%,7.67%,0.36,-,6.57,-9.45%,13.48%,49.59,4.16%,3.00%,1000,66.40,-28.62%,7.60%,2.38,14.20,Yes / Yes,65.87,-67.13%,0.00%,0.96,10.55,6.05%,-32.61%,-35.42%,May 09 AMC,549.32K,10.81,1.82%,-5.13%,-18.88%,"

","526,435",2.46%,ZIP
