Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5551.68B,5491.17B,192.88B,302.97B,9.48,4.12,0.75 (0.32%),0.28 (0.12%),"Sep 10, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",29.12,14.68,0.23,18.32,24.29,55.87,43.71,27.28,18.12,3.85,4.59,0.17,0.16,Yes / Yes,7.91,15.69,2.47,93.96%,69.56%,64.31%,204.08% 95.27%,100.05% 66.90%,124.42%,83.38%,128.21%,105.85%,Aug 26 AMC,6.22% 4.28%,3.80%,-0.51%,72.32%,0.52%,83.68%,117.21%,72.42%,74.67%,65.21%,63.66%,4.67%,9.40%,17.12%,"

",24.15B,23.18B,1.23%,2.08,285.96M,236.54 -2.61%,164.07 40.40%,2.78%,2.61%,7.38,60.39,2.22,0.99,137.40M,"135,352,420",5.89%,5.19%,12.32%,29.55%,23.52%,34.20%,374.88%,908.45%,14635.97%,1.19,334.98,228.45,230.36,0.84%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4669.71B,4691.65B,128.93B,466.82B,7.36,4.28,1.08 (0.34%),1.06 (0.33%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",36.68,33.43,2.64,10.00,43.47,74.84,34.16,27.93,10.05,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.57,1.98,18.35%,8.41%,12.64%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.25%,68.91%,0.24%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,2.18%,1.53%,12.72%,"

",14.61B,14.58B,0.80%,2.14,116.33M,344.57 -7.14%,225.95 41.61%,2.75%,2.06%,7.64,53.89,1.07,0.73,54.40M,"39,606,884",0.08%,2.42%,4.11%,24.28%,17.70%,33.44%,68.89%,107.37%,1088.04%,2.16,332.70,328.21,319.97,-2.51%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4139.37B,4032.26B,244.12B,446.31B,50.90,19.83,0.80 (0.24%),0.86 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.00,22.44,1.23,9.27,6.65,17.07,77.70,22.74,9.03,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.08,3.02,90.28%,-26.67%,18.24%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.18%,-0.01%,39.84%,2.46%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-1.50%,-2.90%,0.75%,"

",5.87B,5.85B,1.24%,2.38,72.71M,408.61 -17.17%,226.11 49.69%,1.78%,1.79%,8.12,44.82,1.21,0.76,30.54M,"23,189,321",-2.35%,-5.39%,-8.16%,13.38%,8.13%,45.70%,149.49%,135.47%,749.47%,1.27,426.68,342.48,338.46,-1.17%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4100.84B,3993.74B,244.12B,446.31B,50.90,19.83,0.80 (0.24%),0.86 (0.26%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",16.85,22.25,1.22,9.19,6.59,16.91,76.98,22.52,8.95,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.07,3.02,90.27%,-26.72%,18.16%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.00%,-0.01%,28.69%,2.43%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-1.62%,-3.24%,0.16%,"

",5.53B,5.14B,0.83%,2.09,42.89M,404.47 -17.10%,226.76 47.87%,1.79%,1.73%,7.83,43.97,1.20,0.62,20.56M,"12,700,476",-2.21%,-5.98%,-8.33%,12.41%,6.85%,44.12%,145.11%,131.61%,769.29%,1.27,426.34,339.08,335.31,-1.11%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3710.55B,3762.52B,133.75B,331.84B,59.56,10.35,3.90 (0.78%),3.64 (0.73%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",27.85,21.28,1.16,11.18,8.39,48.29,55.39,18.94,11.34,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.48,4.71,14.14%,19.04%,18.29%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.58%,-0.12%,76.66%,0.30%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,0.81%,12.50%,15.93%,"

",7.43B,7.31B,0.94%,1.86,68.54M,553.72 -9.76%,349.20 43.10%,1.92%,1.90%,11.84,59.36,1.10,0.49,36.89M,"18,101,758",-2.69%,-0.03%,19.93%,22.19%,3.32%,-1.63%,52.04%,65.94%,766.48%,1.25,567.45,510.12,499.70,-2.04%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2788.37B,2907.09B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",20.79,24.34,0.99,3.59,5.05,22.62,-,16.75,3.75,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.62,1.96,77.32%,-16.46%,24.57%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.06%,-0.15%,69.42%,1.10%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,-1.41%,1.80%,8.11%,"

",10.78B,9.81B,0.97%,1.98,95.30M,287.20 -9.99%,196.00 31.89%,1.83%,2.05%,6.69,49.55,1.45,0.64,48.02M,"30,749,912",-2.97%,-5.05%,5.07%,21.25%,12.00%,9.69%,87.16%,48.65%,569.33%,1.21,330.76,258.90,258.51,-0.15%,AMZN
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,2007.84B,1947.33B,-,-,9.66,7.38,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,15.32,20.03,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.14,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,85.53%,-0.00%,10.38%,-0.01%,-,-,-,-,-,-,4.97%,8.80%,4.55%,"

",7.61B,1.96B,9.39%,1.63,184.39M,225.64 -34.43%,104.83 41.13%,3.97%,5.62%,7.65,58.47,-,0.43,112.98M,"49,122,393",4.56%,28.74%,-,-,-1.37%,-,-,-,-,1.68,225.87,149.74,147.95,-1.20%,SPCX
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2224.53B,2148.95B,71.86B,142.82B,38.93,21.29,4.14 (0.96%),3.50 (0.81%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",30.96,19.61,0.51,15.58,11.02,20.14,55.75,21.08,15.05,2.25,2.46,0.17,0.14,Yes / Yes,13.86,21.87,4.38,59.51%,30.66%,38.13%,17.37% 25.67%,17.20% 21.86%,57.78%,34.60%,73.31%,32.92%,Jul 16 BMO,10.78% -1.20%,0.08%,-3.87%,15.07%,-0.70%,26.90%,40.06%,31.23%,63.08%,55.84%,50.31%,2.14%,2.02%,15.04%,"

",5.19B,5.18B,0.58%,2.31,30.16M,479.00 -10.46%,230.30 86.24%,1.98%,2.05%,11.52,56.77,1.39,0.94,13.07M,"12,283,959",2.73%,2.56%,3.31%,26.56%,41.14%,82.35%,360.25%,245.98%,1371.89%,1.32,543.66,417.01,428.91,2.85%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1702.71B,1738.16B,38.27B,89.10B,18.43,5.04,2.61 (0.73%),2.54 (0.71%),"Sep 21, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",45.68,18.56,0.29,19.11,19.42,71.02,43.21,33.40,19.51,2.29,2.50,0.60,0.57,Yes / Yes,7.84,19.28,3.80,70.28%,66.04%,63.79%,21.56% 49.76%,24.38% 21.74%,99.97%,48.69%,214.63%,85.50%,Sep 02 AMC,3.25% 1.20%,1.96%,-1.92%,80.80%,0.39%,21.63%,44.25%,24.39%,66.54%,48.57%,42.94%,-5.40%,-6.72%,-3.23%,"

",4.76B,4.66B,1.21%,2.18,56.21M,495.00 -27.70%,289.96 23.43%,2.59%,2.85%,13.03,38.04,1.47,1.28,25.74M,"32,863,265",-2.95%,-14.90%,-7.22%,8.30%,3.41%,16.92%,310.19%,619.13%,1967.44%,1.27,538.47,357.16,357.89,0.21%,AVGO
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1571.23B,1592.58B,68.10B,228.25B,102.52,35.71,1.91 (0.31%),2.10 (0.34%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",23.23,18.21,0.98,6.88,6.02,17.27,38.35,14.52,6.98,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.87,6.75,33.67%,7.86%,18.57%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.64%,-0.02%,69.09%,0.08%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,6.91%,3.57%,-0.89%,"

",2.21B,2.20B,1.27%,1.55,28.05M,790.80 -22.01%,520.26 18.55%,3.09%,3.09%,20.09,62.40,1.22,0.88,18.13M,"15,966,213",6.70%,4.56%,4.01%,-4.36%,-6.56%,-17.62%,108.10%,63.92%,387.53%,1.29,745.38,610.68,616.77,1.00%,META
