Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.00,0.98,11.57%,168.52M,-3.59%,5.92B,23.95,1.47,-57.94%,148.79M,-4.53%,169.50M,4.63,0.36,91.77%,3.56%,6.15%,1.58B,3.75,4.79%,1.21%,5.58,-13.43%,9.19,3.83,9.60%,6.29%,5.29M,16.05%,0.86,40.94,7.78%,10.49%,27.74,41.15,-5.60%,0.37 (1.04%),22.78,-7.41%,8.11%,-14.43%,1.02,0.35 (0.99%),1.72,-5.41%,41.66%,26.93%,0.76,"May 20, 2025",2.87,38.39%,16.67%,44.89,1.13%,1.56%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,0.66,36.04,1.36%,6.90%,4.01%,Apr 22 AMC,947.64K,35.21,-3.13%,3.12%,-1.79%,"

","629,802",-2.30%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,29.51,5.57,0.10%,446.04M,-3.43%,73.16B,24.07,6.83,-0.65%,444.77M,6.07%,2.52B,3.59,1.62,96.00%,2.37%,1.90%,9.29B,7.88,5.38%,0.31%,3.69,-7.01%,10.44,15.75,9.43%,17.70%,10.54M,-7.96%,3.87,42.51,8.23%,51.85%,139.70,200.33,0.86%,1.99 (1.21%),32.07,11.91%,25.04%,-17.97%,0.94,1.86 (1.13%),1.04,8.14%,69.48%,17.63%,3.93,"Jul 18, 2025",1.74,7.23%,37.01%,49.94,1.99%,1.40%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,1.04,168.82,1.37%,5.00%,1.37%,May 06 BMO,2.86M,164.33,-1.08%,3.65%,-4.03%,"

","2,973,479",-2.66%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.11,1.57,0.86%,593.65M,1.87%,10.36B,9.59,1.82,0.00%,588.53M,-6.98%,1.30B,1.01,0.40,22.11%,2.35%,-12.62%,6.26B,1.65,8.34%,-9.00%,4.48,-7.67%,10.73,1.63,12.66%,10.29%,13.84M,-23.67%,5.35,3.26,10.99%,15.68%,16.34,27.50,-10.74%,0.68 (3.89%),-,8.45%,15.06%,-36.55%,-0.18,0.70 (4.01%),1.02,13.97%,29.66%,6.79%,0.47,"Apr 10, 2025",1.05,10.00%,24.06%,45.81,1.32%,2.75%,24471,0.27,13.41%,20.76%,1.38,23.39,Yes / Yes,0.01,38.73%,45.76%,0.31,17.78,-9.78%,-15.96%,8.02%,May 20 AMC,3.09M,17.45,-0.16%,-3.92%,-13.92%,"

","962,865",-1.86%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.85%,155.70M,-0.36%,47.01B,82.63,3.65,-0.82%,96.88M,23.52%,-38.78M,-,0.80,54.85%,8.66%,52.65%,2.55B,18.46,0.03%,11.65%,3.19,49.93%,11.59,26.05,14.51%,-0.81%,8.39M,60.91%,19.30,15.64,11.71%,-2.68%,153.45,306.77,67.37%,-,68.03,-10.72%,-2.11%,-1.57%,1.09,-,1.18,48.24%,77.33%,96.77%,7.76,-,1.18,49.20%,-4.59%,80.64,0.58%,2.55%,7348,0.68,25.46%,-1.52%,1.64,311.38,Yes / Yes,0.02,-121.43%,-,0.78,301.43,1.74%,11.64%,22.57%,May 29 AMC,2.63M,301.95,9.02%,26.30%,47.77%,"

","2,065,183",0.17%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.01,3.33,14.64%,261.11M,-4.63%,23.18B,13.51,5.67,-1.64%,258.27M,-7.97%,1.05B,9.17,1.38,62.59%,3.20%,3.27%,4.70B,4.93,1.20%,1.83%,3.54,-8.59%,29.34,2.61,1.17%,9.87%,8.27M,21.93%,25.82,2.97,2.51%,12.19%,55.06,92.80,-6.10%,-,13.62,106.45%,11.73%,-17.42%,0.69,-,4.48,49.60%,75.85%,39.18%,1.63,-,4.48,24.11%,18.13%,35.73,0.29%,1.13%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.97,77.41,0.72%,9.22%,2.93%,May 21 AMC,2.34M,76.63,-4.86%,-0.98%,-0.93%,"

","2,266,450",-1.01%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,7.58%,4.50B,106.16,0.39,-22.78%,108.40M,45.70%,-252.07M,-,-0.40,50.87%,4.71%,7.33%,418.33M,10.77,48.02%,-4.49%,4.28,47.85%,7.48,5.48,128.58%,-23.32%,5.11M,104.59%,7.80,5.25,-,-32.05%,16.01,44.34,56.55%,-,-,-3.18%,-30.63%,-7.53%,0.99,-,3.09,98.38%,63.45%,156.09%,1.83,-,3.26,28.63%,-64.09%,69.02,4.63%,4.64%,1869,0.24,43.72%,-60.26%,1.31,53.56,Yes / Yes,0.02,18.43%,-,0.85,43.03,-5.41%,92.78%,22.19%,May 08 BMO,1.19M,41.00,18.49%,28.21%,41.56%,"

","1,019,212",-4.72%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-1.82%,6.56B,11.94,2.17,-,-,-9.97%,-710.26M,-,-0.86,4.01%,-,-17.03%,11.52B,0.57,61.83%,-2.40%,1.33,-8.15%,-12.89,-,249.48%,-11.48%,1.03M,17.13%,5.39,4.80,-,-,13.00,33.32,-8.70%,-,-,-,-,-22.24%,0.14,-,0.45,118.66%,17.93%,99.31%,0.85,-,0.59,37.41%,-7.36%,46.44,1.12%,2.11%,17439,-,43.08%,-6.16%,1.00,39.59,Yes / Yes,-,66.34%,-,0.51,26.30,19.27%,-136.23%,47.60%,May 15 BMO,775.33K,25.91,-5.04%,6.25%,5.88%,"

","396,401",-1.48%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.24,5.13,1.68%,147.57M,-3.75%,7.00B,8.57,5.54,-1.38%,145.09M,-4.28%,756.00M,1.52,1.30,78.50%,3.87%,-2.47%,4.98B,1.40,5.12%,-2.10%,3.04,-18.81%,42.43,1.12,6.39%,0.91%,5.62M,16.54%,-,-,6.07%,13.06%,39.32,63.22,-12.57%,1.74 (3.66%),7.16,3.54%,10.04%,-24.98%,0.86,1.70 (3.58%),-,8.98%,-,20.63%,1.26,"May 15, 2025",0.15,28.90%,21.03%,47.75,1.62%,1.83%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.59,48.72,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.85M,47.43,-1.26%,2.57%,-7.71%,"

","1,092,818",-2.65%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.90,19.53,1.18%,120.46M,-0.28%,2.11B,-,-1.97,0.00%,119.04M,-4.21%,2.35B,-,1.22,48.42%,18.20%,-4.00%,8.87B,0.24,-81.90%,-8.48%,3.11,-13.91%,32.86,0.53,-161.21%,23.04%,21.67M,3.14%,19.19,0.91,-,72.40%,11.03,29.00,-18.44%,1.09 (6.20%),0.60,-,27.51%,-39.62%,1.74,7.61 (43.49%),1.10,20.63%,34.71%,58.68%,0.81,"Jun 02, 2025",1.18,192.29%,31.33%,55.32,3.57%,2.79%,6700,1.49,65.83%,26.52%,4.00,15.36,Yes / Yes,1.16,226.86%,22.25%,1.48,16.57,9.06%,30.79%,28.46%,May 19 BMO,6.97M,17.51,-0.09%,12.30%,-6.90%,"

","10,323,452",5.67%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.40,0.33,78.19%,252.58M,1.64%,3.53B,17.49,0.50,0.00%,55.08M,-0.46%,83.40M,1.38,-,11.96%,8.40%,18.31%,2.11B,1.68,20.83%,-5.02%,4.84,1.88%,3.76,2.31,18.35%,2.78%,4.62M,-30.22%,0.74,11.64,19.17%,8.89%,6.05,12.29,4.84%,0.15 (1.72%),18.21,-,4.94%,-29.54%,0.74,0.13 (1.49%),0.80,-,55.89%,43.14%,0.25,"Jul 07, 2025",1.41,-37.52%,9.45%,60.52,0.85%,0.93%,7395,1.13,2.26%,3.96%,2.75,8.77,Yes / Yes,0.78,-54950.00%,41.79%,4.14,8.65,-4.68%,-3.07%,-,Mar 27 BMO,955.76K,8.66,1.09%,9.05%,4.34%,"

","3,953,739",0.12%,ZGN
