Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,37.13,0.98,11.57%,168.52M,0.41%,6.11B,24.70,1.47,-57.94%,148.79M,-2.39%,169.50M,4.77,0.36,91.77%,3.56%,10.60%,1.58B,3.86,4.79%,1.21%,5.48,-10.15%,9.19,3.95,9.60%,6.29%,5.29M,19.99%,0.86,42.22,7.78%,10.49%,27.74,41.15,-2.65%,0.37 (1.01%),23.49,-7.41%,8.11%,-11.76%,1.03,0.35 (0.96%),1.72,-5.41%,41.66%,30.89%,0.77,"May 20, 2025",2.87,38.39%,16.67%,54.29,0.84%,1.51%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,0.60,36.74,1.36%,6.90%,4.01%,Apr 22 AMC,966.09K,36.31,-0.46%,6.63%,1.38%,"

","577,793",-1.17%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,29.87,5.57,0.10%,446.04M,-1.34%,74.05B,24.36,6.83,-0.65%,444.77M,2.72%,2.52B,3.63,1.62,96.03%,2.37%,2.88%,9.29B,7.97,5.38%,-0.39%,3.67,-5.74%,10.44,15.94,9.43%,17.70%,10.54M,-5.99%,3.87,43.03,8.23%,51.85%,139.70,200.33,2.09%,1.99 (1.20%),32.46,11.91%,25.04%,-16.97%,0.94,1.86 (1.12%),1.04,8.14%,69.48%,19.06%,3.86,"Jul 18, 2025",1.74,7.23%,37.01%,54.28,2.15%,1.65%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,0.86,167.10,1.37%,5.00%,1.37%,May 06 BMO,2.87M,166.33,0.67%,5.01%,-2.94%,"

","2,473,136",-0.46%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.18,1.57,0.86%,593.65M,2.99%,10.42B,9.67,1.82,0.00%,588.53M,-7.58%,1.30B,1.01,0.40,22.11%,2.35%,-8.49%,6.26B,1.66,8.36%,-8.39%,4.38,-5.03%,10.73,1.64,12.66%,10.29%,13.84M,-25.78%,5.35,3.28,11.06%,15.68%,16.34,27.50,-10.18%,0.68 (3.87%),-,8.45%,15.06%,-36.15%,-0.18,0.70 (3.99%),1.02,13.97%,29.66%,7.47%,0.49,"Apr 10, 2025",1.05,10.00%,24.06%,46.95,2.15%,2.82%,24471,0.27,13.41%,20.76%,1.38,23.39,Yes / Yes,0.01,38.73%,45.76%,0.52,17.62,-9.78%,-15.96%,8.02%,May 20 AMC,3.16M,17.56,-0.01%,-3.75%,-13.50%,"

","1,645,602",-0.34%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.92%,155.70M,1.01%,46.69B,82.20,3.65,-0.82%,96.65M,24.18%,-38.78M,-,0.80,54.86%,8.68%,51.61%,2.55B,18.33,-0.04%,9.55%,3.17,41.45%,11.59,25.87,14.41%,-0.81%,8.39M,65.68%,19.30,15.53,11.53%,-2.68%,153.45,306.77,66.21%,-,67.56,-10.72%,-2.11%,-2.25%,1.09,-,1.18,48.24%,77.33%,95.41%,8.07,-,1.18,49.20%,-4.59%,79.90,0.89%,2.56%,7348,0.68,25.46%,-1.52%,1.67,305.73,Yes / Yes,0.02,-121.43%,-,0.76,297.97,1.74%,11.64%,22.57%,May 29 AMC,2.65M,299.86,10.52%,27.51%,47.49%,"

","2,004,064",0.63%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.47,3.33,14.64%,261.11M,-3.12%,23.65B,13.78,5.67,-1.63%,258.27M,-5.46%,1.05B,9.35,1.38,62.60%,3.20%,5.69%,4.70B,5.03,1.20%,-0.36%,3.52,-9.35%,29.34,2.66,1.17%,9.87%,8.27M,24.38%,25.82,3.03,2.51%,12.19%,55.06,92.80,-4.23%,-,13.89,106.45%,11.73%,-15.78%,0.69,-,4.48,49.60%,75.85%,41.95%,1.69,-,4.48,24.11%,18.13%,41.45,0.63%,1.14%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.87,79.41,0.72%,9.22%,2.93%,May 21 AMC,2.35M,78.16,-3.74%,1.13%,1.13%,"

","2,049,322",-1.57%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,14.75%,4.55B,107.20,0.39,-22.78%,108.40M,40.82%,-252.07M,-,-0.40,50.87%,4.71%,16.85%,418.33M,10.87,48.02%,6.38%,4.43,48.02%,7.48,5.54,128.58%,-23.32%,5.11M,107.00%,7.80,5.30,-,-32.05%,16.01,40.16,58.08%,-,-,-3.18%,-30.63%,3.09%,0.98,-,3.09,98.38%,63.45%,158.59%,1.71,-,3.26,28.63%,-64.09%,75.75,2.64%,4.43%,1869,0.24,43.72%,-60.26%,1.31,53.56,Yes / Yes,0.02,18.43%,-,1.35,40.00,-5.41%,92.78%,22.19%,May 08 BMO,1.15M,41.40,24.53%,30.30%,44.11%,"

","1,560,764",3.50%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-1.08%,6.71B,12.22,2.17,-,-,-7.92%,-710.26M,-,-0.86,4.03%,-,-14.04%,11.52B,0.58,61.76%,-2.48%,1.29,2.00%,-12.89,-,249.48%,-11.48%,1.03M,11.67%,5.39,4.92,-,-,13.00,33.32,-6.59%,-,-,-,-,-20.43%,0.14,-,0.45,118.66%,17.93%,103.92%,0.92,-,0.59,37.41%,-7.36%,51.20,0.99%,2.12%,17439,-,43.08%,-6.16%,1.00,39.53,Yes / Yes,-,66.34%,-,0.61,26.24,19.27%,-136.23%,47.60%,May 15 BMO,798.70K,26.51,-3.81%,9.13%,8.75%,"

","488,687",1.03%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.53,5.13,1.68%,147.57M,2.80%,7.22B,8.83,5.54,-1.38%,145.09M,-1.11%,756.00M,1.57,1.31,78.49%,3.87%,2.02%,4.98B,1.45,5.12%,-2.15%,3.00,-17.33%,42.43,1.15,6.39%,0.91%,5.62M,17.74%,-,-,6.07%,13.06%,39.32,63.22,-9.84%,1.74 (3.55%),7.39,3.54%,10.04%,-22.64%,0.86,1.70 (3.48%),-,8.98%,-,24.39%,1.25,"May 15, 2025",0.15,28.90%,21.03%,55.77,2.12%,1.75%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.80,49.80,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.87M,48.91,1.56%,5.60%,-4.85%,"

","1,500,173",-1.79%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.86,19.53,1.18%,120.46M,1.57%,2.02B,-,-1.91,0.00%,119.04M,3.32%,2.35B,-,1.22,48.41%,18.20%,-13.31%,8.87B,0.23,-86.23%,-8.10%,3.05,-19.85%,32.86,0.51,-177.87%,23.04%,21.67M,-10.62%,19.19,0.88,-,72.40%,11.03,29.00,-21.75%,0.93 (5.54%),0.57,-,27.51%,-42.07%,1.74,7.61 (45.32%),1.10,20.63%,34.71%,52.24%,0.82,"Jun 02, 2025",1.18,192.29%,31.33%,49.66,1.94%,2.92%,6700,1.49,65.83%,26.52%,4.12,15.12,Yes / Yes,1.16,226.86%,22.25%,1.01,17.03,9.06%,30.79%,28.46%,May 19 BMO,7.11M,16.80,-4.74%,8.09%,-10.78%,"

","7,212,347",-1.35%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.22,0.33,78.19%,252.58M,0.23%,3.51B,17.37,0.50,0.00%,55.08M,0.70%,83.40M,1.36,-,11.96%,8.40%,16.37%,2.11B,1.66,21.19%,-5.02%,4.79,3.99%,3.76,2.29,18.35%,2.78%,4.62M,-30.08%,0.74,11.56,19.29%,8.89%,6.05,12.77,4.12%,0.15 (1.70%),18.09,-,4.94%,-32.65%,0.74,0.13 (1.51%),0.80,-,55.89%,42.15%,0.22,"Jul 07, 2025",1.41,-37.52%,9.45%,58.51,1.11%,0.93%,7395,1.13,2.26%,3.96%,2.75,8.74,Yes / Yes,0.78,-54950.00%,41.36%,0.47,8.70,-4.68%,-3.07%,-,Mar 27 BMO,964.79K,8.60,0.33%,8.99%,3.40%,"

","452,029",-1.15%,ZGN
