Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,40.44,0.77,16.19%,172.26M,4.07%,5.34B,23.70,1.32,-14.93%,143.25M,0.87%,135.60M,2.58,0.32,88.15%,2.78%,-4.00%,1.54B,3.46,24.23%,6.04%,4.30,0.84%,9.32,3.35,9.34%,4.67%,3.99M,8.85%,0.95,32.81,15.65%,8.04%,25.09,34.58,6.19%,0.26 (0.85%),18.94,18.47%,6.37%,-9.69%,1.16,0.24 (0.77%),1.75,0.20%,40.45%,24.47%,0.79,"Aug 20, 2024",2.83,183.51%,15.70%,53.93,1.39%,2.57%,2400,0.34,0.50%,8.80%,2.25,36.00,Yes / Yes,0.33,34.01%,45.61%,0.72,31.10,0.70%,5.16%,2.18%,Jul 30 AMC,928.07K,31.23,0.72%,2.45%,1.84%,"

","669,066",0.42%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.89%,137.79M,6.04%,1.33B,17.34,0.52,-8.58%,136.43M,-3.03%,-62.61M,-,0.10,80.39%,4.99%,-14.01%,438.33M,3.03,29.29%,-0.36%,5.84,7.05%,0.94,9.53,21.09%,-8.44%,6.81M,-8.94%,3.69,2.43,-,-51.53%,7.05,10.85,-4.68%,-,-,9.40%,-11.66%,-17.42%,1.73,-,2.50,12.97%,67.51%,27.09%,0.29,-,2.50,50.48%,-8.58%,52.23,2.82%,3.14%,1618,2.90,7.97%,-14.28%,1.86,12.00,Yes / Yes,2.85,34.02%,-,1.33,8.83,0.88%,61.76%,6.47%,Aug 21 AMC,1.17M,8.96,1.39%,-2.62%,-0.44%,"

","1,552,281",1.47%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,36.12,5.11,0.26%,458.37M,0.36%,83.58B,28.58,6.45,-4.03%,451.86M,3.30%,2.34B,3.78,1.46,97.21%,1.03%,5.99%,8.91B,9.38,9.41%,0.02%,2.11,-2.08%,10.94,16.86,10.88%,16.79%,4.65M,0.94%,3.47,53.10,9.57%,48.88%,144.80,201.92,-6.53%,1.71 (0.93%),39.74,11.57%,20.02%,-8.64%,0.88,1.67 (0.91%),2.09,8.05%,68.32%,27.40%,4.51,"Jul 18, 2024",3.45,7.38%,36.05%,54.58,1.99%,2.29%,14100,1.36,8.43%,26.29%,1.37,221.65,Yes / Yes,1.36,-5.60%,30.71%,0.74,183.71,2.10%,5.04%,8.30%,Aug 06 BMO,2.21M,184.48,1.12%,3.68%,3.55%,"

","1,634,124",0.42%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.27,1.43,0.94%,606.77M,3.19%,12.25B,10.24,1.99,0.00%,594.91M,3.29%,1.19B,0.95,0.43,37.53%,2.80%,-17.04%,5.52B,2.22,13.44%,3.59%,6.27,10.39%,9.92,2.06,18.71%,9.82%,16.63M,-18.27%,4.58,4.45,15.01%,15.03%,15.90,25.90,-4.14%,0.70 (3.44%),-,13.37%,13.12%,-21.24%,-0.11,0.62 (3.04%),1.11,15.78%,31.20%,28.34%,0.61,"Apr 09, 2024",1.15,7.93%,24.81%,56.80,2.53%,3.09%,23554,0.27,3.63%,21.49%,1.22,29.88,Yes / Yes,0.13,-18.31%,0.00%,0.81,19.68,7.20%,-22.68%,4.72%,Aug 20 AMC,2.65M,20.40,5.39%,-0.55%,-1.51%,"

","2,152,922",3.66%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.50,38.73%,147.17M,13.30%,29.55B,58.75,3.33,-0.11%,92.60M,3.69%,-73.50M,-,0.70,47.81%,4.84%,9.30%,2.03B,14.56,68.40%,5.55%,2.12,-22.65%,7.22,27.06,10.39%,-1.99%,4.48M,44.12%,14.82,13.19,26.82%,-8.68%,131.59,259.61,-11.76%,-,53.73,-17.41%,-3.23%,-24.69%,0.81,-,1.67,52.19%,77.75%,48.57%,6.62,-,1.67,73.33%,-6.90%,64.66,3.05%,3.61%,5962,1.13,37.16%,-3.62%,1.60,230.91,Yes / Yes,1.08,139.17%,-,0.67,192.90,3.19%,33.96%,32.09%,Sep 03 AMC,2.11M,195.50,9.60%,5.45%,-0.84%,"

","1,415,767",1.35%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.75,13.82%,70.77M,11.26%,238.93M,-,-3.56,-0.15%,61.28M,-9.19%,-194.65M,-,-0.89,100.11%,18.46%,-72.16%,40.56M,5.89,35.18%,-1.06%,7.77,-74.09%,5.38,0.62,-22.88%,-34.97%,11.31M,-86.81%,6.00,0.56,-,-42.98%,2.83,27.51,-77.82%,-,-,-50.05%,-45.92%,-87.79%,1.72,-,6.59,-20.00%,96.71%,18.73%,0.38,-,6.59,42.78%,-543.77%,40.00,8.37%,9.48%,168,0.12,-,-479.92%,2.27,9.90,Yes / Yes,0.11,32.87%,-,0.48,3.13,-,-47.48%,-,Aug 09 BMO,1.46M,3.36,-7.65%,-30.72%,-69.54%,"

","698,037",7.35%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,22.25,2.69,15.12%,309.25M,8.13%,18.50B,11.71,5.11,-0.62%,262.48M,1.61%,838.33M,14.83,1.21,60.36%,2.96%,-6.76%,4.56B,4.05,-3.15%,-0.53%,2.47,-3.70%,26.83,2.23,1.28%,8.90%,7.77M,-8.48%,23.88,2.51,1.50%,11.31%,55.06,75.90,-16.81%,-,11.25,-,10.05%,-21.19%,-0.06,-,4.36,95.81%,74.87%,8.65%,1.36,-,4.36,19565.00%,17.35%,59.02,1.89%,2.29%,7420,0.01,3.13%,18.37%,2.57,74.21,Yes / Yes,0.00,1250.20%,0.00%,0.85,58.07,1.35%,13.52%,3.25%,Aug 21 AMC,3.14M,59.82,3.15%,2.35%,-6.09%,"

","2,670,207",3.01%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.07,0.64%,99.12M,4.43%,1.68B,-,-1.78,-15.66%,98.48M,-8.95%,-298.33M,-,-0.76,43.01%,4.22%,-12.42%,322.71M,5.22,14.37%,-2.10%,7.50,-17.68%,7.18,2.37,39.83%,-28.50%,4.16M,-27.36%,7.37,2.31,-,-36.46%,13.48,31.22,-37.83%,-,-,-16.93%,-42.02%,-45.58%,1.06,-,3.29,2095.12%,62.95%,26.04%,0.94,-,3.46,24.90%,-109.67%,44.38,3.36%,5.44%,2175,0.12,28.16%,-92.44%,1.14,50.47,Yes / Yes,0.01,34.35%,-,0.79,17.08,7.45%,-15.75%,45.95%,Aug 06 AMC,553.96K,16.99,-4.86%,-6.39%,-18.22%,"

","437,205",-0.53%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.90%,127.44M,28.57%,458.78M,5.71,0.63,0.00%,116.10M,6.19%,-126.89M,-,0.00,17.31%,0.04%,-68.34%,1.20B,0.38,128.53%,-,0.28,-81.20%,2.82,1.28,2411.11%,-4.29%,0.05M,-,2.21,1.63,-,-9.63%,2.62,21.91,-77.93%,-,-,-,-27.40%,-83.57%,-,-,1.63,26.18%,16.84%,37.40%,0.29,-,1.82,18.59%,-4.42%,55.25,8.94%,7.73%,3476,0.28,-3.00%,-10.53%,1.00,15.90,No / Yes,0.04,44.09%,-,0.26,3.32,-5.44%,-26.68%,-8.66%,Aug 22 BMO,166.71K,3.60,22.41%,-13.40%,-70.48%,"

","43,249",8.43%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,31.82,0.29,36.09%,76.17M,19.97%,906.97M,-,-0.19,-0.60%,63.49M,7.67%,30.22M,-,-0.10,56.39%,4.74%,-7.68%,537.45M,1.69,-146.24%,-1.82%,5.61,-36.51%,0.25,37.06,11.02%,4.65%,3.01M,-43.78%,5.27,1.73,-,855.40%,7.21,16.80,-34.32%,-,10.44,-,5.26%,-45.65%,1.19,-,7.44,17.01%,89.51%,26.63%,0.51,-,7.44,-44.78%,11.55%,57.75,5.82%,6.24%,1000,22.71,-32.11%,5.62%,2.62,9.10,Yes / Yes,22.52,-50.07%,0.00%,1.76,8.59,5.30%,190.25%,-27.44%,Aug 07 AMC,537.07K,9.13,8.73%,4.48%,-20.27%,"

","945,151",6.29%,ZIP
