Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.36,0.98,11.57%,168.52M,-2.07%,5.98B,24.19,1.47,-57.94%,148.79M,-4.97%,169.50M,4.67,0.36,91.77%,3.56%,4.56%,1.58B,3.78,4.79%,1.21%,5.62,-10.59%,9.19,3.87,9.60%,6.29%,5.29M,16.13%,0.86,41.35,7.78%,10.49%,27.74,41.15,-4.66%,0.37 (1.03%),23.00,-7.41%,8.11%,-13.58%,1.03,0.35 (0.98%),1.72,-5.41%,41.66%,28.19%,0.74,"May 20, 2025",2.87,38.39%,16.67%,48.24,1.47%,1.53%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,1.14,35.40,1.36%,6.90%,4.01%,Apr 22 AMC,941.81K,35.56,-1.43%,3.14%,-0.95%,"

","1,075,629",0.45%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,27.84,5.57,0.10%,446.04M,-6.78%,69.03B,22.73,6.82,-0.65%,444.77M,-5.42%,2.52B,3.42,1.62,95.98%,2.37%,-5.31%,9.29B,7.43,5.38%,0.31%,3.69,-12.98%,10.44,14.86,9.35%,17.70%,10.54M,-9.08%,3.87,40.11,8.13%,51.85%,139.70,200.33,-4.83%,1.99 (1.28%),30.26,11.91%,25.04%,-22.60%,0.94,1.86 (1.20%),1.04,8.14%,69.48%,10.99%,4.10,"Jul 18, 2025",1.74,7.23%,37.01%,36.85,1.77%,1.67%,13800,1.45,6.32%,27.12%,1.58,199.92,Yes / Yes,1.16,7.88%,32.86%,1.63,161.67,1.37%,5.00%,1.37%,May 06 BMO,2.86M,155.06,-6.39%,-2.45%,-9.26%,"

","4,661,555",-4.09%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,10.87,1.57,0.86%,593.65M,-2.85%,10.13B,9.38,1.82,0.00%,588.53M,-10.35%,1.30B,0.98,0.40,22.11%,2.35%,-21.60%,6.26B,1.62,8.47%,-9.00%,4.69,-11.19%,10.73,1.59,12.66%,10.29%,13.84M,-24.04%,5.35,3.19,11.05%,15.68%,16.34,27.50,-12.74%,0.68 (3.98%),-,8.45%,15.06%,-37.96%,-0.18,0.70 (4.10%),1.02,13.97%,29.66%,4.41%,0.45,"Apr 10, 2025",1.05,10.00%,24.06%,41.88,1.80%,1.95%,24471,0.27,13.41%,20.76%,1.38,23.42,Yes / Yes,0.01,38.73%,45.76%,0.32,17.22,-9.78%,-15.96%,8.02%,May 20 AMC,2.95M,17.06,-1.48%,-5.73%,-15.62%,"

","934,164",-0.93%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.78%,155.70M,1.85%,47.55B,83.56,3.65,-0.89%,96.88M,20.92%,-38.78M,-,0.80,54.86%,8.66%,49.75%,2.55B,18.67,0.04%,11.65%,3.16,53.83%,11.59,26.35,14.53%,-0.81%,8.39M,65.79%,19.30,15.82,11.75%,-2.68%,153.45,309.18,69.29%,-,68.81,-10.72%,-2.11%,-1.22%,1.09,-,1.18,48.24%,77.33%,99.03%,7.67,-,1.18,49.20%,-4.59%,79.42,0.72%,2.54%,7348,0.68,25.46%,-1.52%,1.64,312.77,Yes / Yes,0.02,-121.43%,-,0.76,307.31,1.74%,11.64%,22.57%,May 29 AMC,2.66M,305.41,7.14%,23.90%,48.27%,"

","2,018,650",-0.62%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.26,3.33,14.64%,261.11M,-0.87%,23.44B,13.66,5.67,-1.64%,258.27M,-7.00%,1.05B,9.27,1.38,62.59%,3.20%,1.60%,4.70B,4.99,1.20%,1.83%,3.55,-7.53%,29.34,2.64,1.17%,9.87%,8.27M,34.19%,25.82,3.00,2.51%,12.19%,55.06,92.80,-5.06%,-,13.77,106.45%,11.73%,-16.51%,0.69,-,4.48,49.60%,75.85%,40.72%,1.55,-,4.48,24.11%,18.13%,41.23,1.14%,1.16%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.78,77.90,0.72%,9.22%,2.93%,May 21 AMC,2.33M,77.48,-2.73%,-0.50%,0.03%,"

","1,806,756",-0.54%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,-10.80%,4.06B,90.89,0.41,-22.78%,108.40M,11.94%,-252.07M,-,-0.40,50.87%,4.71%,-2.84%,418.33M,9.70,48.18%,-4.49%,4.23,40.26%,7.48,4.94,130.15%,-23.32%,5.11M,97.59%,7.80,4.73,-,-32.05%,16.01,44.34,41.01%,-,-,-3.18%,-30.63%,-16.71%,0.95,-,3.09,98.38%,63.45%,130.67%,1.89,-,3.26,28.63%,-64.09%,54.29,3.79%,4.85%,1869,0.24,43.72%,-60.26%,1.36,52.16,Yes / Yes,0.02,18.43%,-,0.56,37.22,-5.41%,92.78%,22.19%,May 08 BMO,1.21M,36.93,3.99%,14.23%,26.26%,"

","670,173",-0.78%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-2.11%,6.57B,11.95,2.17,-,-,-9.42%,-710.26M,-,-0.86,4.01%,-,-8.11%,11.52B,0.57,61.75%,-2.40%,1.35,-6.22%,-12.89,-,249.48%,-11.48%,1.03M,23.22%,5.39,4.81,-,-,13.00,33.32,-8.56%,-,-,-,-,-22.12%,0.16,-,0.45,118.66%,17.93%,99.62%,0.77,-,0.59,37.41%,-7.36%,46.80,1.00%,2.05%,17439,-,43.08%,-6.16%,1.00,39.63,Yes / Yes,-,66.34%,-,0.39,26.10,19.27%,-136.23%,47.60%,May 15 BMO,763.57K,25.95,-3.42%,5.32%,5.39%,"

","299,027",-0.57%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.41,5.13,1.68%,147.57M,-1.19%,7.13B,8.73,5.54,-1.38%,145.09M,-1.53%,756.00M,1.55,1.30,78.50%,3.87%,-2.05%,4.98B,1.43,5.12%,-2.10%,3.07,-16.20%,42.43,1.14,6.39%,0.91%,5.62M,18.60%,-,-,6.07%,13.06%,39.32,63.22,-10.91%,1.74 (3.60%),7.30,3.54%,10.04%,-23.55%,0.86,1.70 (3.52%),-,8.98%,-,22.91%,1.24,"May 15, 2025",0.15,28.90%,21.03%,52.55,2.17%,1.92%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.88,47.28,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.83M,48.33,0.97%,3.81%,-5.92%,"

","1,601,538",2.22%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.91,19.53,1.18%,120.46M,5.48%,2.13B,-,-1.97,0.00%,119.04M,-8.52%,2.35B,-,1.22,48.42%,18.20%,-6.14%,8.87B,0.24,-81.90%,-8.48%,3.10,-10.87%,32.86,0.54,-161.21%,23.04%,21.67M,-0.58%,19.19,0.92,-,72.40%,11.03,29.00,-17.47%,1.09 (6.13%),0.60,-,27.51%,-38.90%,1.75,7.61 (42.97%),1.10,20.63%,34.71%,60.58%,0.87,"Jun 02, 2025",1.18,192.29%,31.33%,55.65,3.79%,2.61%,6700,1.49,65.83%,26.52%,4.00,15.36,Yes / Yes,1.16,226.86%,22.25%,0.74,17.40,9.06%,30.79%,28.46%,May 19 BMO,7.00M,17.72,2.11%,11.59%,-5.73%,"

","5,184,295",1.84%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,27.62,0.33,78.19%,252.58M,5.35%,3.69B,18.29,0.50,0.00%,55.08M,5.59%,83.40M,1.43,-,11.96%,8.40%,23.43%,2.11B,1.75,22.60%,-5.02%,4.66,3.19%,3.76,2.41,17.34%,2.78%,4.62M,-22.23%,0.74,12.18,19.38%,8.89%,6.05,12.15,9.69%,0.15 (1.64%),19.05,-,4.94%,-25.43%,0.74,0.13 (1.43%),0.80,-,55.89%,49.75%,0.25,"Jul 07, 2025",1.41,-37.52%,9.45%,71.24,2.09%,1.30%,7395,1.13,2.26%,3.96%,2.75,8.77,Yes / Yes,0.78,-54950.00%,41.73%,0.71,9.04,-4.68%,-2.99%,-,Mar 27 BMO,993.33K,9.06,4.95%,11.94%,9.40%,"

","702,090",0.22%,ZGN
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,-5.84%,16.17B,29.37,2.25,-0.14%,49.87M,-1.32%,-81.00M,-,0.42,18.02%,2.37%,-4.20%,2.31B,7.01,19.77%,8.91%,2.34,-14.16%,19.70,3.35,35.85%,-1.29%,1.18M,41.70%,6.56,10.06,32.14%,-1.72%,40.30,86.58,-6.90%,-,51.82,20.21%,-1.68%,-23.82%,2.11,-,2.46,-4.00%,76.44%,63.67%,1.94,-,2.46,49.24%,-6.94%,43.06,2.49%,1.70%,6856,0.14,14.96%,-3.51%,2.20,78.96,Yes / Yes,0.02,131.84%,-,1.10,66.35,1.51%,11.72%,13.04%,May 07 AMC,504.49K,65.96,-2.44%,-0.05%,-3.79%,"

","554,689",-0.59%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,-2.02%,2.97B,14.47,0.87,0.00%,186.36M,-8.70%,-51.80M,-,0.13,63.62%,10.65%,-12.45%,1.08B,2.76,9.51%,4.30%,4.55,-43.59%,2.87,4.39,35.61%,-6.33%,19.86M,-21.51%,1.55,8.14,20.44%,-11.93%,10.69,38.20,-30.02%,-,24.44,-5.22%,-5.88%,-67.04%,1.25,-,3.33,26.86%,54.78%,17.77%,0.57,-,3.33,73.68%,-3.42%,42.76,3.34%,2.46%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,0.68,12.56,4.02%,-13.02%,35.64%,May 01 AMC,4.37M,12.59,-3.86%,-3.10%,-36.77%,"

","2,962,665",0.24%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,19.83,1.60,2.31%,42.23M,-6.26%,1.34B,4.46,7.11,0.73%,41.12M,-3.41%,76.66M,4.44,1.19,106.55%,8.78%,-24.26%,1.42B,0.94,2.61%,-4.24%,6.13,-45.07%,43.13,0.74,4.72%,2.12%,3.61M,-42.95%,10.24,3.10,4.47%,4.12%,29.15,60.62,-41.63%,-,5.77,-20.26%,2.85%,-47.67%,1.62,-,1.52,0.43%,71.81%,8.84%,1.35,"May 17, 2019",1.52,36.80%,15.50%,46.08,3.09%,2.71%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.66,31.58,1.84%,-8.51%,4.50%,May 08 AMC,588.66K,31.72,-1.32%,-0.64%,-29.80%,"

","388,091",0.44%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,27.58,10.58,0.80%,51.14M,-0.37%,14.84B,17.72,16.46,0.80%,50.45M,-2.04%,549.00M,2.64,3.30,91.55%,1.63%,2.06%,5.09B,2.91,7.37%,2.02%,1.32,-27.72%,70.91,4.11,13.41%,7.24%,0.82M,-3.20%,17.28,16.88,10.45%,16.16%,205.73,427.76,-24.47%,-,14.82,0.42%,9.33%,-31.80%,1.75,-,1.02,2.27%,46.59%,41.80%,7.97,-,1.45,109.89%,15.19%,53.84,2.76%,1.87%,9900,0.65,16.72%,10.78%,2.00,319.07,Yes / Yes,0.62,18.23%,0.00%,0.91,289.36,1.39%,11.14%,10.65%,Apr 29 BMO,624.53K,291.73,0.15%,8.38%,-13.33%,"

","571,137",0.82%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.07,4.51,0.14%,197.90M,-3.92%,17.92B,10.89,8.32,-1.16%,197.57M,-5.45%,913.30M,4.76,1.98,94.98%,2.79%,-19.80%,7.70B,2.33,-0.35%,1.59%,2.45,-15.17%,62.63,1.45,4.31%,4.19%,5.51M,-15.52%,7.00,12.94,4.22%,7.31%,89.22,116.71,-14.28%,0.89 (0.98%),14.41,-4.13%,4.81%,-22.41%,0.73,0.96 (1.06%),1.46,-0.77%,62.31%,1.49%,2.10,"Jun 26, 2025",2.44,-2.39%,18.72%,39.89,1.64%,1.42%,17000,0.58,3.30%,11.86%,2.50,106.64,Yes / Yes,0.53,9.01%,21.66%,0.85,90.21,0.73%,2.22%,1.05%,May 05 BMO,2.25M,90.55,-1.96%,-5.74%,-13.34%,"

","1,915,296",0.38%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,-5.05%,16.24B,30.04,2.25,-0.34%,162.81M,-0.38%,-81.00M,-,0.42,68.65%,8.56%,-4.31%,2.31B,7.05,20.54%,9.09%,5.32,-15.51%,19.70,3.43,35.14%,-1.29%,13.93M,40.69%,6.68,10.11,32.56%,-1.72%,41.67,89.39,-8.80%,-,52.05,20.21%,-1.68%,-24.45%,2.13,-,2.46,-4.00%,76.44%,62.06%,1.99,"Jan 12, 2011",2.46,49.24%,-6.94%,44.85,2.46%,1.70%,6856,0.14,14.96%,-3.51%,2.24,78.79,Yes / Yes,0.02,131.84%,-,0.55,67.63,1.50%,10.87%,13.04%,May 07 AMC,2.62M,67.53,-1.64%,0.71%,-4.39%,"

","1,435,661",-0.15%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,17.91,2.39,3.59%,375.00M,-4.79%,15.96B,14.81,2.89,-0.34%,359.93M,-4.25%,916.00M,1.59,0.58,89.45%,2.36%,-20.27%,11.33B,1.41,8.61%,5.21%,2.81,-13.72%,15.42,2.77,13.59%,8.22%,8.48M,26.10%,5.34,8.01,11.29%,15.73%,28.50,53.99,-11.23%,0.87 (2.03%),20.55,4.31%,12.04%,-20.80%,0.27,0.80 (1.87%),1.11,5.19%,16.94%,50.04%,1.08,"May 28, 2025",1.26,19.36%,11.95%,42.22,1.42%,1.60%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.46,42.93,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.02M,42.76,-1.82%,-3.26%,-6.42%,"

","1,382,816",-0.40%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,27.59,5.02,0.15%,278.00M,-3.52%,38.46B,20.57,6.73,-19.69%,277.54M,-7.54%,1.43B,2.37,1.46,84.62%,1.52%,-12.16%,7.74B,4.97,12.07%,-1.40%,1.96,0.99%,-28.07,-,11.38%,22.12%,4.21M,1.15%,2.69,51.42,11.63%,-,122.13,163.30,3.13%,2.84 (2.06%),26.51,4.75%,32.45%,-15.27%,0.74,2.76 (1.99%),1.40,6.17%,46.80%,13.29%,2.59,"May 27, 2025",1.40,-11.50%,31.12%,30.85,0.69%,0.82%,40000,-,10.09%,18.42%,2.52,161.09,Yes / Yes,-,-18.28%,51.40%,0.72,139.99,-3.55%,0.94%,11.83%,Apr 30 BMO,2.15M,138.36,-3.64%,-4.80%,-1.70%,"

","1,539,402",-1.16%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.19,4.31,0.04%,393.26M,-1.78%,13.87B,8.24,4.28,0.00%,393.12M,-4.42%,1.67B,-,0.72,9.10%,1.66%,-0.56%,19.64B,0.71,-55.43%,-9.60%,3.06,-20.83%,30.14,1.17,60.40%,5.92%,6.54M,68.97%,3.13,11.28,-2.06%,15.54%,16.18,47.43,-17.01%,-,-,-,8.53%,-25.62%,1.84,-,0.59,7.05%,25.22%,118.05%,1.50,"Jul 09, 2019",0.79,156.14%,7.55%,51.79,1.10%,2.45%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,0.48,35.43,-0.71%,-105.27%,7.42%,May 08 BMO,2.14M,35.28,-0.63%,5.49%,5.04%,"

","1,035,804",-0.42%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.20,1.86,8.83%,92.94M,-3.45%,3.28B,17.30,1.42,-14.72%,84.73M,-0.44%,176.28M,-,0.30,104.31%,25.01%,-10.86%,802.81M,4.08,-30.59%,-2.21%,11.00,-5.64%,1.25,19.75,13.90%,16.56%,21.19M,39.16%,3.98,6.18,-4.45%,124.77%,18.01,38.47,-6.60%,0.50 (2.03%),11.01,-,76.56%,-36.00%,1.22,0.47 (1.92%),0.85,32.00%,59.68%,36.68%,0.78,"Jun 10, 2025",0.85,223.84%,17.05%,44.39,2.17%,2.07%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.82,24.54,1.98%,11.26%,18.05%,May 08 BMO,1.93M,24.62,-2.02%,-2.69%,-9.38%,"

","1,588,586",0.33%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,23.57,0.50,5.31%,939.30M,-3.22%,11.01B,14.19,0.83,0.00%,889.44M,-4.17%,520.12M,0.66,0.16,63.89%,2.46%,-14.39%,1.62B,6.81,64.91%,0.96%,2.56,4.55%,5.04,2.32,22.46%,9.19%,21.88M,30.08%,2.98,3.93,35.79%,10.30%,6.66,13.85,8.32%,0.14 (1.23%),-,-,9.86%,-15.35%,0.20,0.10 (0.82%),7.66,34.26%,59.12%,75.98%,0.46,"Apr 07, 2025",7.66,57.72%,28.33%,46.32,2.37%,2.92%,7185,0.00,28.87%,32.16%,1.38,15.59,Yes / Yes,0.00,115.27%,20.00%,0.26,11.94,-14.04%,-55.04%,17.56%,May 21 BMO,8.55M,11.72,-1.87%,1.38%,9.22%,"

","2,261,724",-1.84%,YMM
