Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5445.24B,5377.48B,159.61B,253.49B,8.07,3.33,0.65 (0.29%),0.28 (0.12%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",34.46,17.67,0.37,21.48,27.88,67.58,45.73,32.49,21.21,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.73,2.08,88.68%,41.48%,47.62%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,Aug 26 AMC,6.52% 3.43%,3.85%,-0.30%,70.83%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,6.40%,8.89%,15.37%,"

",24.22B,23.28B,1.26%,2.00,292.67M,236.54 -4.87%,164.07 37.14%,1.85%,3.04%,6.65,62.85,2.22,0.64,146.53M,"93,678,685",3.43%,10.95%,-0.14%,23.08%,20.65%,24.69%,419.13%,1056.39%,14618.56%,1.23,314.29,225.16,225.01,-0.07%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4459.84B,4481.78B,128.93B,466.82B,7.36,4.28,1.08 (0.35%),1.06 (0.35%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",35.03,32.02,2.55,9.55,41.52,71.47,32.63,26.68,9.60,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.55,1.98,18.43%,8.04%,12.54%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.06%,67.76%,0.00%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,-3.71%,-1.13%,8.88%,"

",14.61B,14.58B,0.97%,2.52,141.61M,344.57 -11.31%,223.78 36.56%,1.60%,2.11%,7.64,43.41,1.07,0.68,56.16M,"38,169,263",-0.87%,-8.43%,1.79%,19.47%,12.41%,31.95%,75.63%,103.47%,1019.17%,2.04,334.23,305.93,305.59,-0.11%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4194.15B,4087.05B,244.12B,446.31B,50.90,19.89,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.28,22.86,1.26,9.40,6.76,17.30,78.73,23.04,9.16,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.05,3.02,90.21%,-26.80%,18.13%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.20%,-0.01%,39.24%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.58%,-2.64%,3.69%,"

",5.87B,5.85B,1.21%,2.16,70.49M,408.61 -15.81%,196.60 74.98%,2.01%,2.73%,10.60,46.03,1.22,0.56,32.69M,"18,291,309",-3.78%,-0.80%,-13.30%,12.52%,9.90%,68.71%,164.78%,151.72%,754.21%,1.30,426.40,345.90,344.00,-0.55%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4191.66B,4084.55B,244.12B,446.31B,50.90,19.75,0.80 (0.24%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",17.15,22.70,1.26,9.39,6.71,17.29,78.68,23.03,9.15,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.04,3.02,90.19%,-26.85%,18.05%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.00%,-0.01%,28.15%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-1.01%,-2.93%,3.20%,"

",5.53B,5.14B,0.91%,2.11,46.94M,404.47 -15.58%,197.46 72.92%,1.93%,2.65%,10.25,45.11,1.21,0.57,22.28M,"12,606,101",-4.04%,-1.35%,-13.19%,11.58%,8.81%,66.63%,161.73%,148.69%,775.61%,1.30,426.06,343.54,341.45,-0.61%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3566.86B,3618.83B,133.75B,331.84B,59.56,10.35,3.90 (0.81%),3.56 (0.74%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",26.77,20.43,1.11,10.75,8.06,46.42,53.25,18.21,10.91,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.51,4.71,14.03%,19.29%,18.35%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.57%,-0.04%,75.47%,-0.44%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,5.77%,16.08%,11.15%,"

",7.43B,7.31B,1.11%,2.00,81.31M,553.72 -13.25%,349.20 37.56%,1.82%,2.72%,14.03,62.19,1.11,0.73,40.56M,"29,635,848",-5.08%,21.97%,13.85%,19.69%,-0.68%,-7.66%,51.59%,63.90%,734.52%,1.25,564.14,495.40,480.35,-3.04%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2818.57B,2937.30B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",21.02,24.60,1.00,3.63,5.11,22.86,-,16.92,3.79,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.62,1.96,76.20%,-15.91%,24.68%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,8.98%,-0.15%,68.41%,0.00%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,1.64%,5.23%,9.86%,"

",10.78B,9.82B,1.00%,1.97,98.43M,287.20 -9.01%,196.00 33.32%,2.23%,2.48%,8.12,52.43,1.43,0.88,49.86M,"43,896,516",-6.03%,5.70%,-1.07%,31.45%,13.21%,13.11%,95.04%,61.20%,583.49%,1.23,329.79,262.65,261.31,-0.51%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2235.22B,2159.63B,71.86B,142.82B,38.93,21.29,4.13 (0.96%),3.50 (0.81%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",31.11,19.81,0.52,15.65,11.07,20.24,56.02,21.19,15.12,2.25,2.46,0.17,0.14,Yes / Yes,13.86,21.76,4.38,58.77%,30.59%,37.80%,17.37% 25.67%,17.20% 21.86%,57.78%,34.60%,73.31%,32.92%,Jul 16 BMO,10.78% -1.20%,0.10%,-3.20%,15.68%,10.17%,26.90%,40.06%,31.23%,63.08%,55.84%,50.31%,4.21%,1.43%,18.35%,"

",5.19B,5.18B,0.64%,2.44,33.19M,479.00 -10.03%,223.70 92.66%,1.60%,2.93%,14.00,56.49,1.39,0.70,13.61M,"9,479,436",2.99%,8.18%,6.58%,17.64%,41.82%,80.41%,370.29%,287.88%,1387.13%,1.20,545.45,426.35,430.97,1.08%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1867.02B,1912.30B,29.32B,75.47B,18.43,4.13,2.62 (0.67%),2.54 (0.65%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",65.33,20.04,0.35,24.74,21.29,95.12,56.99,45.46,25.34,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.58,3.21,69.94%,68.97%,56.90%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Sep 02 AMC,1.82% 0.26%,1.92%,-1.95%,79.49%,0.61%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,-1.94%,0.64%,6.26%,"

",4.76B,4.67B,1.31%,2.38,61.20M,495.00 -20.72%,281.87 39.22%,3.53%,3.62%,16.01,46.26,1.45,0.78,25.72M,"20,042,639",-7.10%,5.83%,-7.70%,20.68%,13.39%,28.10%,374.46%,719.80%,2167.99%,1.33,536.10,392.99,392.43,-0.14%,AVGO
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1984.50B,1923.99B,-,-,9.66,7.38,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,15.14,19.80,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.14,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,88.04%,-0.00%,10.60%,-0.00%,-,-,-,-,-,-,18.07%,3.20%,3.20%,"

",7.61B,1.58B,13.18%,1.66,207.78M,225.64 -35.19%,104.83 39.49%,7.26%,7.98%,11.05,57.68,-,0.93,125.09M,"116,675,369",5.40%,17.94%,-,-,-2.51%,-,-,-,-,1.70,226.26,140.00,146.23,4.45%,SPCX
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1449.45B,1470.81B,68.10B,228.25B,102.52,35.71,1.92 (0.34%),2.10 (0.37%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",21.43,16.75,0.89,6.35,5.55,15.93,35.37,13.41,6.44,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.97,6.75,35.01%,7.11%,18.72%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.69%,-0.06%,68.12%,-0.16%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,-3.70%,-4.53%,-9.21%,"

",2.21B,2.20B,1.43%,1.74,31.46M,796.25 -28.54%,520.26 9.36%,3.45%,3.13%,21.90,41.88,1.25,0.95,18.06M,"17,225,609",-4.36%,-11.93%,-7.37%,-11.07%,-13.80%,-27.54%,99.58%,58.73%,357.48%,1.28,745.98,589.85,568.97,-3.54%,META
