Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.69%,74.85M,2.71%,1.23B,-,-1.11,43.95%,72.94M,11.87%,971.80M,-,-0.29,101.02%,9.44%,28.25%,-73.68M,10.05,38.90%,14.68%,13.90,27.34%,122.87M,3.67,-11.81%,-15.95%,6.89M,11.34%,4.44,4.39,-2.56%,-19.89%,17.70 -7.91%,24.52%,3.72,-,26.71% 15.81%,-21.07%,9.03 80.51%,177.21%,-,-,41.95% 20.90%,89.52%,3.85%,4.27%,-62.40%,-,7.91,35.69%,-67.32%,0.65,-,-,7.69,95.94%,-59.96%,63.66,1.40,- -,7.69,106.06%,5.47%,1.50,22.06,-,0.06,153.21%,13.54%,0.92,16.36,286,0.05,Aug 07 AMC,22.88%,495.43K,16.30,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","456,727",-0.37%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.44,1.01,11.53%,167.66M,-2.58%,7.71B,29.20,1.57,-1.72%,148.24M,0.35%,8.06B,4.51,0.40,91.77%,3.04%,27.26%,174.00M,4.77,11.82%,-0.53%,4.13,34.40%,1.61B,4.93,10.04%,6.40%,4.51M,23.30%,9.33,38.17,10.08%,10.81%,48.42 -5.02%,32.00%,1.20,27.37,32.18% -7.41%,8.26%,27.74 65.79%,72.76%,0.37 (0.79%),22.46,19.81% -5.41%,41.82%,2.28%,2.19%,196.69%,0.36 (0.78%),4.99,30.64%,16.77%,1.04,364.61%,"Aug 20, 2025",1.72,4.74%,10.78%,50.85,2.44,3.23% 0.62%,2.71,12.98%,-0.94%,1.11,46.86,35.98%,0.36,7.89%,4.45%,0.70,46.94,2500,0.35,Jul 29 AMC,21.51%,1.09M,45.99,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","761,833",-2.02%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,24.38,5.81,0.17%,443.95M,-3.58%,62.79B,20.52,6.90,-0.09%,442.41M,-8.71%,68.14B,2.88,1.63,97.73%,1.75%,-9.90%,2.61B,6.69,7.30%,0.46%,2.54,-12.17%,9.38B,12.64,8.69%,18.24%,7.76M,-13.05%,11.21,43.75,8.45%,52.54%,197.51 -28.27%,-26.46%,3.24,28.29,8.55% 11.91%,25.07%,139.70 1.41%,-9.87%,1.99 (1.41%),17.01,5.98% 8.14%,70.03%,2.21%,1.95%,-11.72%,1.93 (1.36%),7.26,13.72%,37.51%,3.15,218.29%,"Jul 18, 2025",1.04,5.27%,27.83%,28.19,1.50,18.93% 21.14%,1.76,17.78%,-5.26%,0.90,195.14,32.86%,1.36,4.19%,-5.89%,1.37,142.61,13800,1.09,Aug 05 BMO,-11.39%,3.06M,141.67,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","4,197,363",-0.66%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.95,1.46,0.00%,593.65M,-0.84%,11.24B,11.27,1.68,-,593.65M,-0.05%,10.26B,1.69,0.34,14.67%,2.42%,6.11%,1.21B,1.75,-1.27%,-13.72%,7.69,-4.49%,6.42B,1.69,13.41%,9.38%,14.39M,-3.17%,11.20,3.03,7.66%,13.98%,27.50 -31.16%,-13.36%,6.24,-,18.24% 8.45%,13.37%,16.34 15.85%,-26.78%,0.62 (3.27%),5.57,9.28% 13.97%,27.49%,2.23%,1.80%,-36.64%,0.35 (1.85%),1.60,2.41%,21.97%,0.44,-,"Sep 30, 2025",1.19,14.40%,18.81%,49.44,1.44,- -,1.21,-25.19%,1.00%,-0.18,23.20,45.76%,0.29,10.45%,-1.97%,0.94,18.52,24471,0.01,Aug 19 AMC,-0.12%,1.87M,18.93,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","1,766,795",2.21%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.22%,158.30M,1.77%,45.02B,64.74,4.39,-0.57%,99.39M,5.47%,43.25B,-,0.86,53.46%,5.69%,-8.83%,-41.48M,16.84,11.37%,-1.11%,3.17,31.84%,2.67B,25.02,20.27%,-0.75%,5.65M,57.65%,11.37,12.60,18.14%,-2.70%,318.46 -10.69%,64.68%,22.57,61.96,54.06% 21.31%,-1.17%,164.78 72.61%,62.93%,-,28266.73,34.81% 44.03%,76.82%,2.63%,3.10%,123.58%,-,16.18,31.04%,-4.48%,8.36,-,-,1.94,23.31%,-1.55%,51.81,1.54,- -,1.94,-14.36%,1.07%,1.06,326.78,-,1.00,21.31%,1.38%,0.58,289.29,7923,0.97,Sep 02 AMC,18.53%,1.78M,284.42,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,031,024",-1.68%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,21.87,3.80,11.17%,267.28M,-3.81%,24.84B,13.97,5.94,-0.59%,265.85M,2.04%,17.11B,5.21,1.44,63.75%,2.13%,8.34%,1.19B,5.23,5.55%,-0.33%,1.62,6.25%,4.75B,2.78,1.60%,11.03%,5.67M,1.72%,29.82,3.19,4.20%,13.60%,92.80 -10.55%,22.92%,26.02,13.46,-10.66% 106.45%,13.23%,64.41 28.88%,5.99%,-,14.54,4.40% 49.60%,76.38%,2.21%,2.21%,-79.91%,-,3.60,36.57%,20.43%,1.89,-,-,4.36,3.63%,24.99%,53.83,2.31,- -,4.36,66.82%,-0.86%,0.78,92.31,0.00%,0.01,4.71%,6.57%,0.57,82.58,7412,0.00,Aug 21 AMC,5.38%,3.51M,83.01,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","1,997,594",0.52%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.08%,109.91M,-0.28%,3.62B,91.84,0.35,-18.92%,108.95M,-4.53%,2.97B,-,-0.25,37.54%,4.35%,-12.09%,-212.37M,8.45,43.65%,-2.88%,6.23,-8.22%,427.80M,4.51,124.15%,-19.74%,4.74M,24.05%,7.20,4.34,-,-28.39%,44.34 -26.73%,48.70%,7.48,-,30.02% -3.16%,-26.45%,20.17 61.08%,-30.13%,-,-,40.31% 98.33%,62.39%,2.79%,3.92%,-59.80%,-,6.95,33.47%,-57.71%,1.45,-,-,2.93,32.38%,-49.64%,48.33,1.27,- -,3.12,54.50%,1.54%,1.07,52.88,-,0.24,9.81%,-5.77%,0.50,32.07,1869,0.01,Aug 07 BMO,0.86%,760.64K,32.49,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","376,784",1.31%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,-7.26%,7.37B,13.92,2.07,-,-,-3.94%,10.86B,-,-0.23,4.28%,-,9.27%,-462.32M,0.59,56.00%,11.12%,1.04,9.94%,12.55B,-,222.69%,-7.04%,0.59M,1.34%,-13.26,5.17,-,-,33.32 -13.68%,77.42%,5.56,-,5.46% -,-,16.95 69.68%,-,-,-,118.43% 118.66%,18.90%,1.57%,1.80%,-,-,0.87,62.51%,-4.64%,0.76,-,-,0.49,39.14%,-3.68%,45.37,1.00,- -,0.59,82.59%,-1.96%,0.04,35.46,-,-,37.06%,-2.23%,0.26,28.88,17439,-,Aug 14 BMO,7.13%,570.44K,28.76,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","146,369",-0.42%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.38,5.48,1.58%,147.60M,-1.03%,8.40B,9.69,5.87,-0.03%,145.30M,1.79%,-,1.33,1.46,79.12%,4.30%,13.52%,807.00M,1.69,15.34%,0.18%,4.18,11.57%,4.97B,1.29,2.87%,0.95%,6.25M,4.90%,44.24,-,7.83%,13.23%,63.22 -9.98%,18.59%,-,10.49,-9.99% 3.54%,10.37%,39.32 44.74%,-2.52%,1.74 (3.06%),-,19.10% 8.98%,-,2.59%,2.45%,80.55%,1.74 (3.06%),-,32.07%,22.09%,1.43,95.16%,"Aug 14, 2025",-,2.64%,16.23%,50.86,2.77,4.85% 5.34%,0.13,27.04%,-1.19%,0.92,61.57,33.52%,1.10,-1.04%,2.42%,1.04,57.29,9406,0.18,Jul 21 AMC,8.58%,1.50M,56.91,"Mar 17, 1980",Yes / Yes,24.68% 3.35%,"

","1,552,629",-0.66%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.87,16.63,1.18%,120.46M,-1.62%,1.75B,-,-3.21,0.00%,119.04M,2.76%,5.90B,-,0.81,52.78%,15.71%,-5.40%,2.00B,0.20,-84.17%,9.01%,3.63,-4.41%,8.58B,0.45,-213.92%,19.27%,18.70M,-32.32%,32.35,0.99,-,59.06%,29.00 -49.90%,-24.70%,14.72,0.54,-23.79% -,23.31%,11.03 31.67%,-47.44%,1.00 (6.91%),1.59,-7.73% 20.63%,32.33%,3.09%,3.17%,-,6.78 (46.66%),0.69,202.12%,28.74%,0.57,-,"Sep 02, 2025",1.11,43.57%,23.37%,50.15,3.78,16.67% -,1.20,-93.86%,3.87%,1.66,13.72,22.25%,1.52,-15.36%,-4.00%,0.68,14.39,6700,1.21,Aug 20 BMO,-14.08%,5.15M,14.53,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","3,500,999",0.97%,ZIM
