Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.53,0.71,16.39%,172.26M,0.47%,5.55B,24.73,1.30,-9.55%,144.40M,-0.12%,124.20M,3.19,0.31,84.28%,3.54%,2.98%,1.53B,3.62,20.75%,5.97%,5.12,14.18%,9.34,3.44,10.89%,4.22%,5.11M,51.15%,0.91,35.31,14.28%,7.19%,20.70,34.58,9.21%,0.27 (0.84%),19.60,18.47%,5.80%,-7.11%,1.22,0.30 (0.93%),1.95,0.20%,39.86%,55.17%,0.81,"May 17, 2024",3.31,95.74%,15.14%,52.86,2.21%,2.55%,2400,0.33,8.34%,8.11%,2.25,35.29,Yes / Yes,0.33,52.74%,45.61%,0.77,31.64,1.18%,12.10%,0.46%,Apr 23 AMC,997.10K,32.12,0.89%,0.56%,8.19%,"

","770,665",1.52%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.49,7.29%,137.79M,3.69%,1.52B,20.17,0.52,-9.19%,135.40M,23.25%,-68.19M,-,0.07,73.97%,4.26%,20.67%,431.66M,3.52,23.03%,-0.37%,3.35,39.65%,0.92,11.35,26.85%,-9.14%,5.77M,41.55%,3.52,2.95,-,-59.08%,7.05,12.12,10.53%,-,-,9.40%,-12.86%,-14.27%,1.73,-,2.37,12.97%,66.48%,47.38%,0.38,-,2.37,47.34%,-13.09%,68.49,3.72%,4.17%,1618,3.02,8.98%,-15.80%,1.67,11.50,Yes / Yes,2.97,39.06%,-,0.95,10.08,-0.10%,140.00%,7.40%,Feb 28 AMC,1.72M,10.39,11.47%,15.72%,17.24%,"

","1,631,214",3.08%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,31.99,5.19,0.08%,458.37M,3.91%,75.72B,25.93,6.40,-9.57%,455.94M,0.05%,2.39B,3.36,1.50,96.08%,0.70%,-12.74%,8.73B,8.67,8.61%,0.02%,0.87,3.13%,11.07,14.99,10.75%,17.02%,3.18M,-7.02%,4.33,38.34,9.53%,50.06%,144.80,201.92,-15.92%,1.73 (1.04%),43.27,11.57%,20.26%,-17.81%,0.88,1.61 (0.97%),1.94,8.05%,68.34%,14.61%,4.88,"Apr 18, 2024",3.33,17.17%,35.97%,57.00,2.72%,2.86%,14100,1.34,7.91%,27.38%,1.42,215.99,Yes / Yes,1.33,9.89%,30.71%,0.84,167.07,1.70%,2.54%,9.50%,May 02 BMO,3.67M,165.95,5.95%,-2.06%,-7.63%,"

","3,080,531",-0.67%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.43,1.48,0.61%,606.77M,0.28%,12.81B,10.92,1.96,0.00%,594.97M,2.39%,1.23B,0.98,0.34,43.02%,3.04%,28.99%,5.46B,2.35,15.01%,3.55%,3.92,-10.57%,13.90,1.54,16.39%,10.37%,18.09M,-21.29%,4.82,4.44,14.70%,15.22%,15.90,30.05,0.56%,0.71 (3.31%),-,13.37%,13.00%,-28.79%,-0.10,0.62 (2.90%),1.30,15.78%,30.85%,34.63%,0.55,"Apr 09, 2024",1.34,23.33%,24.56%,57.70,1.89%,1.95%,23554,0.26,3.77%,22.58%,1.19,28.57,Yes / Yes,0.13,0.92%,0.00%,0.74,21.48,-2.59%,-0.99%,6.62%,May 15 AMC,4.62M,21.40,4.40%,3.51%,-2.83%,"

","3,418,670",-0.37%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.94,40.47%,147.17M,-0.50%,26.70B,54.24,3.28,-0.40%,89.21M,-2.84%,-138.67M,-,0.65,46.12%,6.18%,-23.23%,1.90B,14.08,54.55%,5.60%,2.34,11.90%,6.40,27.82,18.72%,-3.98%,5.51M,103.03%,16.41,10.85,38.21%,-18.64%,86.93,259.61,-19.60%,-,53.32,-17.41%,-6.46%,-31.38%,0.86,-,1.90,53.60%,77.40%,104.94%,5.51,-,1.90,58.51%,-9.70%,45.10,3.22%,2.74%,5962,1.29,40.62%,-7.32%,1.48,260.85,Yes / Yes,1.24,51.94%,-,0.55,177.11,3.42%,30.99%,35.45%,Feb 29 AMC,2.36M,178.14,0.60%,-7.88%,-4.89%,"

","1,302,349",0.58%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-4.56,10.10%,70.77M,2.63%,832.24M,-,-3.77,-0.10%,63.84M,-22.28%,-292.19M,-,-0.77,109.98%,26.06%,3.17%,0.00M,-,18.03%,-0.98%,20.23,-29.40%,6.18,1.90,-2.93%,-52.39%,16.64M,-46.68%,6.80,1.72,-,-67.09%,9.56,31.46,-22.64%,-,-,-50.05%,-60.82%,-62.75%,1.83,-,7.16,-20.00%,-,22.59%,0.91,-,7.16,-0.81%,0.00%,41.71,7.64%,6.64%,168,0.10,-,-,1.40,33.56,Yes / Yes,0.10,7.17%,-,0.35,11.71,-,-5.81%,-,Feb 27 BMO,822.54K,11.72,-7.08%,-15.14%,-30.16%,"

","284,358",0.09%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,30.10,2.05,24.06%,260.90M,-2.37%,19.25B,12.28,5.03,-0.35%,236.53M,-1.78%,637.46M,20.07,1.19,55.89%,5.40%,-2.94%,4.53B,4.25,-5.51%,-0.54%,3.67,0.88%,26.07,2.37,2.23%,7.06%,12.78M,-0.64%,22.38,2.76,1.50%,8.96%,58.87,75.90,-14.03%,-,13.08,-,7.90%,-18.56%,-0.01,-,4.38,95.81%,74.72%,5.01%,1.53,-,4.38,516.13%,11.60%,47.46,2.67%,2.24%,7420,0.01,3.06%,14.08%,2.63,78.03,Yes / Yes,0.01,368.46%,0.00%,0.80,61.82,1.54%,23.91%,2.56%,May 20 AMC,3.49M,61.82,0.70%,-4.21%,-7.15%,"

","2,780,850",0.00%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.46,0.54%,98.72M,4.90%,1.67B,-,-1.39,-9.35%,98.19M,8.96%,-334.62M,-,-0.51,42.01%,4.15%,-23.55%,266.72M,6.26,7.60%,-2.02%,6.41,-33.63%,8.19,2.07,56.67%,-29.66%,4.08M,-52.14%,8.17,2.07,-,-36.34%,13.48,39.50,-38.13%,-,-,-16.93%,-41.61%,-57.19%,1.14,-,4.41,2095.12%,64.08%,25.45%,0.83,-,4.63,25.17%,-141.19%,58.11,5.14%,4.48%,2175,0.02,24.03%,-125.46%,1.15,51.69,Yes / Yes,0.01,-52.98%,-,0.90,16.25,-8.76%,-90.47%,5.16%,May 08 AMC,636.23K,16.91,10.91%,-1.36%,-27.55%,"

","569,775",4.06%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.85,8.87%,127.44M,6.97%,1.62B,13.95,0.91,0.00%,116.14M,-21.23%,-136.80M,-,-0.06,0.63%,0.04%,-27.63%,1.23B,1.32,263.88%,-,0.79,-,2.82,4.52,539.46%,-4.29%,0.04M,-,2.35,5.42,-,-9.63%,11.25,21.91,-21.95%,-,-,-,-28.89%,-41.91%,-,-,1.56,26.18%,16.66%,13.16%,1.22,-,1.73,26.52%,-4.62%,41.45,6.37%,9.14%,3476,0.26,-0.20%,-11.13%,1.00,21.38,No / Yes,0.05,63.33%,-,0.41,12.34,-,-,6.47%,Mar 19 BMO,53.67K,12.73,-5.47%,-21.95%,-23.67%,"

","21,801",3.16%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,22.62,0.47,30.23%,76.17M,1.05%,1.05B,73.58,0.14,-0.98%,69.28M,-5.30%,49.10M,2.20,-0.06,49.63%,4.77%,-24.70%,645.72M,1.62,-117.29%,-1.82%,5.98,-5.80%,0.08,124.62,280.24%,7.15%,3.31M,-35.47%,5.24,2.01,10.30%,265.50%,10.04,19.29,-24.10%,-,10.24,-,8.77%,-45.31%,1.25,-,6.57,17.01%,89.72%,5.08%,0.36,-,6.57,-9.45%,13.48%,43.44,3.79%,3.02%,1000,66.40,-28.62%,7.60%,2.38,14.20,Yes / Yes,65.87,-67.13%,0.00%,0.60,10.33,6.05%,-32.61%,-35.42%,May 09 AMC,553.05K,10.55,-1.03%,-7.80%,-21.05%,"

","331,232",2.13%,ZIP
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.96,3.99,1.65%,148.15M,5.76%,6.47B,9.40,4.65,-0.78%,145.71M,3.85%,590.00M,-,1.08,80.33%,6.14%,12.43%,4.75B,1.36,-1.11%,2.23%,3.10,31.51%,36.50,1.20,8.12%,0.71%,8.94M,119.27%,-,-,-8.32%,11.37%,18.26,46.15,-0.39%,1.66 (3.80%),8.20,1.26%,9.26%,-5.31%,1.10,1.64 (3.75%),-,9.97%,-,139.32%,1.25,"May 15, 2024",0.11,-31.68%,16.98%,62.40,2.49%,2.84%,9679,0.93,28.04%,12.41%,3.00,45.45,Yes / Yes,0.09,-27.86%,37.74%,0.50,43.62,-0.10%,1.43%,11.63%,Apr 22 BMO,2.89M,43.70,5.75%,6.54%,14.09%,"

","1,453,274",0.18%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,-,-22.42,21.72%,120.29M,2.68%,1.61B,-,-3.21,0.00%,94.19M,20.25%,-2695.60M,-,1.57,22.95%,33.45%,1.82%,5.16B,0.31,94.69%,-12.67%,7.08,63.26%,20.41,0.66,-169.71%,-26.99%,31.50M,-17.92%,14.92,0.90,-,-64.61%,6.39,17.97,35.97%,0.27 (1.98%),3.20,-,-46.70%,-25.30%,1.54,-,0.95,29.90%,-3.77%,110.02%,0.69,"Apr 04, 2023",1.02,-158.24%,-8.78%,66.36,5.77%,5.58%,6460,2.04,-58.90%,-52.22%,3.43,9.36,Yes / Yes,1.35,-135.88%,-,1.55,12.88,0.49%,19.48%,-44.94%,May 21 BMO,4.45M,13.42,18.32%,22.21%,22.20%,"

","6,908,756",4.19%,ZIM
