Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.69%,74.85M,3.13%,1.12B,-,-1.03,342.95%,72.94M,14.68%,861.22M,-,-0.29,101.02%,9.33%,30.75%,-73.68M,9.15,39.87%,14.61%,15.02,11.24%,122.87M,3.35,-5.24%,-15.95%,6.81M,1.37%,4.44,3.99,-2.46%,-19.89%,17.70 -16.16%,28.60%,3.72,-,26.71% 15.81%,-21.07%,9.03 64.34%,127.61%,-,-,41.95% 20.90%,89.52%,3.95%,4.61%,-50.71%,-,7.01,35.69%,-67.32%,0.60,-,-,7.69,95.94%,-59.96%,63.30,1.44,- -,7.69,106.06%,8.52%,1.28,23.12,-,0.06,153.21%,10.72%,1.76,14.93,286,0.05,Aug 07 AMC,12.19%,453.37K,14.84,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","796,955",-0.60%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.34,1.01,11.57%,167.66M,3.31%,7.69B,29.18,1.57,-1.51%,148.17M,6.87%,8.04B,4.50,0.40,91.77%,2.85%,25.76%,174.00M,4.76,11.72%,-0.61%,4.46,30.93%,1.61B,4.92,9.97%,6.40%,4.22M,23.03%,9.33,38.08,10.08%,10.81%,46.60 -1.52%,43.00%,1.20,27.31,32.18% -7.41%,8.26%,27.74 65.43%,54.77%,0.37 (0.80%),22.41,19.81% -5.41%,41.82%,2.02%,2.15%,212.79%,0.36 (0.78%),4.98,30.64%,16.77%,0.94,342.99%,"Aug 20, 2025",1.72,4.74%,10.78%,64.15,2.44,3.23% 0.62%,2.71,12.98%,1.68%,1.09,45.57,35.98%,0.36,7.89%,13.08%,0.85,46.55,2500,0.35,Jul 29 AMC,23.25%,945.17K,45.89,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","800,995",-1.42%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,26.63,5.81,0.17%,443.95M,-0.53%,68.60B,22.42,6.91,-0.29%,442.41M,4.02%,73.96B,3.14,1.64,98.11%,1.49%,-7.39%,2.61B,7.31,7.24%,0.81%,2.10,-6.18%,9.38B,13.81,8.77%,18.24%,6.60M,-5.00%,11.21,47.81,8.49%,52.54%,200.33 -22.73%,-14.74%,3.24,30.91,8.55% 11.91%,25.07%,139.70 10.80%,-4.70%,1.99 (1.29%),18.46,5.98% 8.14%,70.03%,1.29%,2.23%,-2.26%,1.93 (1.25%),7.88,13.72%,37.51%,3.07,233.74%,"Jul 18, 2025",1.04,5.27%,27.83%,53.65,1.57,18.93% 21.14%,1.76,17.78%,1.74%,0.89,195.36,32.86%,1.36,4.19%,0.88%,0.57,155.37,13800,1.09,Aug 05 BMO,-4.64%,3.15M,154.79,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","1,788,491",-0.37%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.61,1.46,0.00%,593.65M,-3.35%,10.95B,11.02,1.67,-,593.65M,-7.71%,9.97B,1.67,0.34,14.65%,2.24%,3.25%,1.21B,1.71,-2.11%,-16.77%,6.32,-6.25%,6.42B,1.65,13.95%,9.38%,13.30M,-5.68%,11.20,2.95,7.54%,13.98%,27.50 -32.95%,-9.78%,6.24,-,18.24% 8.45%,13.37%,16.34 12.85%,-30.19%,0.62 (3.34%),5.41,9.28% 13.97%,27.49%,2.00%,2.11%,-40.30%,0.70 (3.80%),1.55,2.41%,21.97%,0.53,-,"Sep 30, 2025",1.19,14.40%,18.81%,38.00,1.43,- -,1.21,-25.19%,-6.59%,-0.14,23.56,45.76%,0.29,10.45%,-3.00%,0.83,18.80,24471,0.01,Aug 19 AMC,-3.29%,2.10M,18.44,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","1,740,330",-1.91%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.22%,155.70M,3.72%,43.66B,76.63,3.66,-0.86%,97.74M,-2.54%,41.88B,-,0.80,54.34%,6.10%,11.67%,-38.78M,17.14,0.04%,-0.92%,2.83,46.03%,2.55B,24.19,14.66%,-0.81%,5.97M,55.43%,11.59,14.53,11.75%,-2.68%,318.46 -11.94%,41.76%,19.30,63.18,41.55% -10.72%,-2.11%,153.45 82.74%,69.59%,-,-,47.68% 48.24%,77.33%,2.74%,2.90%,107.38%,-,16.45,49.20%,-4.59%,7.50,-,-,1.18,25.46%,-1.52%,52.16,1.69,- -,1.18,-121.43%,1.80%,1.05,317.31,-,0.68,22.57%,-3.15%,0.80,273.07,7348,0.02,Sep 02 AMC,20.32%,2.11M,280.42,"Mar 16, 2018",Yes / Yes,11.64% 1.74%,"

","1,696,338",2.69%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,21.29,3.80,11.18%,267.28M,10.47%,24.19B,13.63,5.93,-1.07%,265.84M,8.88%,16.46B,5.24,1.44,63.67%,2.57%,1.11%,1.19B,5.09,5.55%,0.15%,2.11,10.91%,4.75B,2.71,1.44%,11.03%,6.82M,-0.96%,29.82,3.11,4.06%,13.60%,92.80 -12.90%,13.33%,26.02,13.11,-10.66% 106.45%,13.23%,64.41 25.49%,-0.60%,-,13.99,4.40% 49.60%,76.38%,4.31%,2.80%,-72.10%,-,3.46,36.57%,20.43%,2.22,-,-,4.36,3.63%,24.99%,63.40,2.29,- -,4.36,66.82%,8.95%,0.57,91.62,0.00%,0.01,4.71%,7.35%,0.92,80.96,7412,0.00,Aug 21 AMC,2.73%,3.23M,80.83,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,962,037",-0.16%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.08%,109.91M,-5.21%,3.59B,71.07,0.45,-22.78%,108.95M,-16.46%,2.94B,-,-0.25,37.11%,4.38%,2.91%,-212.37M,8.38,45.12%,-2.92%,6.12,-6.28%,427.80M,4.47,131.77%,-19.74%,4.78M,23.02%,7.20,4.31,-,-28.39%,44.34 -27.33%,69.31%,7.48,-,29.99% -3.19%,-26.45%,18.32 75.87%,-23.61%,-,-,40.38% 98.40%,62.39%,3.08%,3.04%,-59.91%,-,6.88,33.33%,-57.71%,1.47,-,-,2.93,32.56%,-49.64%,38.91,1.29,- -,3.12,54.50%,-8.49%,1.03,53.76,-,0.24,9.81%,-9.80%,1.01,32.56,1869,0.01,Aug 07 BMO,1.14%,780.27K,32.22,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","786,826",-1.04%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,-1.30%,7.51B,14.46,2.05,-,-,3.96%,11.00B,-,-0.23,4.32%,-,11.62%,-462.32M,0.60,56.23%,11.74%,1.26,13.07%,12.55B,-,222.51%,-7.04%,0.59M,4.58%,-13.26,5.27,-,-,33.32 -10.92%,85.27%,5.63,-,5.46% -,-,15.00 97.87%,-,-,-,118.43% 118.66%,18.90%,2.58%,2.66%,-,-,0.88,62.51%,-4.64%,0.81,-,-,0.49,39.14%,-3.68%,52.73,1.00,- -,0.59,82.59%,0.49%,0.09,35.56,-,-,37.06%,4.63%,1.57,29.46,17439,-,Aug 14 BMO,12.68%,468.79K,29.68,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","736,047",0.75%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.55,5.48,1.62%,147.60M,8.07%,8.53B,9.87,5.86,-0.03%,145.24M,6.65%,-,1.38,1.46,79.15%,4.25%,21.13%,807.00M,1.72,15.11%,0.35%,4.37,7.78%,4.97B,1.31,2.84%,0.95%,6.17M,6.57%,44.24,-,7.63%,13.23%,63.22 -8.55%,17.82%,-,10.66,-9.99% 3.54%,10.37%,39.32 47.04%,2.89%,1.74 (3.01%),-,19.10% 8.98%,-,2.34%,2.18%,83.02%,1.74 (3.01%),-,32.07%,22.09%,1.23,100.68%,"Aug 14, 2025",-,2.64%,16.23%,68.63,2.84,4.85% 5.34%,0.13,27.04%,7.52%,0.95,61.20,33.52%,1.10,-1.04%,7.15%,0.84,58.00,9406,0.18,Jul 21 AMC,9.89%,1.41M,57.81,"Mar 17, 1980",Yes / Yes,24.68% 3.35%,"

","1,183,999",-0.32%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.83,16.63,1.18%,120.46M,-5.71%,1.67B,-,-3.06,0.00%,119.04M,-13.05%,5.82B,-,1.05,52.67%,15.71%,-19.56%,2.00B,0.19,-83.79%,9.23%,3.23,-31.93%,8.58B,0.43,-205.79%,19.27%,18.70M,-35.44%,32.35,0.94,-,59.06%,29.00 -52.21%,-27.41%,14.72,0.51,-23.79% -,23.31%,11.03 25.60%,-70.39%,1.04 (7.54%),1.57,-7.73% 20.63%,32.33%,3.25%,4.13%,-,7.62 (54.94%),0.68,202.12%,28.74%,0.68,-,"Sep 02, 2025",1.11,43.57%,23.37%,33.47,4.29,16.67% -,1.20,-93.86%,-11.42%,1.66,13.54,22.25%,1.52,-15.36%,-12.79%,0.94,14.21,6700,1.21,Aug 20 BMO,-21.71%,5.80M,13.86,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","5,471,355",-2.46%,ZIM
