Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,41.39,0.71,15.99%,172.26M,0.00%,5.04B,22.48,1.30,-15.52%,145.09M,-4.76%,124.20M,2.90,0.31,84.31%,2.85%,-9.82%,1.53B,3.29,20.75%,5.97%,4.50,0.31%,9.34,3.13,10.89%,4.22%,4.13M,9.00%,0.91,32.10,14.28%,7.19%,25.09,34.58,-0.71%,0.27 (0.92%),17.82,18.47%,5.80%,-15.56%,1.17,0.31 (1.06%),1.95,0.20%,39.86%,16.38%,0.66,"May 17, 2024",3.31,95.74%,15.14%,37.02,2.46%,1.91%,2400,0.33,8.34%,8.11%,2.25,35.14,Yes / Yes,0.33,52.74%,45.61%,0.69,29.18,1.18%,12.06%,0.46%,Apr 23 AMC,918.85K,29.20,-3.16%,-6.53%,-2.87%,"

","629,889",0.07%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.57%,137.79M,4.01%,1.42B,18.53,0.52,-9.32%,136.89M,-1.44%,-62.61M,-,0.09,73.66%,5.59%,12.28%,438.33M,3.24,29.09%,-0.36%,4.83,9.71%,0.94,10.21,21.60%,-8.44%,7.66M,-14.06%,3.69,2.60,-,-51.53%,7.05,11.80,2.13%,-,-,9.40%,-11.66%,-18.64%,1.72,-,2.50,12.97%,67.51%,36.17%,0.30,-,2.50,50.48%,-8.58%,48.63,3.79%,2.81%,1618,2.90,7.97%,-14.28%,1.67,12.33,Yes / Yes,2.85,34.02%,-,0.69,9.60,0.88%,61.76%,6.47%,May 22 AMC,1.59M,9.60,-0.35%,-3.00%,8.52%,"

","1,090,684",0.00%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,33.77,5.19,0.08%,458.37M,2.52%,79.94B,27.42,6.39,-5.51%,455.93M,1.64%,2.39B,3.54,1.49,95.62%,1.51%,7.50%,8.73B,9.15,8.35%,0.02%,2.16,-10.87%,11.07,15.83,10.82%,17.02%,6.88M,2.92%,4.33,40.48,9.53%,50.06%,144.80,201.92,-11.23%,1.74 (0.99%),45.68,11.57%,20.26%,-13.23%,0.86,1.61 (0.92%),1.94,8.05%,68.34%,20.99%,4.13,"Jul 18, 2024",3.33,17.17%,35.97%,56.03,2.40%,2.15%,14100,1.34,7.91%,27.38%,1.22,214.49,Yes / Yes,1.33,9.89%,30.71%,0.39,174.81,1.70%,2.54%,9.50%,May 02 BMO,3.19M,175.20,1.15%,3.77%,-0.91%,"

","1,251,823",0.22%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.52,1.43,1.10%,606.77M,-1.61%,12.47B,10.57,1.96,0.00%,593.93M,-10.29%,1.19B,0.97,0.43,39.03%,2.98%,-3.76%,5.52B,2.26,13.86%,3.55%,4.65,0.29%,9.92,2.09,18.37%,9.82%,17.67M,-17.46%,4.58,4.53,15.01%,15.03%,15.90,28.04,-2.44%,0.70 (3.38%),-,13.37%,13.12%,-25.96%,-0.11,0.62 (2.99%),1.11,15.78%,31.20%,30.61%,0.60,"Apr 09, 2024",1.15,7.93%,24.81%,36.30,2.33%,2.48%,23554,0.27,3.63%,21.49%,1.33,29.22,Yes / Yes,0.13,-18.31%,0.00%,0.60,20.57,5.91%,-23.59%,4.72%,May 15 AMC,3.80M,20.76,-6.28%,-6.66%,-3.11%,"

","2,269,591",0.92%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.50,39.88%,147.17M,10.83%,29.97B,59.53,3.33,-0.18%,90.87M,17.32%,-73.50M,-,0.70,47.33%,5.59%,6.44%,2.03B,14.77,68.40%,5.55%,2.37,-6.63%,7.22,27.45,10.50%,-1.99%,5.08M,35.28%,14.82,13.38,26.82%,-8.68%,131.59,259.61,-10.50%,-,54.50,-17.41%,-3.23%,-23.62%,0.84,-,1.67,53.60%,77.75%,50.70%,6.05,-,1.67,73.33%,-6.90%,66.53,3.48%,3.10%,5962,1.13,37.16%,-3.62%,1.52,231.01,Yes / Yes,1.08,139.17%,-,0.40,196.66,3.19%,33.96%,32.09%,May 30 AMC,2.14M,198.30,8.05%,11.55%,2.76%,"

","855,352",0.83%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-3.36,12.49%,70.77M,-11.06%,262.74M,-,-3.63,-0.47%,62.14M,-67.54%,-218.90M,-,-0.84,113.60%,28.72%,-76.31%,40.56M,6.48,40.00%,-0.93%,13.58,-76.86%,6.46,0.57,-35.33%,-41.82%,17.84M,-86.92%,6.89,0.54,-,-51.86%,3.43,29.04,-75.58%,-,-,-50.05%,-43.66%,-87.26%,1.71,-,9.19,-20.00%,96.66%,7.71%,0.77,-,9.19,21.74%,-527.00%,20.45,10.02%,12.83%,168,0.10,-,-539.70%,2.27,10.70,Yes / Yes,0.09,113.26%,-,0.29,3.57,170.40%,118.25%,-,May 07 BMO,1.31M,3.70,-48.94%,-62.89%,-72.64%,"

","377,900",3.64%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,21.72,2.69,22.24%,260.90M,1.51%,18.06B,11.43,5.11,-0.33%,240.46M,-5.38%,838.33M,14.48,1.21,59.95%,4.11%,-7.61%,4.56B,3.96,-3.15%,-0.53%,3.04,-15.53%,26.83,2.18,1.29%,8.90%,9.88M,-14.47%,23.88,2.45,1.50%,11.31%,55.63,75.90,-18.77%,-,10.98,-,10.05%,-23.05%,-0.06,-,4.36,95.81%,74.87%,5.00%,1.32,-,4.36,19565.00%,17.35%,42.93,1.88%,2.30%,7420,0.01,3.13%,18.37%,2.57,75.05,Yes / Yes,0.00,1250.20%,0.00%,0.44,58.34,1.35%,13.52%,3.25%,May 20 AMC,3.25M,58.41,-1.86%,-4.51%,-9.99%,"

","1,415,746",0.12%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.50,0.54%,99.12M,0.61%,1.79B,-,-1.61,-14.34%,98.59M,0.44%,-338.95M,-,-0.71,43.66%,2.83%,13.71%,291.07M,6.16,17.87%,-2.05%,4.66,-30.62%,7.83,2.31,43.38%,-31.41%,2.79M,-37.16%,7.57,2.39,-,-38.44%,13.48,32.60,-33.85%,-,-,-16.93%,-44.04%,-44.54%,1.05,-,4.43,2095.12%,62.86%,34.12%,0.92,-,4.63,18.13%,-129.65%,47.46,4.59%,4.38%,2175,0.08,25.94%,-116.45%,1.17,52.28,Yes / Yes,0.01,-7.51%,-,0.32,17.37,15.83%,40.53%,38.78%,May 08 AMC,599.02K,18.08,-3.55%,-1.30%,-17.14%,"

","192,017",4.09%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.87%,127.44M,-1.28%,490.64M,6.17,0.62,0.00%,116.14M,-60.43%,-126.89M,-,0.00,0.52%,0.13%,-76.52%,1.20B,0.41,128.68%,-,1.13,-75.63%,2.82,1.37,2411.11%,-4.29%,0.15M,-,2.21,1.75,-,-9.63%,3.19,21.91,-76.39%,-,-,-,-27.40%,-82.43%,-,-,1.63,26.18%,16.84%,20.69%,0.85,-,1.82,18.59%,-4.42%,30.26,4.15%,20.06%,3476,0.28,-3.00%,-10.53%,1.00,15.75,No / Yes,0.04,44.09%,-,1.59,3.76,-5.59%,-26.47%,-8.66%,May 21 BMO,136.34K,3.85,-38.80%,-58.65%,-73.08%,"

","217,027",2.39%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,25.06,0.36,30.33%,76.17M,0.56%,883.86M,-,-0.11,-0.71%,69.19M,-10.28%,37.58M,2.43,-0.07,51.12%,4.88%,-19.16%,584.21M,1.51,-160.13%,-1.82%,6.20,-34.41%,0.13,69.85,60.76%,5.70%,3.37M,-50.06%,5.17,1.72,10.30%,855.40%,8.27,19.29,-35.97%,-,9.00,-,6.67%,-53.86%,1.19,-,6.58,17.01%,89.88%,7.68%,0.29,-,6.58,-27.43%,12.87%,39.68,2.56%,3.11%,1000,43.95,-32.16%,6.43%,2.44,12.25,Yes / Yes,43.55,-244.08%,0.00%,0.31,9.15,1.01%,-15.68%,-33.48%,May 09 AMC,543.87K,8.90,-2.89%,-9.09%,-25.70%,"

","165,941",-2.73%,ZIP
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.72,3.98,1.63%,148.15M,2.01%,6.30B,9.16,4.66,-0.73%,145.25M,1.57%,588.00M,-,1.09,77.21%,6.14%,0.40%,4.75B,1.33,-0.70%,2.23%,5.69,-3.28%,36.50,1.17,7.89%,0.71%,8.92M,51.71%,-,-,-8.32%,11.33%,26.69,46.15,-2.69%,1.66 (3.89%),7.12,1.26%,8.96%,-7.50%,1.10,1.64 (3.84%),-,9.97%,-,59.95%,0.99,"May 15, 2024",0.12,-31.91%,16.98%,52.54,1.92%,2.12%,9679,0.97,28.04%,12.37%,2.92,45.62,Yes / Yes,0.13,-28.08%,37.74%,0.75,43.97,-0.10%,1.43%,11.63%,Jul 22 AMC,1.57M,42.69,2.22%,0.39%,7.80%,"

","1,178,275",-2.91%,ZION
