Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,Small,RUT,-,-1.37,4.26%,73.10M,-5.08%,1.77B,44.75,0.54,-5.66%,70.44M,-9.39%,1.67B,-,-0.36,98.18%,6.35%,-1.39%,-102.66M,21.83,244.95%,-3.17%,6.44,-9.73%,81.26M,10.86,-65.58%,-22.72%,4.47M,-8.43%,2.22,4.86,-,-42.02%,29.75 -18.96%,107.13%,4.96,-,- 21.35%,-24.22%,11.32 112.99%,178.09%,-,-,-36.43% 22.16%,87.28%,3.84%,4.57%,-23.41%,-,20.58,8.99%,-140.35%,1.06,-,-,10.82,-12.98%,-126.33%,40.88,1.00,- -,10.82,-95.19%,-3.37%,1.14,40.15,-,1.61,-91.12%,-6.86%,0.77,24.54,264,1.59,May 07 AMC,8.23%,693.93K,24.11,"Apr 28, 2017",Yes / Yes,-98.79% -90.12%,"

","533,090",-1.75%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,Mid,RUT,37.83,1.25,11.61%,167.03M,-2.83%,7.92B,24.69,1.92,-3.41%,147.49M,-7.47%,8.20B,2.10,0.47,90.21%,3.17%,-5.63%,213.30M,4.55,15.61%,-0.37%,4.40,-0.52%,1.74B,4.93,9.37%,7.95%,4.68M,2.06%,9.62,28.95,11.77%,13.33%,53.76 -11.74%,32.95%,1.64,24.92,46.13% -2.00%,9.96%,35.06 35.34%,95.35%,0.44 (0.94%),20.84,9.78% -2.36%,42.01%,2.32%,2.35%,86.26%,0.42 (0.89%),4.71,28.13%,17.61%,1.31,352.30%,"May 20, 2026",2.11,10.03%,12.26%,44.45,2.25,23.86% 3.50%,3.24,37.09%,-2.67%,1.08,56.22,32.87%,0.34,11.37%,-1.85%,0.65,46.72,2600,0.33,Apr 21 AMC,-0.09%,1.06M,47.45,"Mar 29, 2012",Yes / Yes,12.82% 3.36%,"

","692,343",1.56%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,Large,S&P 500,12.66,6.04,0.57%,420.35M,-4.79%,32.02B,10.30,7.42,-0.35%,416.84M,-33.09%,39.32B,1.33,1.86,101.23%,3.21%,-39.34%,2.64B,3.37,7.90%,-0.53%,2.36,-40.40%,9.51B,9.93,7.27%,18.07%,13.37M,-39.29%,7.69,16.50,7.77%,67.01%,172.23 -55.65%,-54.91%,4.63,14.99,10.25% 11.96%,21.19%,72.38 5.54%,-55.56%,2.14 (2.80%),9.69,5.42% 7.24%,70.43%,2.60%,4.02%,-55.83%,2.06 (2.70%),4.14,8.35%,37.57%,3.33,58.72%,"Jul 20, 2026",1.91,2.40%,27.79%,24.19,1.82,14.57% 19.02%,3.15,1.02%,-6.78%,0.74,123.20,33.71%,2.86,1.89%,-26.04%,1.35,77.56,14500,2.86,May 07 BMO,-39.01%,5.65M,76.39,"Feb 01, 2013",Yes / Yes,-4.60% -1.71%,"

","7,649,148",-1.51%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,Large,-,14.12,1.60,0.00%,560.38M,-0.53%,12.66B,9.93,2.27,-,560.38M,-10.14%,11.51B,0.68,0.50,10.54%,2.46%,-3.30%,1.30B,1.74,22.28%,-9.88%,7.87,9.39%,7.26B,1.93,12.38%,9.61%,13.79M,8.14%,11.73,2.87,14.63%,14.76%,26.20 -13.78%,31.49%,7.88,-,7.84% 14.67%,12.32%,16.94 33.35%,-14.27%,0.80 (3.52%),6.00,9.14% 13.33%,24.89%,1.58%,2.12%,-28.99%,0.69 (3.05%),1.59,1.18%,19.61%,0.55,-,"Apr 08, 2026",1.61,15.87%,17.87%,33.39,1.50,- -,1.64,16.40%,-4.78%,-0.23,29.42,43.05%,0.35,28.16%,-7.80%,0.80,22.40,23399,0.17,May 19 AMC,3.68%,1.75M,22.59,"Oct 27, 2016",Yes / Yes,-13.04% 5.48%,"

","1,395,600",0.85%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,Large,NDX,-,-0.49,35.38%,161.71M,-21.91%,23.31B,31.34,4.60,-0.07%,104.50M,3.10%,21.63B,1.71,1.09,54.40%,10.66%,-6.80%,-77.39M,7.35,25.56%,-0.42%,2.82,-42.68%,3.17B,9.85,11.68%,-1.24%,11.14M,-35.91%,14.63,6.59,18.37%,-3.71%,336.99 -57.22%,-50.83%,21.89,26.20,54.06% 21.31%,-1.86%,114.62 25.76%,1.24%,-,772.59,34.81% 44.03%,76.29%,8.99%,6.11%,-24.66%,-,6.82,-91.58%,-4.47%,12.69,-,-,1.78,24.61%,-2.44%,46.94,1.47,- -,1.78,-224.81%,-7.17%,0.95,193.45,-,0.79,25.43%,0.49%,2.14,155.71,7923,0.76,May 26 AMC,-34.56%,3.95M,144.15,"Mar 16, 2018",Yes / Yes,6.91% 1.84%,"

","8,439,121",-7.42%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,Large,-,16.42,6.81,9.97%,264.88M,11.78%,32.81B,17.79,6.29,-1.43%,263.98M,8.16%,25.11B,4.30,1.49,70.33%,2.52%,52.22%,2.07B,6.65,2.14%,-1.80%,1.43,31.69%,4.93B,3.29,4.03%,17.92%,6.66M,29.66%,33.97,4.23,4.14%,21.95%,114.74 -2.49%,37.66%,26.47,16.73,162.73% 22.38%,20.71%,69.15 61.79%,66.76%,-,18.98,3.49% 12.92%,77.40%,5.31%,4.58%,-65.80%,-,5.09,103.70%,24.17%,5.31,-,-,4.16,4.98%,41.99%,65.85,2.03,- -,4.16,74.18%,8.29%,0.99,114.28,0.00%,0.01,5.47%,20.04%,1.02,111.62,7438,0.00,May 21 AMC,29.91%,4.64M,111.88,"Apr 18, 2019",Yes / Yes,9.34% 1.21%,"

","4,749,430",0.23%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,Small,-,-,-1.62,1.68%,111.02M,-7.05%,1.93B,-,-1.64,-20.94%,110.67M,-20.38%,1.40B,-,-0.67,24.15%,4.69%,-3.22%,-178.68M,4.25,-26.81%,-7.11%,6.57,-15.97%,454.68M,2.88,19.39%,-15.75%,5.19M,-2.78%,5.96,2.54,18.44%,-24.26%,44.34 -61.32%,-45.01%,6.76,-,29.68% 14.26%,-26.51%,15.96 7.46%,-51.96%,-,-,29.03% 56.57%,57.91%,3.86%,4.72%,-90.30%,-,3.08,35.12%,-53.51%,0.95,-,-,2.19,8.57%,-39.30%,34.03,1.33,- -,2.40,-2.96%,-10.25%,0.78,32.67,-,0.35,-6.31%,-15.38%,2.24,17.09,1784,0.02,May 07 BMO,-24.85%,790.10K,17.15,"Sep 20, 2017",Yes / Yes,12.58% -8.14%,"

","1,768,813",0.35%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,Mid,-,9.64,6.43,1.59%,147.08M,-1.15%,9.12B,9.13,6.79,-2.33%,144.75M,-1.96%,-,1.40,1.55,80.61%,3.33%,7.58%,946.00M,1.85,7.75%,-2.11%,3.11,16.51%,4.93B,1.26,4.84%,1.08%,4.82M,5.94%,49.16,-,6.52%,13.95%,66.18 -6.28%,32.10%,-,7.37,1.24% 14.71%,10.02%,46.09 34.56%,113.35%,1.83 (2.95%),-,14.19% 10.90%,-,1.77%,2.00%,6.60%,1.80 (2.90%),-,25.29%,24.96%,1.30,116.32%,"May 14, 2026",-,-1.12%,19.20%,52.95,2.57,3.66% 5.29%,0.14,37.45%,0.67%,0.81,68.55,29.30%,0.36,-1.33%,1.93%,1.00,61.08,9195,0.30,Apr 20 AMC,7.46%,1.55M,62.02,"Mar 17, 1980",Yes / Yes,9.57% -0.84%,"

","1,552,761",1.54%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,Mid,-,31.04,0.81,1.75%,120.52M,-0.16%,3.04B,-,-4.40,-0.94%,118.36M,-4.07%,6.89B,-,-0.29,42.77%,2.73%,-9.67%,97.90M,0.48,-180.38%,-7.18%,1.97,23.52%,6.29B,0.79,-37.57%,0.89%,3.23M,18.75%,31.73,1.87,-,2.52%,29.97 -15.88%,48.91%,13.51,2.59,-53.07% -1.60%,1.20%,12.33 104.46%,84.70%,0.09 (0.36%),4.20,-18.09% 11.58%,10.74%,3.47%,2.97%,-38.08%,1.99 (7.89%),1.09,-95.84%,5.63%,0.69,-,"Mar 20, 2026",1.09,-29.06%,1.56%,47.15,3.50,-46.24% -,1.19,-129.13%,-1.72%,1.13,24.96,107.58%,1.43,-30.40%,-3.21%,0.82,24.72,6785,1.14,May 20 BMO,20.98%,1.63M,25.21,"Jan 28, 2021",Yes / Yes,-11.90% -5.86%,"

","1,339,074",1.98%,ZIM
Ermenegildo Zegna NV,Consumer Cyclical,Apparel Manufacturing,Italy,Mid,RUT,34.18,0.43,72.82%,268.31M,6.73%,6.18B,23.41,0.62,-0.02%,72.91M,17.36%,7.06B,1.24,-,25.41%,5.59%,32.49%,111.78M,2.85,8.09%,2.62%,5.34,36.83%,2.17B,3.23,30.59%,3.57%,4.08M,42.44%,4.51,17.79,18.81%,10.35%,14.98 -2.54%,71.56%,0.82,21.02,23.45% -,5.34%,7.61 91.98%,21.77%,0.15 (1.03%),15.30,11.30% -,55.64%,4.52%,3.78%,49.28%,0.14 (0.97%),3.26,29.96%,8.54%,0.51,-,"Jul 06, 2026",0.91,2.91%,5.16%,69.67,1.77,8.37% -,1.59,-54950.00%,9.70%,0.88,13.25,32.53%,0.95,-,20.98%,2.34,14.49,7437,0.73,Mar 20 BMO,39.17%,763.95K,14.60,"Dec 20, 2021",Yes / Yes,44.68% -0.65%,"

","1,790,924",0.76%,ZGN
