Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.85,3.74%,75.14M,3.59%,1.74B,37.41,0.62,-6.25%,72.59M,-9.30%,1.51B,0.70,-0.47,100.75%,5.27%,22.34%,-63.43M,12.96,40.00%,-2.54%,3.31,84.29%,134.48M,5.47,163.55%,-14.34%,3.82M,-12.23%,4.23,6.92,53.59%,-18.46%,28.49 -18.88%,57.21%,3.34,-,26.71% 15.81%,-18.90%,9.03 155.92%,142.24%,-,-,41.95% 20.90%,90.49%,3.94%,4.56%,-33.00%,-,11.23,43.93%,-52.51%,1.03,-,-,6.94,116.21%,-47.16%,44.76,1.00,- -,6.94,34.02%,-1.12%,1.23,35.62,-,0.06,72.59%,-7.62%,0.50,23.44,286,0.05,Nov 06 AMC,33.86%,1.15M,23.11,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","576,119",-1.41%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,44.90,1.15,11.52%,166.98M,12.18%,8.66B,28.54,1.81,-0.48%,148.06M,10.79%,8.90B,2.68,0.36,92.72%,3.24%,10.06%,198.00M,5.11,9.01%,1.73%,5.61,16.21%,1.70B,5.39,9.48%,7.22%,4.79M,11.36%,9.60,28.83,10.66%,12.06%,50.03 3.48%,32.27%,1.80,27.36,45.87% -2.11%,9.25%,27.74 86.63%,148.54%,0.42 (0.81%),23.60,9.78% -2.36%,41.64%,4.13%,2.69%,165.30%,0.38 (0.73%),5.25,25.84%,17.01%,1.37,559.14%,"Feb 20, 2026",2.07,8.26%,11.68%,74.11,2.25,23.86% 3.50%,3.13,13.96%,10.46%,1.08,51.22,33.04%,0.34,9.85%,9.91%,3.43,47.06,2500,0.34,Feb 03 AMC,20.60%,854.14K,51.77,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","2,926,122",10.01%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,21.35,5.93,0.18%,441.46M,3.91%,55.84B,18.56,6.83,0.00%,439.89M,-2.06%,61.02B,2.37,1.40,98.27%,3.54%,-12.23%,2.65B,5.94,7.10%,0.45%,2.88,-13.29%,9.40B,10.36,7.68%,17.96%,15.56M,0.70%,12.23,26.79,7.83%,49.87%,177.40 -28.58%,-26.31%,4.73,24.93,8.55% 11.91%,20.92%,115.25 9.93%,-23.07%,1.99 (1.57%),15.16,5.98% 8.14%,70.29%,2.88%,2.47%,-19.06%,2.03 (1.60%),6.49,11.51%,37.63%,3.15,193.63%,"Jan 20, 2026",2.28,2.68%,28.21%,55.46,1.78,18.93% 21.14%,3.64,8.17%,1.62%,0.96,155.27,32.86%,1.35,0.50%,2.22%,0.95,122.41,13800,1.35,Feb 12 BMO,-11.88%,5.40M,126.70,"Feb 01, 2013",Yes / Yes,4.88% -0.41%,"

","5,105,593",3.50%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.28,1.49,0.00%,591.63M,3.73%,13.28B,12.45,1.83,-,582.69M,4.97%,11.55B,1.30,0.45,11.55%,2.92%,21.09%,1.23B,2.02,6.18%,-2.12%,9.21,15.57%,6.59B,2.00,11.83%,9.42%,17.00M,9.10%,11.39,3.73,9.57%,13.83%,22.69 0.42%,23.66%,6.10,-,18.24% 8.45%,13.37%,16.34 39.47%,-19.28%,0.68 (2.99%),6.43,9.28% 13.97%,26.00%,2.20%,1.95%,-29.04%,0.65 (2.85%),1.75,3.12%,20.42%,0.48,-,"Sep 30, 2025",1.34,12.90%,18.61%,64.18,1.45,- -,1.38,7.47%,3.23%,-0.18,23.89,45.76%,0.19,11.30%,6.31%,3.85,22.51,24471,0.01,Nov 19 AMC,17.43%,1.85M,22.79,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","7,105,561",1.24%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.26,35.68%,159.47M,-13.16%,29.63B,41.50,4.48,-0.14%,102.57M,-16.60%,28.14B,2.25,0.89,52.96%,6.76%,-44.75%,-41.04M,10.46,16.26%,-1.75%,3.70,-34.11%,2.83B,14.95,17.41%,-0.73%,6.93M,-17.40%,12.43,8.92,18.48%,-2.41%,336.99 -44.87%,-7.11%,20.83,34.96,54.06% 21.31%,-1.10%,164.78 12.75%,51.54%,-,1443.86,34.81% 44.03%,76.55%,5.09%,3.71%,-9.93%,-,9.93,-8.83%,-4.14%,8.41,-,-,1.74,23.24%,-1.45%,24.96,1.45,- -,1.74,7.34%,-11.46%,1.03,317.67,-,0.93,25.50%,-18.43%,1.28,188.05,7923,0.89,Nov 25 AMC,-31.31%,1.87M,185.79,"Mar 16, 2018",Yes / Yes,12.10% 1.92%,"

","2,398,919",-1.20%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,17.65,5.15,10.52%,266.35M,-5.60%,26.89B,14.97,6.07,-2.53%,264.96M,4.97%,18.99B,3.31,1.49,69.02%,2.07%,5.27%,1.59B,5.60,7.74%,3.48%,1.77,26.68%,4.81B,2.91,1.63%,14.44%,5.49M,5.26%,31.27,3.38,4.53%,17.74%,97.58 -6.92%,5.47%,26.87,13.43,-10.66% 106.45%,17.11%,64.41 41.02%,23.58%,-,14.56,4.40% 49.60%,76.89%,5.12%,3.80%,-76.01%,-,3.95,72.42%,22.86%,3.53,-,-,4.36,3.85%,33.17%,55.12,2.18,- -,4.36,204.90%,3.88%,0.90,97.00,0.00%,0.01,4.44%,4.51%,1.81,88.73,7412,0.00,Feb 25 AMC,11.77%,3.10M,90.83,"Apr 18, 2019",Yes / Yes,5.65% 1.25%,"

","5,611,053",2.37%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.95,2.12%,110.59M,-1.16%,1.89B,-,-1.09,-9.17%,108.86M,-6.03%,1.29B,-,-0.35,29.68%,3.56%,-36.45%,-206.78M,4.28,33.03%,-4.15%,4.42,-56.97%,441.94M,2.47,37.56%,-19.29%,3.87M,-3.63%,6.87,2.31,-,-28.97%,44.34 -61.66%,-37.91%,7.35,-,30.02% -3.16%,-26.83%,15.96 6.52%,-60.26%,-,-,40.31% 98.33%,61.32%,3.73%,3.47%,-89.16%,-,2.93,30.14%,-51.59%,0.74,-,-,2.68,23.78%,-46.79%,40.69,1.31,- -,2.87,23.67%,-5.59%,0.88,39.29,-,0.29,12.75%,-7.22%,1.84,16.43,1869,0.01,Nov 06 BMO,-40.92%,875.39K,17.00,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","1,607,203",3.47%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.62,6.01,1.46%,147.65M,9.39%,9.42B,9.71,6.57,-1.54%,145.49M,5.80%,-,2.33,1.41,81.16%,4.40%,23.26%,887.00M,1.91,3.55%,1.94%,4.05,21.61%,4.94B,1.32,5.64%,1.00%,6.40M,9.00%,48.18,-,4.17%,13.39%,62.49 2.11%,13.44%,-,9.17,1.25% 14.72%,10.25%,39.32 62.28%,22.17%,1.82 (2.85%),-,14.19% 10.90%,-,2.75%,2.47%,41.27%,1.76 (2.76%),-,21.59%,23.77%,1.50,192.98%,"Feb 12, 2026",-,-1.00%,17.94%,68.91,2.68,3.66% 5.29%,0.15,30.96%,6.27%,0.81,66.67,29.28%,0.64,-0.08%,9.26%,1.86,62.36,9195,0.21,Jan 20 AMC,18.58%,1.58M,63.81,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","2,932,982",2.33%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,2.59,8.32,1.17%,120.46M,-7.36%,2.59B,-,-2.57,0.00%,119.05M,2.92%,6.31B,-,-0.32,43.16%,16.39%,40.54%,1.00B,0.34,-82.23%,-8.31%,4.21,35.32%,7.59B,0.65,-181.01%,9.16%,19.52M,1.41%,33.34,1.33,-,25.25%,24.47 -12.00%,25.32%,16.19,1.07,-23.79% -,11.79%,11.03 95.11%,19.57%,1.24 (5.78%),2.28,-7.73% 20.63%,23.74%,4.90%,4.90%,103.03%,4.28 (19.88%),0.83,-30.30%,19.63%,1.06,-,"Dec 01, 2025",1.22,1.63%,13.21%,48.13,3.83,16.67% -,1.30,-89.07%,-3.65%,1.55,16.68,22.25%,1.41,-35.73%,2.67%,0.40,21.76,6700,1.12,Nov 20 BMO,28.29%,4.64M,21.53,"Jan 28, 2021",Yes / Yes,33.09% 2.34%,"

","1,868,530",-1.06%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,23.97,0.41,75.38%,254.09M,9.59%,3.97B,20.18,0.48,0.00%,62.55M,-6.72%,5.00B,0.98,-,24.26%,5.30%,-2.51%,103.34M,1.91,25.15%,0.97%,5.38,25.29%,2.08B,2.37,8.53%,3.34%,3.32M,-5.27%,4.09,14.75,20.70%,10.58%,11.07 -12.33%,9.84%,0.66,21.48,- -,5.45%,6.05 60.50%,-15.12%,0.15 (1.51%),11.20,11.29% -,55.55%,3.66%,4.17%,-6.18%,0.14 (1.46%),2.40,-5.94%,8.97%,0.39,-,"Jul 07, 2025",0.79,-1.88%,4.97%,48.57,2.00,15.87% -,1.42,-54950.00%,-1.66%,0.74,11.43,42.68%,1.17,-,-5.17%,1.05,9.31,7395,0.82,Sep 05 BMO,4.97%,617.07K,9.71,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","645,075",4.30%,ZGN
