Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.17,0.98,11.57%,168.52M,-1.86%,5.95B,24.06,1.47,-57.94%,148.79M,-4.43%,169.50M,4.65,0.36,91.77%,3.56%,5.14%,1.58B,3.76,4.79%,1.13%,5.59,-10.64%,9.19,3.85,9.60%,6.29%,5.29M,14.91%,0.86,41.13,7.78%,10.49%,27.74,41.15,-5.17%,0.37 (1.04%),22.88,-7.41%,8.11%,-14.05%,1.03,0.35 (0.99%),1.72,-5.41%,41.66%,27.51%,0.73,"May 20, 2025",2.87,38.39%,16.67%,46.54,0.75%,1.38%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,1.61,35.56,1.36%,6.90%,4.01%,Apr 22 AMC,946.56K,35.37,-1.88%,2.18%,-1.52%,"

","1,527,868",-0.53%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,28.22,5.57,0.10%,446.04M,-6.90%,69.97B,23.02,6.83,-0.65%,444.77M,-3.96%,2.52B,3.43,1.62,95.98%,2.37%,-3.67%,9.29B,7.54,5.38%,0.35%,3.63,-10.60%,10.44,15.06,9.43%,17.70%,10.54M,-8.03%,3.87,40.66,8.23%,51.85%,139.70,200.33,-3.54%,1.99 (1.27%),30.68,11.91%,25.04%,-21.54%,0.94,1.86 (1.19%),1.04,8.14%,69.48%,12.51%,4.00,"Jul 18, 2025",1.74,7.23%,37.01%,40.74,2.38%,1.69%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,1.14,155.06,1.37%,5.00%,1.37%,May 06 BMO,2.90M,157.17,-4.99%,-1.28%,-7.96%,"

","3,296,106",1.36%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,10.96,1.57,0.86%,593.65M,-3.21%,10.22B,9.46,1.82,0.00%,588.53M,-1.66%,1.30B,0.99,0.40,22.11%,2.35%,-14.55%,6.26B,1.63,8.45%,-8.97%,4.78,-11.15%,10.73,1.60,12.66%,10.29%,13.84M,-23.20%,5.35,3.21,11.05%,15.68%,16.34,27.50,-11.97%,0.68 (3.95%),-,8.45%,15.06%,-37.42%,-0.18,0.70 (4.07%),1.02,13.97%,29.66%,5.32%,0.44,"Apr 10, 2025",1.05,10.00%,24.06%,44.09,1.89%,1.87%,24471,0.27,13.41%,20.76%,1.38,23.42,Yes / Yes,0.01,38.73%,45.76%,0.40,17.06,-9.78%,-15.96%,8.02%,May 20 AMC,2.89M,17.21,-0.67%,-4.97%,-14.79%,"

","1,145,290",0.88%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.78%,155.70M,0.50%,47.17B,82.89,3.65,-0.85%,96.89M,20.24%,-38.78M,-,0.80,54.86%,8.66%,48.83%,2.55B,18.52,0.04%,9.94%,3.15,48.20%,11.59,26.13,14.53%,-0.81%,8.39M,64.30%,19.30,15.69,11.75%,-2.68%,153.45,309.18,67.92%,-,68.25,-10.72%,-2.11%,-2.02%,1.09,-,1.18,48.24%,77.33%,97.42%,7.71,-,1.18,49.20%,-4.59%,75.39,0.93%,2.52%,7348,0.68,25.46%,-1.52%,1.68,312.77,Yes / Yes,0.02,-121.43%,-,1.26,305.41,1.74%,11.64%,22.57%,May 29 AMC,2.66M,302.94,5.27%,21.66%,46.70%,"

","3,362,005",-0.81%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.42,3.33,14.65%,261.11M,0.75%,23.60B,13.75,5.67,-1.63%,258.23M,-6.15%,1.05B,9.33,1.38,62.59%,3.20%,2.58%,4.70B,5.02,1.20%,-0.42%,3.55,-6.93%,29.34,2.66,1.17%,9.87%,8.27M,36.94%,25.82,3.02,2.51%,12.19%,55.06,92.80,-4.44%,-,13.86,106.45%,11.73%,-15.96%,0.69,-,4.48,49.60%,75.85%,41.65%,1.51,-,4.48,24.11%,18.13%,44.27,0.92%,1.17%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,1.32,77.48,0.72%,9.22%,2.93%,May 21 AMC,2.33M,77.99,-1.83%,-0.13%,0.63%,"

","3,074,559",0.66%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,109.84M,-19.71%,3.79B,80.88,0.43,-22.78%,109.14M,5.88%,-252.07M,-,-0.40,50.87%,4.68%,-7.45%,418.33M,9.07,48.40%,-5.65%,4.24,31.97%,7.48,4.62,131.84%,-23.32%,5.11M,82.03%,7.80,4.43,-,-32.05%,16.01,44.34,31.92%,-,-,-3.18%,-30.63%,-22.08%,0.95,-,3.09,98.38%,63.45%,115.80%,1.93,-,3.26,28.63%,-64.09%,47.42,4.06%,5.11%,1869,0.24,43.72%,-60.26%,1.38,52.18,Yes / Yes,0.02,18.43%,-,0.89,36.93,-5.41%,92.78%,22.19%,May 08 BMO,1.21M,34.55,-2.98%,6.38%,17.83%,"

","1,078,796",-6.44%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-1.37%,6.57B,11.95,2.17,-,-,-9.08%,-710.26M,-,-0.86,4.01%,-,-0.99%,11.52B,0.57,61.76%,-2.40%,1.37,-3.93%,-12.89,-,249.48%,-11.48%,1.03M,26.72%,5.39,4.81,-,-,13.00,33.32,-8.60%,-,-,-,-,-22.15%,0.16,-,0.45,118.66%,17.93%,99.54%,0.74,-,0.59,37.41%,-7.36%,46.71,0.64%,1.80%,17439,-,43.08%,-6.16%,1.00,39.65,Yes / Yes,-,66.34%,-,1.24,25.95,19.27%,-136.23%,47.60%,May 15 BMO,754.08K,25.94,-2.80%,4.72%,5.14%,"

","933,309",-0.04%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.46,5.13,1.68%,147.57M,-0.29%,7.17B,8.78,5.54,-1.33%,145.09M,-0.10%,756.00M,1.56,1.30,78.50%,3.87%,-2.14%,4.98B,1.44,5.14%,-2.11%,3.08,-15.72%,42.43,1.14,6.37%,0.91%,5.62M,17.74%,-,-,6.07%,13.06%,39.32,63.22,-10.45%,1.74 (3.58%),7.34,3.54%,10.04%,-23.16%,0.86,1.70 (3.50%),-,8.98%,-,23.55%,1.20,"May 15, 2025",0.15,28.90%,21.03%,53.78,1.40%,1.66%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.81,48.33,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.82M,48.58,1.29%,4.06%,-5.43%,"

","1,483,665",0.52%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.85,19.53,1.18%,120.46M,-0.24%,1.99B,-,-1.97,0.00%,119.04M,-12.31%,2.35B,-,1.22,48.42%,18.20%,-8.01%,8.87B,0.22,-81.90%,-8.44%,3.12,-15.27%,32.86,0.50,-161.21%,23.04%,21.67M,-8.78%,19.19,0.86,-,72.40%,11.03,29.00,-23.01%,1.09 (6.57%),0.56,-,27.51%,-43.00%,1.75,7.61 (46.07%),1.10,20.63%,34.71%,49.80%,0.90,"Jun 02, 2025",1.18,192.29%,31.33%,46.51,4.61%,2.90%,6700,1.49,65.83%,26.52%,4.00,15.36,Yes / Yes,1.16,226.86%,22.25%,1.50,17.72,9.06%,30.79%,28.46%,May 19 BMO,6.94M,16.53,-4.32%,3.47%,-12.03%,"

","10,414,923",-6.72%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.95,0.33,78.19%,252.58M,2.20%,3.60B,17.84,0.50,0.00%,55.08M,2.91%,83.40M,1.39,-,11.93%,8.40%,20.60%,2.11B,1.71,21.96%,-5.02%,4.64,-0.34%,3.76,2.35,17.78%,2.78%,4.62M,-24.89%,0.74,11.88,19.32%,8.89%,6.05,12.15,7.02%,0.15 (1.68%),18.59,-,4.94%,-27.24%,0.74,0.13 (1.46%),0.80,-,55.89%,46.12%,0.26,"Jul 07, 2025",1.41,-37.52%,9.45%,60.11,2.80%,1.41%,7395,1.13,2.26%,3.96%,2.75,8.77,Yes / Yes,0.78,-54950.00%,41.68%,1.10,9.06,-4.68%,-2.99%,-,Mar 27 BMO,995.81K,8.84,2.20%,8.51%,6.85%,"

","1,094,559",-2.43%,ZGN
