Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,49.41,0.79,16.26%,169.85M,0.18%,6.61B,29.16,1.34,-2.08%,142.12M,2.39%,137.70M,3.17,0.28,92.38%,4.83%,8.31%,1.55B,4.26,27.64%,9.60%,7.34,20.88%,9.34,4.17,7.90%,4.94%,6.86M,31.27%,1.11,35.19,15.61%,8.52%,28.25,41.15,4.45%,0.33 (0.85%),24.49,18.47%,6.47%,-5.32%,1.16,0.33 (0.85%),1.71,0.20%,41.40%,37.91%,0.77,"Nov 20, 2024",2.70,28.10%,16.27%,57.30,1.84%,1.99%,2400,0.35,2.55%,8.87%,2.25,40.14,Yes / Yes,0.34,6.98%,45.61%,0.70,39.36,0.95%,5.82%,2.91%,Feb 04 AMC,934.81K,38.96,3.14%,0.72%,13.93%,"

","653,085",-1.02%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.50,7.57%,145.08M,0.50%,1.55B,-,-,-5.76%,142.79M,0.91%,-73.97M,-,-,76.98%,2.61%,1.62%,452.76M,3.42,-,6.78%,1.53,9.87%,1.20,8.36,-,-9.16%,3.73M,9.15%,3.62,2.77,-,-47.76%,7.70,10.85,1.01%,-,21.71,9.40%,-12.64%,-7.65%,1.67,-,2.56,12.97%,67.98%,30.13%,0.03,-,2.56,14.25%,-4.07%,74.70,0.30%,0.24%,1618,2.21,6.78%,-16.34%,3.00,10.00,Yes / Yes,2.18,-443.70%,-,0.52,10.02,0.77%,39.13%,6.45%,Dec 09 AMC,2.44M,10.02,0.57%,0.77%,5.65%,"

","1,264,467",0.00%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.00,5.32,0.09%,451.55M,2.15%,76.80B,26.77,6.36,-0.85%,450.75M,2.84%,2.43B,3.25,1.37,94.69%,1.58%,-5.44%,9.15B,8.39,10.64%,-1.50%,2.68,-6.39%,11.59,14.69,8.03%,17.07%,7.12M,-11.12%,3.80,44.81,9.86%,47.13%,144.80,200.53,4.47%,1.73 (1.02%),33.27,11.57%,20.27%,-15.12%,0.89,1.80 (1.06%),2.27,8.19%,68.49%,17.56%,3.76,"Jan 21, 2025",3.69,8.09%,36.45%,53.69,2.35%,2.21%,14100,1.29,9.33%,26.55%,1.50,216.47,Yes / Yes,1.29,16.43%,30.71%,0.79,170.42,4.34%,8.49%,11.02%,Feb 13 BMO,2.66M,170.22,2.38%,-0.26%,-3.39%,"

","2,109,927",-0.12%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.99,1.43,0.86%,598.04M,-1.07%,11.10B,10.42,1.78,0.00%,592.88M,-6.78%,1.20B,1.25,0.45,28.44%,3.09%,-23.40%,5.83B,1.90,8.61%,-9.51%,6.17,-2.98%,10.74,1.73,10.91%,9.47%,18.34M,9.37%,5.47,3.39,10.42%,14.45%,15.90,27.50,-5.06%,0.65 (3.52%),-,13.37%,13.77%,-32.51%,-0.15,0.97 (5.23%),0.94,14.65%,31.29%,16.77%,0.51,"Sep 10, 2024",0.96,-2.64%,24.78%,43.87,2.26%,2.18%,23554,0.30,8.68%,20.51%,1.36,26.41,Yes / Yes,0.01,3.34%,40.76%,0.63,19.01,1.13%,0.45%,17.70%,Nov 19 AMC,2.97M,18.56,-1.44%,-3.57%,-12.78%,"

","1,869,208",-2.37%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.24,38.08%,153.41M,4.51%,30.94B,57.07,3.53,-0.12%,95.02M,7.46%,-36.27M,-,0.69,48.85%,4.81%,9.01%,2.30B,13.46,-6.48%,3.94%,2.54,11.31%,9.31,21.65,18.42%,-0.87%,4.57M,-14.86%,17.65,11.43,10.31%,-3.24%,153.45,259.61,11.76%,-,47.44,-10.72%,-2.47%,-22.33%,0.89,-,1.09,48.57%,77.81%,31.40%,6.72,-,1.09,79.05%,-4.74%,60.17,3.99%,3.18%,7348,0.87,30.77%,-1.58%,1.82,227.45,Yes / Yes,0.03,65.17%,-,0.96,204.68,3.71%,22.75%,26.42%,Dec 02 AMC,1.80M,201.63,6.52%,2.74%,8.88%,"

","1,729,510",-1.49%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.53,22.67%,71.15M,-16.37%,134.69M,-,-2.65,-0.04%,55.11M,-40.75%,-179.28M,-,-0.71,83.21%,9.21%,-33.22%,40.56M,3.32,44.78%,-14.75%,3.18,-54.68%,4.98,0.38,-7.49%,-34.60%,5.08M,-85.09%,5.49,0.34,16.64%,-42.89%,2.13,18.07,-37.62%,-,-,-50.05%,-45.41%,-89.54%,1.83,-,7.29,0.00%,96.77%,-11.27%,0.29,-,7.29,45.45%,-515.94%,30.02,15.29%,11.47%,168,0.12,-,-442.02%,2.09,6.47,Yes / Yes,0.11,28.19%,-,7.79,2.40,-,38.34%,-,Nov 06,1.60M,1.89,-27.65%,-37.69%,-64.24%,"

","12,439,389",-21.25%,ZNTL
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,29.11,3.00,14.69%,306.50M,9.99%,26.73B,16.28,5.36,-2.16%,261.48M,2.06%,941.21M,15.99,1.30,57.81%,3.21%,20.06%,4.63B,5.78,4.34%,-1.02%,2.60,44.56%,28.31,3.08,-1.44%,9.41%,8.40M,28.73%,25.16,3.47,1.82%,11.70%,55.06,92.80,6.85%,-,15.49,-,10.80%,-6.03%,-0.00,-,4.50,95.81%,74.54%,58.37%,2.55,-,4.50,296.12%,17.93%,64.44,4.48%,2.84%,7420,0.01,2.87%,20.34%,2.36,92.85,Yes / Yes,0.00,44.84%,0.00%,0.68,88.64,1.23%,5.67%,3.59%,Nov 25 AMC,3.23M,87.20,7.50%,5.43%,26.46%,"

","2,198,519",-1.62%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.21%,108.94M,2.29%,2.97B,-,-1.71,-10.94%,108.70M,0.07%,-270.85M,-,-0.69,42.21%,5.57%,-15.85%,355.75M,8.34,21.00%,-10.91%,7.20,44.97%,6.78,4.02,37.50%,-26.70%,6.05M,19.79%,6.57,4.14,-,-34.98%,13.48,36.60,4.01%,-,-,-16.93%,-40.20%,-25.57%,1.02,-,2.87,136.21%,63.17%,102.08%,1.29,-,3.01,10.91%,-95.07%,56.73,4.73%,4.99%,2175,0.19,35.01%,-76.13%,1.31,48.70,Yes / Yes,0.01,40.53%,-,0.56,26.68,0.02%,94.89%,47.72%,Nov 12 BMO,839.95K,27.24,5.91%,2.37%,23.43%,"

","466,177",2.10%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.26,8.87%,128.32M,-0.84%,452.97M,35.58,0.10,0.00%,116.94M,6.97%,-41.45M,-,-0.01,17.12%,0.02%,-3.29%,1.23B,0.37,-92.65%,7.00%,0.41,21.31%,2.72,1.30,158.61%,-3.21%,0.02M,-79.42%,2.29,1.54,-,-7.35%,2.62,21.91,0.57%,-,-,-,-9.02%,-83.89%,0.04,-,1.62,26.18%,17.54%,34.73%,0.22,-,1.81,72.88%,-3.55%,48.16,4.29%,6.25%,3476,0.23,1.40%,-3.38%,1.00,4.32,No / Yes,0.05,59.85%,-,0.93,3.54,-,50.00%,1.80%,Nov 22 BMO,44.50K,3.53,-0.95%,-1.09%,-32.32%,"

","41,590",-0.28%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,228.48,0.03,28.94%,75.06M,1.44%,689.78M,-,-0.18,-0.54%,69.43M,-0.84%,3.57M,-,-0.11,53.64%,4.46%,-22.93%,498.90M,1.38,-129.49%,1.67%,6.98,-20.32%,0.14,50.75,-34.86%,0.55%,3.10M,-52.96%,5.09,1.39,-,430.38%,6.51,15.35,-2.49%,-,10.28,-,0.63%,-54.01%,1.19,-,7.35,17.01%,89.13%,8.45%,0.31,-,7.35,-94.10%,5.24%,44.51,3.89%,4.37%,1000,40.75,-30.73%,0.72%,2.62,10.40,Yes / Yes,40.47,-111.35%,0.00%,0.64,7.10,4.27%,71.12%,-24.77%,Nov 06 AMC,444.30K,7.06,0.93%,-9.13%,-21.80%,"

","285,838",-0.56%,ZIP
