Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.69%,74.85M,1.42%,1.14B,-,-1.11,342.95%,72.94M,21.27%,877.13M,-,-0.29,101.02%,9.33%,24.07%,-73.68M,9.28,38.90%,14.70%,14.47,24.07%,122.87M,3.39,-11.81%,-15.95%,6.81M,2.80%,4.44,4.05,-2.56%,-19.89%,17.70 -14.97%,30.64%,3.72,-,26.71% 15.81%,-21.07%,9.03 66.67%,134.42%,-,-,41.95% 20.90%,89.52%,5.16%,4.79%,-52.60%,-,7.14,35.69%,-67.32%,0.65,-,-,7.69,95.94%,-59.96%,62.01,1.40,- -,7.69,106.06%,6.25%,1.48,22.06,-,0.06,153.21%,10.80%,1.33,14.08,286,0.05,Aug 07 AMC,14.33%,470.35K,15.05,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","627,107",6.89%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.48,1.01,11.56%,167.66M,0.31%,7.71B,29.27,1.57,-1.62%,148.22M,3.81%,8.07B,4.51,0.40,91.76%,2.84%,26.94%,174.00M,4.78,11.72%,-0.54%,4.32,33.11%,1.61B,4.93,9.97%,6.40%,4.22M,23.40%,9.33,38.20,10.08%,10.81%,46.60 -1.22%,47.11%,1.20,27.40,32.18% -7.41%,8.26%,27.74 65.93%,64.39%,0.37 (0.79%),22.48,19.81% -5.41%,41.82%,2.07%,1.92%,206.46%,0.36 (0.78%),5.00,30.64%,16.77%,0.95,366.44%,"Aug 20, 2025",1.72,4.74%,10.78%,62.01,2.44,3.23% 0.62%,2.71,12.98%,1.46%,1.11,45.57,35.98%,0.36,7.89%,10.82%,0.73,45.95,2500,0.35,Jul 29 AMC,23.12%,976.56K,46.03,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","709,111",0.17%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,26.38,5.81,0.17%,443.95M,-0.95%,67.95B,22.20,6.91,-0.29%,442.41M,4.66%,73.30B,3.11,1.64,98.14%,1.49%,-9.07%,2.61B,7.24,7.24%,0.48%,2.17,-8.33%,9.38B,13.68,8.77%,18.24%,6.60M,-5.90%,11.21,47.35,8.49%,52.54%,200.33 -23.47%,-16.48%,3.24,30.62,8.55% 11.91%,25.07%,139.70 9.75%,-2.39%,1.99 (1.30%),18.30,5.98% 8.14%,70.03%,1.67%,1.69%,-4.17%,1.93 (1.26%),7.81,13.72%,37.51%,2.96,234.32%,"Jul 18, 2025",1.04,5.27%,27.83%,49.60,1.50,18.93% 21.14%,1.76,17.78%,-0.15%,0.92,195.36,32.86%,1.36,4.19%,0.14%,0.62,153.20,13800,1.09,Aug 05 BMO,-5.23%,3.05M,153.32,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","1,895,936",0.08%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.54,1.46,0.00%,593.65M,-0.54%,10.89B,10.96,1.67,-,593.65M,-8.07%,9.91B,1.66,0.34,14.64%,2.24%,7.63%,1.21B,1.70,-1.77%,-15.30%,6.99,-10.54%,6.42B,1.64,13.57%,9.38%,13.30M,-6.19%,11.20,2.94,7.56%,13.98%,27.50 -33.31%,-17.20%,6.24,-,18.24% 8.45%,13.37%,16.34 12.24%,-27.17%,0.62 (3.36%),5.38,9.28% 13.97%,27.49%,1.83%,1.96%,-42.16%,0.70 (3.82%),1.54,2.41%,21.97%,0.48,-,"Sep 30, 2025",1.19,14.40%,18.81%,40.73,1.39,- -,1.21,-25.19%,-4.56%,-0.19,23.51,45.76%,0.29,10.45%,-3.89%,0.91,18.19,24471,0.01,Aug 19 AMC,-3.43%,1.90M,18.34,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","1,726,590",0.82%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.22%,155.70M,-2.22%,42.69B,62.38,4.40,-0.86%,97.74M,-5.23%,40.92B,-,0.85,54.36%,6.10%,-8.87%,-41.48M,15.97,11.34%,-1.14%,3.07,35.64%,2.67B,23.65,20.37%,-0.75%,5.97M,51.99%,11.59,11.95,18.22%,-2.70%,318.46 -13.90%,41.93%,22.94,58.40,54.06% 21.31%,-1.17%,153.45 78.69%,70.44%,-,-,34.81% 44.03%,80.24%,3.82%,3.12%,94.29%,-,15.31,31.04%,-4.62%,8.32,-,-,1.18,23.31%,-1.55%,47.61,1.65,- -,1.94,-14.36%,0.36%,1.06,325.60,-,1.00,21.31%,-4.14%,0.83,268.25,7348,0.97,Sep 02 AMC,16.80%,1.94M,274.20,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,619,413",2.22%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,22.04,3.80,11.17%,267.28M,3.53%,25.04B,14.11,5.93,-0.58%,265.85M,14.36%,17.31B,5.43,1.44,63.78%,2.57%,2.89%,1.19B,5.27,5.55%,-0.32%,2.07,10.86%,4.75B,2.81,1.44%,11.03%,6.82M,2.54%,29.82,3.22,4.06%,13.60%,92.80 -9.83%,21.57%,26.02,13.57,-10.66% 106.45%,13.23%,64.41 29.92%,2.78%,-,14.71,4.40% 49.60%,76.38%,2.11%,2.80%,-72.04%,-,3.64,36.57%,20.43%,2.08,-,-,4.36,3.63%,24.99%,67.36,2.29,- -,4.36,66.82%,8.85%,0.77,91.62,0.00%,0.01,4.71%,10.33%,0.87,82.79,7412,0.00,Aug 21 AMC,6.40%,3.29M,83.68,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,862,557",1.08%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.08%,109.91M,-4.53%,3.42B,68.50,0.45,-19.29%,108.95M,-20.56%,2.78B,-,-0.25,37.56%,4.38%,-15.82%,-212.37M,8.00,43.71%,-1.76%,6.32,-13.08%,427.80M,4.27,130.68%,-19.74%,4.78M,17.45%,7.20,4.11,-,-28.39%,44.34 -30.63%,58.97%,7.48,-,29.99% -3.19%,-26.45%,19.16 60.58%,-29.06%,-,-,40.38% 98.40%,62.39%,4.47%,3.47%,-62.23%,-,6.50,33.33%,-57.71%,1.57,-,-,2.93,32.56%,-49.64%,37.69,1.29,- -,3.12,54.50%,-8.92%,1.08,53.70,-,0.24,9.81%,-12.74%,1.22,30.00,1869,0.01,Aug 07 BMO,-3.62%,755.61K,30.76,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","923,323",2.53%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,-2.29%,7.34B,14.13,2.05,-,-,0.55%,10.83B,-,-0.23,4.42%,-,8.70%,-462.32M,0.58,56.22%,11.17%,1.13,-3.37%,12.55B,-,222.51%,-7.04%,0.59M,2.18%,-13.26,5.15,-,-,33.32 -12.96%,81.82%,5.63,-,5.46% -,-,15.12 91.80%,-,-,-,118.43% 118.66%,18.90%,2.04%,2.56%,-,-,0.86,62.51%,-4.64%,0.78,-,-,0.49,39.14%,-3.68%,48.13,1.00,- -,0.59,82.59%,-2.11%,0.11,35.59,-,-,37.06%,1.26%,1.38,28.48,17439,-,Aug 14 BMO,9.81%,524.62K,29.00,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","726,577",1.83%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.31,5.48,1.62%,147.60M,-2.24%,8.34B,9.65,5.86,-0.03%,145.24M,9.70%,-,1.35,1.46,79.15%,4.25%,18.54%,807.00M,1.68,15.11%,0.19%,4.42,12.30%,4.97B,1.28,2.84%,0.95%,6.17M,4.18%,44.24,-,7.63%,13.23%,63.22 -10.60%,16.20%,-,10.42,-9.99% 3.54%,10.37%,39.32 43.74%,2.02%,1.74 (3.08%),-,19.10% 8.98%,-,2.44%,2.15%,71.17%,1.74 (3.08%),-,32.07%,22.09%,1.32,96.25%,"Aug 14, 2025",-,2.64%,16.23%,56.32,2.84,4.85% 5.34%,0.13,27.04%,2.51%,0.93,61.70,33.52%,1.10,-1.04%,3.19%,1.18,58.11,9406,0.18,Jul 21 AMC,7.53%,1.40M,56.52,"Mar 17, 1980",Yes / Yes,24.68% 3.35%,"

","1,643,360",-2.74%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.81,16.63,1.18%,120.46M,-2.67%,1.62B,-,-3.06,0.00%,119.04M,-14.57%,5.77B,-,1.05,52.81%,15.71%,-21.39%,2.00B,0.19,-83.79%,8.92%,3.32,-31.77%,8.58B,0.42,-205.79%,19.27%,18.70M,-37.17%,32.35,0.92,-,59.06%,29.00 -53.48%,-19.26%,14.72,0.50,-23.79% -,23.31%,11.03 22.25%,-61.84%,1.04 (7.74%),1.56,-7.73% 20.63%,32.33%,2.72%,4.09%,-,7.67 (56.89%),0.67,202.12%,28.74%,0.58,-,"Sep 02, 2025",1.11,43.57%,23.37%,32.82,4.29,16.67% -,1.20,-93.86%,-10.58%,1.67,13.54,22.25%,1.52,-15.36%,-13.59%,0.57,13.33,6700,1.21,Aug 20 BMO,-22.69%,5.63M,13.49,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","3,206,744",1.20%,ZIM
