Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,44.39,0.71,16.45%,172.26M,-1.35%,5.41B,24.11,1.30,-10.30%,144.28M,-0.10%,124.20M,3.11,0.31,84.51%,3.20%,-2.37%,1.53B,3.53,20.75%,5.97%,5.84,5.92%,9.34,3.35,10.89%,4.22%,4.61M,39.09%,0.91,34.42,14.28%,7.19%,22.21,34.58,6.46%,0.27 (0.86%),19.11,18.47%,5.80%,-9.46%,1.21,0.31 (0.99%),1.95,0.20%,39.86%,40.97%,0.65,"May 17, 2024",3.31,95.74%,15.14%,43.72,2.06%,1.76%,2400,0.33,8.34%,8.11%,2.25,35.29,Yes / Yes,0.33,52.74%,45.61%,1.11,31.08,1.18%,12.10%,0.46%,Apr 23 AMC,790.15K,31.31,-2.43%,-2.53%,4.64%,"

","876,448",0.74%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.60%,137.79M,-0.49%,1.50B,19.59,0.52,-8.73%,136.85M,2.42%,-62.61M,-,0.09,73.71%,5.12%,26.72%,438.33M,3.43,29.09%,-0.36%,4.15,21.56%,0.94,10.79,21.60%,-8.44%,7.01M,-5.93%,3.69,2.75,-,-51.53%,7.05,12.12,7.98%,-,-,9.40%,-11.66%,-16.25%,1.72,-,2.50,12.97%,67.51%,43.97%,0.38,-,2.50,50.48%,-9.17%,54.61,4.20%,3.36%,1618,2.90,7.97%,-14.28%,1.67,12.33,Yes / Yes,2.85,34.02%,-,1.07,9.71,0.88%,61.76%,6.47%,May 22 AMC,1.69M,10.15,-0.12%,6.77%,15.16%,"

","1,809,022",4.53%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.68,5.19,0.08%,458.37M,-0.78%,77.37B,26.53,6.39,-6.34%,455.94M,6.98%,2.39B,3.43,1.50,95.47%,1.32%,-11.14%,8.73B,8.86,8.42%,0.02%,1.65,-3.54%,11.07,15.32,10.81%,17.02%,6.03M,4.02%,4.33,39.17,9.53%,50.06%,144.80,201.92,-14.09%,1.73 (1.02%),44.21,11.57%,20.26%,-16.03%,0.88,1.61 (0.95%),1.94,8.05%,68.34%,17.10%,3.95,"Jul 18, 2024",3.33,17.17%,35.97%,53.18,2.27%,2.23%,14100,1.34,7.91%,27.38%,1.18,214.06,Yes / Yes,1.33,9.89%,30.71%,1.12,169.44,1.70%,2.54%,9.50%,May 02 BMO,3.65M,169.56,-0.27%,3.33%,-4.88%,"

","4,066,074",0.07%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.94,1.43,1.10%,606.77M,-7.02%,13.69B,11.54,1.97,0.00%,593.93M,8.16%,1.19B,1.03,0.43,39.23%,3.10%,12.21%,5.52B,2.48,14.38%,3.57%,3.73,2.15%,9.92,2.30,17.61%,9.82%,18.44M,-9.71%,4.58,4.97,15.40%,15.03%,15.90,28.13,7.10%,0.70 (3.08%),-,13.37%,13.12%,-18.98%,-0.08,0.62 (2.72%),1.11,15.78%,31.20%,43.38%,0.74,"Apr 09, 2024",1.15,7.93%,24.81%,50.61,2.73%,2.80%,23554,0.27,3.63%,21.49%,1.14,29.17,Yes / Yes,0.13,-18.31%,0.00%,0.94,23.86,5.91%,-23.59%,4.72%,May 15 AMC,4.95M,22.79,0.07%,5.59%,5.10%,"

","4,667,647",-4.48%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.51,39.95%,147.17M,-1.13%,25.47B,51.15,3.32,-0.37%,89.98M,-1.36%,-73.50M,-,0.70,47.72%,5.22%,-22.47%,2.03B,12.55,66.61%,5.60%,2.25,-14.95%,6.40,26.55,11.42%,-1.99%,4.70M,25.45%,14.95,11.37,26.82%,-8.68%,128.12,259.61,-23.29%,-,43.52,-17.41%,-3.23%,-34.53%,0.84,-,1.90,53.60%,81.54%,32.66%,7.16,-,1.67,73.33%,-6.84%,45.47,5.96%,3.45%,5962,1.13,37.16%,-3.62%,1.53,235.29,Yes / Yes,1.08,137.88%,-,4.82,156.65,3.19%,33.96%,32.09%,May 30 AMC,2.09M,169.96,-2.26%,-5.20%,-10.28%,"

","10,069,579",8.50%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-3.36,12.33%,70.77M,5.32%,843.60M,-,-3.69,-0.48%,62.26M,5.04%,-218.90M,-,-0.84,113.63%,29.77%,-22.25%,40.56M,20.80,38.56%,-0.93%,25.52,11.97%,6.46,1.84,-34.50%,-41.82%,18.53M,-54.38%,6.89,1.73,-,-51.86%,9.56,30.53,-21.58%,-,-,-50.05%,-43.66%,-61.09%,1.83,-,9.19,-20.00%,96.66%,24.27%,0.89,-,9.19,21.74%,-527.00%,48.01,7.45%,7.69%,168,0.10,-,-539.70%,1.36,33.40,Yes / Yes,0.09,113.26%,-,1.13,11.97,170.40%,118.25%,-,May 07 BMO,726.12K,11.88,0.20%,-7.59%,-23.33%,"

","822,591",-0.75%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,22.81,2.69,22.32%,260.90M,-1.73%,18.97B,11.98,5.12,-0.38%,240.23M,-0.44%,838.33M,15.21,1.21,60.00%,5.20%,-13.50%,4.56B,4.16,-3.23%,-0.53%,4.09,-9.73%,26.83,2.29,1.58%,8.90%,12.48M,-8.63%,23.88,2.57,1.50%,11.31%,58.87,75.90,-14.70%,-,11.53,-,10.05%,-19.19%,-0.01,-,4.36,95.81%,73.37%,4.20%,1.42,-,4.36,19565.00%,17.35%,43.68,1.98%,2.19%,7420,0.01,3.13%,18.37%,2.53,76.17,Yes / Yes,0.00,1250.20%,0.00%,1.47,60.53,1.35%,13.52%,3.25%,May 20 AMC,3.05M,61.34,-2.11%,-2.28%,-6.98%,"

","4,485,262",1.34%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.50,0.54%,98.72M,-6.72%,1.76B,-,-1.31,-11.16%,98.19M,11.82%,-338.95M,-,-0.78,42.15%,3.34%,-15.73%,291.07M,6.03,13.82%,-1.93%,5.19,-34.39%,7.83,2.27,55.97%,-31.41%,3.28M,-45.28%,7.61,2.34,-,-38.44%,13.48,37.92,-34.94%,-,-,-16.93%,-44.04%,-53.11%,1.15,-,4.43,2095.12%,62.86%,31.90%,1.17,-,4.63,18.13%,-129.65%,46.92,5.21%,5.09%,2175,0.08,25.94%,-116.45%,1.15,51.82,Yes / Yes,0.01,-7.51%,-,2.58,18.19,15.83%,40.53%,38.78%,May 08 AMC,631.31K,17.78,-6.41%,4.99%,-21.11%,"

","1,628,377",-2.25%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.87%,127.44M,-4.44%,1.21B,15.16,0.62,0.00%,116.14M,-20.90%,-126.89M,-,0.00,0.52%,0.07%,-51.83%,1.20B,1.00,128.49%,-,1.99,-,2.82,3.36,2411.11%,-4.29%,0.09M,-,2.21,4.29,-,-9.63%,8.70,21.91,-42.00%,-,-,-,-27.40%,-56.83%,-,-,1.63,26.18%,16.84%,8.74%,0.97,-,1.82,18.59%,-4.42%,33.29,7.78%,8.55%,3476,0.28,-3.00%,-10.53%,1.00,16.09,No / No,0.04,44.09%,-,0.56,9.10,-5.49%,-26.63%,-8.66%,May 21 BMO,43.01K,9.46,-15.46%,-30.05%,-40.10%,"

","24,152",3.96%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,28.46,0.36,30.20%,76.17M,4.12%,1.00B,351.65,0.03,-0.72%,69.32M,-3.62%,37.58M,2.76,-0.07,51.05%,4.29%,-20.27%,584.21M,1.72,-145.11%,-1.82%,5.74,-25.33%,0.13,79.34,113.86%,5.70%,2.97M,-34.65%,5.17,1.96,10.30%,855.40%,9.07,19.29,-27.27%,-,10.22,-,6.67%,-47.59%,1.23,-,6.58,17.01%,89.88%,11.40%,0.32,-,6.58,-27.43%,12.87%,46.67,2.21%,3.59%,1000,43.95,-32.16%,6.43%,2.38,12.90,Yes / Yes,43.55,-244.08%,0.00%,1.31,10.03,1.01%,-17.03%,-33.48%,May 09 AMC,517.92K,10.11,-0.25%,-5.01%,-20.35%,"

","675,924",0.80%,ZIP
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.84,3.98,1.62%,148.15M,1.48%,6.38B,9.27,4.66,-0.81%,145.26M,3.25%,588.00M,-,1.09,77.44%,5.98%,11.40%,4.75B,1.34,-0.67%,2.23%,3.48,21.87%,36.50,1.18,7.89%,0.71%,8.69M,58.26%,-,-,-8.32%,11.33%,26.35,46.15,-1.55%,1.66 (3.84%),7.21,1.26%,8.96%,-6.41%,1.10,1.64 (3.80%),-,9.97%,-,63.88%,1.04,"May 15, 2024",0.12,-31.91%,16.98%,51.47,2.10%,2.01%,9679,0.97,28.04%,12.37%,3.00,45.45,Yes / Yes,0.13,-28.08%,37.74%,0.58,42.26,-0.10%,1.43%,11.63%,Apr 22 BMO,2.50M,43.19,-1.13%,1.97%,11.14%,"

","1,455,142",2.20%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,-,-21.18,21.72%,120.29M,16.13%,2.71B,-,-2.80,0.00%,94.19M,68.71%,-2545.80M,-,0.29,30.26%,17.04%,87.68%,5.35B,0.51,102.51%,-12.67%,3.15,225.25%,21.12,1.07,-598.99%,-24.88%,16.05M,77.06%,11.91,1.89,-,-66.79%,6.39,22.44,128.37%,0.42 (1.85%),4.16,-,-40.25%,0.42%,1.72,-,0.90,29.90%,-0.40%,252.74%,1.20,"Jun 04, 2024",0.98,-189.15%,-5.06%,78.33,6.62%,6.82%,6460,2.11,-47.65%,-47.59%,3.43,12.99,Yes / Yes,1.49,251.42%,-,1.71,21.68,4.06%,-23.50%,13.66%,May 21 BMO,5.09M,22.54,26.03%,65.21%,98.77%,"

","8,707,080",3.97%,ZIM
ZoomInfo Technologies Inc.,Technology,Software - Application,USA,NASD,-,62.53,0.20,22.15%,384.83M,-4.21%,4.59B,11.38,1.08,-0.01%,291.08M,-24.94%,77.90M,6.51,0.24,73.23%,4.00%,-27.21%,1.25B,3.68,0.22%,-3.85%,2.15,-13.64%,5.33,2.30,6.66%,1.12%,11.65M,-50.34%,1.18,10.43,9.61%,3.60%,11.67,30.16,-33.59%,-,11.29,-,2.33%,-59.28%,1.08,-,1.11,56.47%,84.18%,5.23%,0.52,-,1.11,-21.95%,19.75%,33.38,2.22%,3.71%,3516,0.68,7.93%,6.24%,2.39,17.48,Yes / Yes,0.67,-63.85%,0.00%,0.96,12.50,0.43%,10.92%,3.13%,May 07 AMC,5.43M,12.28,-9.65%,-17.69%,-22.95%,"

","5,217,871",-1.76%,ZI
