Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,37.41,0.98,11.57%,168.52M,2.52%,6.16B,24.89,1.47,-57.94%,148.79M,4.04%,169.50M,4.81,0.36,91.77%,3.48%,6.55%,1.58B,3.89,4.79%,1.21%,5.31,-10.25%,9.19,3.98,9.60%,6.29%,5.18M,18.53%,0.86,42.55,7.78%,10.49%,27.74,41.15,-1.90%,0.37 (1.00%),23.67,-7.41%,8.11%,-11.08%,1.03,0.35 (0.96%),1.72,-5.41%,41.66%,31.90%,0.77,"May 20, 2025",2.87,38.39%,16.67%,57.42,0.63%,1.96%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,0.54,36.52,1.36%,6.90%,4.01%,Apr 22 AMC,977.09K,36.59,0.08%,7.90%,2.30%,"

","528,159",0.19%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,29.56,5.57,0.10%,446.04M,-2.84%,73.29B,24.11,6.83,-0.65%,444.77M,1.81%,2.52B,3.59,1.62,96.03%,2.30%,-4.19%,9.29B,7.89,5.38%,-0.39%,3.55,-6.11%,10.44,15.77,9.43%,17.70%,10.21M,-6.38%,3.87,42.58,8.23%,51.85%,139.70,200.33,1.03%,1.99 (1.21%),32.13,11.91%,25.04%,-17.83%,0.94,1.86 (1.13%),1.04,8.14%,69.48%,17.83%,3.98,"Jul 18, 2025",1.74,7.23%,37.01%,51.82,1.82%,1.67%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,1.25,170.16,1.37%,5.00%,1.37%,May 06 BMO,2.88M,164.61,-0.03%,4.00%,-4.03%,"

","3,582,955",-3.26%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.34,1.57,0.86%,593.65M,3.61%,10.57B,9.80,1.82,0.00%,588.53M,-6.12%,1.30B,1.03,0.40,22.11%,2.28%,-11.04%,6.26B,1.69,8.17%,-8.39%,4.27,-4.61%,10.73,1.66,12.66%,10.29%,13.39M,-24.29%,5.35,3.32,10.99%,15.68%,16.34,27.50,-8.95%,0.68 (3.81%),-,8.45%,15.06%,-35.27%,-0.18,0.70 (3.93%),1.02,13.97%,29.66%,8.94%,0.52,"Apr 10, 2025",1.05,10.00%,24.06%,49.70,1.92%,2.90%,24471,0.27,13.41%,20.76%,1.38,23.44,Yes / Yes,0.01,38.73%,45.76%,1.02,17.13,-9.78%,-15.96%,8.02%,May 20 AMC,3.14M,17.80,0.70%,-2.91%,-12.47%,"

","3,210,611",3.91%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.90%,155.70M,2.29%,46.69B,82.21,3.65,-0.54%,96.65M,28.63%,-38.78M,-,0.80,54.86%,9.03%,54.04%,2.55B,18.33,-0.04%,9.55%,3.23,45.33%,11.59,25.87,14.41%,-0.81%,8.73M,71.79%,19.30,15.54,11.53%,-2.68%,153.45,306.77,66.23%,-,67.56,-10.72%,-2.11%,-2.24%,1.09,-,1.18,48.24%,77.33%,95.44%,8.20,-,1.18,49.20%,-4.59%,81.76,1.02%,2.59%,7348,0.68,25.46%,-1.52%,1.69,304.51,Yes / Yes,0.02,-121.43%,-,0.84,303.03,1.74%,11.64%,22.57%,May 29 AMC,2.70M,299.90,12.85%,29.65%,48.24%,"

","2,273,614",-1.03%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,24.10,3.33,14.64%,261.11M,-1.24%,24.28B,14.15,5.67,-1.64%,258.26M,0.01%,1.05B,9.60,1.38,62.60%,2.72%,9.24%,4.70B,5.17,1.20%,-0.36%,2.94,-4.05%,29.34,2.74,1.17%,9.87%,7.02M,29.26%,25.82,3.11,2.51%,12.19%,55.06,92.80,-1.65%,-,14.26,106.45%,11.73%,-13.51%,0.69,-,4.48,49.60%,75.85%,45.77%,1.74,-,4.48,24.11%,18.13%,51.22,0.83%,1.17%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.82,80.35,0.72%,9.22%,2.93%,May 21 AMC,2.39M,80.26,-1.66%,4.09%,4.04%,"

","1,948,399",-0.11%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,21.42%,4.16B,105.69,0.36,-22.78%,108.40M,29.96%,-252.07M,-,-0.39,50.87%,4.59%,9.17%,418.33M,9.94,47.63%,6.38%,4.29,33.77%,7.48,5.06,126.31%,-23.32%,4.98M,98.38%,7.80,4.85,-,-32.05%,16.01,39.77,44.60%,-,-,-3.18%,-30.63%,-4.78%,0.96,-,3.09,98.38%,63.45%,136.54%,1.69,-,3.26,28.63%,-64.09%,69.29,6.87%,4.43%,1869,0.24,43.72%,-60.26%,1.33,52.67,Yes / Yes,0.02,18.43%,-,0.62,38.11,-5.41%,92.78%,22.19%,May 08 BMO,1.16M,37.87,18.06%,19.79%,32.90%,"

","723,517",-0.63%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-2.20%,6.62B,12.06,2.17,-,-,0.42%,-710.26M,-,-0.86,4.03%,-,-5.59%,11.52B,0.57,61.83%,-2.48%,1.13,0.19%,-12.89,-,249.48%,-11.48%,0.92M,9.77%,5.39,4.85,-,-,13.00,33.32,-7.79%,-,-,-,-,-21.46%,0.16,-,0.45,118.66%,17.93%,101.31%,0.98,-,0.59,37.41%,-7.36%,48.59,0.69%,2.19%,17439,-,43.08%,-6.16%,1.00,39.53,Yes / Yes,-,66.34%,-,0.67,26.39,19.27%,-136.23%,47.60%,May 15 BMO,809.66K,26.17,-5.84%,8.12%,7.75%,"

","544,375",-0.83%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.60,5.13,1.68%,147.57M,5.01%,7.28B,8.91,5.54,-1.38%,145.09M,5.41%,756.00M,1.58,1.31,78.49%,3.95%,4.40%,4.98B,1.46,5.12%,-2.15%,2.99,-16.68%,42.43,1.16,6.39%,0.91%,5.73M,20.39%,-,-,6.07%,13.06%,39.32,63.22,-9.12%,1.74 (3.52%),7.45,3.54%,10.04%,-22.02%,0.86,1.70 (3.45%),-,8.98%,-,25.38%,1.27,"May 15, 2025",0.15,28.90%,21.03%,59.09,1.98%,2.19%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.46,49.28,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.92M,49.30,2.30%,6.41%,-4.06%,"

","887,240",0.04%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.89,19.53,1.18%,120.46M,2.66%,2.09B,-,-1.91,0.00%,119.04M,21.96%,2.35B,-,1.22,48.41%,18.40%,-15.71%,8.87B,0.24,-86.23%,-8.10%,3.05,-11.10%,32.86,0.53,-177.87%,23.04%,21.90M,-24.08%,19.19,0.91,-,72.40%,11.03,29.00,-19.05%,0.93 (5.36%),0.59,-,27.51%,-40.07%,1.75,7.61 (43.81%),1.10,20.63%,34.71%,57.50%,0.82,"Jun 02, 2025",1.18,192.29%,31.33%,54.56,2.47%,4.19%,6700,1.49,65.83%,26.52%,4.12,15.12,Yes / Yes,1.16,226.86%,22.25%,0.55,17.56,9.06%,30.79%,28.46%,May 19 BMO,7.19M,17.38,-1.33%,12.36%,-7.89%,"

","3,966,584",-1.03%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.34,0.33,78.19%,252.58M,1.53%,3.52B,17.54,0.49,0.00%,55.08M,4.73%,83.40M,1.35,-,11.97%,7.55%,14.44%,2.11B,1.67,19.50%,-5.02%,4.26,5.11%,3.76,2.30,20.31%,2.78%,4.16M,-31.21%,0.74,11.62,19.58%,8.89%,6.05,12.77,4.60%,0.14 (1.66%),18.17,-,4.94%,-32.34%,0.74,0.13 (1.50%),0.80,-,55.89%,42.81%,0.22,"Jul 07, 2025",1.41,-37.52%,9.45%,61.64,0.90%,1.29%,7395,1.13,2.26%,3.96%,2.75,8.72,Yes / Yes,0.78,-54950.00%,41.23%,0.73,8.52,-4.68%,-8.40%,-,Mar 27 BMO,977.01K,8.64,0.80%,10.12%,3.67%,"

","709,866",1.41%,ZGN
