Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.85,5.71%,75.14M,5.28%,1.82B,30.77,0.78,-4.18%,71.10M,5.28%,1.59B,0.59,-0.46,95.03%,5.31%,0.42%,-63.43M,13.52,41.24%,-5.56%,4.97,65.55%,134.48M,5.71,182.34%,-14.34%,3.78M,-8.39%,4.23,7.22,51.83%,-18.46%,28.49 -15.34%,77.75%,3.34,-,26.71% 15.81%,-18.90%,9.03 167.11%,179.81%,-,-,41.95% 20.90%,90.49%,3.88%,3.80%,-35.63%,-,11.79,43.93%,-52.51%,0.94,-,-,6.94,116.21%,-47.16%,57.03,1.00,- -,6.94,34.02%,5.26%,1.23,36.46,-,0.06,72.59%,-0.27%,0.76,23.63,286,0.05,Mar 02 BMO,33.96%,759.75K,24.12,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","574,923",2.07%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,43.64,1.16,11.67%,166.98M,-1.13%,8.44B,27.79,1.82,-3.79%,147.34M,7.56%,8.70B,2.86,0.36,90.56%,2.93%,8.60%,198.00M,4.98,9.17%,-6.12%,4.50,10.47%,1.70B,5.27,9.78%,7.22%,4.31M,8.91%,9.60,28.10,9.72%,12.06%,53.17 -4.78%,43.43%,1.80,26.67,46.13% -2.00%,9.25%,27.74 82.52%,120.42%,0.44 (0.87%),23.06,9.78% -2.36%,41.64%,2.18%,2.84%,121.24%,0.40 (0.79%),5.13,25.84%,17.01%,1.30,453.66%,"Feb 20, 2026",2.07,8.26%,11.68%,56.99,2.25,23.86% 3.50%,3.13,17.38%,1.04%,1.07,55.33,32.87%,0.35,9.85%,4.98%,0.71,50.61,2600,0.34,Feb 03 AMC,14.65%,959.30K,50.63,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","680,164",0.04%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,21.41,6.02,0.19%,424.93M,-0.14%,54.43B,17.08,7.55,-2.43%,421.33M,4.06%,61.42B,1.99,1.60,99.81%,3.36%,5.64%,2.67B,5.75,8.53%,-1.71%,2.76,-16.91%,9.47B,16.45,8.52%,18.00%,14.15M,2.49%,7.84,23.54,8.58%,65.99%,177.00 -27.15%,-23.49%,5.48,23.84,10.25% 11.96%,21.26%,115.25 11.89%,-22.47%,2.18 (1.69%),15.04,5.42% 7.24%,70.49%,2.97%,3.11%,-17.59%,2.03 (1.57%),6.49,10.11%,38.00%,3.79,200.58%,"Apr 20, 2026",1.94,2.28%,28.23%,55.96,1.90,14.57% 19.02%,3.03,6.74%,2.05%,0.95,151.07,33.71%,2.79,3.02%,2.83%,0.59,128.66,14500,2.78,Feb 12 BMO,-9.13%,5.14M,128.95,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","3,024,104",0.23%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.59,1.49,0.00%,591.63M,-2.25%,14.42B,13.39,1.85,-,582.69M,14.58%,12.70B,1.41,0.45,10.54%,2.86%,28.77%,1.23B,2.19,5.85%,3.92%,7.82,30.68%,6.59B,2.17,12.17%,9.42%,16.64M,18.48%,11.39,4.06,9.48%,13.83%,25.52 -3.02%,26.34%,6.10,-,18.24% 8.45%,13.37%,16.34 51.47%,2.55%,0.69 (2.78%),7.07,9.28% 13.97%,26.00%,1.89%,2.03%,-25.04%,0.65 (2.63%),1.93,3.12%,20.42%,0.52,-,"Sep 30, 2025",1.34,12.90%,18.61%,63.59,1.32,- -,1.38,7.47%,3.05%,-0.20,25.07,45.76%,0.19,11.30%,9.60%,1.29,25.24,24471,0.01,Nov 19 AMC,24.89%,2.13M,24.75,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","2,744,306",-1.94%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.26,35.71%,159.47M,-9.55%,24.83B,34.86,4.47,-0.14%,102.53M,-27.43%,23.34B,1.90,0.89,54.67%,7.49%,-43.38%,-41.04M,8.76,16.12%,-0.73%,3.36,-42.26%,2.83B,12.53,17.26%,-0.73%,7.68M,-30.78%,12.43,7.48,18.34%,-2.41%,336.99 -53.80%,-19.34%,20.83,29.30,54.06% 21.31%,-1.10%,141.56 9.99%,18.96%,-,1422.45,34.81% 44.03%,76.55%,7.05%,5.84%,-20.48%,-,8.24,-8.83%,-4.25%,9.67,-,-,1.74,23.24%,-1.45%,31.94,1.40,- -,1.74,7.34%,-11.33%,1.06,291.77,-,0.93,25.50%,-23.50%,1.49,149.36,7923,0.89,Feb 26 AMC,-41.62%,2.29M,155.70,"Mar 16, 2018",Yes / Yes,12.10% 1.92%,"

","3,406,665",4.24%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,16.60,5.15,10.56%,266.35M,-6.24%,25.30B,13.50,6.33,-2.53%,264.84M,-10.51%,17.39B,3.83,1.45,69.77%,2.42%,8.65%,1.59B,5.26,2.47%,-5.78%,1.89,5.02%,4.81B,2.73,4.33%,14.44%,6.40M,-1.00%,31.27,3.18,3.52%,17.74%,97.58 -12.45%,15.10%,26.87,12.64,-10.66% 106.45%,17.11%,64.41 32.63%,15.56%,-,13.33,4.40% 49.60%,76.89%,4.60%,4.77%,-76.58%,-,3.62,72.42%,22.86%,3.98,-,-,4.36,3.85%,33.17%,42.11,2.12,- -,4.36,204.90%,-6.22%,0.90,97.88,0.00%,0.01,4.44%,-3.29%,1.99,87.51,7412,0.00,Feb 25 AMC,3.85%,3.38M,85.43,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","6,735,228",-2.38%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.95,1.70%,110.59M,-3.91%,2.17B,-,-1.29,-1.27%,110.17M,9.92%,1.58B,-,-0.36,25.24%,3.26%,-3.15%,-206.78M,4.92,33.33%,-11.27%,4.50,-43.02%,441.94M,2.82,25.84%,-19.29%,3.59M,9.92%,6.87,2.66,46.86%,-28.97%,44.34 -56.27%,-42.82%,7.29,-,30.02% -3.16%,-26.83%,15.96 21.49%,-45.47%,-,-,40.31% 98.33%,61.32%,2.89%,3.92%,-86.84%,-,3.56,30.14%,-51.59%,0.77,-,-,2.68,23.78%,-46.79%,55.42,1.31,- -,2.87,23.67%,4.70%,0.85,37.96,-,0.29,12.75%,6.18%,0.78,19.37,1869,0.01,Feb 26 BMO,-30.59%,797.32K,19.39,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","624,090",0.10%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.05,6.01,1.51%,147.65M,-2.64%,8.92B,9.18,6.58,-2.35%,145.41M,2.06%,-,2.20,1.41,81.18%,3.66%,15.89%,884.00M,1.80,3.70%,-0.64%,3.06,8.03%,4.94B,1.25,5.58%,1.00%,5.33M,3.18%,48.18,-,4.17%,13.35%,66.18 -8.73%,14.20%,-,9.09,1.24% 14.71%,9.97%,39.32 53.61%,20.15%,1.82 (3.01%),-,14.19% 10.90%,-,3.23%,3.08%,10.68%,1.78 (2.95%),-,21.59%,23.77%,1.87,184.50%,"Feb 12, 2026",-,-1.00%,17.88%,47.74,2.68,3.66% 5.29%,0.36,31.00%,-2.13%,0.82,66.81,29.30%,0.67,-0.08%,-0.06%,0.71,59.20,9195,0.23,Jan 20 AMC,9.83%,1.74M,60.40,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,236,833",2.03%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,3.51,8.32,1.22%,120.46M,0.59%,3.52B,-,-2.33,0.00%,118.99M,27.18%,7.23B,-,-0.43,48.65%,13.33%,72.78%,1.00B,0.46,-81.96%,9.64%,3.24,106.51%,7.59B,0.88,-172.37%,9.16%,15.86M,37.54%,33.34,1.80,-,25.25%,29.97 -2.57%,31.89%,16.19,1.45,-23.79% -,11.79%,11.03 164.61%,26.59%,1.24 (4.26%),2.61,-7.73% 20.63%,23.74%,2.12%,4.20%,63.65%,4.28 (14.66%),0.95,-30.30%,19.63%,1.26,-,"Dec 01, 2025",1.22,1.63%,13.21%,74.61,3.50,16.67% -,1.30,-89.07%,20.68%,1.49,21.84,22.25%,1.41,-35.73%,29.69%,0.41,29.08,6700,1.12,Nov 20 BMO,66.54%,4.90M,29.20,"Jan 28, 2021",Yes / Yes,33.09% 2.34%,"

","2,019,575",0.41%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,28.63,0.41,75.38%,254.09M,3.02%,4.75B,24.51,0.47,0.00%,62.55M,20.96%,5.77B,1.20,-,24.36%,5.95%,13.50%,103.34M,2.28,26.25%,0.65%,5.44,41.46%,2.08B,2.84,5.80%,3.34%,3.72M,13.17%,4.09,17.62,20.44%,10.58%,11.93 -2.73%,33.03%,0.66,25.66,- -,5.45%,6.05 91.74%,-11.25%,0.15 (1.27%),12.94,11.29% -,55.55%,4.31%,4.13%,10.06%,0.14 (1.22%),2.77,-5.94%,8.97%,0.45,-,"Jul 07, 2025",0.79,-1.89%,4.97%,63.49,1.92,15.87% -,1.42,-54950.00%,11.11%,0.70,11.40,42.68%,1.17,-,11.82%,1.69,11.10,7395,0.82,Sep 05 BMO,22.40%,683.88K,11.60,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","1,154,596",4.50%,ZGN
