Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,38.60,0.77,16.03%,172.26M,-8.16%,5.10B,22.63,1.32,-16.48%,143.52M,4.19%,135.60M,2.47,0.32,87.98%,3.01%,-7.71%,1.54B,3.31,24.23%,6.04%,4.70,-6.46%,9.32,3.20,9.34%,4.67%,4.32M,-1.52%,0.95,31.32,15.65%,8.04%,25.09,34.58,1.36%,0.26 (0.89%),18.08,18.47%,6.37%,-13.79%,1.16,0.31 (1.04%),1.75,0.20%,40.45%,18.81%,1.02,"Aug 20, 2024",2.83,183.51%,15.70%,42.82,3.63%,2.89%,2400,0.34,0.50%,8.80%,2.25,36.00,Yes / Yes,0.33,34.01%,45.61%,1.03,30.36,0.70%,5.16%,2.18%,Jul 30 AMC,920.46K,29.81,-4.14%,-2.48%,-2.18%,"

","952,476",-1.81%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.81%,137.79M,-7.72%,1.24B,16.20,0.52,-8.58%,136.53M,-4.34%,-62.61M,-,0.10,74.17%,5.11%,-20.36%,438.33M,2.83,29.29%,-0.36%,6.26,-2.33%,0.94,8.90,21.09%,-8.44%,6.97M,-22.36%,3.69,2.27,-,-51.53%,7.05,10.89,-10.96%,-,-,9.40%,-11.66%,-23.14%,1.72,-,2.50,12.97%,67.51%,18.72%,0.33,-,2.50,50.48%,-8.58%,32.31,4.02%,3.17%,1618,2.90,7.97%,-14.28%,1.86,12.00,Yes / Yes,2.85,34.02%,-,0.75,8.34,0.88%,61.76%,6.47%,May 22 AMC,1.11M,8.37,-7.84%,-10.96%,-6.58%,"

","829,966",0.36%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,36.18,5.11,0.08%,458.37M,2.63%,84.31B,28.80,6.42,-5.28%,455.91M,6.04%,2.34B,3.80,1.47,98.07%,1.16%,9.69%,8.91B,9.46,9.06%,0.02%,2.30,-5.80%,10.94,16.88,10.59%,16.79%,5.30M,2.26%,3.45,53.56,9.53%,48.88%,144.80,201.92,-6.38%,1.71 (0.92%),40.09,11.57%,20.02%,-8.49%,0.85,1.67 (0.90%),2.09,8.05%,68.32%,27.60%,5.17,"Jul 18, 2024",3.45,7.38%,36.05%,59.20,2.88%,2.39%,14100,1.36,8.43%,26.29%,1.22,219.59,Yes / Yes,1.36,-5.60%,30.71%,0.91,185.29,2.10%,5.04%,8.30%,Aug 06 BMO,2.30M,184.77,2.70%,5.15%,4.24%,"

","2,091,345",-0.28%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.70,1.43,1.10%,606.77M,3.32%,11.76B,9.75,2.01,0.00%,593.93M,-3.83%,1.19B,0.91,0.43,40.89%,3.21%,-4.72%,5.52B,2.13,14.79%,3.57%,6.23,9.88%,9.92,1.97,18.51%,9.82%,19.08M,-26.86%,4.58,4.27,15.01%,15.03%,15.90,26.93,-7.99%,0.70 (3.59%),-,13.37%,13.12%,-27.29%,-0.11,0.62 (3.17%),1.11,15.78%,31.20%,23.18%,0.69,"Apr 09, 2024",1.15,7.93%,24.81%,47.82,4.47%,2.91%,23554,0.27,3.63%,21.49%,1.20,29.84,Yes / Yes,0.13,-18.31%,0.00%,0.68,19.42,7.20%,-22.68%,4.72%,Aug 20 AMC,3.06M,19.58,0.36%,-7.39%,-6.17%,"

","2,077,523",0.82%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.50,38.66%,147.17M,-7.33%,25.12B,49.94,3.33,-0.13%,92.72M,-15.79%,-73.50M,-,0.70,46.57%,4.81%,-6.04%,2.03B,12.38,68.40%,5.55%,2.06,-29.20%,7.22,23.00,10.41%,-1.99%,4.46M,14.35%,14.82,11.21,26.82%,-8.68%,131.59,259.61,-24.99%,-,45.68,-17.41%,-3.23%,-35.98%,0.83,-,1.67,52.19%,77.75%,26.30%,7.46,-,1.67,73.33%,-6.90%,30.00,4.73%,3.99%,5962,1.13,37.16%,-3.62%,1.60,231.17,Yes / Yes,1.08,139.17%,-,0.63,165.75,3.19%,33.96%,32.09%,May 30 AMC,2.16M,166.20,-10.49%,-9.46%,-15.38%,"

","1,359,802",0.27%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-3.36,12.49%,70.77M,-15.68%,232.91M,-,-3.63,-0.19%,62.14M,-22.46%,-218.90M,-,-0.84,113.45%,16.77%,-73.35%,40.56M,5.74,40.00%,-0.93%,7.34,-71.65%,6.46,0.51,-35.33%,-41.82%,10.42M,-86.98%,6.89,0.48,-,-51.86%,3.27,29.03,-78.35%,-,-,-50.05%,-43.66%,-88.70%,1.69,-,9.19,-20.00%,96.66%,0.31%,0.43,-,9.19,21.74%,-527.00%,30.33,8.69%,9.44%,168,0.10,-,-539.70%,2.27,10.70,Yes / Yes,0.09,113.26%,-,0.60,3.52,170.40%,118.25%,-,May 07 BMO,1.42M,3.28,-18.29%,-47.22%,-71.66%,"

","850,151",-6.82%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,20.72,2.69,14.94%,309.25M,-7.75%,17.23B,12.07,4.62,-0.61%,263.04M,-2.04%,838.33M,13.81,1.21,59.12%,3.39%,-10.33%,4.56B,3.78,-15.87%,-0.53%,2.81,-12.39%,26.83,2.08,5.30%,8.90%,8.91M,-18.85%,23.88,2.33,1.50%,11.31%,55.60,75.90,-22.51%,-,10.48,-,10.05%,-26.59%,-0.03,-,4.36,95.81%,74.87%,0.22%,1.48,-,4.36,19565.00%,17.35%,35.77,2.70%,2.34%,7420,0.01,3.13%,18.37%,2.57,74.61,Yes / Yes,0.00,1250.20%,0.00%,0.89,55.83,1.35%,13.52%,3.25%,Aug 21 AMC,3.18M,55.72,-4.87%,-5.97%,-12.76%,"

","2,835,731",-0.20%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.07,0.53%,99.12M,-12.51%,1.65B,-,-1.81,-14.58%,98.59M,0.18%,-298.33M,-,-0.76,44.13%,3.00%,-0.18%,322.71M,5.11,15.56%,-1.99%,4.66,-22.95%,7.18,2.32,37.96%,-28.50%,2.96M,-37.07%,7.37,2.26,-,-36.46%,13.48,31.22,-39.08%,-,-,-16.93%,-42.02%,-46.67%,1.06,-,3.29,2095.12%,62.95%,23.52%,1.15,-,3.46,24.90%,-109.67%,36.16,9.57%,5.55%,2175,0.12,28.16%,-92.44%,1.17,51.07,Yes / Yes,0.01,34.35%,-,2.21,18.11,7.45%,-15.75%,45.95%,Aug 06 AMC,634.45K,16.65,-10.05%,-9.66%,-20.99%,"

","1,404,827",-8.06%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.87%,127.44M,-8.36%,349.19M,4.34,0.63,0.00%,116.14M,-25.75%,-126.89M,-,0.00,1.46%,0.05%,-78.84%,1.20B,0.29,128.66%,-,0.34,-84.44%,2.82,0.97,2411.11%,-4.29%,0.06M,-,2.21,1.24,-,-9.63%,2.62,21.91,-83.20%,-,-,-,-27.40%,-87.50%,-,-,1.63,26.18%,16.84%,4.58%,0.32,-,1.82,18.59%,-4.42%,30.46,5.47%,6.72%,3476,0.28,-3.00%,-10.53%,1.00,15.93,No / Yes,0.04,44.09%,-,0.17,2.62,-5.44%,-26.68%,-8.66%,May 21 BMO,163.50K,2.74,-14.81%,-47.45%,-78.35%,"

","27,652",4.58%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,20.41,0.36,30.19%,76.17M,-20.85%,720.00M,-,-0.13,-0.62%,69.32M,-15.30%,37.58M,1.98,-0.08,56.45%,4.78%,-32.93%,584.21M,1.23,-162.85%,-1.82%,6.00,-49.05%,0.13,56.90,54.53%,5.70%,3.31M,-57.50%,5.17,1.40,10.30%,855.40%,7.53,18.00,-47.84%,-,7.33,-,6.67%,-59.72%,1.24,-,6.58,17.01%,89.88%,-3.72%,0.45,-,6.58,-27.43%,12.87%,30.36,6.81%,5.09%,1000,43.95,-32.16%,6.43%,2.88,11.70,Yes / Yes,43.55,-244.08%,0.00%,1.60,7.70,5.32%,0.26%,-33.48%,Aug 07 AMC,551.37K,7.25,-16.44%,-19.86%,-37.24%,"

","879,817",-5.84%,ZIP
