Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.62,4.07%,68.96M,-8.74%,835.45M,-,-0.93,-,67.30M,-11.12%,-122.70M,-,-0.68,97.46%,8.05%,-17.86%,76.30M,10.95,-3.28%,1.22%,10.32,-4.49%,4.87,2.44,44.43%,-23.51%,5.42M,15.63%,3.22,3.70,-1.14%,-30.54%,7.97,17.70,-18.65%,-,-,15.81%,-34.61%,-32.71%,1.15,-,3.40,273.04%,85.33%,49.44%,0.67,-,3.40,6.94%,-157.03%,40.19,4.56%,5.37%,286,0.05,0.38%,-160.80%,1.44,21.56,Yes / Yes,0.05,-53.94%,-,1.10,12.37,-31.34%,-211.87%,83.33%,Mar 05 AMC,524.95K,11.91,-4.06%,-12.00%,-5.23%,"

","577,415",-3.72%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,35.84,0.92,11.47%,170.31M,-3.99%,5.57B,21.98,1.50,-58.47%,149.44M,-6.92%,160.20M,3.69,0.29,90.73%,3.06%,-13.32%,1.57B,3.55,4.92%,-2.21%,4.69,-6.01%,9.32,3.54,11.71%,5.98%,4.57M,0.67%,1.17,28.12,9.71%,9.96%,28.25,41.15,-11.58%,0.37 (1.13%),20.49,-7.41%,7.54%,-19.85%,1.09,0.34 (1.03%),1.81,0.56%,41.36%,16.74%,0.81,"Feb 20, 2025",2.91,44.23%,16.48%,38.40,2.29%,2.46%,2500,0.35,2.35%,10.23%,2.25,40.57,Yes / Yes,0.34,166.58%,35.98%,1.23,32.96,1.11%,14.78%,3.90%,Feb 04 AMC,973.99K,32.98,-2.16%,-7.97%,-5.62%,"

","1,197,352",0.06%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,30.12,5.47,0.10%,448.47M,0.91%,73.73B,24.30,6.77,-1.26%,447.34M,-1.55%,2.49B,3.72,1.42,95.25%,1.59%,-0.53%,9.26B,7.97,2.88%,-0.30%,2.40,-15.51%,10.64,15.48,11.23%,17.43%,7.12M,-2.29%,4.44,37.11,8.10%,50.91%,144.80,200.33,1.06%,1.96 (1.19%),32.08,11.91%,24.46%,-17.81%,0.93,1.80 (1.09%),1.08,8.22%,69.10%,13.71%,3.71,"Apr 21, 2025",1.75,7.70%,36.65%,49.95,2.05%,2.32%,13800,1.42,8.33%,26.86%,1.50,206.15,Yes / Yes,1.13,12.87%,32.86%,1.06,163.11,0.86%,2.77%,4.70%,Feb 13 BMO,2.96M,164.65,-0.01%,-1.13%,-6.65%,"

","3,136,955",0.94%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.40,1.48,0.86%,592.17M,-0.70%,11.75B,10.22,1.94,0.00%,587.06M,2.32%,1.22B,0.96,0.42,25.37%,2.69%,-0.35%,6.15B,1.91,16.09%,-5.92%,6.01,-17.13%,10.74,1.85,13.42%,9.74%,15.79M,-6.72%,5.17,3.84,13.95%,14.45%,17.89,27.50,1.48%,0.73 (3.70%),-,8.46%,14.32%,-27.85%,-0.02,0.97 (4.89%),1.04,14.25%,30.97%,10.90%,0.60,"Apr 10, 2025",1.07,-0.16%,24.90%,48.19,1.94%,2.71%,23554,0.28,12.67%,19.90%,1.40,25.99,Yes / Yes,0.01,14.33%,45.74%,0.96,19.82,10.92%,-11.92%,21.51%,Mar 18 AMC,2.63M,19.84,-1.73%,0.81%,-4.66%,"

","2,511,102",0.10%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.10,37.92%,154.72M,-5.46%,30.70B,55.62,3.57,-0.41%,96.06M,1.12%,-15.53M,-,0.76,49.61%,6.46%,5.75%,2.42B,12.68,-3.38%,3.07%,3.44,16.08%,10.39,19.10,15.75%,-0.35%,6.20M,2.55%,18.62,10.66,10.32%,-1.21%,153.45,217.84,9.98%,-,44.19,-10.72%,-0.94%,-8.91%,1.09,-,1.15,48.57%,77.68%,29.31%,8.32,-,1.15,89.39%,-4.09%,45.87,3.57%,4.30%,7348,0.77,27.77%,-0.64%,1.76,237.67,Yes / Yes,0.03,73.68%,-,1.94,207.14,2.13%,13.49%,23.41%,Mar 05 AMC,1.80M,198.42,-2.00%,-1.67%,3.80%,"

","3,488,974",-4.21%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.04,3.20,14.59%,263.11M,-5.66%,22.52B,13.32,5.54,-2.80%,260.69M,0.09%,1.01B,17.59,1.31,62.24%,2.81%,-13.66%,4.67B,4.83,-2.43%,6.86%,2.83,7.07%,29.22,2.52,2.46%,9.66%,7.33M,10.73%,25.57,2.89,1.31%,11.92%,55.06,92.80,-9.61%,-,12.45,106.45%,11.26%,-20.51%,0.65,-,4.46,78.74%,75.94%,33.98%,2.17,-,4.46,55.96%,19.00%,38.58,2.27%,2.58%,7412,0.01,3.05%,21.65%,2.32,91.61,Yes / Yes,0.00,21.68%,0.00%,0.85,74.84,0.80%,8.10%,3.29%,Feb 24 AMC,2.59M,73.77,-2.12%,-7.27%,1.67%,"

","2,202,088",-1.43%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.60,0.94%,109.14M,1.32%,3.94B,151.28,0.24,-12.63%,108.11M,4.33%,-257.10M,-,-0.46,51.10%,7.33%,32.77%,398.99M,9.89,43.69%,10.48%,9.15,59.91%,7.80,4.63,116.32%,-23.14%,7.92M,123.22%,8.06,4.48,-,-31.41%,13.48,39.77,37.99%,-,-,-3.18%,-30.08%,-9.13%,1.07,-,3.38,118.89%,62.94%,168.10%,2.06,-,3.51,24.92%,-70.71%,54.80,5.80%,5.13%,1869,0.18,49.59%,-64.44%,1.29,53.83,Yes / Yes,0.02,18.42%,-,1.72,37.29,-0.24%,-22.87%,65.68%,Feb 27 BMO,866.00K,36.14,-0.00%,13.27%,43.00%,"

","1,489,762",-3.08%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-3.61,-,253.10M,-6.08%,6.10B,19.09,1.26,-,-,-10.28%,-891.82M,-,1.04,4.07%,-,-25.42%,10.55B,0.58,76.16%,71.88%,2.19,31.42%,-6.35,-,240.69%,-21.49%,1.40M,-,4.85,4.97,-,-,13.00,33.32,-15.12%,-,-,-,-,-27.70%,-,-,0.48,146.49%,16.40%,85.31%,1.89,-,0.62,25.35%,-9.12%,40.68,4.48%,7.31%,17439,-,45.22%,-8.46%,1.00,38.02,Yes / Yes,-,67.77%,-,0.71,24.26,-0.44%,-71.34%,40.01%,Mar 20 BMO,638.81K,24.09,-13.87%,-8.93%,5.60%,"

","455,017",-0.70%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.06,4.96,1.60%,147.87M,-1.89%,7.36B,8.71,5.72,-2.21%,145.20M,-7.74%,730.00M,1.51,1.18,78.59%,4.00%,-9.92%,4.99B,1.47,6.67%,2.88%,3.63,7.64%,40.97,1.22,8.37%,0.88%,5.80M,15.55%,-,-,6.65%,13.15%,39.05,63.22,-8.09%,1.73 (3.47%),7.58,3.54%,9.98%,-21.13%,0.91,1.68 (3.37%),-,10.13%,-,27.68%,1.62,"Feb 13, 2025",0.35,13.79%,20.26%,44.37,3.09%,3.31%,9406,0.82,7.91%,14.62%,2.77,61.88,Yes / Yes,0.19,72.54%,33.52%,0.77,49.47,4.18%,6.00%,4.59%,Apr 21 AMC,1.60M,49.86,0.87%,-6.88%,-2.89%,"

","1,229,673",0.79%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.82,17.83,1.07%,120.42M,-6.59%,1.76B,-,-1.36,0.00%,119.17M,-27.84%,2.15B,-,1.88,52.63%,10.92%,-32.83%,8.43B,0.21,-91.32%,12.63%,2.10,-35.51%,33.52,0.44,-188.28%,21.76%,13.01M,51.38%,17.56,0.83,-,66.17%,9.38,29.00,-32.04%,0.69 (4.75%),0.57,-,24.69%,-49.69%,1.72,7.10 (48.63%),1.17,42.24%,32.89%,55.57%,1.07,"Mar 24, 2025",1.25,179.57%,29.52%,27.63,4.26%,5.76%,6700,1.49,63.25%,25.48%,4.00,16.07,Yes / Yes,1.15,477.65%,22.25%,1.15,15.48,6.89%,33.49%,79.84%,Mar 12 BMO,6.19M,14.59,-18.68%,-21.35%,-25.63%,"

","7,101,492",-5.75%,ZIM
