Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.69%,74.85M,2.73%,1.08B,-,-1.03,342.96%,72.94M,0.00%,821.84M,-,-0.29,101.03%,9.33%,15.21%,-73.68M,8.83,39.87%,25.23%,14.66,-3.37%,122.87M,3.23,-5.24%,-15.95%,6.81M,-2.19%,4.44,3.85,-2.46%,-19.89%,17.70 -19.10%,36.64%,3.72,-,26.71% 15.81%,-21.07%,9.03 58.58%,98.34%,-,-,41.95% 20.90%,89.52%,4.09%,4.78%,-52.23%,-,6.69,35.69%,-67.32%,0.62,-,-,7.69,95.94%,-59.96%,63.21,1.44,- -,7.69,106.06%,8.22%,1.26,23.12,-,0.06,153.21%,8.80%,0.53,14.10,286,0.05,Aug 07 AMC,8.25%,464.18K,14.32,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","247,297",1.56%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,44.69,1.01,11.57%,167.66M,-1.35%,7.58B,28.76,1.57,-1.51%,148.17M,22.94%,7.93B,4.43,0.40,91.70%,2.91%,22.21%,174.00M,4.70,11.72%,2.47%,4.64,26.84%,1.61B,4.85,9.97%,6.40%,4.31M,21.26%,9.33,37.54,10.08%,10.81%,45.90 -1.46%,45.43%,1.20,26.92,32.18% -7.41%,8.26%,27.74 63.05%,44.55%,0.37 (0.81%),22.10,19.81% -5.41%,41.82%,1.71%,2.42%,191.79%,0.36 (0.80%),4.91,30.64%,16.77%,0.98,317.64%,"Aug 20, 2025",1.72,4.74%,10.78%,69.45,2.44,3.23% 0.62%,2.71,12.98%,4.23%,1.09,45.57,35.98%,0.36,7.89%,14.83%,1.01,45.26,2500,0.35,Jul 29 AMC,22.25%,929.09K,45.23,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","938,090",-0.07%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,26.97,5.81,0.17%,443.95M,2.83%,69.47B,22.75,6.89,-0.34%,442.41M,3.68%,74.83B,3.18,1.64,97.95%,1.55%,-4.21%,2.61B,7.40,6.98%,-0.71%,2.18,0.08%,9.38B,13.98,8.78%,18.24%,6.88M,-3.79%,11.21,48.41,8.47%,52.54%,200.33 -21.75%,-14.67%,3.24,31.31,8.55% 11.91%,25.07%,139.70 12.21%,-10.14%,1.99 (1.27%),18.68,5.98% 8.14%,70.03%,1.96%,2.28%,-1.33%,1.93 (1.23%),7.97,13.72%,37.51%,3.52,227.54%,"Jul 18, 2025",1.04,5.27%,27.83%,59.48,1.57,18.93% 21.14%,1.76,17.78%,4.10%,0.88,195.36,32.86%,1.36,4.19%,1.37%,0.97,155.67,13800,1.09,Aug 05 BMO,-3.79%,3.16M,156.76,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","3,050,329",0.70%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.30,1.47,0.00%,593.65M,-3.17%,11.59B,11.56,1.69,-,593.65M,0.57%,10.62B,1.70,0.33,14.67%,2.25%,11.60%,1.21B,1.81,-0.49%,-12.29%,5.85,-2.35%,6.42B,1.82,13.84%,9.38%,13.33M,-0.10%,10.73,3.13,7.81%,13.98%,27.50 -28.98%,-0.76%,6.24,-,18.24% 8.45%,13.37%,16.34 19.52%,-26.34%,0.63 (3.21%),5.76,9.28% 13.97%,27.49%,2.34%,1.96%,-42.01%,0.70 (3.58%),1.65,10.00%,21.97%,0.54,-,"Apr 10, 2025",1.19,14.40%,18.81%,48.67,1.48,- -,1.21,-23.70%,-2.62%,-0.13,23.63,45.76%,0.29,10.45%,3.62%,2.05,19.74,24471,0.01,Aug 19 AMC,1.80%,2.28M,19.53,"Oct 27, 2016",Yes / Yes,-17.29% -2.84%,"

","4,676,662",-1.06%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.22%,155.70M,-1.43%,42.63B,74.89,3.66,-0.86%,97.74M,-4.17%,40.85B,-,0.80,54.45%,6.47%,8.67%,-38.78M,16.74,0.04%,6.16%,2.85,27.55%,2.55B,23.62,14.57%,-0.81%,6.32M,51.77%,11.59,14.18,11.75%,-2.68%,318.46 -14.02%,41.94%,19.30,61.69,41.55% -10.72%,-2.11%,153.45 78.43%,50.68%,-,-,47.68% 48.24%,77.33%,2.31%,2.76%,124.30%,-,16.04,49.20%,-4.59%,7.70,-,-,1.18,25.46%,-1.52%,42.15,1.67,- -,1.18,-121.43%,-2.19%,1.05,317.73,-,0.68,22.57%,-6.59%,0.47,274.92,7348,0.02,Sep 02 AMC,18.78%,2.22M,273.80,"Mar 16, 2018",Yes / Yes,11.64% 1.74%,"

","1,043,421",-0.41%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,21.67,3.33,14.17%,261.11M,-0.32%,21.83B,12.71,5.68,-0.82%,259.68M,-4.06%,14.08B,8.15,1.38,63.01%,2.63%,-13.16%,1.05B,4.65,1.20%,-2.43%,2.30,-15.28%,4.70B,2.46,1.26%,9.87%,6.82M,-11.58%,29.34,2.80,2.66%,12.19%,92.80 -22.24%,24.26%,25.82,12.82,-10.66% 106.45%,11.73%,58.78 22.76%,-36.27%,-,13.36,4.40% 49.60%,75.85%,1.82%,2.11%,-70.81%,-,3.00,24.11%,18.13%,1.54,-,-,4.48,2.98%,22.31%,44.94,2.29,- -,4.48,18.68%,-0.80%,0.56,91.04,0.00%,0.01,2.93%,-3.91%,1.54,72.19,7412,0.00,Aug 21 AMC,-8.21%,2.96M,72.16,"Apr 18, 2019",Yes / Yes,9.22% 0.72%,"

","4,551,962",-0.04%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.08%,109.91M,-5.98%,3.73B,74.96,0.45,-22.78%,108.95M,-9.46%,3.09B,-,-0.26,37.10%,4.20%,2.67%,-212.37M,8.71,47.32%,-8.00%,5.54,8.17%,427.80M,4.65,132.63%,-19.74%,4.57M,27.91%,7.20,4.48,-,-28.39%,44.34 -24.45%,96.14%,7.48,-,29.99% -3.19%,-26.45%,16.83 99.05%,-26.82%,-,-,40.38% 98.40%,62.39%,2.89%,2.99%,-58.79%,-,7.22,33.33%,-57.71%,1.66,-,-,2.93,32.56%,-49.64%,41.51,1.29,- -,3.12,54.50%,-8.54%,1.04,53.60,-,0.24,9.81%,-8.33%,0.89,35.44,1869,0.01,Aug 07 BMO,5.46%,826.29K,33.50,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","734,038",-5.47%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,1.69%,7.63B,14.68,2.05,-,-,3.08%,11.11B,-,-0.23,4.32%,-,5.61%,-462.32M,0.61,55.96%,-2.89%,1.33,19.09%,12.55B,-,222.53%,-7.04%,0.60M,6.17%,-13.26,5.35,-,-,33.32 -9.57%,92.16%,5.63,-,5.46% -,-,14.75 104.27%,-,-,-,118.43% 118.66%,18.90%,4.05%,2.48%,-,-,0.89,62.51%,-4.64%,0.86,-,-,0.49,39.14%,-3.68%,58.80,1.00,- -,0.59,82.59%,2.85%,0.06,35.50,-,-,37.06%,7.93%,2.79,31.52,17439,-,Aug 14 BMO,14.97%,448.81K,30.13,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","1,252,579",-4.41%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.81,5.48,1.62%,147.60M,-0.15%,7.94B,9.18,5.86,-0.03%,145.24M,-5.40%,-,1.29,1.46,77.89%,3.71%,10.59%,807.00M,1.60,15.11%,0.74%,3.85,-4.75%,4.97B,1.22,2.84%,0.95%,5.39M,-0.87%,44.24,-,7.63%,13.23%,63.22 -14.93%,15.43%,-,9.91,-9.99% 3.54%,10.34%,39.32 36.78%,-8.29%,1.74 (3.24%),-,19.10% 8.98%,-,2.03%,2.22%,56.98%,1.74 (3.24%),-,32.07%,22.09%,1.21,79.39%,"Aug 14, 2025",-,2.64%,16.23%,52.89,2.84,4.85% 5.34%,0.13,27.04%,0.90%,0.95,61.20,33.52%,1.10,-1.04%,1.47%,0.89,53.14,9406,0.18,Jul 21 AMC,2.35%,1.40M,53.78,"Mar 17, 1980",Yes / Yes,24.68% 3.35%,"

","1,247,587",1.20%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.79,19.53,1.18%,120.46M,-11.95%,1.85B,-,-2.23,0.00%,119.04M,-2.36%,5.42B,-,0.77,52.61%,20.32%,-18.67%,2.35B,0.21,-80.15%,-6.17%,4.23,-25.18%,8.87B,0.47,-163.06%,23.04%,24.18M,-28.60%,32.86,0.80,-,72.40%,29.00 -47.14%,-16.38%,19.19,0.52,-23.79% -,27.51%,11.03 38.92%,-68.48%,1.23 (7.99%),1.36,-7.73% 20.63%,34.71%,5.60%,3.79%,-,7.62 (49.67%),0.61,192.29%,31.33%,0.76,-,"Jun 02, 2025",1.10,65.83%,26.52%,41.67,4.12,16.67% -,1.18,226.86%,-5.70%,1.68,14.95,22.25%,1.49,28.46%,-5.62%,2.46,15.55,6700,1.16,Aug 20 BMO,-14.73%,5.72M,15.33,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","14,098,306",-1.41%,ZIM
