Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,42.95,0.71,16.25%,172.26M,-2.79%,5.23B,23.33,1.30,-12.79%,144.63M,-7.06%,124.20M,3.01,0.31,84.52%,3.27%,-7.00%,1.53B,3.42,20.75%,5.97%,5.82,2.26%,9.34,3.25,10.89%,4.22%,4.73M,17.17%,0.91,33.31,14.28%,7.19%,25.09,34.58,3.03%,0.27 (0.89%),18.49,18.47%,5.80%,-12.38%,1.17,0.31 (1.02%),1.95,0.20%,39.86%,20.77%,0.65,"May 17, 2024",3.31,95.74%,15.14%,40.47,1.64%,1.92%,2400,0.33,8.34%,8.11%,2.25,35.29,Yes / Yes,0.33,52.74%,45.61%,1.08,30.40,1.18%,12.06%,0.46%,Apr 23 AMC,812.65K,30.30,-2.28%,-4.23%,0.91%,"

","881,090",-0.33%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.57%,137.79M,-7.59%,1.37B,17.86,0.52,-8.02%,136.89M,-9.84%,-62.61M,-,0.09,73.67%,5.14%,0.65%,438.33M,3.13,29.09%,-0.36%,4.50,5.11%,0.94,9.83,21.60%,-8.44%,7.03M,-18.00%,3.69,2.50,-,-51.53%,7.05,11.80,-1.60%,-,-,9.40%,-11.66%,-21.61%,1.70,-,2.50,12.97%,67.51%,31.21%,0.31,-,2.50,50.48%,-8.58%,37.80,2.26%,3.52%,1618,2.90,7.97%,-14.28%,1.67,12.33,Yes / Yes,2.85,34.02%,-,0.71,9.35,0.88%,61.76%,6.47%,May 22 AMC,1.56M,9.25,-5.95%,-5.38%,4.72%,"

","1,115,717",-1.07%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.42,5.19,0.08%,458.37M,-4.36%,76.74B,26.31,6.39,-5.51%,455.93M,-3.56%,2.39B,3.40,1.49,95.60%,1.27%,-1.64%,8.73B,8.79,8.42%,0.02%,1.80,-14.51%,11.07,15.19,10.82%,17.02%,5.80M,-0.43%,4.33,38.86,9.53%,50.06%,144.80,201.92,-14.79%,1.74 (1.03%),43.85,11.57%,20.26%,-16.71%,0.86,1.61 (0.96%),1.94,8.05%,68.34%,16.15%,3.71,"Jul 18, 2024",3.33,17.17%,35.97%,42.49,2.31%,2.03%,14100,1.34,7.91%,27.38%,1.22,214.49,Yes / Yes,1.33,9.89%,30.71%,1.00,169.66,1.70%,2.54%,9.50%,May 02 BMO,3.23M,168.18,-2.68%,1.41%,-5.25%,"

","3,233,436",-0.87%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.00,1.43,1.10%,606.77M,-3.98%,12.88B,10.93,1.96,0.00%,593.93M,-12.66%,1.19B,0.97,0.43,39.02%,3.38%,-5.13%,5.52B,2.33,13.58%,3.58%,4.69,6.19%,9.92,2.16,18.36%,9.82%,20.05M,-16.92%,4.58,4.68,15.40%,15.03%,15.90,28.04,0.80%,0.70 (3.27%),-,13.37%,13.12%,-23.50%,-0.11,0.62 (2.89%),1.11,15.78%,31.20%,34.95%,0.68,"Apr 09, 2024",1.15,7.93%,24.81%,37.00,2.10%,2.51%,23554,0.27,3.63%,21.49%,1.14,29.17,Yes / Yes,0.13,-18.31%,0.00%,0.71,22.06,5.91%,-23.59%,4.72%,May 15 AMC,4.28M,21.45,-8.59%,-2.52%,-0.61%,"

","3,035,825",-2.77%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.50,39.90%,147.17M,-5.43%,26.99B,53.59,3.33,-0.12%,90.84M,-1.12%,-73.50M,-,0.70,47.36%,5.55%,-9.49%,2.03B,13.30,68.39%,5.55%,2.50,-19.76%,7.22,24.72,10.56%,-1.99%,5.04M,20.13%,14.82,12.05,26.82%,-8.68%,131.59,259.61,-19.40%,-,49.08,-17.41%,-3.23%,-31.21%,0.83,-,1.67,53.60%,77.75%,35.71%,6.41,-,1.67,73.33%,-6.90%,50.33,3.07%,3.80%,5962,1.13,37.16%,-3.62%,1.51,231.37,Yes / Yes,1.08,139.17%,-,1.00,179.41,3.19%,33.96%,32.09%,May 30 AMC,2.02M,178.58,1.70%,1.30%,-6.90%,"

","2,017,745",-0.46%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-3.36,12.31%,70.77M,-46.37%,372.80M,-,-3.63,-0.48%,62.27M,-55.47%,-218.90M,-,-0.84,113.65%,28.13%,-61.68%,40.56M,9.19,40.00%,-0.93%,17.91,-62.18%,6.46,0.81,-35.33%,-41.82%,17.51M,-81.59%,6.89,0.76,-,-51.86%,3.93,30.53,-65.35%,-,-,-50.05%,-43.66%,-82.80%,1.67,-,9.19,-20.00%,96.66%,33.58%,1.11,-,9.19,21.74%,-527.00%,21.98,24.56%,11.55%,168,0.10,-,-539.70%,2.27,10.70,Yes / Yes,0.09,113.26%,-,8.23,4.14,170.40%,118.25%,-,May 07 BMO,978.14K,5.25,-50.18%,-54.83%,-63.69%,"

","8,049,184",26.81%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,21.68,2.69,22.24%,260.90M,-3.65%,18.03B,11.41,5.11,-0.34%,240.46M,-9.02%,838.33M,14.46,1.21,60.05%,3.78%,-12.79%,4.56B,3.95,-3.15%,-0.53%,3.03,-18.29%,26.83,2.17,1.29%,8.90%,9.10M,-17.36%,23.88,2.44,1.50%,11.31%,56.09,75.90,-18.91%,-,10.96,-,10.05%,-23.18%,-0.07,-,4.36,95.81%,73.37%,3.96%,1.54,-,4.36,19565.00%,17.35%,38.92,3.01%,2.56%,7420,0.01,3.13%,18.37%,2.57,75.25,Yes / Yes,0.00,1250.20%,0.00%,1.45,56.21,1.35%,13.52%,3.25%,May 20 AMC,3.00M,58.31,-4.83%,-5.38%,-10.99%,"

","4,345,331",3.74%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.50,0.54%,98.72M,-10.00%,1.78B,-,-1.61,-11.75%,98.19M,-13.63%,-338.95M,-,-0.71,43.69%,2.76%,4.59%,291.07M,6.10,17.87%,-2.00%,4.29,-39.98%,7.83,2.30,43.22%,-31.41%,2.71M,-33.48%,7.61,2.37,-,-38.44%,13.48,32.60,-34.14%,-,-,-16.93%,-44.04%,-44.79%,1.06,-,4.43,2095.12%,62.86%,33.53%,1.04,-,4.63,18.13%,-129.65%,43.80,4.17%,4.79%,2175,0.08,25.94%,-116.45%,1.17,52.28,Yes / Yes,0.01,-7.51%,-,1.34,18.82,15.83%,40.53%,38.78%,May 08 AMC,632.40K,18.00,-5.55%,1.59%,-18.98%,"

","848,915",-4.36%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.87%,127.44M,-32.06%,497.02M,6.25,0.62,0.00%,116.14M,-64.55%,-126.89M,-,0.00,0.52%,0.07%,-78.70%,1.20B,0.41,128.64%,-,0.70,-74.84%,2.82,1.38,2411.11%,-4.29%,0.08M,-,2.21,1.77,-,-9.63%,3.19,21.91,-76.09%,-,-,-,-27.40%,-82.20%,-,-,1.63,26.18%,16.84%,22.26%,1.47,-,1.82,18.59%,-4.42%,29.02,27.27%,21.79%,3476,0.28,-3.00%,-10.53%,1.00,16.09,No / Yes,0.04,44.09%,-,3.26,3.52,-5.59%,-26.47%,-8.66%,May 21 BMO,117.82K,3.90,-55.93%,-65.34%,-74.08%,"

","384,180",10.80%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,24.30,0.36,30.28%,76.17M,-10.75%,857.05M,-,-0.11,-0.57%,69.24M,-14.64%,37.58M,2.36,-0.07,51.06%,4.26%,-26.93%,584.21M,1.47,-160.13%,-1.82%,5.76,-37.91%,0.13,67.73,60.76%,5.70%,2.95M,-46.06%,5.17,1.67,10.30%,855.40%,8.59,19.29,-37.91%,-,8.73,-,6.67%,-55.26%,1.17,-,6.58,17.01%,89.88%,0.47%,0.35,-,6.58,-27.43%,12.87%,27.51,3.55%,3.08%,1000,43.95,-32.16%,6.43%,2.44,12.25,Yes / Yes,43.55,-244.08%,0.00%,1.66,8.61,1.01%,-15.68%,-33.48%,May 09 AMC,511.97K,8.63,-10.62%,-14.93%,-29.58%,"

","848,085",0.23%,ZIP
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.33,3.98,1.63%,148.15M,-2.97%,6.08B,8.84,4.66,-0.81%,145.25M,-6.00%,588.00M,-,1.09,77.44%,5.52%,-0.36%,4.75B,1.28,-0.69%,2.23%,4.78,-4.34%,36.50,1.13,7.76%,0.71%,8.02M,47.83%,-,-,-8.32%,11.33%,26.35,46.15,-6.15%,1.66 (4.03%),6.87,1.26%,8.96%,-10.79%,1.09,1.64 (3.98%),-,9.97%,-,56.21%,1.07,"May 15, 2024",0.12,-31.91%,16.98%,45.03,2.28%,2.30%,9679,0.97,28.04%,12.37%,3.00,45.45,Yes / Yes,0.13,-28.08%,37.74%,0.66,41.40,-0.10%,1.43%,11.63%,Apr 22 BMO,1.68M,41.17,-1.86%,-2.43%,4.76%,"

","1,102,957",-0.56%,ZION
