Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,48.80,0.79,16.06%,172.26M,7.13%,6.53B,28.66,1.34,-8.73%,142.45M,4.88%,137.70M,3.07,0.28,86.75%,5.58%,29.08%,1.55B,4.21,27.71%,7.37%,5.33,19.13%,9.34,4.12,8.38%,4.94%,7.95M,34.31%,1.11,34.76,15.89%,8.52%,27.55,38.11,30.84%,0.27 (0.69%),24.19,18.47%,6.47%,0.97%,1.14,0.32 (0.83%),1.71,0.20%,41.40%,39.67%,0.88,"Nov 20, 2024",2.70,28.10%,16.27%,71.51,3.20%,2.17%,2400,0.35,2.55%,8.87%,2.25,38.71,Yes / Yes,0.34,6.98%,45.61%,0.88,37.15,0.95%,5.82%,2.91%,Oct 29 AMC,1.49M,38.48,5.00%,10.29%,19.51%,"

","1,309,001",3.58%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.33,7.68%,153.54M,-0.20%,1.52B,17.37,0.57,-6.74%,141.75M,15.93%,-47.27M,-,0.11,74.41%,4.12%,18.28%,445.68M,3.41,70.45%,4.44%,2.29,-5.80%,1.27,7.81,1.33%,-6.17%,5.84M,27.74%,3.54,2.80,15.00%,-31.02%,7.55,10.85,5.32%,-,-,9.40%,-7.99%,-8.76%,1.69,-,2.71,12.97%,68.16%,31.13%,0.14,-,2.71,60.38%,-6.31%,73.86,0.30%,1.43%,1618,2.12,7.33%,-10.61%,3.00,10.00,Yes / Yes,2.08,70.33%,-,1.16,9.89,2.46%,98.33%,6.80%,Aug 21 AMC,2.55M,9.90,2.69%,9.43%,8.20%,"

","2,953,438",0.10%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.95,5.32,0.08%,458.37M,-3.31%,79.41B,27.37,6.40,0.00%,452.68M,-6.41%,2.43B,3.45,1.38,95.79%,0.97%,-5.14%,9.15B,8.68,10.14%,-0.85%,2.34,4.05%,11.59,15.12,9.27%,17.07%,4.38M,8.04%,3.78,46.33,9.55%,47.13%,144.80,201.92,-11.20%,1.70 (0.97%),34.40,11.57%,20.27%,-13.20%,0.91,1.73 (0.99%),2.27,8.05%,68.49%,21.04%,4.12,"Oct 31, 2024",3.69,8.09%,36.45%,33.27,2.37%,1.99%,14100,1.29,9.33%,26.55%,1.50,222.92,Yes / Yes,1.29,16.43%,30.71%,1.31,175.18,4.34%,8.49%,11.02%,Nov 04 BMO,1.87M,175.27,-5.81%,-7.10%,-2.21%,"

","2,451,406",0.05%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.22,1.42,0.86%,606.77M,-3.32%,13.74B,11.50,2.00,0.00%,592.88M,-14.23%,1.19B,1.25,0.40,34.77%,3.09%,17.31%,5.61B,2.45,13.33%,-2.08%,6.82,11.78%,10.31,2.23,18.16%,9.95%,18.33M,-6.51%,4.71,4.88,13.00%,14.81%,15.90,27.50,7.94%,0.68 (2.96%),-,13.37%,12.68%,-16.47%,-0.08,0.97 (4.22%),1.22,15.78%,31.13%,44.51%,0.78,"Sep 10, 2024",1.26,-0.18%,24.65%,40.66,1.89%,2.21%,23554,0.30,3.60%,21.14%,1.31,29.56,Yes / Yes,0.12,-3.11%,40.76%,0.78,22.46,0.90%,2.93%,6.28%,Nov 19 AMC,2.69M,22.97,-6.36%,-2.76%,8.03%,"

","2,089,888",2.27%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.39,38.31%,152.49M,-1.55%,28.50B,53.52,3.49,-0.14%,94.08M,8.59%,-57.71M,-,0.63,46.97%,5.14%,12.46%,2.17B,13.15,-10.59%,-0.84%,2.74,5.66%,8.36,22.37,22.45%,-1.39%,4.84M,13.71%,15.80,11.83,18.50%,-5.77%,153.45,259.61,-15.64%,-,48.73,-10.72%,-4.38%,-28.00%,0.79,-,1.04,48.57%,77.87%,21.81%,5.25,-,1.04,72.20%,-5.71%,53.91,2.93%,2.91%,7348,0.97,34.07%,-2.66%,1.75,213.24,Yes / Yes,0.04,53.13%,-,0.55,184.90,4.48%,24.95%,30.30%,Sep 03 AMC,1.76M,186.91,-0.71%,4.35%,-2.17%,"

","978,838",1.09%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.75,13.67%,70.77M,33.10%,268.79M,-,-3.57,-0.12%,61.39M,21.54%,-194.65M,-,-0.91,96.21%,12.48%,15.24%,40.56M,6.63,32.96%,-17.97%,3.95,-69.29%,5.38,0.70,-19.17%,-34.97%,7.66M,-78.86%,6.00,0.63,-,-42.98%,2.66,18.24,-75.05%,-,-,-50.05%,-45.92%,-79.28%,1.70,-,6.59,-20.00%,96.71%,42.11%,0.31,-,6.59,42.78%,-543.77%,64.17,15.58%,8.40%,168,0.12,-,-479.92%,2.11,11.00,Yes / Yes,0.11,32.87%,-,0.67,3.73,-,-47.48%,-,Aug 09 BMO,1.94M,3.78,23.01%,13.83%,-54.19%,"

","1,293,126",1.34%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,27.85,2.79,15.02%,307.79M,2.98%,23.93B,14.66,5.30,-0.92%,261.57M,14.07%,875.37M,4.64,1.31,58.65%,3.32%,39.54%,4.59B,5.22,2.35%,0.37%,2.70,25.12%,27.68,2.81,-0.54%,9.01%,8.68M,23.43%,24.46,3.18,6.00%,11.27%,55.06,76.03,8.12%,-,13.91,-,10.22%,2.26%,-0.06,-,4.45,95.81%,74.59%,41.21%,1.53,-,4.45,508.08%,17.80%,76.50,1.87%,2.22%,7420,0.01,2.76%,19.08%,2.47,75.79,Yes / Yes,0.00,17.25%,0.00%,0.80,75.54,1.20%,14.44%,2.09%,Nov 25 AMC,3.22M,77.75,7.43%,11.25%,21.15%,"

","2,565,647",2.93%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.07,0.59%,99.12M,-1.62%,3.06B,-,-1.82,-11.47%,98.53M,17.34%,-298.33M,-,-0.78,42.06%,4.82%,85.71%,322.71M,9.50,13.14%,7.84%,6.30,85.37%,7.18,4.31,39.32%,-28.50%,4.75M,20.22%,7.37,4.20,-,-36.46%,13.48,36.60,13.14%,-,-,-16.93%,-42.02%,-15.52%,1.01,-,3.29,2095.12%,62.95%,129.38%,1.46,-,3.46,24.90%,-109.67%,66.01,3.04%,4.63%,2175,0.12,28.16%,-92.44%,1.13,51.24,Yes / Yes,0.01,34.35%,-,0.79,30.89,7.45%,-15.75%,45.95%,Nov 12 BMO,753.38K,30.92,7.84%,26.33%,55.53%,"

","598,857",0.10%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.36,8.84%,127.44M,8.95%,505.80M,20.06,0.20,0.00%,116.59M,17.36%,-57.85M,-,-0.00,17.19%,0.03%,44.34%,1.22B,0.41,27.31%,99.53%,0.40,-69.46%,2.73,1.45,405.88%,-4.29%,0.03M,-,2.20,1.80,-,-9.63%,2.62,21.91,-75.75%,-,-,-,-12.58%,-81.95%,-,-,1.61,26.18%,17.21%,50.95%,0.25,-,1.80,69.95%,-3.73%,63.66,6.84%,6.49%,3476,0.26,-1.34%,-4.74%,1.00,4.55,No / Yes,0.04,88.56%,-,0.61,3.91,-2.36%,-133.33%,5.18%,Aug 22 BMO,78.91K,3.95,5.81%,17.07%,-57.23%,"

","48,501",1.15%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,32.59,0.29,36.08%,76.17M,-1.16%,928.83M,-,-0.19,-0.48%,63.49M,-1.99%,30.22M,-,-0.10,53.20%,6.16%,28.97%,537.45M,1.73,-146.15%,2.46%,7.80,-13.51%,0.25,37.96,11.05%,4.65%,3.91M,-20.43%,5.27,1.77,-,855.40%,7.21,15.35,-32.73%,-,10.69,-,5.26%,-39.09%,1.20,-,7.44,17.01%,89.51%,29.68%,0.34,-,7.44,-44.78%,11.55%,48.61,3.24%,3.49%,1000,22.71,-32.11%,5.62%,2.62,9.10,Yes / Yes,22.52,-50.07%,0.00%,0.59,9.07,5.30%,189.99%,-27.44%,Nov 06 AMC,501.40K,9.35,-1.31%,-1.33%,-9.92%,"

","295,004",3.09%,ZIP
