Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,50.02,0.79,16.26%,169.85M,1.68%,6.69B,29.52,1.34,-2.08%,142.12M,5.26%,137.70M,3.20,0.28,92.24%,4.83%,9.80%,1.55B,4.31,27.64%,9.31%,7.58,21.50%,9.34,4.22,7.90%,4.94%,6.86M,29.52%,1.11,35.62,15.61%,8.52%,28.25,41.15,5.74%,0.33 (0.84%),24.79,18.47%,6.47%,-4.16%,1.16,0.33 (0.84%),1.71,0.20%,41.40%,39.61%,0.77,"Nov 20, 2024",2.70,28.10%,16.27%,61.28,1.97%,2.02%,2400,0.35,2.55%,8.87%,2.25,40.14,Yes / Yes,0.34,6.98%,45.61%,0.88,39.30,0.95%,5.82%,2.91%,Feb 04 AMC,905.34K,39.44,3.86%,1.91%,15.07%,"

","797,691",0.36%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.50,7.57%,145.08M,0.00%,1.54B,-,-,-5.76%,142.79M,0.60%,-73.97M,-,-,74.27%,2.61%,0.60%,452.76M,3.41,-,6.59%,1.57,10.03%,1.20,8.33,-,-9.16%,3.73M,6.51%,3.62,2.76,-,-47.76%,7.70,10.85,0.60%,-,21.63,9.40%,-12.64%,-8.02%,1.67,-,2.56,12.97%,67.98%,29.61%,0.03,-,2.56,14.25%,-4.07%,56.41,0.32%,0.25%,1618,2.21,6.78%,-16.34%,3.00,10.00,Yes / Yes,2.18,-443.70%,-,0.68,9.99,0.77%,39.13%,6.45%,Dec 09 AMC,2.37M,9.98,0.10%,0.34%,5.06%,"

","1,619,445",-0.10%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.13,5.32,0.10%,451.55M,1.36%,77.10B,26.96,6.34,-0.76%,450.71M,5.34%,2.43B,3.29,1.37,94.72%,1.58%,-5.72%,9.15B,8.42,10.63%,-1.60%,2.67,-5.08%,11.59,14.74,7.70%,17.07%,7.12M,-10.72%,3.80,44.98,9.78%,47.13%,144.80,200.53,4.89%,1.73 (1.01%),33.41,11.57%,20.27%,-14.78%,0.90,1.80 (1.05%),2.27,8.19%,68.49%,18.02%,3.68,"Jan 21, 2025",3.69,8.09%,36.45%,54.06,2.15%,2.19%,14100,1.29,9.33%,26.55%,1.50,216.47,Yes / Yes,1.29,16.43%,30.71%,0.99,172.71,4.34%,8.49%,11.02%,Feb 13 BMO,2.66M,170.90,2.22%,0.21%,-3.12%,"

","2,630,696",-1.05%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.06,1.43,0.86%,598.04M,-0.11%,11.16B,10.48,1.78,0.00%,592.88M,-3.27%,1.20B,1.24,0.45,28.48%,3.09%,-21.46%,5.83B,1.91,8.85%,-8.93%,6.16,-1.53%,10.74,1.74,10.91%,9.47%,18.34M,13.23%,5.47,3.41,10.50%,14.45%,15.90,27.50,-4.55%,0.65 (3.50%),-,13.37%,13.77%,-32.15%,-0.15,0.97 (5.20%),0.94,14.65%,31.29%,17.40%,0.53,"Sep 10, 2024",0.96,-2.64%,24.78%,45.76,2.95%,2.38%,23554,0.30,8.68%,20.51%,1.36,26.41,Yes / Yes,0.01,3.34%,40.76%,0.78,19.08,1.13%,0.45%,17.70%,Nov 19 AMC,2.98M,18.66,-0.62%,-2.62%,-12.29%,"

","2,308,946",-2.20%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.24,38.08%,153.41M,4.71%,31.09B,57.35,3.53,-0.12%,95.02M,10.63%,-36.27M,-,0.69,48.84%,4.81%,6.71%,2.30B,13.52,-6.48%,4.05%,2.53,12.96%,9.31,21.76,18.42%,-0.87%,4.57M,-15.98%,17.65,11.48,10.31%,-3.24%,153.45,259.61,12.29%,-,47.67,-10.72%,-2.47%,-21.96%,0.89,-,1.09,48.57%,77.81%,32.02%,6.68,-,1.09,79.05%,-4.74%,60.86,4.46%,3.25%,7348,0.87,30.77%,-1.58%,1.82,227.45,Yes / Yes,0.03,65.17%,-,0.61,202.83,3.71%,22.75%,26.42%,Dec 02 AMC,1.81M,202.59,5.86%,3.28%,9.25%,"

","1,104,955",-0.12%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.53,22.67%,71.15M,-21.62%,124.00M,-,-2.56,-0.04%,55.11M,-40.41%,-179.28M,-,-0.71,81.37%,9.21%,-38.73%,40.56M,3.06,44.78%,-14.80%,2.82,-55.27%,4.98,0.35,-3.59%,-34.60%,5.08M,-85.62%,5.49,0.32,17.66%,-42.89%,1.66,18.07,-42.57%,-,-,-50.05%,-45.41%,-90.37%,1.79,-,7.29,0.00%,96.77%,4.82%,0.28,-,7.29,45.45%,-515.94%,29.63,15.86%,11.87%,168,0.12,-,-442.02%,2.09,6.27,Yes / Yes,0.11,28.19%,-,1.74,1.66,-,38.34%,-,Nov 06,1.80M,1.74,-29.97%,-41.07%,-66.34%,"

","3,138,861",4.82%,ZNTL
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,29.02,3.00,14.69%,306.50M,8.44%,26.65B,16.23,5.36,-2.16%,261.48M,5.09%,941.21M,15.95,1.30,57.86%,3.21%,15.15%,4.63B,5.76,4.34%,-0.17%,2.62,43.94%,28.31,3.07,-1.44%,9.41%,8.40M,29.41%,25.16,3.46,1.82%,11.70%,55.06,92.80,6.53%,-,15.45,-,10.80%,-6.31%,-0.00,-,4.50,95.81%,74.54%,57.90%,2.48,-,4.50,296.12%,17.93%,63.30,3.87%,2.81%,7420,0.01,2.87%,20.34%,2.36,92.85,Yes / Yes,0.00,44.84%,0.00%,0.89,87.29,1.23%,5.67%,3.59%,Feb 24 AMC,3.20M,86.94,6.53%,4.85%,25.61%,"

","2,861,240",-0.40%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.21%,108.94M,3.50%,2.96B,-,-1.71,-10.94%,108.70M,2.72%,-270.85M,-,-0.69,43.83%,5.57%,-13.49%,355.75M,8.33,21.00%,-11.62%,7.26,42.88%,6.78,4.01,37.50%,-26.70%,6.05M,21.93%,6.57,4.14,-,-34.98%,13.48,36.60,3.82%,-,-,-16.93%,-40.20%,-25.71%,1.02,-,2.87,136.21%,63.17%,101.71%,1.26,-,3.01,10.91%,-95.07%,55.17,4.64%,5.01%,2175,0.19,35.01%,-76.13%,1.31,48.70,Yes / Yes,0.01,40.53%,-,0.81,27.84,0.02%,94.89%,47.72%,Feb 27 BMO,832.97K,27.19,5.23%,2.08%,22.46%,"

","671,091",-2.33%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.26,8.87%,128.32M,-0.83%,459.39M,36.09,0.10,0.00%,116.94M,0.56%,-41.45M,-,-0.01,17.12%,0.02%,-1.38%,1.23B,0.37,-93.09%,7.00%,0.42,19.73%,2.72,1.32,158.61%,-3.21%,0.02M,-80.24%,2.29,1.56,-,-7.35%,2.62,21.91,1.99%,-,-,-,-9.02%,-83.66%,0.06,-,1.62,26.18%,17.54%,36.64%,0.21,-,1.81,72.88%,-3.55%,51.30,4.96%,5.90%,3476,0.23,1.40%,-3.38%,1.00,4.32,No / Yes,0.05,59.85%,-,1.18,3.57,-,50.00%,1.80%,Nov 22 BMO,43.74K,3.58,0.34%,0.59%,-29.89%,"

","51,736",0.28%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,222.65,0.03,28.94%,75.06M,-1.57%,672.19M,-,-0.18,-0.54%,69.43M,-3.64%,3.57M,-,-0.11,53.58%,4.46%,-27.27%,498.90M,1.35,-129.49%,1.75%,7.02,-24.89%,0.14,49.46,-34.86%,0.55%,3.10M,-53.36%,5.09,1.35,-,430.38%,6.51,14.94,-4.97%,-,10.02,-,0.63%,-53.95%,1.19,-,7.35,17.01%,89.13%,5.68%,0.30,-,7.35,-94.10%,5.24%,39.77,4.00%,4.33%,1000,40.75,-30.73%,0.72%,2.62,10.40,Yes / Yes,40.47,-111.35%,0.00%,1.29,7.06,4.27%,71.12%,-24.77%,Nov 06 AMC,441.33K,6.88,-1.33%,-10.36%,-23.47%,"

","567,270",-2.55%,ZIP
