Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.85,0.98,11.57%,168.52M,-0.61%,6.06B,24.52,1.47,-57.94%,148.79M,-3.79%,169.50M,4.74,0.36,91.77%,3.56%,11.30%,1.58B,3.83,4.79%,1.21%,5.52,-11.93%,9.19,3.92,9.60%,6.29%,5.29M,19.58%,0.86,41.91,7.78%,10.49%,27.74,41.15,-3.38%,0.37 (1.02%),23.31,-7.41%,8.11%,-12.42%,1.03,0.35 (0.97%),1.72,-5.41%,41.66%,29.92%,0.75,"May 20, 2025",2.87,38.39%,16.67%,51.77,0.75%,1.48%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,0.59,36.31,1.36%,6.90%,4.01%,Apr 22 AMC,957.66K,36.04,-1.09%,5.65%,0.57%,"

","563,775",-0.74%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,30.32,5.57,0.10%,446.04M,0.12%,75.16B,24.73,6.83,-0.65%,444.77M,5.24%,2.52B,3.68,1.62,96.00%,2.37%,5.47%,9.29B,8.09,5.38%,-0.39%,3.69,-5.24%,10.44,16.18,9.43%,17.70%,10.54M,-5.60%,3.87,43.67,8.23%,51.85%,139.70,200.33,3.62%,1.99 (1.18%),32.95,11.91%,25.04%,-15.73%,0.94,1.86 (1.10%),1.04,8.14%,69.48%,20.84%,3.82,"Jul 18, 2025",1.74,7.23%,37.01%,58.15,2.27%,1.42%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,0.82,166.33,1.37%,5.00%,1.37%,May 06 BMO,2.86M,168.82,1.75%,6.49%,-1.45%,"

","2,334,050",1.50%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.32,1.57,0.86%,593.65M,4.34%,10.56B,9.78,1.82,0.00%,588.53M,-3.74%,1.30B,1.03,0.40,22.11%,2.35%,-8.40%,6.26B,1.68,8.25%,-8.39%,4.42,-8.30%,10.73,1.66,12.66%,10.29%,13.84M,-25.20%,5.35,3.32,10.96%,15.68%,16.34,27.50,-9.05%,0.68 (3.82%),-,8.45%,15.06%,-35.35%,-0.18,0.70 (3.94%),1.02,13.97%,29.66%,8.81%,0.48,"Apr 10, 2025",1.05,10.00%,24.06%,49.84,2.16%,2.81%,24471,0.27,13.41%,20.76%,1.38,23.39,Yes / Yes,0.01,38.73%,45.76%,0.41,17.56,-9.78%,-15.96%,8.02%,May 20 AMC,3.13M,17.78,1.52%,-2.32%,-12.36%,"

","1,280,051",1.25%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.92%,155.70M,0.18%,46.93B,82.63,3.65,-0.82%,96.65M,23.03%,-38.78M,-,0.80,54.85%,8.68%,59.00%,2.55B,18.43,-0.04%,9.55%,3.18,46.23%,11.59,26.00,14.41%,-0.81%,8.39M,63.90%,19.30,15.61,11.53%,-2.68%,153.45,306.77,67.08%,-,67.91,-10.72%,-2.11%,-1.74%,1.09,-,1.18,48.24%,77.33%,96.44%,7.97,-,1.18,49.20%,-4.59%,80.45,0.84%,2.55%,7348,0.68,25.46%,-1.52%,1.67,306.59,Yes / Yes,0.02,-121.43%,-,0.69,299.86,1.74%,11.64%,22.57%,May 29 AMC,2.64M,301.43,9.94%,27.09%,47.89%,"

","1,826,348",0.52%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.24,3.33,14.64%,261.11M,-4.82%,23.42B,13.65,5.67,-1.63%,258.27M,-6.94%,1.05B,9.26,1.38,62.59%,3.20%,7.17%,4.70B,4.98,1.20%,-0.36%,3.54,-9.55%,29.34,2.64,1.17%,9.87%,8.27M,22.95%,25.82,3.00,2.51%,12.19%,55.06,92.80,-5.15%,-,13.76,106.45%,11.73%,-16.58%,0.69,-,4.48,49.60%,75.85%,40.59%,1.67,-,4.48,24.11%,18.13%,38.54,0.61%,1.15%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.84,78.16,0.72%,9.22%,2.93%,May 21 AMC,2.34M,77.41,-4.32%,0.07%,0.11%,"

","1,953,012",-0.96%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,17.76%,4.73B,111.42,0.39,-22.78%,108.40M,50.35%,-252.07M,-,-0.40,50.87%,4.71%,19.06%,418.33M,11.30,48.02%,6.38%,4.36,48.84%,7.48,5.75,128.58%,-23.32%,5.11M,115.15%,7.80,5.51,-,-32.05%,16.01,41.44,64.30%,-,-,-3.18%,-30.63%,3.84%,0.97,-,3.09,98.38%,63.45%,168.77%,1.80,-,3.26,28.63%,-64.09%,78.15,2.60%,4.37%,1869,0.24,43.72%,-60.26%,1.31,53.56,Yes / Yes,0.02,18.43%,-,1.51,41.40,-5.41%,92.78%,22.19%,May 08 BMO,1.17M,43.03,26.59%,34.95%,49.14%,"

","1,767,989",3.94%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-1.42%,6.66B,12.12,2.17,-,-,-8.04%,-710.26M,-,-0.86,4.03%,-,-11.60%,11.52B,0.58,61.86%,-2.48%,1.32,-10.76%,-12.89,-,249.48%,-11.48%,1.03M,11.16%,5.39,4.88,-,-,13.00,33.32,-7.33%,-,-,-,-,-21.06%,0.15,-,0.45,118.66%,17.93%,102.31%,0.88,-,0.59,37.41%,-7.36%,49.51,0.90%,2.11%,17439,-,43.08%,-6.16%,1.00,39.59,Yes / Yes,-,66.34%,-,0.40,26.51,19.27%,-136.23%,47.60%,May 15 BMO,783.89K,26.30,-4.14%,8.05%,7.69%,"

","316,602",-0.79%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.49,5.13,1.68%,147.57M,2.18%,7.19B,8.80,5.54,-1.38%,145.09M,-2.40%,756.00M,1.56,1.30,78.49%,3.87%,3.66%,4.98B,1.44,5.12%,-2.15%,3.02,-16.10%,42.43,1.15,6.39%,0.91%,5.62M,18.02%,-,-,6.07%,13.06%,39.32,63.22,-10.19%,1.74 (3.57%),7.36,3.54%,10.04%,-22.94%,0.86,1.70 (3.49%),-,8.98%,-,23.91%,1.24,"May 15, 2025",0.15,28.90%,21.03%,54.66,1.17%,1.75%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.53,48.91,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.86M,48.72,1.25%,5.22%,-5.21%,"

","987,374",-0.39%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.85,19.53,1.18%,120.46M,-3.44%,2.00B,-,-1.91,0.00%,119.04M,-3.16%,2.35B,-,1.22,48.42%,18.20%,-7.79%,8.87B,0.22,-86.23%,-8.10%,3.05,-19.56%,32.86,0.50,-177.87%,23.04%,21.67M,-16.13%,19.19,0.86,-,72.40%,11.03,29.00,-22.82%,0.93 (5.62%),0.57,-,27.51%,-42.86%,1.74,7.61 (45.95%),1.10,20.63%,34.71%,50.16%,0.80,"Jun 02, 2025",1.18,192.29%,31.33%,47.74,0.42%,2.46%,6700,1.49,65.83%,26.52%,4.12,15.12,Yes / Yes,1.16,226.86%,22.25%,0.79,16.80,9.06%,30.79%,28.46%,May 19 BMO,7.11M,16.57,-5.59%,6.46%,-11.94%,"

","5,621,970",-1.37%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.37,0.33,78.19%,252.58M,1.29%,3.53B,17.47,0.50,0.00%,55.08M,-1.14%,83.40M,1.39,-,11.96%,8.40%,20.47%,2.11B,1.67,20.31%,-5.02%,4.85,1.88%,3.76,2.30,18.35%,2.78%,4.62M,-30.24%,0.74,11.63,19.00%,8.89%,6.05,12.77,4.72%,0.15 (1.69%),18.19,-,4.94%,-32.26%,0.74,0.13 (1.50%),0.80,-,55.89%,42.98%,0.22,"Jul 07, 2025",1.41,-37.52%,9.45%,60.18,1.09%,0.93%,7395,1.13,2.26%,3.96%,2.75,8.73,Yes / Yes,0.78,-54950.00%,41.57%,0.70,8.60,-4.68%,-3.07%,-,Mar 27 BMO,954.54K,8.65,0.94%,9.27%,4.11%,"

","667,337",0.58%,ZGN
