Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.37,0.98,11.57%,168.52M,-2.79%,5.98B,24.20,1.47,-57.94%,148.79M,-3.86%,169.50M,4.67,0.36,91.77%,3.56%,6.24%,1.58B,3.78,4.79%,1.21%,5.59,-11.87%,9.19,3.87,9.60%,6.29%,5.29M,14.12%,0.86,41.36,7.78%,10.49%,27.74,41.15,-4.64%,0.37 (1.03%),23.01,-7.41%,8.11%,-13.56%,1.03,0.35 (0.98%),1.72,-5.41%,41.66%,28.23%,0.74,"May 20, 2025",2.87,38.39%,16.67%,48.11,1.39%,1.54%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,0.59,35.21,1.36%,6.90%,4.01%,Apr 22 AMC,946.66K,35.57,-1.87%,3.87%,-0.83%,"

","557,981",1.02%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,29.52,5.57,0.10%,446.04M,-0.14%,73.18B,24.08,6.83,-0.65%,444.77M,2.51%,2.52B,3.59,1.62,96.00%,2.37%,-0.48%,9.29B,7.88,5.38%,0.31%,3.69,-7.22%,10.44,15.75,9.43%,17.70%,10.54M,-6.52%,3.87,42.52,8.23%,51.85%,139.70,200.33,0.89%,1.99 (1.21%),32.08,11.91%,25.04%,-17.95%,0.94,1.86 (1.13%),1.04,8.14%,69.48%,17.67%,3.90,"Jul 18, 2025",1.74,7.23%,37.01%,50.03,1.73%,1.35%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,0.86,164.33,1.37%,5.00%,1.37%,May 06 BMO,2.86M,164.38,-1.08%,3.62%,-3.95%,"

","2,471,509",0.03%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.27,1.57,0.86%,593.65M,-0.56%,10.51B,9.73,1.82,0.00%,588.53M,-2.53%,1.30B,1.02,0.40,22.11%,2.35%,-14.62%,6.26B,1.68,8.33%,-9.00%,4.60,-5.20%,10.73,1.65,12.66%,10.29%,13.84M,-20.77%,5.35,3.31,11.00%,15.68%,16.34,27.50,-9.46%,0.68 (3.84%),-,8.45%,15.06%,-35.64%,-0.18,0.70 (3.95%),1.02,13.97%,29.66%,8.32%,0.47,"Apr 10, 2025",1.05,10.00%,24.06%,49.16,1.54%,2.68%,24471,0.27,13.41%,20.76%,1.38,23.42,Yes / Yes,0.01,38.73%,45.76%,0.42,17.45,-9.78%,-15.96%,8.02%,May 20 AMC,3.01M,17.70,1.55%,-2.39%,-12.62%,"

","1,277,292",1.43%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.85%,155.70M,1.71%,47.49B,83.46,3.65,-0.84%,96.88M,24.03%,-38.78M,-,0.80,54.85%,8.66%,50.52%,2.55B,18.65,0.03%,11.65%,3.19,46.70%,11.59,26.31,14.53%,-0.81%,8.39M,61.53%,19.30,15.80,11.75%,-2.68%,153.45,306.77,69.07%,-,68.72,-10.72%,-2.11%,-0.57%,1.09,-,1.18,48.24%,77.33%,98.77%,7.73,-,1.18,49.20%,-4.59%,81.76,0.35%,2.54%,7348,0.68,25.46%,-1.52%,1.64,312.77,Yes / Yes,0.02,-121.43%,-,0.98,301.95,1.74%,11.64%,22.57%,May 29 AMC,2.63M,305.02,9.07%,26.39%,48.88%,"

","2,566,035",1.02%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.38,3.33,14.64%,261.11M,-2.98%,23.56B,13.73,5.67,-1.64%,258.27M,-7.13%,1.05B,9.32,1.38,62.59%,3.20%,3.61%,4.70B,5.01,1.20%,1.83%,3.53,-10.07%,29.34,2.65,1.17%,9.87%,8.27M,28.67%,25.82,3.02,2.51%,12.19%,55.06,92.80,-4.58%,-,13.84,106.45%,11.73%,-16.09%,0.69,-,4.48,49.60%,75.85%,41.43%,1.61,-,4.48,24.11%,18.13%,42.86,1.42%,1.18%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.71,76.63,0.72%,9.22%,2.93%,May 21 AMC,2.34M,77.87,-2.91%,0.51%,0.63%,"

","1,664,632",1.62%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,7.29%,4.46B,105.20,0.39,-22.78%,108.40M,41.32%,-252.07M,-,-0.40,50.87%,4.71%,5.95%,418.33M,10.67,48.02%,-4.49%,4.25,49.59%,7.48,5.43,128.58%,-23.32%,5.11M,103.15%,7.80,5.21,-,-32.05%,16.01,44.34,55.14%,-,-,-3.18%,-30.63%,-8.37%,0.95,-,3.09,98.38%,63.45%,153.78%,1.79,-,3.26,28.63%,-64.09%,67.47,4.10%,4.48%,1869,0.24,43.72%,-60.26%,1.31,53.56,Yes / Yes,0.02,18.43%,-,0.56,41.00,-5.41%,92.78%,22.19%,May 08 BMO,1.20M,40.63,15.79%,26.74%,39.77%,"

","674,709",-0.90%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-0.08%,6.62B,12.06,2.17,-,-,-9.58%,-710.26M,-,-0.86,4.01%,-,-13.07%,11.52B,0.57,61.83%,-2.40%,1.33,-7.60%,-12.89,-,249.48%,-11.48%,1.03M,18.76%,5.39,4.85,-,-,13.00,33.32,-7.86%,-,-,-,-,-21.52%,0.16,-,0.45,118.66%,17.93%,101.15%,0.85,-,0.59,37.41%,-7.36%,48.55,1.26%,2.09%,17439,-,43.08%,-6.16%,1.00,39.65,Yes / Yes,-,66.34%,-,0.52,25.91,19.27%,-136.23%,47.60%,May 15 BMO,774.73K,26.15,-3.60%,7.02%,6.65%,"

","404,503",0.93%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.32,5.13,1.68%,147.57M,-2.94%,7.06B,8.64,5.54,-1.38%,145.09M,-2.47%,756.00M,1.54,1.30,78.50%,3.87%,-2.11%,4.98B,1.42,5.12%,-2.10%,3.04,-18.64%,42.43,1.13,6.39%,0.91%,5.62M,12.77%,-,-,6.07%,13.06%,39.32,63.22,-11.80%,1.74 (3.63%),7.23,3.54%,10.04%,-24.31%,0.86,1.70 (3.55%),-,8.98%,-,21.69%,1.24,"May 15, 2025",0.15,28.90%,21.03%,49.97,1.57%,1.84%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.61,47.43,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.85M,47.85,-0.25%,3.30%,-6.88%,"

","1,119,909",0.89%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.92,19.53,1.18%,120.46M,3.68%,2.17B,-,-1.97,0.00%,119.04M,-0.06%,2.35B,-,1.22,48.42%,18.20%,-2.22%,8.87B,0.24,-81.90%,-8.48%,3.11,-5.65%,32.86,0.55,-161.21%,23.04%,21.67M,1.48%,19.19,0.94,-,72.40%,11.03,29.00,-16.07%,1.09 (6.03%),0.61,-,27.51%,-37.86%,1.75,7.61 (42.26%),1.10,20.63%,34.71%,63.30%,0.87,"Jun 02, 2025",1.18,192.29%,31.33%,58.81,3.39%,2.85%,6700,1.49,65.83%,26.52%,4.00,15.36,Yes / Yes,1.16,226.86%,22.25%,1.89,17.51,9.06%,30.79%,28.46%,May 19 BMO,6.97M,18.02,2.92%,14.90%,-4.16%,"

","13,206,309",2.91%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,27.56,0.33,78.19%,252.58M,4.63%,3.68B,18.26,0.50,0.00%,55.08M,3.67%,83.40M,1.44,-,11.96%,8.40%,22.16%,2.11B,1.75,21.80%,-5.02%,4.59,5.73%,3.76,2.41,17.25%,2.78%,4.62M,-26.20%,0.74,12.15,19.12%,8.89%,6.05,12.15,9.44%,0.15 (1.64%),19.01,-,4.94%,-25.60%,0.74,0.13 (1.43%),0.80,-,55.89%,49.42%,0.26,"Jul 07, 2025",1.41,-37.52%,9.45%,70.78,2.34%,1.33%,7395,1.13,2.26%,3.96%,2.75,8.77,Yes / Yes,0.78,-54950.00%,41.79%,0.98,8.66,-4.68%,-3.07%,-,Mar 27 BMO,1.01M,9.04,5.29%,13.10%,9.01%,"

","990,300",4.39%,ZGN
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,0.42%,17.08B,31.04,2.25,-0.14%,49.87M,3.69%,-81.00M,-,0.42,18.02%,2.37%,1.16%,2.31B,7.41,19.77%,8.91%,2.31,-11.51%,19.70,3.54,35.85%,-1.29%,1.18M,48.11%,6.56,10.63,32.14%,-1.72%,40.30,86.58,-1.62%,-,54.73,20.21%,-1.68%,-19.50%,2.11,-,2.46,-4.00%,76.44%,72.95%,1.84,-,2.46,49.24%,-6.94%,57.78,1.47%,1.43%,6856,0.14,14.96%,-3.51%,2.20,78.88,Yes / Yes,0.02,131.84%,-,0.54,69.08,1.51%,11.72%,13.04%,May 07 AMC,511.13K,69.70,3.03%,5.75%,1.84%,"

","277,812",0.90%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,-7.35%,2.97B,14.49,0.87,0.00%,186.36M,-9.61%,-51.80M,-,0.13,63.65%,10.65%,-12.92%,1.08B,2.76,9.47%,4.30%,4.48,-41.48%,2.87,4.40,35.63%,-6.33%,19.86M,-27.50%,1.55,8.14,20.44%,-11.93%,10.69,38.20,-29.96%,-,24.46,-5.22%,-5.88%,-67.02%,1.25,-,3.33,26.86%,54.78%,17.87%,0.60,-,3.33,73.68%,-3.42%,42.73,3.44%,2.46%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,1.12,12.16,4.02%,-13.02%,35.64%,May 01 AMC,4.43M,12.60,-4.62%,-2.86%,-37.13%,"

","4,980,843",3.62%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,19.63,1.60,2.31%,42.23M,-6.35%,1.32B,4.41,7.11,0.73%,41.12M,-4.68%,76.66M,4.39,1.19,106.73%,8.78%,-25.36%,1.42B,0.93,2.61%,-4.24%,6.05,-46.95%,43.13,0.73,4.72%,2.12%,3.61M,-43.62%,10.24,3.07,4.47%,4.12%,29.15,60.62,-42.22%,-,5.71,-20.26%,2.85%,-48.20%,1.62,-,1.52,0.43%,71.81%,7.74%,1.37,"May 17, 2019",1.52,36.80%,15.50%,44.23,3.24%,2.71%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.75,30.78,1.84%,-8.51%,4.50%,May 08 AMC,596.77K,31.40,-2.66%,-1.81%,-30.76%,"

","450,100",2.01%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,27.70,10.58,0.80%,51.14M,-1.87%,14.90B,17.80,16.46,0.80%,50.45M,-1.77%,549.00M,2.65,3.30,91.55%,1.63%,2.73%,5.09B,2.93,7.37%,2.02%,1.32,-27.49%,70.91,4.13,13.41%,7.24%,0.82M,-3.78%,17.28,16.95,10.45%,16.16%,205.73,427.76,-24.12%,-,14.89,0.42%,9.33%,-31.49%,1.75,-,1.02,2.27%,46.59%,42.45%,8.09,-,1.45,109.89%,15.19%,55.14,2.87%,1.85%,9900,0.65,16.72%,10.78%,2.00,319.07,Yes / Yes,0.62,18.23%,0.00%,0.61,283.61,1.39%,11.14%,10.65%,Apr 29 BMO,624.43K,293.06,0.38%,9.97%,-13.08%,"

","379,037",3.33%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.42,4.51,0.14%,197.90M,-0.72%,18.23B,11.08,8.32,-0.87%,197.57M,-4.72%,913.30M,4.84,1.98,94.98%,2.79%,-17.56%,7.70B,2.37,-0.35%,1.59%,2.44,-13.80%,62.63,1.47,4.31%,4.19%,5.51M,-14.23%,7.00,13.17,4.22%,7.31%,89.22,116.71,-12.75%,0.89 (0.97%),14.67,-4.13%,4.81%,-21.04%,0.73,0.96 (1.04%),1.46,-0.77%,62.31%,3.30%,2.16,"Jun 26, 2025",2.44,-2.39%,18.72%,43.45,1.29%,1.37%,17000,0.58,3.30%,11.86%,2.50,106.64,Yes / Yes,0.53,9.01%,21.66%,0.98,91.28,0.73%,2.22%,1.05%,May 05 BMO,2.26M,92.16,-0.77%,-4.69%,-12.01%,"

","2,206,438",0.96%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,0.94%,17.06B,31.56,2.25,-0.34%,162.81M,3.91%,-81.00M,-,0.42,68.65%,8.56%,0.00%,2.31B,7.40,20.54%,9.09%,5.29,-13.35%,19.70,3.60,35.14%,-1.29%,13.93M,46.24%,6.68,10.62,32.56%,-1.72%,41.67,89.39,-4.20%,-,54.68,20.21%,-1.68%,-20.64%,2.13,-,2.46,-4.00%,76.44%,70.24%,1.90,"Jan 12, 2011",2.46,49.24%,-6.94%,58.24,1.35%,1.47%,6856,0.14,14.96%,-3.51%,2.24,78.71,Yes / Yes,0.02,131.84%,-,0.41,70.37,1.50%,10.87%,13.04%,May 07 AMC,2.63M,70.94,3.35%,5.94%,0.60%,"

","1,087,585",0.81%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,18.36,2.39,3.59%,375.00M,-0.95%,16.36B,15.18,2.89,-0.34%,359.93M,-1.64%,916.00M,1.63,0.58,89.45%,2.36%,-17.80%,11.33B,1.44,8.61%,5.21%,2.77,-11.39%,15.42,2.84,13.59%,8.22%,8.48M,28.88%,5.34,8.21,11.29%,15.73%,28.50,53.99,-9.03%,0.87 (1.98%),21.06,4.31%,12.04%,-18.84%,0.27,0.80 (1.83%),1.11,5.19%,16.94%,53.75%,1.12,"May 28, 2025",1.26,19.36%,11.95%,47.76,1.37%,1.59%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.56,43.57,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.07M,43.82,0.27%,-1.20%,-3.90%,"

","1,723,573",0.57%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.30,5.02,0.15%,278.00M,-0.84%,39.45B,21.10,6.73,-20.77%,277.54M,-3.48%,1.43B,2.43,1.46,84.61%,1.52%,-9.67%,7.74B,5.10,12.06%,-1.40%,1.98,2.45%,-28.07,-,11.38%,22.12%,4.21M,3.38%,2.69,52.75,11.63%,-,122.13,163.30,5.80%,2.84 (2.00%),27.19,4.75%,32.45%,-13.08%,0.74,2.76 (1.94%),1.40,6.17%,46.80%,16.22%,2.55,"May 27, 2025",1.40,-11.50%,31.12%,39.14,0.79%,0.81%,40000,-,10.09%,18.42%,2.52,161.09,Yes / Yes,-,-18.28%,51.40%,0.80,144.00,-3.55%,0.94%,11.83%,Apr 30 BMO,2.13M,141.94,-1.84%,-2.53%,0.87%,"

","1,706,792",-1.43%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.24,4.31,0.04%,393.26M,5.25%,13.95B,8.29,4.28,0.00%,393.12M,-0.81%,1.67B,-,0.72,9.10%,1.66%,-1.93%,19.64B,0.71,-55.43%,-9.60%,3.04,-17.72%,30.14,1.18,60.40%,5.92%,6.54M,71.65%,3.13,11.34,-2.06%,15.54%,16.18,47.43,-16.54%,-,-,-,8.53%,-25.19%,1.84,-,0.59,7.05%,25.22%,119.28%,1.56,"Jul 09, 2019",0.79,156.14%,7.55%,52.94,1.36%,2.55%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,0.42,36.29,-0.71%,-105.27%,7.42%,May 08 BMO,2.15M,35.48,-0.44%,6.87%,6.05%,"

","899,452",-2.23%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.07,1.86,8.83%,92.94M,-7.13%,3.24B,17.12,1.42,-14.72%,84.73M,-1.14%,176.28M,-,0.30,104.31%,25.01%,-7.62%,802.81M,4.04,-30.59%,-2.21%,10.77,-10.08%,1.25,19.54,13.90%,16.56%,21.19M,37.38%,3.98,6.12,-4.45%,124.77%,17.49,38.47,-7.59%,0.50 (2.05%),10.90,-,76.56%,-36.68%,1.22,0.47 (1.94%),0.85,32.00%,59.68%,39.25%,0.80,"Jun 10, 2025",0.85,223.84%,17.05%,41.45,1.74%,2.11%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.86,24.40,1.98%,11.26%,18.05%,May 08 BMO,1.97M,24.36,-3.20%,-3.74%,-10.48%,"

","1,690,978",-0.16%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,24.49,0.50,5.31%,939.30M,-1.46%,11.44B,14.75,0.83,0.00%,889.44M,-2.40%,520.12M,0.69,0.16,63.87%,2.46%,-10.96%,1.62B,7.07,64.70%,0.96%,2.51,5.91%,5.04,2.42,22.46%,9.19%,21.88M,39.20%,2.98,4.09,35.62%,10.30%,6.66,13.85,12.57%,0.14 (1.18%),-,-,9.86%,-12.03%,0.20,0.10 (0.79%),7.66,34.26%,59.12%,82.88%,0.48,"Apr 07, 2025",7.66,57.72%,28.33%,52.66,3.20%,2.87%,7185,0.00,28.87%,32.16%,1.38,15.59,Yes / Yes,0.00,115.27%,20.00%,0.33,11.99,-14.04%,-55.04%,17.56%,May 21 BMO,8.73M,12.18,1.70%,5.72%,14.02%,"

","2,914,139",1.58%,YMM
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,14.73,2.07,1.00%,82.79M,-5.33%,2.53B,12.12,2.52,0.00%,81.99M,-5.07%,176.44M,13.27,0.54,106.15%,9.08%,-10.21%,1.84B,1.37,-26.69%,-1.00%,3.10,-31.85%,9.23,3.31,25.83%,14.97%,7.44M,-28.53%,3.13,9.76,1.11%,25.01%,26.61,45.25,-20.72%,-,10.33,28.53%,19.18%,-32.53%,1.86,-,1.47,14.90%,58.18%,14.73%,1.18,-,2.58,3.69%,13.11%,48.20,2.89%,2.45%,1340,0.24,8.38%,9.59%,2.44,34.07,Yes / Yes,0.20,9.29%,0.00%,0.91,30.00,1.18%,15.28%,2.85%,May 08 BMO,2.40M,30.53,-1.22%,2.42%,-15.21%,"

","2,189,259",1.77%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,17.14,2.08,3.11%,64.74M,-3.75%,2.27B,13.45,2.65,-9.35%,61.86M,-9.89%,143.09M,1.01,0.52,96.59%,6.53%,1.57%,1.44B,1.58,14.57%,-2.43%,4.79,-12.26%,11.24,3.17,22.98%,14.46%,4.04M,-5.01%,5.24,6.80,17.05%,19.74%,32.28,41.72,-7.93%,-,8.42,29.12%,19.12%,-14.60%,1.03,-,2.89,6.84%,87.90%,10.36%,0.89,-,2.89,29.17%,12.35%,39.11,1.18%,1.34%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,1.14,35.41,1.54%,11.11%,7.75%,May 08 AMC,843.54K,35.63,-4.75%,-1.95%,-2.48%,"

","965,358",0.62%,YELP
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,15.77,4.11,12.90%,556.83M,-1.55%,39.87B,17.86,3.63,-0.14%,536.11M,13.70%,2.61B,1.57,0.67,63.68%,3.51%,10.52%,23.94B,1.67,-19.92%,-12.78%,1.89,-33.99%,34.80,1.86,34.45%,7.26%,18.82M,0.29%,13.21,4.91,10.03%,12.93%,44.27,99.26,-23.73%,-,33.29,41.45%,9.52%,-34.70%,2.74,-,2.26,38.62%,37.35%,46.42%,2.35,-,2.27,425.38%,8.39%,60.78,3.66%,2.59%,11372,0.28,4.60%,10.92%,1.82,66.93,Yes / Yes,0.28,-59.33%,0.00%,0.66,61.57,-6.70%,-42.53%,-3.11%,May 01 AMC,9.94M,64.82,4.68%,13.46%,-9.06%,"

","6,543,568",5.28%,XYZ
