Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.69%,74.85M,4.87%,1.21B,-,-1.11,63.15%,72.94M,11.40%,943.84M,-,-0.29,101.02%,9.44%,25.73%,-73.68M,9.82,38.90%,14.69%,14.43,30.04%,122.87M,3.59,-11.81%,-15.95%,6.89M,8.81%,4.44,4.29,-2.56%,-19.89%,17.70 -10.00%,31.65%,3.72,-,26.71% 15.81%,-21.07%,9.03 76.41%,214.20%,-,-,41.95% 20.90%,89.52%,4.45%,4.36%,-49.09%,-,7.68,35.69%,-67.32%,0.67,-,-,7.69,95.94%,-59.96%,64.90,1.40,- -,7.69,106.06%,7.34%,1.49,22.06,-,0.06,153.21%,14.28%,0.81,15.74,286,0.05,Aug 07 AMC,20.74%,477.12K,15.93,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","387,933",1.21%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,46.78,1.01,11.54%,167.66M,1.48%,7.93B,30.11,1.57,-1.71%,148.22M,4.30%,8.29B,4.64,0.40,91.81%,3.04%,34.48%,174.00M,4.92,11.72%,-0.53%,4.29,42.75%,1.61B,5.07,9.97%,6.40%,4.51M,26.94%,9.33,39.29,10.08%,10.81%,47.71 -0.75%,47.51%,1.21,28.18,32.18% -7.41%,8.26%,27.74 70.69%,69.23%,0.37 (0.77%),23.09,19.81% -5.41%,41.82%,2.59%,2.10%,223.86%,0.36 (0.76%),5.14,30.64%,16.77%,1.03,377.61%,"Aug 20, 2025",1.72,4.74%,10.78%,64.11,2.44,3.23% 0.62%,2.71,12.98%,3.23%,1.11,46.29,35.98%,0.36,7.89%,10.93%,1.25,46.68,2500,0.35,Jul 29 AMC,25.90%,1.05M,47.35,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","1,316,874",1.44%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,25.16,5.81,0.18%,443.95M,-3.62%,64.82B,21.18,6.90,-0.08%,442.41M,-4.45%,70.17B,2.98,1.63,98.11%,1.75%,-11.00%,2.61B,6.91,7.30%,0.45%,2.54,-9.31%,9.38B,13.05,8.69%,18.24%,7.76M,-10.24%,11.21,45.17,8.45%,52.54%,200.33 -27.00%,-23.02%,3.24,29.21,8.55% 11.91%,25.07%,139.70 4.69%,-7.72%,1.99 (1.36%),17.52,5.98% 8.14%,70.03%,1.98%,1.89%,-4.73%,1.93 (1.32%),7.48,13.72%,37.51%,3.20,232.31%,"Jul 18, 2025",1.04,5.27%,27.83%,35.03,1.50,18.93% 21.14%,1.76,17.78%,-4.45%,0.92,195.14,32.86%,1.36,4.19%,-3.86%,1.09,148.20,13800,1.09,Aug 05 BMO,-9.15%,3.06M,146.25,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","3,338,345",-1.32%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.18,1.46,0.00%,593.65M,2.23%,11.44B,11.47,1.68,-,593.65M,-2.82%,10.46B,1.74,0.34,14.65%,2.42%,10.43%,1.21B,1.78,-1.46%,-14.31%,7.82,-3.51%,6.42B,1.72,13.42%,9.38%,14.39M,-1.43%,11.20,3.09,7.59%,13.98%,27.50 -29.93%,-12.21%,6.24,-,18.24% 8.45%,13.37%,16.34 17.93%,-25.26%,0.62 (3.22%),5.68,9.28% 13.97%,27.49%,1.44%,1.99%,-37.35%,0.70 (3.63%),1.63,2.41%,21.97%,0.43,-,"Sep 30, 2025",1.19,14.40%,18.81%,53.25,1.40,- -,1.21,-25.19%,1.81%,-0.18,23.18,45.76%,0.29,10.45%,0.17%,0.68,19.06,24471,0.01,Aug 19 AMC,1.66%,1.84M,19.27,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","1,249,925",1.10%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.22%,158.30M,1.44%,44.48B,65.03,4.39,-0.86%,99.37M,5.41%,42.70B,-,0.85,54.36%,5.69%,-5.39%,-41.48M,16.64,11.33%,-1.12%,2.99,44.41%,2.67B,25.13,20.29%,-0.75%,5.65M,58.34%,11.37,12.45,18.06%,-2.70%,318.46 -10.30%,76.65%,22.94,61.21,54.06% 21.31%,-1.17%,164.78 73.36%,85.19%,-,27909.43,34.81% 44.03%,76.82%,2.96%,2.91%,114.51%,-,15.97,31.04%,-4.48%,8.46,-,-,1.94,23.31%,-1.55%,56.57,1.57,- -,1.94,-14.36%,3.46%,1.05,326.78,-,1.00,21.31%,1.11%,0.67,283.19,7923,0.97,Sep 02 AMC,20.47%,1.89M,285.66,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,268,292",0.87%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,22.29,3.80,11.17%,267.28M,-0.53%,25.33B,14.27,5.93,-0.59%,265.85M,17.77%,17.59B,5.49,1.44,63.79%,2.13%,10.44%,1.19B,5.33,5.55%,-0.32%,1.67,14.06%,4.75B,2.84,1.44%,11.03%,5.67M,3.70%,29.82,3.25,4.06%,13.60%,92.80 -8.80%,25.75%,26.02,13.73,-10.66% 106.45%,13.23%,64.41 31.39%,5.48%,-,14.95,4.40% 49.60%,76.38%,2.21%,2.69%,-75.88%,-,3.70,36.57%,20.43%,1.98,-,-,4.36,3.63%,24.99%,64.09,2.31,- -,4.36,66.82%,4.69%,0.78,91.62,0.00%,0.01,4.71%,10.39%,0.67,83.98,7412,0.00,Aug 21 AMC,7.45%,3.39M,84.63,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,280,368",0.77%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.08%,109.91M,1.88%,3.55B,79.28,0.40,-19.01%,108.95M,-8.62%,2.91B,-,-0.25,37.56%,4.35%,-22.15%,-212.37M,8.30,43.25%,-1.76%,6.06,-16.44%,427.80M,4.43,127.28%,-19.74%,4.74M,21.88%,7.20,4.27,-,-28.39%,44.34 -28.01%,47.98%,7.48,-,29.99% -3.19%,-26.45%,20.17 58.25%,-26.33%,-,-,40.38% 98.40%,62.39%,5.77%,4.11%,-58.15%,-,6.80,33.33%,-57.71%,1.77,-,-,2.93,32.56%,-49.64%,46.25,1.29,- -,3.12,54.50%,-2.34%,1.07,53.25,-,0.24,9.81%,-8.17%,0.69,32.80,1869,0.01,Aug 07 BMO,-0.47%,782.34K,31.92,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","542,129",-2.68%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,3.52%,7.51B,14.45,2.05,-,-,0.58%,11.00B,-,-0.23,4.42%,-,14.51%,-462.32M,0.60,56.31%,11.12%,1.09,-5.00%,12.55B,-,222.51%,-7.04%,0.59M,4.55%,-13.26,5.27,-,-,33.32 -10.95%,75.35%,5.63,-,5.46% -,-,15.12 96.23%,-,-,-,118.43% 118.66%,18.90%,1.67%,2.50%,-,-,0.88,62.51%,-4.64%,0.72,-,-,0.49,39.14%,-3.68%,53.72,1.00,- -,0.59,82.59%,0.24%,0.07,35.60,-,-,37.06%,2.15%,1.01,29.10,17439,-,Aug 14 BMO,11.38%,539.76K,29.67,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","546,526",1.96%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.41,5.48,1.62%,147.60M,0.09%,8.42B,9.74,5.86,-0.03%,145.30M,6.14%,-,1.33,1.46,79.15%,4.30%,20.32%,807.00M,1.69,15.24%,0.18%,4.32,17.36%,4.97B,1.29,2.76%,0.95%,6.25M,5.20%,44.24,-,7.80%,13.23%,63.22 -9.73%,26.68%,-,10.52,-9.99% 3.54%,10.37%,39.32 45.14%,-2.04%,1.74 (3.05%),-,19.10% 8.98%,-,2.07%,2.15%,77.13%,1.74 (3.05%),-,32.07%,22.09%,1.27,103.75%,"Aug 14, 2025",-,2.64%,16.23%,55.12,2.77,4.85% 5.34%,0.13,27.04%,0.91%,0.92,61.81,33.52%,1.10,-1.04%,3.18%,1.02,58.42,9406,0.18,Jul 21 AMC,8.68%,1.45M,57.07,"Mar 17, 1980",Yes / Yes,24.68% 3.35%,"

","1,484,712",-2.31%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.88,16.63,1.18%,120.46M,9.27%,1.76B,-,-3.21,0.00%,119.04M,-13.80%,5.91B,-,0.81,52.78%,15.71%,-16.50%,2.00B,0.21,-84.17%,9.00%,3.44,-19.85%,8.58B,0.45,-213.92%,19.27%,18.70M,-31.90%,32.35,0.99,-,59.06%,29.00 -49.59%,-17.48%,14.72,0.54,-23.79% -,23.31%,11.03 32.49%,-51.69%,1.00 (6.87%),1.59,-7.73% 20.63%,32.33%,3.37%,3.86%,-,6.78 (46.37%),0.69,202.12%,28.74%,0.61,-,"Sep 02, 2025",1.11,43.57%,23.37%,52.09,4.12,16.67% -,1.20,-93.86%,3.66%,1.66,13.72,22.25%,1.52,-15.36%,-4.55%,1.90,13.63,6700,1.21,Aug 20 BMO,-14.57%,5.44M,14.62,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","10,360,855",7.26%,ZIM
