Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,49.64,0.79,16.26%,169.85M,0.64%,6.64B,29.29,1.34,-2.07%,142.12M,4.93%,137.70M,3.18,0.28,92.24%,4.83%,9.03%,1.55B,4.28,27.71%,9.31%,7.64,24.97%,9.34,4.19,7.87%,4.94%,6.86M,32.01%,1.11,35.35,15.60%,8.52%,28.25,41.15,4.93%,0.33 (0.85%),24.60,18.47%,6.47%,-4.88%,1.16,0.33 (0.84%),1.71,0.20%,41.40%,38.55%,0.79,"Feb 20, 2025",2.70,28.10%,16.27%,57.48,2.07%,2.04%,2400,0.35,2.55%,8.87%,2.25,40.14,Yes / Yes,0.34,6.98%,45.61%,1.27,39.44,0.95%,5.82%,2.91%,Feb 04 AMC,897.19K,39.14,2.77%,1.13%,14.08%,"

","1,135,524",-0.76%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.50,7.57%,145.08M,-0.30%,1.54B,-,-,-5.76%,142.79M,0.60%,-73.97M,-,-,74.27%,2.61%,0.60%,452.76M,3.41,-,6.59%,1.59,12.90%,1.20,8.33,-,-9.16%,3.73M,9.19%,3.62,2.76,-,-47.76%,7.70,10.85,0.60%,-,21.63,9.40%,-12.64%,-8.02%,1.67,-,2.56,12.97%,67.98%,29.61%,0.03,-,2.56,14.25%,-4.07%,56.41,0.26%,0.25%,1618,2.21,6.78%,-16.34%,3.00,10.00,Yes / Yes,2.18,-443.70%,-,0.81,9.98,0.77%,39.13%,6.45%,Dec 09 AMC,2.34M,9.98,0.07%,0.32%,4.98%,"

","1,886,699",0.00%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.33,5.32,0.10%,451.55M,-0.63%,77.57B,27.13,6.34,-0.76%,450.71M,5.53%,2.43B,3.31,1.37,94.72%,1.58%,-5.91%,9.15B,8.48,10.81%,-1.60%,2.67,-5.74%,11.59,14.83,7.51%,17.07%,7.12M,-8.45%,3.80,45.26,9.77%,47.13%,144.80,200.53,5.53%,1.73 (1.01%),33.61,11.57%,20.27%,-14.26%,0.89,1.80 (1.04%),2.27,8.19%,68.49%,18.74%,3.77,"Jan 21, 2025",3.69,8.09%,36.45%,55.93,2.11%,2.27%,14100,1.29,9.33%,26.55%,1.50,216.47,Yes / Yes,1.29,16.43%,30.71%,0.97,170.90,4.34%,8.49%,11.02%,Feb 13 BMO,2.67M,171.94,2.55%,0.87%,-2.58%,"

","2,601,858",0.61%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.90,1.43,0.86%,598.04M,-3.15%,11.02B,10.12,1.82,0.00%,592.88M,-5.73%,1.20B,1.13,0.46,28.48%,3.09%,-21.31%,5.83B,1.89,11.25%,-8.93%,6.14,-0.38%,10.74,1.72,11.02%,9.47%,18.34M,12.65%,5.47,3.37,11.39%,14.45%,15.90,27.50,-5.73%,0.67 (3.61%),-,13.37%,13.77%,-32.98%,-0.15,0.97 (5.26%),0.94,14.65%,31.29%,15.95%,0.53,"Sep 10, 2024",0.96,-2.64%,24.78%,43.41,3.08%,2.36%,23554,0.30,8.68%,20.51%,1.35,26.77,Yes / Yes,0.01,3.34%,40.76%,0.75,18.66,1.13%,0.45%,17.70%,Nov 19 AMC,2.99M,18.43,-1.69%,-3.58%,-13.35%,"

","2,224,580",-1.23%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.24,38.08%,153.41M,4.58%,30.69B,56.61,3.53,-0.12%,95.02M,10.86%,-36.27M,-,0.69,48.84%,4.81%,7.08%,2.30B,13.35,-6.48%,4.05%,2.55,14.65%,9.31,21.48,18.42%,-0.87%,4.57M,-15.14%,17.65,11.33,10.31%,-3.24%,153.45,259.61,10.86%,-,47.06,-10.72%,-2.47%,-22.96%,0.88,-,1.09,48.57%,77.81%,30.34%,6.60,-,1.09,79.05%,-4.74%,57.18,3.97%,3.26%,7348,0.87,30.77%,-1.58%,1.82,227.45,Yes / Yes,0.03,65.17%,-,0.64,202.59,3.71%,22.75%,26.42%,Dec 02 AMC,1.80M,200.00,4.01%,1.99%,7.78%,"

","1,146,781",-1.28%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.53,22.67%,71.15M,-30.00%,119.72M,-,-2.56,-0.04%,55.11M,-44.55%,-179.28M,-,-0.71,81.37%,9.21%,-37.78%,40.56M,2.95,44.78%,-14.80%,2.81,-55.79%,4.98,0.34,-3.59%,-34.60%,5.08M,-85.82%,5.49,0.31,17.66%,-42.89%,1.66,18.07,-44.55%,-,-,-50.05%,-45.41%,-90.70%,1.81,-,7.29,0.00%,96.77%,1.20%,0.27,-,7.29,45.45%,-515.94%,28.73,16.28%,12.10%,168,0.12,-,-442.02%,2.09,6.27,Yes / Yes,0.11,28.19%,-,1.22,1.74,-,38.34%,-,Nov 06,1.81M,1.68,-30.54%,-42.57%,-67.14%,"

","2,210,957",-3.45%,ZNTL
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,28.75,3.00,14.69%,306.50M,5.02%,26.40B,16.07,5.36,-2.16%,261.48M,5.53%,941.21M,15.80,1.30,57.86%,3.21%,15.16%,4.63B,5.70,4.34%,-0.17%,2.61,46.04%,28.31,3.04,-1.44%,9.41%,8.40M,33.29%,25.16,3.42,1.82%,11.70%,55.06,92.80,5.53%,-,15.30,-,10.80%,-7.20%,-0.00,-,4.50,97.66%,74.54%,56.41%,2.49,-,4.50,296.12%,17.93%,60.23,3.49%,2.83%,7420,0.01,2.87%,20.34%,2.36,92.85,Yes / Yes,0.00,44.84%,0.00%,0.45,86.94,1.23%,5.67%,3.59%,Feb 24 AMC,3.22M,86.12,5.23%,3.68%,24.18%,"

","1,464,270",-0.94%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.21%,108.94M,2.01%,2.98B,-,-1.71,-10.94%,108.70M,4.54%,-270.85M,-,-0.36,43.83%,5.57%,-11.22%,355.75M,8.38,21.00%,-11.62%,7.25,48.48%,6.78,4.04,37.50%,-26.70%,6.05M,26.94%,6.57,4.17,-,-34.98%,13.48,36.60,4.54%,-,-,-16.93%,-40.20%,-25.19%,1.02,-,2.87,136.21%,63.17%,103.12%,1.30,-,3.01,10.91%,-95.07%,56.26,4.79%,5.14%,2175,0.19,35.01%,-76.13%,1.31,48.70,Yes / Yes,0.01,40.53%,-,1.05,27.19,0.02%,94.89%,47.72%,Feb 27 BMO,834.12K,27.38,5.44%,2.63%,22.96%,"

","873,408",0.70%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.26,8.87%,128.32M,-2.51%,449.12M,35.28,0.10,0.00%,116.94M,-0.28%,-41.45M,-,-0.01,17.12%,0.02%,-4.11%,1.23B,0.37,-93.09%,7.00%,0.43,23.67%,2.72,1.29,158.61%,-3.21%,0.02M,-79.48%,2.29,1.53,-,-7.35%,2.62,21.91,-0.28%,-,-,-,-9.02%,-84.03%,0.01,-,1.62,26.18%,17.54%,33.59%,0.21,-,1.81,72.88%,-3.55%,46.18,4.22%,5.80%,3476,0.23,1.40%,-3.38%,1.00,4.32,No / Yes,0.05,59.85%,-,0.95,3.58,-,50.00%,1.80%,Nov 22 BMO,42.78K,3.50,-1.95%,-1.45%,-30.72%,"

","40,643",-2.23%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,223.95,0.03,28.94%,75.06M,-2.81%,676.10M,-,-0.18,-0.54%,69.43M,-4.42%,3.57M,-,-0.11,53.58%,4.46%,-25.67%,498.90M,1.36,-129.49%,1.75%,7.01,-19.72%,0.14,49.74,-34.86%,0.55%,3.10M,-50.29%,5.09,1.36,-,430.38%,6.51,14.94,-4.42%,-,10.08,-,0.63%,-53.68%,1.19,-,7.35,17.01%,89.13%,6.30%,0.31,-,7.35,-94.10%,5.24%,41.27,3.70%,4.38%,1000,40.75,-30.73%,0.72%,2.62,10.40,Yes / Yes,40.47,-111.35%,0.00%,1.37,6.88,4.27%,71.12%,-24.77%,Nov 06 AMC,442.36K,6.92,-0.64%,-9.34%,-22.88%,"

","605,279",0.58%,ZIP
