Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.69%,74.85M,-2.00%,1.22B,-,-1.11,35.10%,72.94M,8.97%,961.20M,-,-0.29,101.02%,9.81%,30.64%,-73.68M,9.96,38.90%,14.68%,14.42,30.85%,122.87M,3.64,-11.81%,-15.95%,7.16M,10.38%,4.44,4.35,-2.56%,-19.89%,17.70 -8.70%,26.65%,3.72,-,26.71% 15.81%,-21.07%,9.03 78.96%,181.53%,-,-,41.95% 20.90%,89.52%,3.45%,4.25%,-64.36%,-,7.82,35.69%,-67.32%,0.63,-,-,7.69,95.94%,-59.96%,61.35,1.40,- -,7.69,106.06%,4.15%,1.49,22.06,-,0.06,153.21%,12.15%,1.13,16.30,286,0.05,Aug 07 AMC,21.74%,496.40K,16.16,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","563,225",-0.86%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.58,1.01,11.53%,167.66M,-3.78%,7.73B,29.28,1.58,-1.72%,148.24M,0.17%,8.08B,4.52,0.39,91.77%,3.38%,25.94%,174.00M,4.79,11.77%,-0.53%,4.60,35.84%,1.61B,4.94,10.13%,6.40%,5.01M,23.67%,9.33,38.28,10.08%,10.81%,48.42 -4.73%,35.00%,1.20,27.46,32.18% -7.41%,8.26%,27.74 66.29%,78.18%,0.37 (0.79%),22.52,19.81% -5.41%,41.82%,2.10%,2.20%,199.06%,0.36 (0.78%),5.01,30.64%,16.77%,1.01,372.79%,"Aug 20, 2025",1.72,4.74%,10.78%,51.82,2.44,3.23% 0.62%,2.71,12.98%,-0.59%,1.11,47.14,35.98%,0.36,7.89%,4.31%,0.72,45.99,2500,0.35,Jul 29 AMC,21.78%,1.09M,46.13,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","788,018",0.30%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,24.28,5.81,0.17%,443.95M,-4.06%,62.55B,20.44,6.90,-0.09%,442.41M,-8.82%,67.90B,2.87,1.63,97.73%,2.08%,-9.41%,2.61B,6.66,7.30%,0.46%,3.01,-13.32%,9.38B,12.59,8.69%,18.24%,9.19M,-13.38%,11.21,43.59,8.45%,52.54%,197.51 -28.55%,-27.10%,3.24,28.19,8.55% 11.91%,25.07%,139.70 1.02%,-7.72%,1.99 (1.41%),16.95,5.98% 8.14%,70.03%,2.20%,1.98%,-12.27%,1.93 (1.37%),7.24,13.72%,37.51%,3.12,206.74%,"Jul 18, 2025",1.04,5.27%,27.83%,27.32,1.50,18.93% 21.14%,1.76,17.78%,-5.17%,0.90,195.14,32.86%,1.36,4.19%,-6.12%,1.00,141.67,13800,1.09,Aug 05 BMO,-11.63%,3.05M,141.13,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","3,058,325",-0.38%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.16,1.46,0.00%,593.65M,2.45%,11.42B,11.45,1.68,-,593.65M,0.37%,10.44B,1.72,0.34,14.67%,2.64%,9.01%,1.21B,1.78,-1.24%,-13.72%,8.34,-3.22%,6.42B,1.72,13.41%,9.38%,15.70M,-1.59%,11.20,3.08,7.67%,13.98%,27.50 -30.04%,-11.13%,6.24,-,18.24% 8.45%,13.37%,16.34 17.75%,-25.44%,0.62 (3.22%),5.67,9.28% 13.97%,27.49%,2.40%,1.85%,-35.25%,0.35 (1.82%),1.63,2.41%,21.97%,0.45,-,"Sep 30, 2025",1.19,14.40%,18.81%,53.71,1.44,- -,1.21,-25.19%,2.53%,-0.18,23.20,45.76%,0.29,10.45%,-0.48%,1.27,18.93,24471,0.01,Aug 19 AMC,1.50%,1.88M,19.24,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","2,389,183",1.64%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.22%,158.30M,-1.53%,45.38B,65.25,4.39,-0.57%,99.39M,7.09%,43.60B,-,0.86,53.46%,5.83%,-8.66%,-41.48M,16.98,11.37%,-1.11%,3.29,35.50%,2.67B,25.22,20.27%,-0.75%,5.79M,58.89%,11.37,12.70,18.14%,-2.70%,318.46 -9.99%,64.00%,22.57,62.45,54.06% 21.31%,-1.17%,164.78 73.97%,66.01%,-,28498.49,34.81% 44.03%,76.82%,2.54%,3.14%,122.04%,-,16.31,31.04%,-4.48%,8.35,-,-,1.94,23.31%,-1.55%,53.76,1.54,- -,1.94,-14.36%,1.62%,1.05,326.78,-,1.00,21.31%,2.19%,0.48,284.42,7923,0.97,Sep 02 AMC,19.27%,1.76M,286.66,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","852,132",0.79%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,22.12,3.80,11.17%,267.28M,-3.27%,25.14B,14.14,5.94,-0.59%,265.85M,6.57%,17.40B,5.27,1.44,63.75%,1.96%,9.13%,1.19B,5.29,5.55%,-0.33%,1.50,7.98%,4.75B,2.82,1.60%,11.03%,5.21M,2.92%,29.82,3.23,4.20%,13.60%,92.80 -9.49%,22.10%,26.02,13.62,-10.66% 106.45%,13.23%,64.41 30.40%,8.95%,-,14.79,4.40% 49.60%,76.38%,2.31%,2.16%,-80.86%,-,3.66,36.57%,20.43%,1.89,-,-,4.36,3.63%,24.99%,56.78,2.31,- -,4.36,66.82%,0.13%,0.78,92.31,0.00%,0.01,4.71%,7.56%,0.69,83.01,7412,0.00,Aug 21 AMC,6.62%,3.48M,83.99,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,406,275",1.18%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.08%,109.91M,-4.15%,3.52B,89.41,0.35,-18.92%,108.95M,-7.73%,2.88B,-,-0.25,37.54%,4.48%,-12.60%,-212.37M,8.23,43.65%,-2.88%,6.47,-6.72%,427.80M,4.39,124.15%,-19.74%,4.88M,20.77%,7.20,4.23,-,-28.39%,44.34 -28.66%,52.65%,7.48,-,30.02% -3.16%,-26.45%,20.17 56.82%,-35.61%,-,-,40.31% 98.33%,62.39%,2.94%,3.96%,-60.10%,-,6.73,33.47%,-57.71%,1.43,-,-,2.93,32.38%,-49.64%,45.08,1.27,- -,3.12,54.50%,-1.00%,1.07,52.88,-,0.24,9.81%,-8.06%,0.44,32.49,1869,0.01,Aug 07 BMO,-1.86%,754.57K,31.63,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","333,888",-2.65%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,-1.05%,7.46B,14.09,2.07,-,-,-2.48%,10.95B,-,-0.23,4.28%,-,10.26%,-462.32M,0.59,55.99%,11.12%,0.85,13.00%,12.55B,-,222.69%,-7.04%,0.48M,2.61%,-13.26,5.24,-,-,33.32 -12.60%,76.70%,5.56,-,5.46% -,-,16.95 71.80%,-,-,-,118.43% 118.66%,18.90%,1.44%,1.80%,-,-,0.87,62.51%,-4.64%,0.74,-,-,0.49,39.14%,-3.68%,48.17,1.00,- -,0.59,82.59%,-0.68%,0.05,35.46,-,-,37.06%,-0.96%,0.34,28.76,17439,-,Aug 14 BMO,8.39%,565.79K,29.12,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","194,871",1.25%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.45,5.48,1.58%,147.60M,-3.13%,8.46B,9.75,5.88,-0.03%,145.30M,0.84%,-,1.33,1.46,79.12%,4.59%,11.48%,807.00M,1.70,15.43%,0.18%,4.44,13.11%,4.97B,1.30,2.84%,0.95%,6.68M,5.62%,44.24,-,7.83%,13.23%,63.22 -9.36%,21.14%,-,10.56,-9.99% 3.54%,10.37%,39.32 45.73%,-0.69%,1.74 (3.04%),-,19.10% 8.98%,-,2.53%,2.46%,82.37%,1.74 (3.04%),-,32.07%,22.09%,1.42,103.41%,"Aug 14, 2025",-,2.64%,16.23%,52.82,2.78,4.85% 5.34%,0.13,27.04%,-0.46%,0.92,61.82,33.52%,1.10,-1.04%,3.04%,1.05,56.91,9406,0.18,Jul 21 AMC,9.34%,1.50M,57.30,"Mar 17, 1980",Yes / Yes,24.68% 3.35%,"

","1,584,443",0.69%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.85,16.63,1.18%,120.46M,-7.37%,1.70B,-,-3.21,0.00%,119.04M,-2.70%,5.84B,-,0.81,52.78%,17.24%,-10.15%,2.00B,0.20,-84.17%,9.01%,4.03,-8.99%,8.58B,0.44,-213.92%,19.27%,20.52M,-34.42%,32.35,0.96,-,59.06%,29.00 -51.45%,-34.45%,14.72,0.52,-23.79% -,23.31%,11.03 27.59%,-49.17%,1.00 (7.13%),1.58,-7.73% 20.63%,32.33%,2.73%,3.11%,-,6.78 (48.15%),0.68,202.12%,28.74%,0.57,-,"Sep 02, 2025",1.11,43.57%,23.37%,45.23,3.78,16.67% -,1.20,-93.86%,0.70%,1.67,13.72,22.25%,1.52,-15.36%,-6.78%,0.83,14.53,6700,1.21,Aug 20 BMO,-16.58%,5.09M,14.08,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","4,245,212",-3.10%,ZIM
