Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,50.66,0.64,17.01%,172.26M,3.82%,5.56B,25.30,1.28,-2.35%,142.74M,2.41%,112.70M,3.53,0.26,84.93%,4.07%,9.01%,1.53B,3.63,18.17%,6.00%,5.75,17.02%,9.30,3.47,11.45%,3.77%,5.81M,63.31%,0.79,40.67,14.35%,6.48%,19.29,33.95,9.89%,0.27 (0.85%),23.90,18.47%,5.28%,-4.80%,1.23,0.30 (0.93%),1.77,1.96%,38.51%,67.55%,0.66,"Feb 16, 2024",3.02,36.01%,14.25%,56.08,2.06%,1.84%,2400,0.34,19.40%,7.36%,2.25,34.86,Yes / Yes,0.33,38.11%,45.61%,0.57,32.57,1.78%,13.04%,4.85%,Feb 06 AMC,1.01M,32.32,1.65%,4.30%,11.99%,"

","575,686",-0.77%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.49,7.28%,143.12M,-2.43%,1.27B,17.02,0.52,-8.94%,132.70M,8.06%,-68.19M,-,0.07,75.62%,3.89%,-3.49%,431.66M,2.93,21.72%,-0.38%,4.04,4.86%,0.88,10.08,29.46%,-9.14%,5.16M,-6.45%,3.59,2.46,-,-59.08%,7.05,12.12,-5.85%,-,-,9.40%,-12.86%,-26.98%,1.90,-,2.65,12.97%,70.92%,25.53%,0.31,-,2.37,47.34%,-14.73%,50.54,2.74%,3.65%,1549,3.02,8.98%,-15.80%,1.57,11.57,Yes / Yes,2.97,39.06%,-,0.51,8.80,-0.10%,140.00%,7.40%,Feb 28 AMC,1.28M,8.85,0.63%,1.28%,-3.18%,"

","649,301",0.57%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,33.10,5.07,0.09%,458.37M,-1.69%,76.84B,25.89,6.48,-8.57%,457.47M,-14.91%,2.34B,3.40,1.36,95.55%,0.82%,-13.79%,8.54B,8.99,8.78%,0.02%,1.47,-5.02%,10.90,15.39,12.01%,16.05%,3.77M,4.07%,4.46,37.65,9.73%,49.86%,151.03,201.92,-14.98%,1.74 (1.04%),47.40,11.57%,19.95%,-16.89%,0.85,1.56 (0.93%),2.00,8.05%,68.28%,11.11%,4.25,"Apr 18, 2024",3.36,12.77%,35.92%,28.17,2.29%,2.30%,14100,1.36,5.74%,27.43%,1.44,227.20,Yes / Yes,1.35,15.54%,30.71%,1.07,168.90,1.13%,-5.80%,8.48%,Feb 13 BMO,2.57M,167.81,-7.92%,-10.60%,-7.30%,"

","2,754,589",-0.65%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.18,1.49,0.56%,609.17M,-2.68%,12.62B,10.61,1.99,0.00%,595.25M,8.21%,1.23B,0.80,0.34,42.80%,2.62%,5.40%,5.45B,2.32,16.23%,3.60%,3.78,-13.78%,9.82,2.15,16.58%,10.37%,15.59M,-25.14%,4.82,4.37,17.80%,15.22%,15.90,30.05,-0.89%,0.72 (3.41%),-,13.36%,13.00%,-29.82%,-0.04,-,1.13,15.63%,30.73%,32.68%,0.79,"Apr 09, 2024",1.34,23.33%,24.42%,56.76,3.77%,3.35%,24888,0.26,3.58%,22.62%,1.00,29.63,Yes / Yes,0.13,2.31%,0.00%,1.32,21.02,-2.59%,-0.99%,5.91%,Mar 19 AMC,4.12M,21.09,2.22%,11.91%,-7.59%,"

","5,438,449",0.33%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.94,40.89%,147.17M,-0.95%,29.08B,59.09,3.28,-0.44%,88.58M,-17.50%,-138.67M,-,0.65,45.53%,4.83%,-12.32%,1.90B,15.34,54.29%,5.60%,1.80,27.92%,6.40,30.31,18.91%,-3.98%,4.28M,72.41%,16.41,11.82,38.21%,-18.64%,84.93,259.61,-12.41%,-,58.09,-17.41%,-6.46%,-25.25%,0.81,-,1.90,53.60%,77.40%,128.51%,8.08,-,1.90,58.51%,-9.70%,34.05,2.55%,3.54%,5962,1.29,40.62%,-7.32%,1.54,261.57,Yes / Yes,1.24,51.94%,-,0.51,194.95,3.42%,30.99%,35.45%,Feb 29 AMC,2.38M,194.07,-7.22%,-14.58%,6.29%,"

","1,212,020",-0.45%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-4.56,10.05%,70.77M,-2.02%,963.64M,-,-3.77,-0.41%,63.83M,-0.44%,-292.19M,-,-0.77,109.88%,22.81%,-5.03%,0.00M,-,18.03%,-0.98%,17.50,-36.15%,6.18,2.20,-2.93%,-52.39%,14.56M,-23.84%,6.81,2.00,-,-67.09%,9.56,31.46,-10.36%,-,-,-50.05%,-60.82%,-56.83%,1.71,-,7.16,-20.00%,-,42.05%,0.97,-,7.16,-0.81%,0.00%,46.56,4.73%,7.73%,168,0.10,-,-,1.40,33.56,Yes / Yes,0.10,7.17%,-,0.78,13.65,-,-5.87%,-,Feb 27 BMO,831.87K,13.58,-6.15%,1.47%,-27.73%,"

","650,011",-0.51%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,32.48,2.05,24.32%,260.90M,0.72%,20.52B,13.26,5.03,-0.42%,232.75M,5.22%,637.46M,21.65,1.20,58.87%,5.08%,-7.22%,4.53B,4.53,-5.07%,-0.54%,3.40,-3.11%,26.07,2.56,1.68%,7.06%,11.84M,-3.58%,22.66,2.94,1.50%,8.96%,58.87,75.90,-7.23%,-,13.94,-,7.90%,-12.11%,-0.08,-,4.38,95.81%,74.72%,13.32%,1.66,-,4.38,516.13%,11.60%,49.66,1.89%,2.67%,7420,0.01,3.06%,14.08%,2.71,78.25,Yes / Yes,0.01,368.46%,0.00%,0.64,65.96,1.54%,23.91%,2.56%,Feb 26 AMC,3.48M,66.71,-1.37%,0.29%,-1.15%,"

","2,226,315",1.14%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.46,0.41%,98.72M,-10.12%,1.60B,-,-1.87,-8.59%,98.31M,-18.51%,-334.62M,-,-0.51,42.47%,4.13%,-37.50%,266.72M,6.01,8.25%,-2.02%,6.24,-33.59%,8.19,1.98,41.00%,-29.66%,4.06M,-48.35%,8.17,1.99,-,-36.34%,16.11,40.42,-40.54%,-,-,-16.93%,-41.61%,-59.80%,1.10,-,4.41,2095.12%,64.08%,0.87%,1.15,-,4.63,25.17%,-141.19%,32.40,4.60%,5.53%,2175,0.02,24.03%,-125.46%,1.17,56.81,Yes / Yes,0.01,-52.98%,-,0.97,16.18,-8.76%,-90.47%,5.16%,Feb 27 AMC,650.84K,16.25,-16.30%,-21.52%,-35.30%,"

","633,733",0.43%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.85,9.46%,127.44M,-0.57%,2.44B,20.98,0.91,0.00%,115.39M,0.05%,-136.80M,-,-0.06,0.63%,0.01%,22.46%,1.23B,1.98,263.57%,-,0.29,-,2.82,6.79,539.46%,-4.29%,0.02M,-,2.35,8.14,-,-9.63%,15.00,21.91,17.35%,-,-,-,-28.89%,-12.66%,-,-,1.56,39.26%,16.66%,27.60%,1.78,-,1.73,26.52%,-4.62%,52.82,9.23%,9.56%,3956,0.26,-0.20%,-11.13%,1.00,21.38,No / Yes,0.05,63.33%,-,0.82,19.26,-,-,6.47%,Mar 19 BMO,58.76K,19.14,1.62%,5.29%,8.56%,"

","48,183",-0.62%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,24.35,0.47,30.60%,76.17M,-2.91%,1.13B,54.53,0.21,-0.95%,68.76M,-12.35%,49.10M,2.36,-0.05,51.43%,4.55%,-20.34%,645.72M,1.74,-107.14%,-1.83%,5.21,-9.98%,0.08,134.18,734.06%,7.15%,3.13M,-24.52%,5.25,2.16,10.30%,265.50%,10.27,19.29,-18.27%,-,11.00,-,8.77%,-41.11%,1.25,-,6.57,17.01%,89.72%,10.61%,0.47,-,6.57,-9.45%,13.48%,34.12,2.92%,3.63%,1000,66.40,-28.62%,7.60%,2.29,14.20,Yes / Yes,65.87,-67.13%,0.00%,0.63,11.83,6.05%,-32.61%,-35.42%,Feb 22 AMC,600.43K,11.36,-7.19%,-15.97%,-20.63%,"

","378,295",-3.97%,ZIP
