Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,Small,RUT,-,-1.37,5.76%,73.10M,-11.01%,1.81B,45.60,0.54,-4.25%,69.34M,-8.93%,1.71B,-,-0.36,97.87%,6.70%,7.62%,-102.66M,22.25,244.95%,-6.45%,7.01,36.12%,81.26M,11.06,-65.58%,-22.72%,4.65M,-6.68%,2.22,4.96,-,-42.02%,29.75 -17.41%,111.63%,4.96,-,- 21.35%,-24.22%,10.93 124.79%,149.19%,-,-,-36.43% 22.16%,87.28%,6.56%,4.51%,-7.70%,-,21.00,8.99%,-140.35%,1.25,-,-,10.82,-12.98%,-126.33%,40.47,1.00,- -,10.82,-95.19%,-8.61%,1.17,40.15,-,1.61,-91.12%,-4.47%,0.98,23.90,264,1.59,May 07 AMC,14.26%,663.12K,24.57,"Apr 28, 2017",Yes / Yes,-98.79% -90.12%,"

","646,795",2.80%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,Mid,RUT,38.93,1.25,11.62%,167.03M,-4.54%,8.15B,25.41,1.92,-3.51%,147.48M,-1.05%,8.43B,2.16,0.47,90.09%,3.36%,-5.28%,213.30M,4.68,15.61%,-3.49%,4.77,2.58%,1.74B,5.08,9.37%,7.95%,4.96M,5.03%,9.62,29.79,11.77%,13.33%,53.76 -9.17%,30.35%,1.64,25.65,46.13% -2.00%,9.96%,35.06 39.28%,132.86%,0.44 (0.91%),21.42,9.78% -2.36%,42.01%,2.21%,2.84%,92.44%,0.40 (0.82%),4.84,28.13%,17.61%,1.34,370.91%,"May 20, 2026",2.11,10.03%,12.26%,44.98,2.25,23.86% 3.50%,3.24,37.09%,-3.38%,1.12,56.22,32.87%,0.34,11.37%,1.82%,0.63,49.77,2600,0.33,Apr 21 AMC,3.34%,1.04M,48.83,"Mar 29, 2012",Yes / Yes,12.82% 3.36%,"

","655,141",-1.89%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,Large,S&P 500,12.32,6.04,0.56%,420.35M,-33.16%,31.17B,9.95,7.47,-0.35%,416.86M,-38.62%,38.46B,1.23,1.87,100.94%,3.55%,-42.22%,2.64B,3.28,8.34%,4.25%,3.01,-37.94%,9.51B,9.67,7.58%,18.07%,14.80M,-40.92%,7.69,16.06,8.12%,67.01%,172.23 -56.84%,-53.66%,4.63,14.59,10.25% 11.96%,21.19%,75.11 -1.03%,-59.51%,2.13 (2.86%),9.47,5.42% 7.24%,70.43%,6.49%,3.41%,-56.49%,2.06 (2.77%),4.04,8.35%,37.57%,4.67,60.25%,"Apr 20, 2026",1.91,2.40%,27.79%,11.66,1.77,14.57% 19.02%,3.15,1.02%,-30.68%,0.82,129.07,33.71%,2.86,1.89%,-34.78%,2.60,76.94,14500,2.86,May 07 BMO,-42.75%,4.92M,74.34,"Feb 01, 2013",Yes / Yes,-4.60% -1.71%,"

","12,797,399",-3.38%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,Large,-,15.96,1.55,0.00%,584.71M,-4.68%,13.79B,11.29,2.19,-,559.09M,-1.08%,11.87B,0.84,0.45,10.67%,2.39%,-0.88%,1.26B,2.02,18.53%,7.67%,7.56,30.39%,6.84B,2.05,11.87%,9.85%,13.38M,18.09%,12.01,3.76,13.50%,14.05%,26.20 -5.84%,33.57%,6.57,-,7.84% 14.67%,13.23%,16.68 47.90%,-13.01%,0.78 (3.17%),6.55,9.14% 13.33%,25.00%,1.63%,1.79%,-15.04%,0.69 (2.80%),1.74,4.25%,19.63%,0.52,-,"Apr 08, 2026",1.45,11.11%,18.50%,44.02,1.43,- -,1.49,13.11%,-2.54%,-0.19,29.28,43.05%,0.17,13.88%,-0.12%,0.98,24.86,23399,0.01,May 19 AMC,14.20%,1.77M,24.67,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","1,729,175",-0.76%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,Large,NDX,-,-0.43,35.39%,160.57M,9.80%,24.51B,33.35,4.57,-0.07%,103.89M,24.25%,22.86B,1.73,1.01,54.04%,9.79%,-10.86%,-67.63M,8.17,22.33%,3.59%,3.36,-53.65%,3.00B,11.15,13.92%,-1.15%,10.18M,-32.23%,13.68,6.98,19.27%,-3.56%,336.99 -54.77%,-37.78%,21.85,28.07,54.06% 21.31%,-1.69%,114.62 32.98%,33.32%,-,1327.58,34.81% 44.03%,76.28%,4.82%,4.52%,-5.28%,-,7.62,-326.25%,-4.54%,7.54,-,-,1.82,23.91%,-2.25%,59.59,1.47,- -,1.82,-327.24%,8.69%,0.98,220.98,-,0.85,25.91%,6.86%,1.58,146.17,7923,0.82,May 26 AMC,-33.18%,3.03M,152.43,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","4,776,483",4.28%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,Large,-,16.49,6.21,10.00%,266.81M,-2.57%,30.18B,16.65,6.15,-1.90%,265.20M,24.31%,22.41B,5.01,1.42,69.58%,2.45%,11.16%,1.90B,6.20,-0.74%,0.25%,1.44,23.17%,4.87B,3.09,4.70%,16.56%,6.49M,18.70%,33.19,3.86,3.32%,20.28%,111.56 -8.18%,23.14%,26.56,15.69,162.73% 22.38%,19.31%,69.15 48.13%,60.83%,-,17.84,3.49% 12.92%,77.02%,3.99%,4.15%,-64.70%,-,4.60,93.43%,23.08%,4.04,-,-,4.28,4.36%,39.03%,60.24,2.12,- -,4.28,91.72%,4.55%,1.01,97.42,0.00%,0.01,5.31%,18.27%,0.77,102.96,7438,0.00,May 21 AMC,21.65%,4.50M,102.43,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","3,475,995",-0.51%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,Mid,-,-,-1.62,1.69%,111.02M,-2.57%,2.30B,-,-1.60,-14.07%,110.66M,-6.79%,1.77B,-,-0.60,28.10%,4.02%,7.57%,-178.68M,5.07,-24.73%,-2.20%,6.06,-6.49%,454.68M,3.43,19.68%,-15.75%,4.45M,16.04%,5.96,3.03,18.44%,-24.26%,44.34 -53.83%,-28.48%,6.76,-,29.68% 14.26%,-26.51%,15.96 28.26%,-39.02%,-,-,29.03% 56.57%,57.91%,7.86%,4.80%,-86.50%,-,3.90,35.12%,-53.51%,1.16,-,-,2.19,8.57%,-39.30%,47.95,1.33,- -,2.40,-2.96%,-5.67%,0.84,33.20,-,0.35,-6.31%,0.56%,1.03,19.53,1784,0.02,May 07 BMO,-14.72%,734.98K,20.47,"Sep 20, 2017",Yes / Yes,12.58% -8.14%,"

","758,994",4.81%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,Mid,-,9.27,6.43,1.58%,147.08M,-6.80%,8.77B,8.78,6.79,-2.35%,144.76M,-3.32%,-,1.35,1.55,78.95%,2.92%,-5.20%,946.00M,1.78,7.81%,-1.20%,2.48,13.36%,4.93B,1.21,4.78%,1.08%,4.23M,1.88%,49.16,-,6.52%,13.95%,66.18 -9.88%,19.47%,-,7.09,1.24% 14.71%,10.02%,45.52 31.02%,165.89%,1.83 (3.07%),-,14.19% 10.90%,-,2.50%,2.26%,0.95%,1.78 (2.98%),-,25.29%,24.96%,1.51,130.45%,"May 14, 2026",-,-1.12%,19.20%,41.74,2.57,3.66% 5.29%,0.14,37.45%,-4.27%,0.81,68.55,29.30%,0.36,-1.33%,0.81%,0.81,60.83,9195,0.30,Apr 20 AMC,4.34%,1.70M,59.64,"Mar 17, 1980",Yes / Yes,9.57% -0.84%,"

","1,372,845",-1.96%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,Mid,-,6.48,3.98,1.75%,120.47M,-7.51%,3.10B,-,-2.92,0.00%,118.36M,-2.43%,7.06B,-,-0.63,39.82%,2.77%,21.81%,479.20M,0.45,-146.33%,1.12%,1.16,68.85%,6.90B,0.77,-58.21%,4.28%,3.27M,21.29%,33.38,1.74,-,11.89%,29.97 -14.08%,50.50%,14.83,1.82,-53.07% -1.60%,5.56%,12.33 108.84%,56.55%,0.08 (0.30%),3.31,-18.09% 11.58%,16.76%,2.64%,2.60%,-20.67%,1.99 (7.73%),1.02,-77.70%,12.28%,0.80,-,"Mar 20, 2026",1.15,-18.07%,6.94%,44.36,3.50,-46.24% -,1.23,-93.22%,-2.68%,1.18,25.22,107.58%,1.43,-31.50%,-3.62%,0.38,25.75,6785,1.14,May 20 BMO,27.05%,2.83M,25.75,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,073,291",0.00%,ZIM
Ermenegildo Zegna NV,Consumer Cyclical,Apparel Manufacturing,Italy,Mid,RUT,29.75,0.43,73.04%,268.31M,-1.78%,5.38B,20.13,0.63,-0.02%,72.33M,10.14%,6.26B,1.09,-,24.35%,5.10%,17.58%,111.78M,2.48,8.30%,0.33%,4.87,27.35%,2.17B,2.82,30.96%,3.57%,3.69M,24.00%,4.51,15.49,18.50%,10.35%,13.38 -5.01%,45.26%,0.82,18.30,23.45% -,5.34%,7.61 67.13%,-2.16%,0.15 (1.19%),13.57,11.30% -,55.64%,3.90%,3.50%,30.23%,0.14 (1.12%),2.89,29.96%,8.54%,0.50,-,"Jul 06, 2026",0.91,2.91%,5.16%,59.55,1.92,8.37% -,1.59,-54950.00%,3.93%,0.82,13.19,32.86%,0.95,-,13.95%,0.84,12.39,7437,0.73,Mar 20 BMO,25.55%,758.10K,12.71,"Dec 20, 2021",Yes / Yes,44.68% -0.65%,"

","633,583",2.58%,ZGN
