Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,44.90,0.77,16.20%,172.26M,2.57%,5.93B,26.31,1.32,-15.03%,143.23M,7.40%,135.60M,2.87,0.32,84.00%,2.89%,16.66%,1.54B,3.85,24.23%,6.04%,2.81,7.27%,9.32,3.72,9.34%,4.67%,4.13M,25.52%,0.95,36.42,15.65%,8.04%,25.09,35.18,17.89%,0.26 (0.76%),21.02,18.47%,6.37%,-1.45%,1.15,0.32 (0.92%),1.75,0.20%,40.45%,38.18%,0.90,"Aug 20, 2024",2.83,183.51%,15.70%,64.59,2.61%,2.49%,2400,0.34,0.50%,8.80%,2.25,36.00,Yes / Yes,0.33,34.01%,45.61%,0.67,34.17,0.70%,5.16%,2.18%,Jul 30 AMC,1.47M,34.67,6.65%,9.42%,11.59%,"

","988,702",1.46%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.33,7.77%,151.47M,-2.04%,1.31B,15.26,0.57,-8.45%,139.71M,-3.89%,-47.27M,-,0.11,75.57%,3.94%,-5.77%,445.68M,2.94,70.20%,-0.36%,4.33,-2.26%,1.27,6.82,0.89%,-6.17%,5.50M,2.49%,3.59,2.41,15.00%,-31.02%,7.05,10.85,-7.98%,-,-,9.40%,-7.99%,-20.28%,1.72,-,2.71,12.97%,68.16%,22.70%,0.29,-,2.71,60.38%,-6.31%,47.16,2.27%,3.08%,1618,2.12,7.33%,-10.61%,1.86,12.00,Yes / Yes,2.08,70.33%,-,0.60,8.64,2.46%,98.33%,6.80%,Aug 21 AMC,1.27M,8.65,-0.79%,-2.02%,-4.66%,"

","756,779",0.12%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,37.93,5.11,0.09%,458.37M,-1.03%,87.75B,30.02,6.45,-0.23%,452.65M,7.07%,2.34B,3.96,1.46,95.72%,1.13%,15.31%,8.91B,9.84,9.66%,0.02%,2.58,15.42%,10.94,17.70,10.61%,16.79%,5.09M,9.63%,3.47,55.75,9.57%,48.88%,144.80,201.92,-1.86%,1.70 (0.88%),41.73,11.57%,20.02%,-4.08%,0.88,1.67 (0.86%),2.09,8.05%,68.32%,33.76%,3.77,"Jul 18, 2024",3.45,7.38%,36.05%,62.65,2.28%,1.84%,14100,1.36,8.43%,26.29%,1.53,222.33,Yes / Yes,1.36,-5.60%,30.71%,1.04,193.59,2.10%,5.04%,8.30%,Aug 06 BMO,1.97M,193.69,2.47%,4.76%,7.54%,"

","2,045,051",0.05%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,16.29,1.42,0.86%,606.77M,3.27%,13.80B,11.39,2.03,0.00%,592.88M,12.10%,1.19B,1.20,0.40,34.65%,2.90%,7.05%,5.61B,2.46,13.06%,3.55%,7.13,9.39%,10.31,2.24,18.82%,9.95%,17.22M,-5.68%,4.71,4.90,13.57%,14.81%,15.90,25.12,8.41%,0.69 (2.98%),-,13.37%,12.68%,-8.16%,-0.10,0.97 (4.20%),1.22,15.78%,31.13%,45.14%,0.63,"Sep 10, 2024",1.26,-0.18%,24.65%,64.72,2.86%,2.28%,23554,0.30,3.60%,21.14%,1.31,29.25,Yes / Yes,0.12,-3.11%,40.76%,1.82,21.65,0.90%,2.93%,6.28%,Aug 21 BMO,2.42M,23.07,6.28%,12.62%,12.52%,"

","4,398,026",6.56%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.39,38.65%,152.49M,2.25%,26.56B,49.67,3.51,-0.13%,93.55M,-12.68%,-57.71M,-,0.63,46.98%,4.43%,-4.59%,2.17B,12.25,-10.26%,5.50%,2.14,-10.26%,8.36,20.84,22.48%,-1.39%,4.14M,14.79%,15.80,11.02,18.14%,-5.77%,146.59,259.61,-21.40%,-,45.40,-10.72%,-4.38%,-32.92%,0.82,-,1.04,48.57%,77.87%,18.80%,6.23,-,1.04,72.20%,-5.71%,48.68,2.52%,3.21%,7348,0.97,34.07%,-2.66%,1.71,214.44,Yes / Yes,0.04,53.13%,-,0.36,174.79,4.48%,24.95%,30.30%,Sep 03 AMC,1.94M,174.15,-0.48%,-3.67%,-11.51%,"

","695,256",-0.37%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.75,13.75%,70.77M,-1.95%,285.86M,-,-3.56,-0.13%,61.33M,26.02%,-194.65M,-,-0.89,100.05%,20.02%,-4.29%,40.56M,7.05,35.18%,-1.04%,6.56,-70.40%,5.38,0.75,-22.88%,-34.97%,12.28M,-81.10%,6.00,0.67,-,-42.98%,2.83,21.34,-73.47%,-,-,-50.05%,-45.92%,-81.16%,1.69,-,6.59,-20.00%,96.71%,42.05%,0.39,-,6.59,42.78%,-543.77%,58.57,7.04%,9.92%,168,0.12,-,-479.92%,2.27,9.90,Yes / Yes,0.11,32.87%,-,0.71,4.06,-,-47.48%,-,Aug 09 BMO,1.87M,4.02,16.17%,12.58%,-59.71%,"

","1,325,240",-0.99%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,24.87,2.79,15.03%,307.79M,1.94%,21.37B,13.10,5.30,-0.65%,261.54M,-1.01%,875.37M,16.58,1.31,59.38%,4.02%,20.14%,4.59B,4.66,2.33%,-0.54%,3.14,4.08%,27.68,2.51,-0.61%,9.01%,10.51M,0.84%,24.46,2.84,1.50%,11.27%,55.06,74.77,-3.45%,-,12.42,-,10.22%,-7.14%,-0.05,-,4.45,95.81%,74.59%,26.10%,1.55,-,4.45,508.08%,17.80%,63.80,2.00%,2.16%,7420,0.01,2.76%,19.08%,2.54,74.78,Yes / Yes,0.00,17.25%,0.00%,0.69,68.79,1.20%,14.44%,2.09%,Aug 21 AMC,3.35M,69.43,1.80%,10.70%,8.35%,"

","2,293,706",0.93%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.07,0.59%,99.12M,3.85%,2.14B,-,-1.80,-13.65%,98.53M,19.70%,-298.33M,-,-0.76,42.94%,5.01%,16.47%,322.71M,6.63,13.61%,-2.09%,8.65,32.74%,7.18,3.01,39.88%,-28.50%,4.93M,-11.85%,7.37,2.93,-,-36.46%,13.48,31.22,-21.08%,-,-,-16.93%,-42.02%,-30.91%,1.06,-,3.29,2095.12%,62.95%,60.01%,0.95,-,3.46,24.90%,-109.67%,62.45,4.74%,4.63%,2175,0.12,28.16%,-92.44%,1.13,47.69,Yes / Yes,0.01,34.35%,-,0.80,20.72,7.45%,-15.75%,45.95%,Aug 06 AMC,570.10K,21.57,6.65%,14.54%,8.87%,"

","455,274",4.10%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.36,8.84%,127.44M,-10.10%,352.98M,13.60,0.20,0.00%,116.59M,-23.33%,-57.85M,-,-0.00,17.20%,0.01%,-29.23%,1.22B,0.29,4.39%,-,0.08,-85.58%,2.73,1.01,336.89%,-4.29%,0.01M,-,2.20,1.26,-,-9.63%,2.62,21.91,-83.08%,-,-,-,-12.58%,-87.41%,-,-,1.61,26.18%,17.21%,5.34%,0.25,-,1.80,69.95%,-3.73%,36.23,5.23%,7.85%,3476,0.26,-1.34%,-4.74%,1.00,4.75,No / Yes,0.04,88.56%,-,0.91,2.94,-2.36%,-133.33%,5.18%,Aug 22 BMO,90.18K,2.76,-8.28%,-11.09%,-74.96%,"

","82,162",-6.12%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,32.69,0.29,36.11%,76.17M,-7.22%,931.81M,-,-0.19,-0.48%,63.46M,0.54%,30.22M,-,-0.10,51.88%,5.32%,8.06%,537.45M,1.73,-146.24%,-1.82%,6.23,-17.43%,0.25,38.08,11.02%,4.65%,3.38M,-25.67%,5.27,1.78,-,855.40%,7.21,15.35,-32.52%,-,10.72,-,5.26%,-38.89%,1.20,-,7.44,17.01%,89.51%,30.10%,0.45,-,7.44,-44.78%,11.55%,50.52,5.67%,4.36%,1000,22.71,-32.11%,5.62%,2.62,9.10,Yes / Yes,22.52,-50.07%,0.00%,0.88,9.43,5.30%,190.25%,-27.44%,Aug 07 AMC,541.87K,9.38,-1.24%,4.90%,-15.44%,"

","478,585",-0.53%,ZIP
