Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.62,4.07%,68.96M,3.84%,892.27M,-,-0.93,370.92%,67.30M,-9.27%,-122.70M,-,-0.68,97.14%,5.89%,-4.86%,76.30M,11.69,-3.28%,0.35%,7.70,1.60%,4.87,2.61,44.43%,-23.51%,3.96M,20.80%,3.22,3.95,-1.14%,-30.54%,7.97,17.70,-13.11%,-,-,15.81%,-34.61%,-28.14%,1.14,-,3.40,273.04%,85.33%,59.60%,0.71,-,3.40,6.94%,-157.03%,47.14,5.14%,5.59%,286,0.05,0.38%,-160.80%,1.44,21.56,Yes / Yes,0.05,-53.94%,-,1.55,12.93,-31.34%,-211.87%,83.33%,Mar 05 AMC,514.64K,12.72,0.09%,-7.11%,2.06%,"

","800,233",-1.62%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.37,0.92,11.47%,170.31M,0.87%,5.69B,22.30,1.50,-58.29%,150.56M,-5.35%,160.20M,3.75,0.29,90.08%,3.25%,-14.16%,1.57B,3.63,4.92%,-2.21%,5.21,-1.65%,9.32,3.59,11.71%,5.98%,4.89M,4.14%,1.16,28.74,9.71%,9.96%,28.25,41.15,-10.29%,0.37 (1.11%),20.94,-7.41%,7.54%,-18.69%,1.09,0.34 (1.02%),1.81,0.56%,41.36%,18.44%,0.81,"Feb 20, 2025",2.91,44.23%,16.48%,40.27,1.73%,2.36%,2500,0.35,2.35%,10.23%,2.25,40.57,Yes / Yes,0.34,166.58%,35.98%,2.68,33.64,1.11%,14.78%,3.90%,Feb 04 AMC,938.67K,33.46,-1.97%,-7.67%,-3.98%,"

","2,517,262",-0.54%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,29.83,5.47,0.10%,448.47M,1.10%,73.00B,24.04,6.78,-1.26%,447.34M,3.56%,2.49B,3.65,1.41,95.25%,1.46%,-4.54%,9.26B,7.89,2.88%,-0.30%,2.18,-17.02%,10.64,15.33,11.33%,17.43%,6.51M,-5.74%,4.44,36.74,8.17%,50.91%,144.80,200.33,0.06%,1.96 (1.20%),31.77,11.91%,24.46%,-18.62%,0.94,1.80 (1.10%),1.08,8.22%,69.10%,12.59%,3.91,"Apr 21, 2025",1.75,7.70%,36.65%,45.56,1.52%,2.44%,13800,1.42,8.33%,26.86%,1.52,208.86,Yes / Yes,1.13,12.87%,32.86%,0.96,163.16,0.86%,2.77%,4.70%,Feb 13 BMO,2.99M,163.03,-1.64%,-2.29%,-7.77%,"

","2,886,584",-0.08%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.54,1.48,0.86%,592.17M,0.40%,11.87B,10.33,1.94,0.00%,587.06M,-2.62%,1.22B,0.97,0.42,25.37%,2.87%,0.00%,6.15B,1.93,15.94%,-5.89%,6.46,-9.28%,10.74,1.87,13.42%,9.74%,16.87M,-7.43%,5.17,3.88,13.90%,14.45%,17.89,27.50,2.56%,0.73 (3.66%),-,8.46%,14.32%,-27.09%,-0.03,0.97 (4.84%),1.04,14.25%,30.97%,12.07%,0.70,"Apr 10, 2025",1.07,-0.16%,24.90%,49.95,3.17%,2.79%,23554,0.28,12.67%,19.90%,1.40,26.10,Yes / Yes,0.01,14.33%,45.74%,1.03,20.14,10.92%,-11.92%,21.51%,Mar 18 AMC,2.61M,20.05,-0.26%,2.80%,-4.14%,"

","2,691,851",-0.45%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.10,38.05%,154.72M,3.74%,31.75B,57.52,3.57,-0.42%,95.85M,-0.86%,-15.53M,-,0.76,49.61%,5.45%,2.37%,2.42B,13.11,-3.38%,3.07%,3.01,21.77%,10.39,19.75,15.75%,-0.35%,5.22M,5.10%,18.62,11.02,10.32%,-1.21%,153.45,217.84,13.74%,-,45.70,-10.72%,-0.94%,-5.80%,1.11,-,1.15,48.57%,77.68%,33.72%,8.51,-,1.15,89.39%,-4.09%,54.60,3.52%,4.48%,7348,0.77,27.77%,-0.64%,1.73,236.63,Yes / Yes,0.03,73.68%,-,1.03,203.55,2.13%,13.49%,23.41%,Mar 05 AMC,1.74M,205.20,3.63%,2.97%,7.84%,"

","1,788,924",0.81%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.72,3.20,14.13%,263.11M,2.39%,23.19B,13.72,5.54,-2.89%,262.10M,-8.96%,1.01B,18.11,1.31,62.22%,2.55%,-10.20%,4.67B,4.97,-2.43%,7.62%,2.61,15.04%,29.22,2.60,2.46%,9.66%,6.68M,14.19%,25.57,2.97,1.31%,11.92%,55.06,92.80,-6.91%,-,12.82,106.45%,11.26%,-18.14%,0.66,-,4.46,78.74%,75.94%,37.98%,2.23,-,4.46,55.96%,19.00%,45.81,1.96%,3.06%,7412,0.01,3.05%,21.65%,2.32,91.61,Yes / Yes,0.00,21.68%,0.00%,2.43,76.03,0.80%,8.10%,3.29%,Feb 24 AMC,2.56M,75.97,1.41%,-4.92%,5.32%,"

","6,219,994",-0.08%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.60,0.94%,109.14M,-8.14%,3.83B,144.61,0.24,-12.63%,108.11M,13.23%,-257.10M,-,-0.46,51.11%,7.24%,30.11%,398.99M,9.60,43.70%,10.77%,9.60,65.36%,7.80,4.50,116.58%,-23.14%,7.83M,92.06%,8.06,4.35,-,-31.41%,13.48,39.61,33.98%,-,-,-3.18%,-30.08%,-11.41%,1.09,-,3.38,118.89%,62.94%,160.31%,1.87,-,3.51,24.92%,-70.71%,53.18,3.24%,5.31%,1869,0.18,49.59%,-64.44%,1.29,53.83,Yes / Yes,0.02,18.42%,-,1.36,37.33,-0.24%,-22.87%,65.68%,Feb 27 BMO,815.53K,35.09,-1.28%,14.69%,41.57%,"

","1,108,530",-6.00%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-3.61,-,253.10M,-13.35%,6.70B,24.93,1.09,-,-,10.45%,-891.82M,-,0.51,4.16%,-,-6.27%,10.55B,0.64,77.56%,68.92%,2.29,78.50%,-6.35,-,228.45%,-21.49%,1.48M,-,4.96,5.46,-,-,13.00,33.32,-4.65%,-,-,-,-,-18.78%,-,-,0.48,146.49%,16.40%,108.15%,2.27,-,0.62,25.39%,-9.12%,48.00,7.95%,8.20%,17439,-,45.22%,-8.46%,1.00,37.37,Yes / Yes,-,67.77%,-,1.30,26.20,-0.44%,-71.34%,40.01%,Mar 20 BMO,646.12K,27.06,-3.24%,1.53%,18.82%,"

","839,412",3.28%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.99,4.96,1.60%,147.87M,1.81%,7.32B,8.65,5.73,-2.20%,145.52M,-10.18%,730.00M,1.50,1.18,78.44%,3.85%,-11.94%,4.99B,1.47,6.81%,2.87%,4.03,5.32%,40.97,1.21,8.32%,0.88%,5.60M,24.46%,-,-,6.66%,13.15%,39.05,63.22,-8.74%,1.73 (3.49%),7.54,3.54%,9.98%,-21.69%,0.91,1.68 (3.39%),-,10.13%,-,26.79%,1.66,"Feb 13, 2025",0.35,13.79%,20.26%,41.50,2.85%,3.33%,9406,0.82,7.91%,14.62%,2.77,63.06,Yes / Yes,0.19,72.54%,33.52%,8.82,49.64,4.18%,6.00%,4.59%,Jan 21 AMC,1.39M,49.51,-1.59%,-8.64%,-3.05%,"

","12,259,739",-0.26%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,1.00,17.83,1.07%,120.42M,-2.30%,2.15B,-,-1.37,0.00%,119.17M,-14.41%,2.15B,-,1.88,52.58%,12.10%,-3.26%,8.43B,0.25,-91.32%,12.63%,2.45,-3.11%,33.52,0.53,-188.24%,21.76%,14.42M,100.28%,17.56,1.01,-,66.17%,9.11,29.00,-17.00%,0.69 (3.85%),0.70,-,24.69%,-38.55%,1.65,3.97 (22.28%),1.17,42.24%,32.89%,95.67%,1.10,"Mar 24, 2025",1.25,179.57%,29.52%,39.50,4.15%,5.92%,6700,1.49,63.25%,25.48%,4.00,16.07,Yes / Yes,1.15,477.88%,22.25%,1.69,17.97,6.89%,33.49%,79.84%,Mar 12 BMO,5.88M,17.82,-9.38%,-5.83%,-9.76%,"

","9,923,015",-0.83%,ZIM
