Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,49.40,0.64,17.01%,172.26M,-1.41%,5.42B,24.67,1.28,-2.35%,142.74M,-0.57%,112.70M,3.44,0.26,84.83%,4.07%,7.50%,1.53B,3.54,18.17%,6.00%,5.52,10.75%,9.30,3.39,11.45%,3.77%,5.81M,50.24%,0.79,39.66,14.35%,6.48%,19.29,33.95,7.17%,0.27 (0.87%),23.31,18.47%,5.28%,-7.16%,1.23,0.30 (0.95%),1.77,1.96%,38.51%,63.40%,0.66,"Feb 16, 2024",3.02,36.01%,14.25%,51.48,1.74%,1.82%,2400,0.34,19.40%,7.36%,2.25,34.86,Yes / Yes,0.33,38.11%,45.61%,1.17,31.36,1.78%,13.04%,4.85%,Feb 06 AMC,1.05M,31.52,-0.17%,3.33%,10.20%,"

","1,231,121",0.51%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.49,7.28%,143.12M,-3.48%,1.27B,17.06,0.52,-8.94%,132.70M,4.72%,-68.19M,-,0.07,75.62%,3.89%,-1.55%,431.66M,2.94,21.72%,-0.38%,4.19,1.03%,0.88,10.11,29.46%,-9.14%,5.16M,-3.59%,3.59,2.47,-,-59.08%,7.05,12.12,-5.64%,-,-,9.40%,-12.86%,-26.81%,1.89,-,2.65,12.97%,70.92%,25.82%,0.35,-,2.37,47.34%,-14.73%,52.86,3.41%,3.57%,1549,3.02,8.98%,-15.80%,1.57,11.57,Yes / Yes,2.97,39.06%,-,2.27,8.84,-0.10%,140.00%,7.40%,Feb 28 AMC,1.23M,8.87,3.63%,2.39%,-3.61%,"

","2,793,442",0.34%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,34.03,5.07,0.09%,458.37M,-5.26%,79.01B,26.61,6.48,-10.53%,457.47M,-6.25%,2.34B,3.50,1.36,95.54%,0.82%,-12.58%,8.54B,9.25,8.69%,0.02%,1.57,-5.57%,10.90,15.83,12.14%,16.05%,3.77M,5.50%,4.46,38.71,9.73%,49.86%,151.03,201.92,-12.57%,1.74 (1.01%),48.74,11.57%,19.95%,-14.54%,0.87,1.56 (0.90%),2.00,8.05%,68.28%,14.26%,4.47,"Apr 18, 2024",3.36,12.77%,35.92%,28.92,2.76%,2.30%,14100,1.36,5.74%,27.43%,1.47,227.20,Yes / Yes,1.35,15.54%,30.71%,1.41,173.88,1.13%,-5.80%,8.48%,Feb 13 BMO,2.41M,172.57,-8.38%,-9.49%,-4.61%,"

","3,391,882",-0.75%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.74,1.48,0.56%,609.17M,8.29%,13.06B,12.27,1.78,0.00%,595.25M,21.71%,1.23B,0.89,0.38,42.79%,2.62%,6.91%,5.37B,2.43,32.08%,3.62%,4.12,-13.11%,9.82,2.22,15.79%,10.77%,15.59M,-14.83%,4.06,5.38,16.50%,16.18%,15.90,30.05,2.49%,0.48 (2.19%),-,17.08%,13.74%,-27.42%,-0.05,-,1.13,18.73%,30.39%,37.21%,0.72,"Apr 05, 2023",1.17,26.78%,24.33%,73.50,2.44%,3.07%,24888,0.30,0.98%,22.98%,1.20,30.67,Yes / Yes,0.13,12.24%,0.00%,1.18,21.58,-8.49%,2.56%,-3.57%,Mar 19 AMC,3.78M,21.81,10.38%,17.06%,-4.98%,"

","4,445,883",1.07%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.94,40.83%,147.17M,-2.35%,29.08B,59.24,3.28,-0.47%,88.67M,-23.39%,-138.67M,-,0.65,48.21%,4.83%,-9.94%,1.90B,15.34,53.89%,5.60%,1.81,21.86%,6.40,30.30,18.90%,-3.98%,4.28M,80.21%,16.41,11.82,38.21%,-18.64%,84.93,259.61,-12.43%,-,58.07,-17.41%,-6.46%,-25.26%,0.83,-,1.90,53.60%,77.40%,128.46%,9.77,-,1.90,58.51%,-9.70%,32.04,2.96%,4.08%,5962,1.29,40.62%,-7.32%,1.52,261.92,Yes / Yes,1.24,51.94%,-,1.13,198.83,3.42%,30.99%,35.45%,Feb 29 AMC,2.36M,194.03,-12.56%,-15.52%,7.23%,"

","2,663,868",-2.41%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-4.56,10.05%,70.77M,-6.95%,1.02B,-,-3.77,-0.41%,63.83M,19.83%,-292.19M,-,-0.77,109.87%,22.81%,-5.60%,0.00M,-,18.03%,-0.98%,16.20,-39.81%,6.18,2.32,-2.93%,-52.39%,14.56M,-21.62%,6.81,2.10,-,-67.09%,9.56,31.46,-5.48%,-,-,-50.05%,-60.82%,-54.48%,1.72,-,7.16,-20.00%,-,49.79%,1.16,-,7.16,-0.81%,0.00%,51.66,10.95%,8.54%,168,0.10,-,-,1.40,33.56,Yes / Yes,0.10,7.17%,-,2.57,14.10,-,-5.87%,-,Feb 27 BMO,898.70K,14.32,-0.17%,5.10%,-25.21%,"

","2,308,001",1.52%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,32.11,2.05,24.32%,260.90M,-1.79%,20.29B,13.12,5.03,-0.46%,232.76M,2.84%,637.46M,21.41,1.20,58.86%,5.08%,-7.39%,4.53B,4.48,-5.02%,-0.54%,3.10,-7.84%,26.07,2.53,1.63%,7.06%,11.84M,-7.14%,22.66,2.91,1.50%,8.96%,58.87,75.90,-8.27%,-,13.78,-,7.90%,-13.10%,-0.07,-,4.38,95.81%,74.72%,12.04%,1.88,-,4.38,516.13%,11.60%,46.57,2.89%,2.74%,7420,0.01,3.06%,14.08%,2.70,78.59,Yes / Yes,0.01,368.46%,0.00%,1.49,67.26,1.54%,23.91%,2.56%,Feb 26 AMC,3.82M,65.96,-0.74%,-1.07%,-2.32%,"

","5,673,638",-1.93%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.46,0.41%,98.72M,-2.33%,1.82B,-,-1.91,-5.93%,98.31M,-4.74%,-334.62M,-,-0.51,42.47%,4.13%,-38.27%,266.72M,6.84,7.53%,-1.99%,6.15,-27.80%,8.19,2.26,40.30%,-29.66%,4.06M,-42.28%,8.17,2.26,-,-36.34%,17.68,40.42,-32.42%,-,-,-16.93%,-41.61%,-54.30%,1.13,-,4.41,2095.12%,64.08%,4.44%,1.28,-,4.63,25.17%,-141.19%,40.27,6.32%,5.73%,2175,0.02,24.03%,-125.46%,1.18,53.63,Yes / Yes,0.01,-52.98%,-,0.82,19.55,-8.76%,-90.47%,5.16%,Feb 27 AMC,660.93K,18.47,-8.23%,-15.18%,-27.84%,"

","545,072",-5.52%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.94,9.46%,127.44M,5.51%,2.37B,-,-,0.00%,115.39M,2.71%,-151.04M,-,-,0.63%,0.01%,-,1.21B,1.96,-,-,0.25,-,-4.20,-,-,-11.59%,0.02M,-,1.79,10.37,-,-27.55%,15.00,21.91,13.92%,-,-,-,-36.87%,-15.22%,-,-,1.49,39.43%,16.54%,23.87%,1.81,-,1.67,38.67%,-5.65%,50.78,10.98%,10.79%,3956,0.27,-4.58%,-12.49%,1.00,20.69,No / Yes,0.05,59.37%,-,0.68,18.74,-,-,-8.20%,Mar 19 BMO,66.74K,18.58,-1.59%,3.83%,6.10%,"

","45,489",-0.85%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,24.74,0.47,30.47%,76.17M,-7.38%,1.14B,60.03,0.19,-0.82%,68.89M,-20.30%,49.10M,2.40,-0.06,51.43%,4.54%,-17.34%,645.72M,1.77,-114.22%,-1.83%,5.17,-23.83%,0.08,136.31,393.91%,7.15%,3.13M,-20.63%,5.25,2.20,10.30%,265.50%,10.27,19.29,-16.98%,-,11.18,-,8.77%,-40.18%,1.26,-,6.57,17.01%,89.72%,12.37%,0.52,-,6.57,-9.45%,13.48%,32.26,4.12%,3.97%,1000,66.40,-28.62%,7.60%,2.38,14.00,Yes / Yes,65.87,-67.13%,0.00%,1.77,12.55,6.05%,-32.61%,-35.42%,Feb 22 AMC,604.46K,11.54,-10.62%,-16.30%,-20.07%,"

","1,069,293",-8.05%,ZIP
