Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,47.28,0.79,16.26%,169.85M,-7.63%,6.33B,27.78,1.34,-6.27%,142.12M,-4.85%,137.70M,2.98,0.28,92.47%,5.10%,6.58%,1.55B,4.08,27.64%,9.97%,5.03,23.04%,9.34,3.99,8.39%,4.94%,7.25M,25.82%,1.11,33.67,15.89%,8.52%,27.55,41.15,26.76%,0.33 (0.89%),23.43,18.47%,6.47%,-9.40%,1.16,0.33 (0.89%),1.71,0.20%,41.40%,35.32%,0.80,"Nov 20, 2024",2.70,28.10%,16.27%,33.19,2.07%,1.77%,2400,0.35,2.55%,8.87%,2.25,39.43,Yes / Yes,0.34,6.98%,45.61%,0.76,38.98,0.95%,5.82%,2.91%,Oct 29 AMC,1.44M,37.28,-6.45%,-3.06%,11.38%,"

","1,090,072",-4.36%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.50,7.60%,145.08M,-0.30%,1.53B,17.10,0.58,-8.52%,142.06M,0.20%,-73.97M,-,0.14,72.36%,2.22%,12.73%,452.76M,3.37,71.21%,-3.50%,1.03,7.24%,1.20,8.28,2.65%,-9.16%,3.15M,12.73%,3.63,2.73,15.00%,-47.76%,7.70,10.85,5.53%,-,21.39,9.40%,-12.64%,-8.57%,1.68,-,2.56,12.97%,67.98%,28.83%,0.05,-,2.56,14.25%,-4.07%,55.14,0.32%,0.42%,1618,2.21,6.78%,-16.34%,3.00,10.00,Yes / Yes,2.18,-443.70%,-,0.76,9.95,0.77%,39.13%,6.45%,Dec 09 AMC,3.07M,9.92,-0.18%,1.10%,6.19%,"

","2,344,840",-0.30%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,31.40,5.32,0.09%,451.55M,-5.73%,75.35B,26.19,6.38,-0.85%,450.78M,-5.33%,2.43B,3.38,1.38,94.81%,1.21%,-13.57%,9.15B,8.23,10.57%,-1.54%,2.42,-0.70%,11.59,14.41,8.41%,17.07%,5.48M,-15.10%,3.80,43.96,9.29%,47.13%,144.80,200.53,-15.38%,1.73 (1.04%),32.65,11.57%,20.27%,-16.72%,0.88,1.73 (1.03%),2.27,8.05%,68.49%,15.34%,3.99,"Jan 21, 2025",3.69,8.09%,36.45%,31.09,2.75%,2.09%,14100,1.29,9.33%,26.55%,1.43,220.60,Yes / Yes,1.29,16.43%,30.71%,1.20,170.79,4.34%,8.49%,11.02%,Nov 04 BMO,2.26M,167.01,-5.07%,-7.12%,-5.56%,"

","2,716,961",-2.21%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.78,1.43,0.86%,598.04M,5.41%,11.77B,10.99,1.79,0.00%,592.88M,-5.38%,1.20B,1.18,0.45,28.44%,2.89%,-13.30%,5.83B,2.02,10.51%,-10.78%,5.24,-8.25%,10.74,1.83,11.38%,9.47%,17.15M,-2.57%,5.47,3.60,11.68%,14.45%,15.90,27.50,-7.52%,0.66 (3.35%),-,13.37%,13.77%,-28.44%,-0.14,0.97 (4.93%),0.94,15.78%,31.29%,23.81%,0.58,"Sep 10, 2024",0.96,-2.64%,24.78%,46.87,1.86%,2.40%,23554,0.30,8.68%,20.51%,1.26,26.47,Yes / Yes,0.01,3.34%,40.76%,1.04,20.05,1.13%,0.45%,17.70%,Nov 19 AMC,3.27M,19.68,2.72%,-9.55%,-8.66%,"

","3,396,548",-1.85%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.24,38.10%,153.41M,-10.69%,28.49B,52.22,3.56,-0.15%,94.98M,-8.46%,-36.27M,-,0.69,48.87%,4.20%,7.60%,2.30B,12.39,-6.24%,4.50%,2.29,3.98%,9.31,19.94,18.89%,-0.87%,3.99M,-16.56%,17.65,10.52,16.32%,-3.24%,153.45,259.61,-16.19%,-,43.69,-10.72%,-2.47%,-28.47%,0.83,-,1.09,48.57%,77.81%,21.01%,8.04,-,1.09,79.05%,-4.74%,38.36,4.15%,3.79%,7348,0.87,30.77%,-1.58%,1.82,226.84,Yes / Yes,0.03,65.17%,-,2.45,200.45,3.71%,22.75%,26.42%,Dec 02 AMC,1.74M,185.69,-9.28%,-6.02%,-0.07%,"

","4,268,716",-7.36%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.53,19.17%,71.15M,-16.71%,207.74M,-,-2.93,-0.01%,57.60M,-4.43%,-179.28M,-,-0.79,83.16%,8.11%,-33.14%,40.56M,5.12,45.10%,-14.56%,3.44,-44.48%,4.98,0.59,-19.28%,-34.60%,4.67M,-79.00%,5.49,0.53,-,-42.89%,2.66,18.07,-80.76%,-,-,-50.05%,-45.41%,-83.87%,1.85,-,7.29,-20.00%,96.77%,9.59%,0.30,-,7.29,45.45%,-515.94%,38.88,9.26%,8.18%,168,0.12,-,-442.02%,1.89,10.50,Yes / Yes,0.11,28.19%,-,1.08,3.13,-,38.39%,-,Nov 06,1.36M,2.91,-13.47%,-11.97%,-57.33%,"

","1,473,703",-6.87%,ZNTL
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,27.39,3.00,14.68%,306.50M,-5.24%,25.15B,15.33,5.35,-1.82%,261.49M,3.95%,941.21M,4.00,1.30,57.72%,3.46%,22.63%,4.63B,5.43,4.32%,-1.32%,2.81,40.71%,28.31,2.90,-1.51%,9.41%,9.04M,14.98%,25.16,3.26,6.85%,11.70%,55.06,92.80,14.10%,-,14.58,-,10.80%,-11.58%,-0.03,-,4.50,95.81%,74.54%,49.02%,2.68,-,4.50,296.12%,17.93%,48.65,3.25%,3.17%,7420,0.01,2.87%,20.34%,2.46,91.16,Yes / Yes,0.00,44.84%,0.00%,0.87,84.60,1.23%,5.67%,3.59%,Nov 25 AMC,3.22M,82.05,-2.48%,3.89%,22.77%,"

","2,787,863",-3.01%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.22%,108.94M,-3.72%,2.85B,-,-1.78,-22.43%,108.70M,3.89%,-270.85M,-,-0.70,42.17%,4.75%,23.99%,355.75M,8.01,21.50%,-6.73%,5.18,45.28%,6.78,3.86,34.63%,-26.70%,5.17M,-12.80%,6.57,3.98,-,-34.98%,13.48,36.60,-4.32%,-,-,-16.93%,-40.20%,-28.55%,0.99,-,2.87,2095.12%,63.17%,93.99%,1.39,-,3.01,10.91%,-95.07%,42.60,4.07%,4.31%,2175,0.19,35.01%,-76.13%,1.36,50.19,Yes / Yes,0.01,40.53%,-,0.60,26.97,0.02%,94.89%,47.72%,Nov 12 BMO,997.82K,26.15,-5.04%,-7.33%,24.88%,"

","596,640",-3.04%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.26,8.87%,128.32M,-1.67%,452.97M,35.58,0.10,0.00%,116.94M,-9.02%,-41.45M,-,-0.01,17.12%,0.01%,16.50%,1.23B,0.37,-95.77%,-0.26%,0.20,-9.49%,2.72,1.30,158.61%,-3.21%,0.01M,-77.23%,2.29,1.54,-,-7.35%,2.62,21.91,-78.36%,-,-,-,-9.02%,-83.89%,0.38,-,1.62,26.18%,17.54%,34.73%,0.24,-,1.81,72.88%,-3.55%,46.70,6.07%,6.99%,3476,0.23,1.40%,-3.38%,1.00,4.32,No / Yes,0.05,59.85%,-,0.15,3.48,-,50.00%,1.80%,Nov 22 BMO,71.98K,3.53,-0.87%,-4.27%,-49.88%,"

","11,067",1.44%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,241.10,0.03,28.90%,75.06M,-10.02%,727.88M,-,-0.18,-0.60%,69.47M,-17.41%,3.57M,-,-0.11,53.63%,4.81%,-23.75%,498.90M,1.46,-129.44%,1.70%,7.44,-13.67%,0.14,53.55,-35.01%,0.55%,3.34M,-46.40%,5.09,1.46,-,430.38%,7.21,15.35,-46.40%,-,10.85,-,0.63%,-51.47%,1.16,-,7.35,17.01%,89.13%,3.33%,0.42,-,7.35,-94.10%,5.24%,29.73,5.47%,4.69%,1000,40.75,-30.73%,0.72%,2.62,10.40,Yes / Yes,40.47,-111.35%,0.00%,1.27,7.97,4.27%,70.54%,-24.77%,Nov 06 AMC,449.25K,7.45,-11.96%,-18.68%,-22.67%,"

","568,917",-6.52%,ZIP
