Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5242.96B,5182.45B,192.88B,302.97B,9.48,4.12,0.69 (0.32%),0.28 (0.13%),"Sep 10, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",27.50,14.01,0.22,17.31,22.94,52.76,41.28,25.75,17.11,3.85,4.59,0.17,0.16,Yes / Yes,7.91,15.52,2.47,94.43%,67.38%,63.38%,204.08% 95.27%,100.05% 66.90%,124.42%,83.38%,128.21%,105.85%,Aug 26 AMC,6.22% 4.28%,3.80%,-0.31%,72.02%,0.40%,83.68%,117.21%,72.42%,74.67%,65.21%,63.66%,-0.23%,4.38%,11.09%,"

",24.15B,23.18B,1.23%,2.02,285.96M,236.54 -8.03%,164.07 32.60%,3.68%,2.78%,7.66,52.34,2.22,1.38,141.76M,"195,116,417",1.32%,11.54%,3.04%,22.78%,16.65%,20.75%,364.50%,861.08%,13928.70%,1.21,334.67,227.98,217.55,-4.57%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4665.76B,4687.70B,128.93B,466.82B,7.36,4.28,1.08 (0.34%),1.06 (0.33%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",36.65,33.57,2.69,9.99,43.44,74.77,34.14,27.91,10.04,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.52,1.98,18.42%,7.81%,12.49%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.24%,68.91%,0.16%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,3.18%,2.47%,13.13%,"

",14.61B,14.58B,0.80%,2.10,116.33M,344.57 -7.22%,225.95 41.49%,1.82%,2.06%,7.15,57.36,1.08,0.70,55.32M,"38,649,398",3.35%,-4.12%,2.45%,21.02%,17.60%,37.47%,77.42%,115.14%,1095.81%,2.11,333.10,314.58,319.70,1.63%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4218.29B,4111.19B,244.12B,446.31B,50.90,19.71,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",17.23,22.72,1.26,9.45,6.74,17.40,79.18,23.18,9.21,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.09,3.02,90.26%,-26.63%,18.08%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.00%,-0.01%,28.69%,2.19%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-1.45%,-1.47%,2.81%,"

",5.53B,5.14B,0.83%,1.96,42.89M,404.47 -15.23%,206.96 65.67%,1.82%,2.34%,8.14,47.96,1.21,0.82,21.85M,"17,841,906",0.33%,2.76%,-8.91%,10.10%,9.27%,61.45%,160.17%,137.20%,791.13%,1.27,426.34,337.71,342.88,1.53%,GOOG
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4218.29B,4111.19B,244.12B,446.31B,50.90,19.92,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.41,22.95,1.26,9.45,6.81,17.40,79.18,23.18,9.21,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.10,3.02,90.28%,-26.59%,18.16%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.20%,-0.01%,39.84%,2.22%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-1.05%,-0.91%,3.59%,"

",5.87B,5.85B,1.24%,2.29,72.71M,408.61 -15.18%,206.20 68.09%,1.90%,2.44%,8.48,49.26,1.22,0.80,31.75M,"25,347,206",0.51%,3.88%,-8.87%,11.17%,10.73%,63.76%,164.55%,140.68%,773.88%,1.27,426.68,340.65,346.59,1.74%,GOOGL
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3813.24B,3865.21B,133.75B,331.84B,59.56,10.35,3.90 (0.76%),3.64 (0.71%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",28.62,21.87,1.20,11.49,8.62,49.62,56.93,19.45,11.65,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.48,4.71,14.14%,19.04%,18.29%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.58%,-0.04%,76.67%,0.15%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,4.09%,19.24%,19.10%,"

",7.43B,7.31B,0.94%,1.75,68.54M,553.72 -7.26%,349.20 47.06%,2.29%,2.25%,12.07,73.07,1.11,0.75,39.07M,"29,207,325",6.27%,13.84%,14.06%,30.76%,6.18%,0.76%,58.64%,71.34%,784.94%,1.25,563.92,505.06,513.53,1.68%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2873.80B,2992.52B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",21.43,25.11,1.03,3.70,5.21,23.31,-,17.24,3.86,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.61,1.96,76.34%,-16.06%,24.47%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.03%,-0.15%,69.40%,0.98%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,-0.17%,5.87%,11.63%,"

",10.78B,9.81B,0.97%,1.94,95.30M,287.20 -7.23%,196.00 35.93%,2.06%,2.35%,7.04,55.85,1.44,1.01,49.02M,"49,547,427",3.02%,13.13%,-1.56%,26.87%,15.43%,15.04%,100.11%,59.08%,592.93%,1.21,330.28,256.26,266.43,3.97%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2165.46B,2089.87B,71.86B,142.82B,38.93,21.29,4.14 (0.99%),3.50 (0.84%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",30.13,19.18,0.51,15.16,10.72,19.61,54.27,20.50,14.63,2.25,2.46,0.17,0.14,Yes / Yes,13.86,21.77,4.38,58.63%,30.80%,37.93%,17.37% 25.67%,17.20% 21.86%,57.78%,34.60%,73.31%,32.92%,Jul 16 BMO,10.78% -1.20%,0.08%,-3.91%,15.07%,-1.02%,26.90%,40.06%,31.23%,63.08%,55.84%,50.31%,-0.39%,-1.40%,12.99%,"

",5.19B,5.18B,0.58%,2.25,30.16M,479.00 -12.84%,225.63 85.05%,2.04%,2.38%,12.74,49.59,1.40,0.66,13.39M,"8,896,988",-0.34%,3.52%,-0.22%,11.46%,37.39%,75.23%,344.17%,252.37%,1357.82%,1.31,542.64,427.30,417.52,-2.29%,TSM
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1920.31B,1859.80B,-,-,9.66,7.38,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,14.65,19.16,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.14,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,85.53%,-0.00%,10.36%,-0.01%,-,-,-,-,-,-,5.17%,2.86%,0.21%,"

",7.61B,1.96B,9.39%,1.57,184.39M,225.64 -37.29%,104.83 34.98%,3.36%,6.82%,8.50,54.79,-,0.47,117.17M,"55,111,222",3.31%,26.11%,-,-,-5.67%,-,-,-,-,1.70,226.26,140.87,141.50,0.45%,SPCX
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1754.55B,1799.83B,29.32B,75.47B,18.43,4.13,2.62 (0.71%),2.54 (0.69%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",61.39,18.85,0.33,23.25,20.01,89.39,53.55,42.79,23.85,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.56,3.22,70.02%,68.69%,56.98%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Sep 02 AMC,1.82% 0.26%,1.96%,-1.92%,80.80%,0.31%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,-5.69%,-4.49%,-0.16%,"

",4.76B,4.66B,1.21%,2.16,56.21M,495.00 -25.50%,287.17 28.42%,2.62%,3.29%,13.96,42.74,1.45,0.64,26.08M,"16,596,066",0.09%,-4.91%,-17.45%,15.41%,6.56%,19.48%,328.29%,643.62%,1981.68%,1.30,534.10,371.54,368.79,-0.74%,AVGO
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1472.51B,1493.87B,68.10B,228.25B,102.52,35.71,1.91 (0.33%),2.10 (0.36%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",21.77,17.07,0.93,6.45,5.64,16.19,35.94,13.62,6.54,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.87,6.75,33.67%,7.86%,18.43%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.64%,-0.04%,69.09%,-0.01%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,0.39%,-2.39%,-7.18%,"

",2.21B,2.20B,1.27%,1.51,28.05M,790.80 -26.91%,520.26 11.10%,3.38%,3.20%,20.08,49.56,1.24,0.87,18.52M,"16,042,352",5.11%,7.23%,-8.61%,-10.82%,-12.43%,-23.04%,99.14%,55.12%,362.56%,1.29,745.38,571.10,578.02,1.21%,META
Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,Mega,NASD,"NDX, S&P 500",1377.40B,1350.13B,3.81B,103.62B,21.99,11.15,-,-,-,- -,0.00%,134785,"Jun 29, 2010",324.03,155.64,6.58,13.29,15.86,31.29,239.05,120.02,13.03,1.55,1.94,0.19,0.16,Yes / Yes,1.08,2.24,0.46,1.47%,33.03%,23.67%,-33.28% 38.32%,5.19% 24.63%,-37.64%,11.75%,-5.50%,25.52%,Jul 22 AMC,-38.12% 6.86%,28.57%,-0.01%,44.24%,1.64%,2.75%,4.64%,3.79%,18.85%,4.61%,3.67%,2.93%,-3.25%,-13.01%,"

",3.95B,2.82B,2.45%,1.67,69.20M,498.83 -30.09%,297.38 17.27%,3.24%,3.42%,13.06,50.89,1.84,0.80,41.33M,"32,972,214",-3.89%,12.92%,-19.97%,-13.36%,-22.45%,0.80%,46.03%,46.96%,2277.95%,2.45,374.27,354.81,348.75,-1.71%,TSLA
Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,Mega,NYSE,S&P 500,1105.73B,1151.69B,26.71B,79.67B,35.98,9.51,6.88 (0.59%),6.69 (0.57%),"Aug 14, 2026",15.24% 15.18%,26.14%,50000,"Jul 09, 1970",39.91,25.20,0.83,13.88,32.64,123.54,60.79,27.61,14.46,1.00,1.35,1.62,1.41,Yes / Yes,29.43,46.62,9.85,50.33%,28.09%,30.24%,49.25% 27.59%,31.69% 21.58%,95.08%,49.58%,26.20%,47.67%,Aug 05 BMO,30.92% 10.33%,9.89%,-0.03%,76.25%,-0.00%,21.96%,102.43%,32.68%,83.40%,49.72%,33.53%,-2.32%,-1.03%,10.84%,"

",941.50M,848.28M,0.77%,2.23,6.56M,1292.65 -9.13%,712.05 64.96%,2.63%,3.28%,38.47,45.45,0.50,0.83,2.94M,"2,451,946",-6.44%,1.70%,6.30%,11.66%,9.30%,60.47%,112.05%,352.21%,1401.29%,1.58,1348.74,1176.10,1174.61,-0.13%,LLY
Micron Technology Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1053.57B,1033.89B,50.47B,90.27B,89.22,23.06,0.58 (0.06%),0.53 (0.06%),"Jul 06, 2026",2.27% -,6.06%,53000,"Jun 01, 1984",21.12,6.00,0.03,11.67,10.46,40.45,40.26,15.12,11.45,2.98,3.42,0.06,0.06,Yes / Yes,44.17,155.39,31.14,785.02%,111.80%,173.61%,-0.66% 26.19%,6.71% 11.76%,701.44%,166.98%,1372.09%,345.72%,Jun 24 AMC,20.36% 15.44%,0.36%,-7.67%,80.57%,-1.14%,47.50%,66.64%,47.38%,72.60%,65.75%,55.91%,1.30%,-2.32%,58.54%,"

",1.13B,1.13B,2.67%,0.65,30.02M,1255.00 -25.67%,114.25 716.51%,4.41%,5.67%,60.45,50.68,2.22,0.50,46.04M,"22,890,088",-3.51%,6.65%,-3.93%,126.22%,226.85%,664.64%,1328.36%,1160.62%,5550.27%,1.25,1575.35,935.39,932.86,-0.27%,MU
JPMorgan Chase & Co,Financial,Banks - Diversified,USA,Mega,NYSE,"DJIA, S&P 500",950.62B,-,63.63B,297.51B,133.01,-,6.39 (1.79%),6.00 (1.68%),"Jul 06, 2026",13.19% 10.01%,28.97%,318512,"Mar 05, 1969",15.32,14.23,1.32,3.20,2.69,-,6.18,-,-,-,1.15,3.41,1.33,Yes / Yes,23.34,25.12,5.84,24.01%,1.20%,10.76%,18.32% 17.66%,21.00% 17.27%,19.76%,8.20%,47.08%,18.21%,Jul 14 BMO,37.84% 13.06%,0.47%,-1.79%,76.76%,-0.85%,1.35%,17.71%,7.41%,-,28.36%,21.39%,-0.14%,3.00%,12.76%,"

",2.66B,2.65B,0.96%,2.95,25.29M,366.50 -2.42%,279.10 28.13%,1.32%,1.49%,5.81,55.22,0.97,0.46,8.56M,"3,916,500",1.72%,1.93%,19.48%,19.09%,10.99%,18.78%,142.36%,119.33%,440.05%,2.03,376.35,354.22,357.62,0.96%,JPM
SK Hynix Inc ADR,Technology,Semiconductors,South Korea,Mega,NASD,-,1173.76B,1130.81B,109.59B,129.01B,23.82,7.79,0.44 (0.27%),-,-,- -,-,34549,"Jul 10, 2026",10.46,4.84,0.04,9.10,6.76,20.67,18.77,11.58,8.77,2.29,2.59,0.08,0.06,Yes / Yes,15.40,33.24,6.14,518.43%,34.24%,109.13%,159.13% 49.26%,25.56% 20.38%,421.22%,134.05%,1180.72%,232.92%,Jul 29 BMO,89.46% -1.71%,-,-,0.00%,-30.23%,68.32%,93.70%,61.27%,75.63%,67.76%,84.95%,3.96%,3.52%,3.52%,"

",7.11B,-,-,0.73,27.23M,194.80 -17.33%,124.80 29.04%,3.37%,5.33%,11.09,51.16,-,0.31,37.20M,"11,711,980",-1.45%,8.08%,-,-,-5.27%,-,-,-,-,1.18,253.00,161.61,161.04,-0.35%,SKHY
