Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,46.56,0.77,16.05%,172.26M,-0.50%,6.14B,27.31,1.32,-14.88%,143.50M,11.99%,135.60M,3.04,0.32,84.05%,6.47%,18.61%,1.54B,3.99,24.61%,-1.29%,6.42,11.65%,9.32,3.86,8.89%,4.67%,9.29M,34.09%,0.95,37.77,15.32%,8.04%,25.09,36.86,22.24%,0.26 (0.73%),21.80,18.47%,6.37%,-2.47%,1.16,0.32 (0.89%),1.75,0.20%,40.45%,43.28%,0.80,"Aug 20, 2024",2.83,183.51%,15.70%,62.31,2.04%,2.00%,2400,0.34,0.50%,8.80%,2.25,36.71,Yes / Yes,0.33,34.01%,45.61%,0.66,36.30,0.70%,5.16%,2.18%,Jul 30 AMC,1.45M,35.95,2.16%,9.65%,14.21%,"

","958,646",-0.96%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.33,7.86%,151.47M,5.92%,1.36B,15.43,0.58,-8.69%,139.57M,4.56%,-47.27M,-,0.11,75.85%,4.15%,-0.56%,445.68M,3.04,70.30%,5.22%,4.67,1.70%,1.27,7.06,3.20%,-6.17%,5.80M,12.16%,3.59,2.49,15.00%,-31.02%,7.05,10.85,-4.79%,-,-,9.40%,-7.99%,-17.51%,1.72,-,2.71,12.97%,68.16%,26.95%,0.26,-,2.71,60.38%,-6.31%,59.82,2.97%,2.74%,1618,2.12,7.33%,-10.61%,2.00,11.83,Yes / Yes,2.08,70.33%,-,0.75,8.80,2.46%,98.33%,6.80%,Aug 21 AMC,1.24M,8.95,3.26%,3.40%,-1.20%,"

","932,118",1.70%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,37.26,5.11,0.09%,458.37M,-0.37%,86.21B,29.47,6.46,-0.23%,452.65M,0.15%,2.34B,3.85,1.46,95.73%,1.13%,6.28%,8.91B,9.67,9.51%,-0.06%,2.75,16.93%,10.94,17.39,10.82%,16.79%,5.10M,8.34%,3.47,54.77,9.68%,48.88%,144.80,201.92,-3.59%,1.70 (0.89%),40.99,11.57%,20.02%,-5.76%,0.89,1.67 (0.88%),2.09,8.05%,68.32%,31.41%,3.39,"Jul 18, 2024",3.45,7.38%,36.05%,49.95,1.52%,1.80%,14100,1.36,8.43%,26.29%,1.53,223.17,Yes / Yes,1.36,-5.60%,30.71%,0.62,190.17,2.10%,5.04%,8.30%,Aug 06 BMO,1.86M,190.28,-1.16%,1.29%,5.68%,"

","1,153,590",0.06%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,18.15,1.42,0.86%,606.77M,-2.98%,15.36B,12.58,2.04,0.00%,592.88M,17.04%,1.19B,1.40,0.40,34.60%,2.94%,25.38%,5.61B,2.74,14.76%,-6.10%,6.15,27.37%,10.31,2.49,18.82%,9.95%,17.42M,4.30%,4.71,5.46,13.00%,14.81%,15.90,27.50,20.72%,0.69 (2.70%),-,13.37%,12.68%,-6.58%,-0.10,0.97 (3.78%),1.22,15.78%,31.13%,61.62%,0.94,"Sep 10, 2024",1.26,-0.18%,24.65%,62.69,3.25%,2.75%,23554,0.30,3.60%,21.14%,1.31,29.82,Yes / Yes,0.12,-3.11%,40.76%,0.65,25.55,0.90%,2.93%,6.28%,Aug 21 BMO,2.83M,25.69,6.42%,16.96%,23.44%,"

","1,837,951",0.55%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.39,38.31%,152.49M,15.25%,29.81B,55.98,3.49,-0.14%,94.08M,20.90%,-57.71M,-,0.63,47.05%,5.16%,-3.17%,2.17B,13.75,-10.59%,-1.13%,2.64,5.80%,8.36,23.40,22.45%,-1.39%,4.85M,13.74%,15.80,12.37,18.50%,-5.77%,152.60,259.61,-11.76%,-,50.96,-10.72%,-4.38%,-24.69%,0.82,-,1.04,48.57%,77.87%,28.11%,6.05,-,1.04,72.20%,-5.71%,69.46,3.82%,2.85%,7348,0.97,34.07%,-2.66%,1.75,213.24,Yes / Yes,0.04,53.13%,-,1.83,185.97,4.48%,24.95%,30.30%,Sep 03 AMC,1.84M,195.50,12.65%,10.25%,0.63%,"

","3,369,708",5.12%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.75,13.67%,70.77M,-8.13%,209.06M,-,-3.57,-0.15%,61.39M,-9.54%,-194.65M,-,-0.91,100.02%,14.07%,-25.94%,40.56M,5.15,32.96%,-14.00%,4.89,-78.08%,5.38,0.55,-19.17%,-34.97%,8.64M,-84.80%,6.00,0.49,-,-42.98%,2.83,21.34,-80.59%,-,-,-50.05%,-45.92%,-86.22%,1.71,-,6.59,-20.00%,96.71%,3.89%,0.29,-,6.59,42.78%,-543.77%,35.99,6.40%,8.96%,168,0.12,-,-479.92%,2.11,11.00,Yes / Yes,0.11,32.87%,-,0.48,3.01,-,-47.48%,-,Aug 09 BMO,1.77M,2.94,-18.68%,-13.02%,-68.42%,"

","846,426",-2.33%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,25.38,2.79,15.03%,307.79M,5.42%,21.81B,13.38,5.30,-0.65%,261.54M,5.27%,875.37M,4.23,1.31,59.40%,3.02%,23.05%,4.59B,4.75,2.35%,0.21%,2.45,13.32%,27.68,2.56,-0.68%,9.01%,7.91M,5.31%,24.46,2.90,6.00%,11.27%,55.06,74.77,-1.47%,-,12.67,-,10.22%,-5.24%,-0.05,-,4.45,95.81%,74.59%,28.68%,1.52,-,4.45,508.08%,17.80%,63.37,2.49%,2.00%,7420,0.01,2.76%,19.08%,2.54,75.39,Yes / Yes,0.00,17.25%,0.00%,1.54,69.97,1.20%,14.44%,2.09%,Aug 21 AMC,3.23M,70.85,3.61%,8.71%,10.89%,"

","4,964,442",1.26%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.07,0.59%,99.12M,2.88%,2.51B,-,-1.80,-11.45%,98.53M,17.43%,-298.33M,-,-0.76,42.60%,4.93%,40.41%,322.71M,7.78,13.61%,10.57%,7.41,68.75%,7.18,3.53,39.88%,-28.50%,4.86M,5.59%,7.37,3.44,-,-36.46%,13.48,31.22,-7.32%,-,-,-16.93%,-42.02%,-18.87%,1.07,-,3.29,2095.12%,62.95%,87.91%,1.32,-,3.46,24.90%,-109.67%,63.36,5.97%,5.10%,2175,0.12,28.16%,-92.44%,1.13,47.54,Yes / Yes,0.01,34.35%,-,0.66,24.64,7.45%,-15.75%,45.95%,Aug 06 AMC,655.91K,25.33,9.72%,25.20%,29.53%,"

","435,627",2.80%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.36,8.84%,127.44M,-1.89%,465.52M,18.46,0.20,0.00%,116.59M,22.56%,-57.85M,-,-0.00,17.19%,0.02%,-4.46%,1.22B,0.38,27.56%,91.15%,0.26,-77.18%,2.73,1.34,405.88%,-4.29%,0.02M,-,2.20,1.66,-,-9.63%,2.62,21.91,-77.68%,-,-,-,-12.58%,-83.39%,-,-,1.61,26.18%,17.21%,38.93%,0.30,-,1.80,69.95%,-3.73%,59.57,9.29%,8.49%,3476,0.26,-1.34%,-4.74%,1.00,4.55,No / Yes,0.04,88.56%,-,0.69,3.62,-2.36%,-133.33%,5.18%,Aug 22 BMO,78.16K,3.64,10.98%,15.33%,-64.98%,"

","53,979",0.55%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,33.04,0.29,36.09%,76.17M,-0.11%,941.74M,-,-0.19,-0.48%,63.49M,6.16%,30.22M,-,-0.10,52.61%,6.19%,9.34%,537.45M,1.75,-146.24%,2.75%,7.58,-16.40%,0.25,38.48,11.02%,4.65%,3.93M,-21.98%,5.27,1.80,-,855.40%,7.21,15.35,-31.80%,-,10.84,-,5.26%,-38.24%,1.20,-,7.44,17.01%,89.51%,31.48%,0.38,-,7.44,-44.78%,11.55%,51.55,3.15%,4.22%,1000,22.71,-32.11%,5.62%,2.62,9.10,Yes / Yes,22.52,-50.07%,0.00%,0.68,9.51,5.30%,190.25%,-27.44%,Aug 07 AMC,518.50K,9.48,-1.10%,4.22%,-12.26%,"

","353,695",-0.32%,ZIP
