Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,35.20,0.98,11.47%,168.52M,2.08%,5.79B,23.42,1.47,-58.53%,148.95M,3.83%,169.50M,4.52,0.36,90.62%,4.27%,-12.39%,1.58B,3.66,4.79%,-1.98%,5.42,-4.52%,9.19,3.75,9.60%,6.29%,6.36M,7.69%,0.86,40.03,7.78%,10.49%,27.74,41.15,-7.69%,0.37 (1.07%),22.27,-7.41%,8.11%,-16.33%,1.04,0.34 (0.99%),1.72,0.51%,41.66%,24.12%,1.14,"Feb 20, 2025",2.87,38.39%,16.67%,63.52,2.02%,4.30%,2500,0.36,3.22%,10.72%,2.25,36.14,Yes / Yes,0.35,29.71%,35.98%,0.69,33.96,1.36%,6.90%,4.01%,Apr 22 AMC,1.17M,34.43,10.50%,4.65%,-1.93%,"

","810,635",1.38%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,28.48,5.47,0.10%,448.47M,2.20%,69.43B,22.98,6.77,-1.27%,445.61M,-3.87%,2.49B,3.48,1.41,95.76%,1.74%,-9.88%,9.26B,7.50,2.89%,-0.39%,2.49,-14.83%,10.64,14.63,11.21%,17.43%,7.74M,-2.54%,4.45,34.94,8.19%,50.91%,139.70,200.33,-4.47%,1.96 (1.26%),30.21,11.91%,24.46%,-22.30%,0.94,1.86 (1.20%),1.08,8.22%,69.10%,11.42%,4.67,"Apr 21, 2025",1.75,7.70%,36.65%,51.65,2.40%,3.71%,13800,1.42,8.33%,26.86%,1.48,202.50,Yes / Yes,1.13,12.87%,32.86%,0.62,156.40,0.86%,2.77%,4.70%,May 06 BMO,3.12M,155.65,2.91%,-2.27%,-10.57%,"

","1,930,309",-0.48%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.49,1.48,0.86%,598.37M,-2.84%,10.83B,9.57,1.93,0.00%,581.59M,-6.91%,1.22B,0.90,0.42,25.68%,2.53%,-3.25%,6.15B,1.76,15.56%,-5.09%,5.42,-24.65%,14.21,1.30,13.44%,9.75%,14.74M,-13.50%,5.22,3.54,13.87%,14.46%,16.34,27.50,-5.58%,0.73 (3.95%),-,8.45%,14.32%,-32.87%,-0.13,0.70 (3.79%),1.04,14.25%,30.97%,12.97%,0.63,"Apr 10, 2025",1.07,-0.32%,24.90%,43.52,2.10%,3.80%,24471,0.28,12.67%,19.90%,1.31,26.07,Yes / Yes,0.01,13.66%,45.76%,0.40,18.50,10.92%,-11.92%,21.51%,Apr 17 BMO,2.72M,18.46,-0.37%,-5.12%,-10.12%,"

","1,088,055",-0.22%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.10,37.92%,154.72M,8.05%,35.13B,63.82,3.56,-0.41%,96.06M,12.93%,-15.53M,-,0.75,50.09%,7.47%,11.95%,2.42B,14.51,-3.64%,3.48%,3.16,21.42%,10.39,21.86,15.74%,-0.35%,7.18M,26.82%,18.62,12.20,10.38%,-1.21%,153.45,226.60,25.86%,-,50.57,-10.72%,-0.94%,0.20%,1.14,-,1.15,48.57%,77.68%,47.97%,8.87,-,1.15,89.39%,-4.09%,65.80,2.84%,5.10%,7348,0.77,27.77%,-0.64%,1.66,238.65,Yes / Yes,0.03,73.68%,-,1.39,226.17,2.13%,13.49%,23.41%,Mar 05 AMC,2.27M,227.06,12.38%,12.77%,17.99%,"

","3,161,139",0.39%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,24.12,3.20,14.59%,263.11M,2.33%,23.58B,14.01,5.51,-2.54%,260.71M,4.36%,1.01B,19.94,1.31,62.10%,2.59%,-11.50%,4.67B,5.05,-2.63%,6.42%,2.66,4.60%,29.22,2.64,2.22%,9.66%,6.77M,22.00%,25.57,3.02,1.21%,11.92%,55.06,92.80,-5.34%,-,13.04,106.45%,11.26%,-16.76%,0.79,-,4.46,78.74%,75.94%,40.30%,2.33,-,4.46,55.96%,19.00%,60.11,1.90%,3.67%,7412,0.01,3.05%,21.65%,2.33,88.46,Yes / Yes,0.00,21.68%,0.00%,0.77,77.54,0.47%,8.10%,3.29%,Feb 24 AMC,2.54M,77.25,6.50%,3.74%,4.14%,"

","1,959,519",-0.37%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.60,0.94%,109.84M,-7.84%,3.42B,123.26,0.25,-15.88%,108.80M,-16.47%,-257.10M,-,-0.48,54.00%,7.14%,11.89%,398.99M,8.58,43.20%,7.75%,6.24,-4.27%,7.80,3.99,117.11%,-23.14%,7.77M,93.24%,8.01,3.89,-,-31.41%,15.73,39.77,18.94%,-,-,-3.18%,-30.08%,-21.67%,1.04,-,3.38,118.89%,62.94%,98.03%,2.10,-,3.51,24.92%,-70.71%,47.35,3.76%,6.76%,1869,0.18,49.59%,-64.44%,1.29,53.69,Yes / Yes,0.02,18.42%,-,0.38,31.69,-0.24%,-22.87%,65.68%,May 08 BMO,1.24M,31.15,1.52%,-7.16%,16.55%,"

","474,034",-1.70%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-3.61,-,253.10M,5.25%,5.43B,16.62,1.29,-,-,-10.55%,-891.82M,-,1.08,4.20%,-,-18.85%,10.55B,0.51,65.56%,70.99%,1.83,-26.27%,-6.35,-,199.77%,-21.49%,1.34M,-,4.85,4.42,-,-,13.00,33.32,-24.45%,-,-,-,-,-35.65%,-,-,0.48,146.49%,16.40%,64.92%,1.41,-,0.62,25.35%,-9.12%,47.09,4.40%,6.99%,17439,-,45.22%,-8.46%,1.00,38.32,Yes / Yes,-,67.77%,-,0.43,21.50,-0.44%,-71.34%,40.01%,May 15 BMO,732.15K,21.44,4.09%,-12.03%,-6.44%,"

","317,965",-0.28%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,8.84,5.13,1.60%,147.57M,0.22%,6.69B,8.17,5.55,-2.04%,145.20M,-8.35%,758.00M,1.37,1.30,78.60%,2.94%,-22.20%,4.98B,1.34,5.07%,2.92%,2.21,-13.64%,42.43,1.07,6.73%,0.91%,4.27M,9.75%,-,-,6.45%,13.10%,39.32,63.22,-16.41%,1.74 (3.83%),6.89,3.54%,10.40%,-28.27%,0.86,1.68 (3.70%),-,10.13%,-,15.34%,2.14,"Feb 13, 2025",0.13,29.25%,21.03%,48.60,2.62%,5.84%,9406,0.70,4.84%,15.21%,2.78,53.06,Yes / Yes,0.15,18.08%,33.52%,1.01,44.97,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.93M,45.35,3.51%,-5.24%,-11.90%,"

","1,944,419",0.85%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.84,17.83,1.07%,120.42M,6.60%,1.81B,-,-1.65,0.00%,119.17M,-2.78%,2.15B,-,1.70,52.55%,18.21%,-16.87%,8.43B,0.21,-92.87%,13.65%,3.35,-31.29%,33.52,0.45,-229.73%,21.76%,21.70M,19.55%,17.56,0.86,-,66.17%,11.03,29.00,-30.00%,0.69 (4.61%),0.59,-,24.69%,-48.17%,1.74,7.14 (47.50%),1.17,42.24%,32.89%,36.20%,0.98,"Mar 24, 2025",1.25,179.57%,29.52%,51.74,5.04%,7.61%,6700,1.49,63.25%,25.48%,4.00,14.97,Yes / Yes,1.15,477.65%,22.25%,0.58,15.35,6.89%,33.49%,79.84%,Mar 12 BMO,6.47M,15.03,9.93%,-9.65%,-20.98%,"

","3,778,374",-2.08%,ZIM
ZoomInfo Technologies Inc,Technology,Software - Application,USA,NASD,-,102.98,0.08,12.49%,342.03M,-1.15%,2.92B,8.76,0.99,-0.10%,296.14M,-12.30%,29.10M,32.90,0.22,87.18%,6.45%,-17.57%,1.21B,2.41,-0.45%,5.68%,2.80,-19.65%,4.95,1.74,3.12%,0.44%,19.09M,-47.47%,0.41,20.88,3.13%,1.53%,7.01,16.98,-17.89%,-,9.66,-,0.95%,-49.18%,1.02,-,0.69,35.41%,82.59%,23.11%,0.50,-,0.69,-68.59%,10.89%,46.92,3.26%,7.46%,3508,0.82,-2.03%,2.40%,2.96,10.60,Yes / Yes,0.81,398.60%,0.00%,0.49,8.56,3.84%,14.79%,-2.31%,May 12 AMC,6.82M,8.63,5.33%,-11.47%,-15.66%,"

","3,373,110",0.82%,ZI
