Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,38.64,0.98,11.57%,168.52M,0.61%,6.36B,25.71,1.47,-57.94%,148.79M,2.86%,6.77B,4.97,0.36,92.68%,3.24%,25.26%,169.50M,4.02,4.79%,1.73%,5.85,4.10%,1.58B,4.11,9.60%,6.29%,4.82M,1.31%,9.19,43.94,7.78%,10.49%,41.15 -8.17%,32.09%,0.86,24.45,32.18% -7.41%,8.11%,27.74 36.23%,30.99%,0.37 (0.97%),19.26,19.81% -5.41%,41.66%,1.78%,1.82%,156.08%,0.35 (0.93%),4.28,38.39%,16.67%,0.71,214.55%,"May 20, 2025",1.72,3.22%,10.72%,61.60,2.25,3.23% 0.62%,2.87,29.71%,3.24%,1.04,37.71,35.98%,0.36,4.01%,4.20%,0.58,38.17,2500,0.35,Apr 22 AMC,4.29%,823.78K,37.79,"Mar 29, 2012",Yes / Yes,6.90% 1.36%,"

","480,909",-1.00%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,27.83,5.57,0.10%,446.04M,-2.65%,68.99B,22.62,6.85,-0.65%,444.76M,-7.27%,74.02B,3.33,1.62,95.96%,2.06%,0.92%,2.52B,7.43,5.34%,0.74%,3.08,-5.22%,9.29B,14.85,9.87%,17.70%,9.15M,-4.89%,10.44,40.09,8.36%,51.85%,200.33 -22.65%,-11.07%,3.87,30.25,8.55% 11.91%,25.04%,139.70 10.92%,-13.19%,1.99 (1.29%),18.85,5.98% 8.14%,69.48%,2.26%,2.11%,11.80%,1.86 (1.20%),7.97,7.23%,37.01%,3.66,220.76%,"Jul 18, 2025",1.04,6.32%,27.12%,39.26,1.45,18.93% 21.14%,1.74,7.88%,-2.42%,0.89,199.93,32.86%,1.45,1.37%,-3.84%,0.76,158.80,13800,1.16,Aug 05 BMO,-7.99%,2.98M,154.96,"Feb 01, 2013",Yes / Yes,5.00% 1.37%,"

","2,267,434",-2.42%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.90,1.57,0.86%,593.65M,3.55%,11.10B,10.54,1.77,0.00%,588.53M,6.07%,10.36B,1.23,0.40,22.10%,2.20%,4.76%,1.30B,1.77,6.06%,-8.01%,5.24,-2.10%,6.26B,1.74,11.97%,10.29%,12.92M,-4.40%,10.73,3.49,9.65%,15.68%,27.50 -32.04%,-8.20%,5.35,-,18.24% 8.45%,15.06%,16.34 14.38%,-28.28%,0.67 (3.61%),5.36,9.28% 13.97%,29.66%,2.07%,1.59%,-46.93%,0.70 (3.75%),1.65,10.00%,24.06%,0.48,-,"Apr 10, 2025",1.02,13.41%,20.76%,59.34,1.41,- -,1.05,38.73%,5.03%,-0.18,22.66,45.76%,0.27,8.02%,4.39%,0.78,19.33,24471,0.01,May 20 AMC,-6.15%,2.46M,18.69,"Oct 27, 2016",Yes / Yes,-15.96% -9.78%,"

","1,930,177",-3.31%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.84%,155.70M,-7.95%,45.11B,79.29,3.65,-0.85%,96.78M,-2.76%,43.33B,-,0.80,54.95%,7.45%,43.35%,-38.78M,17.71,0.04%,10.30%,2.82,57.55%,2.55B,24.99,14.50%,-0.81%,7.21M,60.60%,11.59,15.01,11.75%,-2.68%,318.46 -9.02%,46.81%,19.30,65.28,41.55% -10.72%,-2.11%,153.45 88.82%,76.94%,-,-,47.68% 48.24%,77.33%,3.53%,2.77%,152.43%,-,17.02,49.20%,-4.59%,9.06,-,-,1.18,25.46%,-1.52%,42.88,1.67,- -,1.18,-121.43%,-5.93%,1.07,317.24,-,0.68,22.57%,4.06%,0.89,296.18,7348,0.02,May 29 AMC,33.84%,2.56M,289.74,"Mar 16, 2018",Yes / Yes,11.64% 1.74%,"

","2,272,490",-2.17%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,22.04,3.33,14.19%,261.11M,-6.59%,22.21B,12.93,5.68,-1.61%,259.58M,-7.57%,14.46B,8.48,1.38,62.38%,2.88%,2.19%,1.05B,4.73,1.22%,0.14%,3.08,-8.76%,4.70B,2.50,1.24%,9.87%,7.49M,-10.06%,29.34,2.84,2.60%,12.19%,92.80 -20.91%,29.04%,25.82,13.04,-10.66% 106.45%,11.73%,55.06 33.31%,-37.30%,-,13.71,4.40% 49.60%,75.85%,2.47%,1.96%,-71.88%,-,3.08,24.11%,18.13%,1.64,-,-,4.48,2.98%,22.31%,30.09,2.34,- -,4.48,18.68%,-4.87%,0.68,90.58,0.00%,0.01,2.93%,-7.38%,1.67,75.05,7412,0.00,May 21 AMC,-6.11%,2.43M,73.40,"Apr 18, 2019",Yes / Yes,9.22% 0.72%,"

","4,070,709",-2.20%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,110.59M,-10.08%,3.62B,53.45,0.61,-24.47%,109.14M,-18.17%,2.95B,-,-0.41,50.55%,3.71%,20.95%,-252.07M,8.65,48.95%,2.73%,4.04,26.81%,418.33M,4.38,146.13%,-23.32%,4.05M,24.97%,7.48,4.22,-,-32.05%,44.34 -26.18%,96.93%,7.75,-,30.00% -3.18%,-30.63%,16.01 104.43%,-12.11%,-,-,40.35% 98.38%,63.45%,3.08%,3.40%,-60.23%,-,7.06,28.63%,-64.09%,1.66,-,-,3.09,43.72%,-60.26%,40.73,1.38,- -,3.26,18.43%,-10.30%,1.03,53.07,-,0.24,22.19%,-3.38%,1.01,34.08,1869,0.02,Aug 07 BMO,7.78%,1.00M,32.73,"Sep 20, 2017",Yes / Yes,92.78% -5.41%,"

","1,015,490",-3.96%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,5.82%,6.95B,13.94,1.97,-,-,4.69%,10.48B,-,-0.86,3.80%,-,35.52%,-710.26M,0.60,35.41%,-2.23%,1.42,-3.98%,11.52B,-,180.11%,-11.48%,0.97M,-3.21%,-12.89,5.09,-,-,33.32 -17.55%,53.55%,5.39,-,5.46% -,-,13.00 111.31%,-,-,-,118.43% 118.66%,17.93%,2.07%,2.00%,-,-,0.91,37.41%,-7.36%,0.66,-,-,0.45,43.08%,-6.16%,63.74,1.00,- -,0.59,66.34%,4.99%,0.02,35.46,-,-,47.60%,3.94%,0.37,27.14,17439,-,May 15 BMO,8.23%,681.82K,27.47,"May 10, 2024",Yes / Yes,-136.23% 19.27%,"

","255,367",1.22%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.95,5.13,1.68%,147.57M,1.26%,8.29B,10.11,5.56,-1.33%,145.09M,12.85%,-,1.92,1.31,78.43%,3.96%,22.90%,756.00M,1.66,5.55%,-1.88%,4.00,1.44%,4.98B,1.32,6.42%,0.91%,5.75M,3.59%,42.43,-,5.69%,13.06%,63.22 -11.10%,27.99%,-,8.49,-9.99% 3.54%,10.04%,39.32 42.93%,11.49%,1.74 (3.09%),-,19.10% 8.98%,-,1.83%,2.23%,70.82%,1.70 (3.02%),-,28.90%,21.03%,1.20,78.44%,"May 15, 2025",-,4.84%,15.17%,77.33,2.88,4.85% 5.34%,0.15,18.40%,8.54%,0.91,55.58,33.52%,0.74,-0.83%,13.97%,0.91,56.30,9406,0.19,Jul 21 AMC,8.40%,1.44M,56.20,"Mar 17, 1980",Yes / Yes,-4.71% -0.18%,"

","1,306,048",-0.18%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.82,19.53,1.18%,120.46M,1.14%,1.92B,-,-1.78,0.00%,119.04M,-6.40%,5.49B,-,1.22,48.47%,20.82%,18.51%,2.35B,0.22,-81.42%,-8.45%,3.92,-25.89%,8.87B,0.49,-153.87%,23.04%,24.78M,-25.76%,32.86,0.83,-,72.40%,29.00 -45.04%,-14.58%,19.19,0.54,-23.79% -,27.51%,11.03 44.45%,-60.59%,1.30 (8.18%),1.38,-7.73% 20.63%,34.71%,3.92%,4.36%,-,7.62 (47.77%),0.62,192.29%,31.33%,0.75,-,"Jun 02, 2025",1.10,65.83%,26.52%,46.01,4.00,16.67% -,1.18,226.86%,-2.73%,1.68,15.44,22.25%,1.49,28.46%,-4.00%,0.67,16.04,6700,1.16,May 19 BMO,-14.72%,6.33M,15.94,"Jan 28, 2021",Yes / Yes,30.79% 9.06%,"

","4,254,703",-0.62%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,27.04,0.33,78.19%,252.58M,-3.06%,3.62B,17.92,0.49,0.00%,55.08M,1.95%,4.45B,1.40,-,11.92%,8.59%,25.99%,83.40M,1.72,17.36%,-5.34%,3.67,11.99%,2.11B,2.36,20.49%,2.78%,4.73M,7.38%,3.76,11.92,19.26%,8.89%,11.52 -23.00%,-18.77%,0.74,18.65,- -,4.94%,6.05 46.61%,-20.94%,0.15 (1.67%),10.07,11.29% -,55.89%,2.55%,3.48%,-,0.14 (1.60%),2.11,-37.52%,9.45%,0.29,-,"Jul 07, 2025",0.80,2.26%,3.96%,52.63,2.43,15.87% -,1.41,-54950.00%,0.07%,0.73,8.87,42.68%,1.13,-,3.08%,0.67,9.12,7395,0.78,Mar 27 BMO,7.94%,1.29M,8.87,"Dec 20, 2021",Yes / Yes,-2.99% -4.68%,"

","861,902",-2.74%,ZGN
