Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5317.71B,5249.95B,159.61B,253.49B,8.07,3.33,0.65 (0.29%),0.28 (0.13%),"Jun 04, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",33.65,17.21,0.36,20.98,27.23,66.00,44.66,31.72,20.71,2.85,3.44,0.07,0.06,Yes / Yes,6.53,12.77,2.08,88.81%,41.79%,47.62%,204.08% 95.27%,100.05% 66.90%,109.57%,70.68%,213.42%,85.23%,Aug 26 AMC,6.52% 3.43%,3.80%,-0.30%,70.83%,0.00%,82.97%,114.29%,77.17%,74.15%,64.02%,62.97%,3.60%,6.19%,12.63%,"

",24.22B,23.28B,1.26%,2.02,292.67M,236.54 -7.10%,164.07 33.93%,1.57%,2.98%,6.63,56.61,2.22,0.71,145.14M,"103,128,247",1.03%,8.10%,-1.16%,18.80%,17.82%,20.73%,407.49%,1054.10%,14053.95%,1.23,314.29,225.01,219.74,-2.34%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4524.63B,4546.58B,128.93B,466.82B,7.36,4.28,1.08 (0.35%),1.06 (0.34%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",35.54,32.49,2.59,9.69,42.12,72.51,33.10,27.07,9.74,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.54,1.98,18.46%,7.98%,12.54%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.23%,67.76%,0.00%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,-2.04%,0.29%,10.38%,"

",14.61B,14.58B,0.97%,2.53,141.61M,344.57 -10.02%,223.78 38.54%,1.50%,2.05%,7.51,47.86,1.08,0.96,55.90M,"53,424,535",1.68%,-5.07%,4.09%,17.49%,14.04%,34.28%,77.68%,111.83%,1036.89%,2.06,334.23,305.59,310.03,1.45%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4195.46B,4088.36B,244.12B,446.31B,50.90,19.89,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.29,22.87,1.26,9.40,6.76,17.30,78.75,23.05,9.16,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.05,3.02,90.21%,-26.80%,18.13%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.20%,-0.01%,39.24%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.48%,-2.45%,3.64%,"

",5.87B,5.85B,1.21%,2.16,70.49M,408.61 -15.76%,196.60 75.08%,1.50%,2.67%,10.18,46.16,1.22,0.59,32.65M,"19,248,828",0.12%,-2.21%,-13.29%,13.97%,9.97%,69.14%,170.05%,154.12%,757.55%,1.30,426.40,344.00,344.20,0.06%,GOOGL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4190.94B,4083.84B,244.12B,446.31B,50.90,19.75,0.80 (0.24%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",17.15,22.69,1.26,9.39,6.71,17.28,78.67,23.03,9.15,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.04,3.02,90.19%,-26.85%,18.05%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.00%,-0.01%,28.15%,0.00%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.99%,-2.84%,3.04%,"

",5.53B,5.14B,0.91%,2.11,46.94M,404.47 -15.62%,197.46 72.83%,1.50%,2.59%,9.86,45.02,1.21,0.64,22.23M,"14,254,267",-0.50%,-2.87%,-13.18%,12.70%,8.76%,67.06%,166.40%,149.89%,777.89%,1.30,426.06,341.45,341.28,-0.05%,GOOG
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3576.37B,3628.34B,133.75B,331.84B,59.56,10.35,3.90 (0.81%),3.56 (0.74%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",26.84,20.49,1.12,10.78,8.09,46.54,53.39,18.26,10.93,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.51,4.71,14.03%,19.29%,18.35%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.57%,-0.04%,75.47%,-0.44%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,5.08%,16.02%,11.52%,"

",7.43B,7.31B,1.11%,2.02,81.31M,553.72 -13.02%,349.20 37.92%,1.88%,2.63%,13.54,62.61,1.10,0.60,40.22M,"24,087,591",-4.40%,19.72%,13.72%,21.36%,-0.41%,-6.86%,52.18%,65.66%,736.16%,1.25,564.14,480.35,481.63,0.27%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2798.51B,2917.23B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",20.87,24.40,0.99,3.61,5.07,22.70,-,16.81,3.76,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.63,1.96,76.34%,-15.90%,24.65%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,8.98%,-0.15%,68.41%,0.00%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,0.69%,4.37%,9.01%,"

",10.78B,9.82B,1.00%,1.97,98.43M,287.20 -9.66%,196.00 32.37%,2.02%,2.47%,7.86,50.92,1.44,0.66,49.91M,"33,171,263",-4.71%,3.78%,-2.04%,28.98%,12.40%,12.08%,94.75%,62.09%,578.78%,1.23,329.79,261.31,259.45,-0.71%,AMZN
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,1945.28B,1884.77B,-,-,9.66,7.38,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,14.85,19.41,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.14,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,88.04%,-0.00%,10.60%,-0.00%,-,-,-,-,-,-,14.82%,1.14%,1.14%,"

",7.61B,1.58B,13.18%,1.66,207.78M,225.64 -36.47%,104.83 36.74%,6.82%,7.98%,10.76,55.85,-,0.67,124.90M,"84,190,976",7.54%,19.60%,-,-,-4.44%,-,-,-,-,1.70,226.26,146.23,143.34,-1.98%,SPCX
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2144.14B,2068.56B,71.86B,142.82B,38.93,21.29,4.13 (1.00%),3.50 (0.85%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",29.84,19.00,0.50,15.01,10.62,19.41,53.73,20.29,14.48,2.25,2.46,0.17,0.14,Yes / Yes,13.86,21.76,4.38,58.80%,30.58%,37.80%,17.37% 25.67%,17.20% 21.86%,57.78%,34.60%,73.31%,32.92%,Jul 16 BMO,10.78% -1.20%,0.10%,-3.20%,15.68%,10.17%,26.90%,40.06%,31.23%,63.08%,55.84%,50.31%,0.10%,-2.69%,13.36%,"

",5.19B,5.18B,0.64%,2.45,33.19M,479.00 -13.69%,223.70 84.81%,1.74%,2.91%,14.44,47.32,1.40,1.03,13.57M,"14,030,162",-2.05%,2.76%,4.41%,13.51%,36.04%,71.25%,353.80%,274.30%,1317.73%,1.20,545.45,430.97,413.41,-4.07%,TSM
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1807.88B,1853.16B,29.32B,75.47B,18.43,4.13,2.62 (0.69%),2.54 (0.67%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",63.26,19.40,0.34,23.96,20.62,92.11,55.18,44.06,24.56,2.01,2.24,0.74,0.71,Yes / Yes,6.01,19.58,3.21,69.94%,68.97%,56.90%,21.56% 49.76%,24.38% 21.74%,125.17%,32.29%,85.59%,47.87%,Sep 02 AMC,1.82% 0.26%,1.92%,-1.95%,79.49%,0.61%,17.06%,37.28%,19.50%,65.66%,44.14%,38.85%,-4.97%,-2.52%,2.91%,"

",4.76B,4.67B,1.31%,2.38,61.20M,495.00 -23.23%,281.87 34.81%,3.34%,3.64%,15.97,41.20,1.46,0.89,25.73M,"22,878,198",-8.67%,0.49%,-9.68%,14.27%,9.79%,24.28%,360.14%,710.29%,2084.79%,1.33,536.10,392.43,380.00,-3.17%,AVGO
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1385.00B,1406.36B,68.10B,228.25B,102.52,35.71,1.92 (0.35%),2.10 (0.39%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",20.48,16.01,0.86,6.07,5.30,15.23,33.80,12.82,6.16,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.97,6.75,35.01%,7.11%,18.72%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.64%,-0.06%,68.12%,-0.16%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,-7.19%,-8.62%,-13.11%,"

",2.21B,2.20B,1.43%,1.74,31.46M,790.80 -31.25%,520.26 4.50%,3.45%,3.15%,22.18,36.19,1.24,1.49,18.12M,"27,094,871",-9.26%,-15.82%,-11.05%,-14.96%,-17.64%,-29.15%,91.94%,52.95%,338.76%,1.28,745.98,568.97,543.67,-4.45%,META
