Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.69%,74.85M,8.71%,1.15B,-,-1.11,342.95%,72.94M,26.71%,890.76M,-,-0.29,101.02%,9.33%,22.33%,-73.68M,9.39,38.90%,14.70%,14.23,37.21%,122.87M,3.43,-11.81%,-15.95%,6.81M,4.03%,4.44,4.10,-2.56%,-19.89%,17.70 -13.95%,29.51%,3.72,-,26.71% 15.81%,-21.07%,9.03 68.66%,135.39%,-,-,41.95% 20.90%,89.52%,4.86%,4.50%,-52.99%,-,7.25,35.69%,-67.32%,0.64,-,-,7.69,95.94%,-59.96%,63.61,1.40,- -,7.69,106.06%,5.30%,1.48,22.06,-,0.06,153.21%,11.21%,0.81,15.19,286,0.05,Aug 07 AMC,15.69%,478.45K,15.23,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","386,412",0.26%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.35,1.01,11.54%,167.66M,1.73%,7.69B,29.19,1.57,-1.62%,148.22M,3.94%,8.05B,4.50,0.40,91.76%,2.84%,25.44%,174.00M,4.76,11.72%,-0.54%,4.26,33.66%,1.61B,4.92,9.97%,6.40%,4.22M,23.06%,9.33,38.09,10.08%,10.81%,46.76 -1.84%,50.94%,1.20,27.32,32.18% -7.41%,8.26%,27.74 65.47%,68.38%,0.37 (0.80%),22.42,19.81% -5.41%,41.82%,2.53%,2.00%,199.63%,0.36 (0.78%),4.98,30.64%,16.77%,1.00,352.36%,"Aug 20, 2025",1.72,4.74%,10.78%,58.98,2.44,3.23% 0.62%,2.71,12.98%,0.73%,1.11,45.57,35.98%,0.36,7.89%,9.49%,1.07,46.66,2500,0.35,Jul 29 AMC,22.54%,990.44K,45.90,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","1,060,545",-1.63%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,25.77,5.81,0.18%,443.95M,-2.02%,66.38B,21.69,6.91,-0.27%,442.41M,1.66%,71.74B,3.04,1.64,98.14%,1.49%,-9.00%,2.61B,7.07,7.24%,0.48%,2.16,-12.81%,9.38B,13.36,8.77%,18.24%,6.60M,-8.06%,11.21,46.26,8.49%,52.54%,200.33 -25.23%,-19.72%,3.24,29.92,8.55% 11.91%,25.07%,139.70 7.22%,-6.03%,1.99 (1.33%),17.91,5.98% 8.14%,70.03%,2.08%,1.82%,-7.57%,1.93 (1.29%),7.64,13.72%,37.51%,3.19,233.83%,"Jul 18, 2025",1.04,5.27%,27.83%,41.12,1.50,18.93% 21.14%,1.76,17.78%,-2.62%,0.92,195.36,32.86%,1.36,4.19%,-2.03%,0.64,151.75,13800,1.09,Aug 05 BMO,-7.26%,3.06M,149.79,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","1,951,886",-1.29%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.06,1.46,0.00%,593.65M,6.88%,11.34B,11.39,1.68,-,593.65M,-7.19%,10.36B,1.73,0.34,14.64%,2.24%,7.30%,1.21B,1.77,-1.71%,-15.30%,7.01,-4.55%,6.42B,1.70,13.60%,9.38%,13.30M,-2.30%,11.20,3.06,7.54%,13.98%,27.50 -30.55%,-11.12%,6.24,-,18.24% 8.45%,13.37%,16.34 16.89%,-27.04%,0.62 (3.23%),5.62,9.28% 13.97%,27.49%,1.63%,1.97%,-44.12%,0.70 (3.66%),1.61,2.41%,21.97%,0.47,-,"Sep 30, 2025",1.19,14.40%,18.81%,51.52,1.38,- -,1.21,-25.19%,0.13%,-0.19,23.15,45.76%,0.29,10.45%,-0.17%,0.65,18.85,24471,0.01,Aug 19 AMC,0.68%,1.90M,19.10,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","1,240,111",1.33%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.22%,155.70M,2.81%,43.95B,64.25,4.39,-0.86%,97.74M,4.67%,42.18B,-,0.85,54.36%,6.10%,-5.87%,-41.48M,16.44,11.28%,-1.14%,3.13,44.99%,2.67B,24.35,20.36%,-0.75%,5.97M,56.47%,11.59,12.30,18.10%,-2.70%,318.46 -11.36%,73.98%,22.94,60.13,54.06% 21.31%,-1.17%,153.45 83.96%,93.92%,-,-,34.81% 44.03%,80.24%,3.13%,2.79%,77.14%,-,15.78,31.04%,-4.62%,8.08,-,-,1.18,23.31%,-1.55%,55.03,1.63,- -,1.94,-14.36%,2.89%,1.05,325.60,-,1.00,21.31%,-0.86%,0.85,281.60,7348,0.97,Sep 02 AMC,19.84%,1.91M,282.29,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,628,891",0.25%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,22.55,3.80,11.17%,267.28M,4.50%,25.63B,14.43,5.93,-0.59%,265.85M,19.63%,17.89B,5.55,1.44,63.78%,2.57%,6.68%,1.19B,5.39,5.55%,-0.32%,2.04,16.54%,4.75B,2.87,1.44%,11.03%,6.82M,4.91%,29.82,3.29,4.06%,13.60%,92.80 -7.74%,27.35%,26.02,13.89,-10.66% 106.45%,13.23%,64.41 32.93%,5.52%,-,15.20,4.40% 49.60%,76.38%,2.11%,2.71%,-81.29%,-,3.76,36.57%,20.43%,2.03,-,-,4.36,3.63%,24.99%,70.80,2.29,- -,4.36,66.82%,9.28%,0.77,91.62,0.00%,0.01,4.71%,12.43%,0.89,85.08,7412,0.00,Aug 21 AMC,8.80%,3.34M,85.62,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,960,892",0.63%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.08%,109.91M,-5.55%,3.50B,78.21,0.40,-19.29%,108.95M,-9.93%,2.86B,-,-0.25,37.56%,4.38%,-16.85%,-212.37M,8.19,43.25%,-1.76%,6.27,-9.22%,427.80M,4.37,127.28%,-19.74%,4.78M,20.24%,7.20,4.21,-,-28.39%,44.34 -28.98%,60.34%,7.48,-,29.99% -3.19%,-26.45%,19.41 62.24%,-31.97%,-,-,40.38% 98.40%,62.39%,4.73%,3.38%,-61.15%,-,6.69,33.33%,-57.71%,1.50,-,-,2.93,32.56%,-49.64%,41.03,1.29,- -,3.12,54.50%,-5.81%,1.08,53.24,-,0.24,9.81%,-10.26%,1.02,31.33,1869,0.01,Aug 07 BMO,-1.49%,761.83K,31.49,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","774,089",0.51%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,4.17%,7.52B,14.47,2.05,-,-,2.63%,11.01B,-,-0.23,4.42%,-,13.53%,-462.32M,0.60,56.27%,11.17%,1.11,7.18%,12.55B,-,222.51%,-7.04%,0.59M,4.69%,-13.26,5.28,-,-,33.32 -10.83%,74.97%,5.63,-,5.46% -,-,15.12 96.49%,-,-,-,118.43% 118.66%,18.90%,1.57%,2.62%,-,-,0.88,62.51%,-4.64%,0.79,-,-,0.49,39.14%,-3.68%,54.03,1.00,- -,0.59,82.59%,0.30%,0.11,35.59,-,-,37.06%,3.33%,1.66,28.66,17439,-,Aug 14 BMO,12.14%,531.71K,29.71,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","884,300",3.66%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.38,5.48,1.62%,147.60M,-0.70%,8.40B,9.71,5.86,-0.03%,145.24M,9.34%,-,1.36,1.46,79.15%,4.25%,15.42%,807.00M,1.69,15.11%,0.19%,4.34,20.50%,4.97B,1.29,2.84%,0.95%,6.17M,4.88%,44.24,-,7.63%,13.23%,63.22 -10.00%,23.29%,-,10.49,-9.99% 3.54%,10.37%,39.32 44.71%,3.25%,1.74 (3.06%),-,19.10% 8.98%,-,2.50%,2.10%,76.79%,1.74 (3.06%),-,32.07%,22.09%,1.28,96.21%,"Aug 14, 2025",-,2.64%,16.23%,57.82,2.84,4.85% 5.34%,0.13,27.04%,2.26%,0.93,61.70,33.52%,1.10,-1.04%,3.46%,0.69,57.02,9406,0.18,Jul 21 AMC,8.30%,1.42M,56.90,"Mar 17, 1980",Yes / Yes,24.68% 3.35%,"

","983,334",-0.21%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.80,16.63,1.18%,120.46M,-2.64%,1.60B,-,-3.06,0.00%,119.04M,-14.19%,5.75B,-,1.05,52.81%,15.71%,-23.48%,2.00B,0.19,-83.79%,8.92%,3.37,-35.50%,8.58B,0.41,-205.79%,19.27%,18.70M,-38.05%,32.35,0.90,-,59.06%,29.00 -54.14%,-17.10%,14.72,0.49,-23.79% -,23.31%,11.03 20.53%,-60.57%,1.04 (7.86%),1.55,-7.73% 20.63%,32.33%,2.51%,4.02%,-,6.78 (50.98%),0.67,202.12%,28.74%,0.55,-,"Sep 02, 2025",1.11,43.57%,23.37%,31.32,4.29,16.67% -,1.20,-93.86%,-9.86%,1.67,13.54,22.25%,1.52,-15.36%,-14.20%,0.70,13.38,6700,1.21,Aug 20 BMO,-23.25%,5.55M,13.30,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","3,886,220",-0.60%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,18.69,0.48,75.88%,252.58M,9.08%,3.69B,17.75,0.51,0.00%,60.92M,14.78%,4.88B,0.91,-,22.13%,6.97%,4.28%,122.98M,1.49,22.13%,34.49%,3.55,19.34%,2.48B,1.89,18.29%,3.39%,4.24M,9.08%,4.77,11.72,20.51%,10.74%,10.14 -11.10%,-12.10%,0.77,16.61,- -,5.56%,6.05 48.93%,-11.67%,0.15 (1.64%),9.20,11.85% -,55.55%,3.56%,2.56%,-,0.14 (1.58%),1.97,-3.61%,8.97%,0.25,-,"Jul 07, 2025",0.79,0.29%,4.97%,66.95,2.14,15.87% -,1.42,-54950.00%,8.19%,0.72,9.44,42.68%,1.17,-,5.76%,0.66,9.02,7395,0.82,Sep 05 BMO,9.07%,1.20M,9.01,"Dec 20, 2021",Yes / Yes,73.38% 1.87%,"

","784,040",-0.11%,ZGN
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.27,80.12%,50.09M,6.15%,20.94B,37.43,2.24,-0.53%,48.16M,8.18%,20.11B,-,0.43,17.47%,2.10%,20.80%,-62.00M,8.77,17.90%,1.40%,1.87,19.50%,2.39B,4.26,37.67%,-1.03%,1.01M,18.35%,19.68,18.01,31.52%,-1.34%,88.45 -5.20%,61.34%,4.66,60.88,39.04% 20.21%,-1.28%,51.49 62.86%,144.25%,-,132.28,1.60% -4.00%,75.75%,3.04%,3.08%,-5.00%,-,8.42,56.19%,-5.57%,2.69,230.38%,-,3.34,15.31%,-2.60%,57.48,2.22,- -,3.34,110.99%,2.91%,2.14,87.77,-,0.07,14.51%,7.72%,0.92,86.53,6856,0.02,Aug 06 AMC,14.88%,540.23K,83.85,"Jul 20, 2011",Yes / Yes,-4.97% 1.09%,"

","497,198",-3.10%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.19,20.28%,213.26M,0.92%,4.45B,21.67,0.86,0.00%,189.77M,-0.16%,4.28B,-,0.18,66.35%,10.55%,37.50%,-36.55M,3.85,12.42%,4.76%,2.05,33.29%,1.16B,6.59,31.07%,-4.34%,20.03M,3.95%,2.84,12.19,23.25%,-8.21%,38.20 -51.05%,-30.35%,1.53,32.57,33.87% -5.22%,-4.20%,10.69 74.93%,197.30%,-,87.07,29.95% 26.86%,55.31%,4.51%,5.09%,-,-,3.71,79.56%,-1.32%,0.99,-,-,3.25,40.60%,-3.16%,52.89,1.50,- -,3.25,62.61%,-1.40%,1.31,27.08,-,0.29,35.38%,9.35%,0.53,18.57,2191,0.29,Aug 05 AMC,11.54%,9.79M,18.70,"Jun 10, 2021",Yes / Yes,11.35% 3.96%,"

","5,160,156",0.70%,ZETA
