Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.85,3.50%,75.14M,-1.08%,1.80B,38.73,0.62,-6.65%,72.77M,-4.09%,1.57B,0.72,-0.47,98.67%,4.95%,32.08%,-63.43M,13.41,40.00%,-1.77%,3.00,85.71%,134.48M,5.66,163.55%,-14.34%,3.60M,-9.15%,4.23,7.16,53.59%,-18.46%,28.49 -16.04%,80.94%,3.34,-,26.71% 15.81%,-18.90%,9.03 164.89%,212.68%,-,-,41.95% 20.90%,90.49%,5.56%,4.61%,-53.71%,-,11.68,43.93%,-52.51%,1.25,-,-,6.94,116.21%,-47.16%,43.82,1.00,- -,6.94,34.02%,-6.79%,1.24,35.62,-,0.06,72.59%,-0.13%,0.79,23.16,286,0.05,Nov 06 AMC,46.33%,1.20M,23.92,"Apr 28, 2017",Yes / Yes,11.77% -7.69%,"

","946,965",3.28%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,41.08,1.12,11.52%,167.47M,-0.39%,7.72B,27.94,1.65,-1.75%,148.07M,-3.00%,8.02B,2.31,0.34,94.03%,3.21%,0.54%,192.30M,4.66,17.55%,1.29%,5.70,26.54%,1.66B,4.86,9.79%,6.93%,4.76M,-0.71%,9.50,29.70,12.08%,11.76%,50.03 -7.74%,27.51%,1.55,26.77,32.18% -7.41%,9.03%,27.74 66.40%,107.65%,0.37 (0.81%),21.96,19.81% -5.41%,41.36%,2.14%,1.95%,119.21%,0.38 (0.82%),4.83,42.07%,16.69%,0.97,414.74%,"Nov 20, 2025",1.83,6.88%,11.59%,42.47,2.27,3.23% 0.62%,2.78,44.39%,-1.76%,1.10,51.00,35.98%,0.35,11.07%,-1.74%,0.99,46.15,2500,0.34,Oct 28 AMC,10.74%,834.43K,46.16,"Mar 29, 2012",Yes / Yes,8.64% 2.88%,"

","829,318",0.02%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,21.00,5.93,0.18%,441.46M,-3.66%,54.92B,18.33,6.80,0.00%,439.90M,5.92%,60.11B,2.38,1.40,99.73%,3.12%,-12.40%,2.65B,5.84,7.07%,-1.59%,2.80,-18.47%,9.40B,10.19,7.25%,17.96%,13.74M,-0.95%,12.23,26.35,7.71%,49.87%,177.40 -29.75%,-23.70%,4.73,24.52,8.55% 11.91%,20.92%,115.25 8.13%,-15.59%,1.99 (1.60%),14.93,5.98% 8.14%,70.29%,2.62%,2.23%,-25.44%,2.00 (1.60%),6.40,11.51%,37.63%,2.91,159.57%,"Jan 20, 2026",2.28,2.68%,28.21%,48.11,1.73,18.93% 21.14%,3.64,8.17%,-0.42%,0.96,159.27,32.86%,1.35,0.50%,0.83%,0.88,125.32,13800,1.35,Nov 04 BMO,-14.63%,4.91M,124.62,"Feb 01, 2013",Yes / Yes,4.88% -0.41%,"

","4,300,559",-0.56%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.67,1.49,0.00%,591.63M,0.18%,12.75B,12.03,1.82,-,582.69M,4.04%,11.02B,1.26,0.45,11.63%,2.68%,18.27%,1.23B,1.94,6.09%,-1.39%,9.43,18.46%,6.59B,1.92,11.83%,9.42%,15.63M,4.74%,11.39,3.59,9.54%,13.83%,22.26 -1.71%,22.03%,6.10,-,18.24% 8.45%,13.37%,16.34 33.90%,-19.78%,0.68 (3.10%),6.14,9.28% 13.97%,26.00%,1.67%,1.50%,-20.73%,0.65 (2.97%),1.67,3.12%,20.42%,0.40,-,"Sep 30, 2025",1.34,12.89%,18.61%,62.60,1.45,- -,1.38,7.47%,2.27%,-0.17,23.79,45.76%,0.19,11.30%,6.98%,0.96,21.86,24471,0.01,Nov 19 AMC,14.31%,1.66M,21.88,"Oct 27, 2016",Yes / Yes,23.62% 0.50%,"

","1,584,749",0.09%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.26,35.67%,159.47M,-2.34%,34.58B,48.43,4.48,-0.14%,102.58M,-10.42%,33.09B,2.62,0.89,52.54%,6.85%,-30.73%,-41.04M,12.21,16.26%,-1.64%,4.20,-24.94%,2.83B,17.44,17.41%,-0.73%,7.03M,-3.59%,12.43,10.41,18.49%,-2.41%,336.99 -35.65%,14.14%,20.83,40.81,54.06% 21.31%,-1.10%,164.78 31.60%,108.59%,-,1697.96,34.81% 44.03%,76.55%,3.45%,2.56%,17.58%,-,11.68,-8.83%,-4.14%,6.72,-,-,1.74,23.24%,-1.45%,31.34,1.48,- -,1.74,7.34%,-4.09%,1.02,320.88,-,0.93,25.50%,-16.57%,0.90,216.63,7923,0.89,Nov 25 AMC,-19.60%,1.67M,216.85,"Mar 16, 2018",Yes / Yes,12.10% 1.92%,"

","1,504,328",0.10%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,16.16,5.15,10.52%,266.35M,-3.00%,24.63B,13.71,6.07,-2.40%,264.96M,-7.81%,16.73B,3.03,1.49,69.81%,2.53%,5.08%,1.59B,5.13,7.74%,4.10%,2.45,11.32%,4.81B,2.66,1.63%,14.44%,6.70M,-3.59%,31.27,3.10,4.53%,17.74%,91.43 -9.01%,4.69%,26.87,12.30,-10.66% 106.45%,17.11%,64.41 29.16%,19.68%,-,12.82,4.40% 49.60%,76.89%,3.20%,2.56%,-75.85%,-,3.48,72.42%,22.86%,2.43,-,-,4.36,3.85%,33.17%,41.79,2.18,- -,4.36,204.90%,-4.23%,0.90,96.40,0.00%,0.01,4.44%,-2.63%,1.23,86.75,7412,0.00,Nov 24 AMC,3.96%,2.74M,83.19,"Apr 18, 2019",Yes / Yes,5.65% 1.25%,"

","3,366,708",-4.10%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.95,2.12%,110.59M,2.86%,2.08B,-,-1.61,-9.17%,108.86M,5.05%,1.48B,-,-0.34,28.53%,3.90%,-40.06%,-206.71M,4.71,39.31%,0.21%,4.76,-46.80%,441.78M,2.72,-1.87%,-19.28%,4.25M,6.12%,6.87,2.55,-,-28.96%,44.34 -57.78%,-26.01%,7.35,-,30.02% -3.16%,-26.82%,16.82 11.30%,-59.59%,-,-,40.31% 98.33%,61.31%,2.89%,3.39%,-85.55%,-,3.36,30.16%,-51.59%,0.75,-,-,2.68,23.73%,-46.79%,49.74,1.60,- -,2.87,23.67%,4.35%,0.88,41.95,-,0.29,12.75%,-5.38%,0.78,18.39,1869,0.01,Nov 06 BMO,-37.19%,892.10K,18.72,"Sep 20, 2017",Yes / Yes,-14.23% -18.07%,"

","694,734",1.79%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,10.47,5.59,1.45%,147.64M,-4.00%,8.64B,9.57,6.11,-0.11%,145.50M,-1.50%,-,1.03,1.57,81.05%,4.43%,8.69%,823.00M,1.75,18.22%,1.81%,3.48,7.30%,4.95B,1.27,4.49%,0.96%,6.44M,-0.03%,46.05,-,9.27%,12.71%,61.57 -4.95%,9.71%,-,8.41,-9.99% 3.54%,9.59%,39.32 48.83%,14.16%,1.75 (3.00%),-,19.10% 8.98%,-,2.31%,1.97%,20.63%,1.76 (3.01%),-,27.30%,22.37%,1.28,121.50%,"Nov 13, 2025",-,0.12%,16.64%,50.32,2.69,4.85% 5.34%,0.16,7.93%,-1.77%,0.84,65.32,33.52%,0.80,-2.03%,4.96%,0.86,59.36,9406,0.25,Jan 20 AMC,11.11%,1.85M,58.52,"Mar 17, 1980",Yes / Yes,1.27% 2.13%,"

","1,589,191",-1.42%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,2.59,8.32,1.18%,120.46M,-3.27%,2.60B,-,-3.24,0.00%,119.04M,8.77%,6.31B,-,-0.99,46.06%,15.54%,69.58%,1.00B,0.34,-83.93%,-9.09%,3.88,38.54%,7.59B,0.65,-213.00%,9.16%,18.50M,1.60%,33.34,1.33,-,25.25%,24.47 -11.83%,12.99%,16.19,1.07,-23.79% -,11.79%,11.03 95.47%,30.91%,1.18 (5.47%),2.28,-7.73% 20.63%,23.74%,5.32%,5.03%,-,4.28 (19.84%),0.83,-30.30%,19.63%,1.08,-,"Dec 01, 2025",1.22,1.63%,13.21%,55.60,4.00,16.67% -,1.30,-89.07%,2.11%,1.63,15.60,22.25%,1.41,-35.73%,13.62%,0.89,23.27,6700,1.12,Nov 20 BMO,33.60%,4.77M,21.57,"Jan 28, 2021",Yes / Yes,33.09% 2.34%,"

","4,228,980",-7.31%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,26.66,0.41,75.38%,254.09M,0.93%,4.42B,22.21,0.49,0.00%,62.55M,1.41%,5.44B,1.06,-,23.98%,5.38%,23.29%,103.34M,2.12,24.09%,0.97%,5.52,24.71%,2.08B,2.64,12.19%,3.34%,3.36M,5.37%,4.09,16.40,20.93%,10.58%,11.00 -1.82%,39.53%,0.66,23.89,- -,5.45%,6.05 78.51%,-0.18%,0.14 (1.32%),12.20,11.29% -,55.55%,3.64%,2.61%,-,0.14 (1.31%),2.62,-5.94%,8.97%,0.30,-,"Jul 07, 2025",0.79,-1.88%,4.97%,57.78,1.82,15.87% -,1.42,-54950.00%,2.84%,0.76,11.38,42.68%,1.17,-,4.43%,0.82,10.67,7395,0.82,Sep 05 BMO,19.35%,609.68K,10.80,"Dec 20, 2021",Yes / Yes,73.56% 1.72%,"

","497,469",1.22%,ZGN
