Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,48.58,0.77,16.06%,172.26M,3.33%,6.41B,28.50,1.32,-14.75%,143.47M,10.98%,135.60M,3.17,0.32,84.01%,6.48%,20.46%,1.54B,4.16,24.74%,6.81%,6.47,19.92%,9.32,4.03,8.78%,4.67%,9.29M,39.86%,0.95,39.41,15.32%,8.04%,25.09,37.38,27.54%,0.26 (0.70%),22.74,18.47%,6.37%,0.35%,1.16,0.32 (0.85%),1.75,0.20%,40.45%,49.50%,0.84,"Aug 20, 2024",2.83,183.51%,15.70%,70.21,2.14%,2.10%,2400,0.34,0.50%,8.80%,2.25,37.00,Yes / Yes,0.33,34.01%,45.61%,0.94,36.66,0.70%,5.16%,2.18%,Jul 30 AMC,1.44M,37.51,4.61%,12.64%,18.63%,"

","1,343,653",2.32%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.33,7.86%,151.47M,7.05%,1.43B,16.24,0.58,-8.57%,139.57M,6.68%,-47.27M,-,0.11,75.92%,4.15%,0.75%,445.68M,3.20,70.30%,5.25%,4.55,-0.42%,1.27,7.43,3.20%,-6.17%,5.80M,16.44%,3.59,2.63,15.00%,-31.02%,7.05,10.85,0.21%,-,-,9.40%,-7.99%,-13.18%,1.72,-,2.71,12.97%,68.16%,33.62%,0.26,-,2.71,60.38%,-6.31%,71.33,3.13%,2.71%,1618,2.12,7.33%,-10.61%,2.00,11.83,Yes / Yes,2.08,70.33%,-,0.80,9.15,2.46%,98.33%,6.80%,Aug 21 AMC,1.28M,9.42,7.90%,8.27%,4.07%,"

","1,017,959",2.95%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,38.07,5.11,0.09%,458.37M,2.25%,88.09B,30.04,6.47,-0.23%,452.65M,-0.65%,2.34B,3.99,1.46,95.71%,1.13%,8.49%,8.91B,9.88,9.57%,-0.02%,2.79,27.97%,10.94,17.77,11.03%,16.79%,5.10M,10.99%,3.47,55.97,9.55%,48.88%,144.80,201.92,-1.48%,1.71 (0.88%),41.89,11.57%,20.02%,-3.70%,0.89,1.67 (0.86%),2.09,8.05%,68.32%,34.28%,3.45,"Oct 31, 2024",3.45,7.38%,36.05%,60.06,1.70%,1.86%,14100,1.36,8.43%,26.29%,1.50,223.69,Yes / Yes,1.36,-5.60%,30.71%,0.87,192.39,2.10%,5.04%,8.30%,Nov 04 BMO,1.83M,194.44,1.21%,3.00%,8.04%,"

","1,591,500",1.07%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,17.95,1.42,0.86%,606.77M,-0.55%,15.20B,12.57,2.02,0.00%,592.88M,13.74%,1.19B,1.38,0.40,34.53%,2.94%,26.99%,5.61B,2.71,14.28%,-2.76%,6.11,31.59%,10.31,2.46,18.82%,9.95%,17.42M,5.83%,4.71,5.40,13.00%,14.81%,15.90,27.50,19.41%,0.69 (2.73%),-,13.37%,12.68%,-7.60%,-0.09,0.97 (3.82%),1.22,15.78%,31.13%,59.86%,0.90,"Sep 10, 2024",1.26,-0.18%,24.65%,57.62,2.19%,2.87%,23554,0.30,3.60%,21.14%,1.31,29.56,Yes / Yes,0.12,-3.11%,40.76%,0.70,24.77,0.90%,2.93%,6.28%,Aug 21 BMO,2.85M,25.41,2.39%,12.94%,21.52%,"

","1,998,952",2.58%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.39,38.31%,152.49M,3.00%,29.21B,54.85,3.49,-0.15%,94.08M,12.46%,-57.71M,-,0.63,47.07%,5.16%,0.62%,2.17B,13.47,-10.59%,-0.84%,2.63,10.75%,8.36,22.93,22.45%,-1.39%,4.85M,11.23%,15.80,12.12,18.50%,-5.77%,152.60,259.61,-13.54%,-,49.93,-10.72%,-4.38%,-26.22%,0.82,-,1.04,48.57%,77.87%,25.52%,5.87,-,1.04,72.20%,-5.71%,61.77,3.44%,2.84%,7348,0.97,34.07%,-2.66%,1.75,213.24,Yes / Yes,0.04,53.13%,-,0.75,195.16,4.48%,24.95%,30.30%,Sep 03 AMC,1.85M,191.55,7.25%,6.74%,-1.11%,"

","1,387,227",-1.85%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.75,13.67%,70.77M,-1.00%,211.91M,-,-3.57,-0.15%,61.39M,-27.32%,-194.65M,-,-0.91,100.06%,14.07%,-24.56%,40.56M,5.22,32.96%,-16.47%,4.88,-76.55%,5.38,0.55,-19.17%,-34.97%,8.64M,-84.12%,6.00,0.50,-,-42.98%,2.83,19.14,-80.33%,-,-,-50.05%,-45.92%,-84.43%,1.71,-,6.59,-20.00%,96.71%,5.30%,0.25,-,6.59,42.78%,-543.77%,38.22,4.54%,6.13%,168,0.12,-,-479.92%,2.11,11.00,Yes / Yes,0.11,32.87%,-,0.76,2.94,-,-47.48%,-,Aug 09 BMO,1.77M,2.98,-13.62%,-10.51%,-67.12%,"

","1,337,325",1.36%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,24.69,2.79,15.04%,307.79M,-1.49%,21.22B,14.93,4.62,-0.81%,261.50M,1.20%,875.37M,4.12,1.31,59.42%,3.03%,16.53%,4.59B,4.63,-15.87%,0.42%,2.44,16.67%,27.68,2.49,5.30%,9.01%,7.91M,9.10%,24.46,2.82,6.00%,11.27%,55.06,74.77,-4.14%,-,12.33,-,10.22%,-7.81%,-0.05,-,4.45,95.81%,74.59%,25.19%,1.54,-,4.45,508.08%,17.80%,53.57,2.48%,2.09%,7420,0.01,2.76%,19.08%,2.54,75.39,Yes / Yes,0.00,17.25%,0.00%,0.60,68.42,1.20%,14.44%,2.09%,Aug 21 AMC,3.24M,68.93,0.32%,4.26%,8.03%,"

","1,937,735",0.75%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.07,0.59%,99.12M,6.21%,2.59B,-,-1.81,-11.45%,98.53M,26.00%,-298.33M,-,-0.44,42.63%,4.93%,39.20%,322.71M,8.04,13.61%,7.69%,7.35,90.74%,7.18,3.65,39.59%,-28.50%,4.86M,4.55%,7.37,3.55,-,-36.46%,13.48,31.22,-4.24%,-,-,-16.93%,-42.02%,-16.18%,1.07,-,3.29,2095.12%,62.95%,94.14%,1.29,-,3.46,24.90%,-109.67%,65.39,4.45%,5.34%,2175,0.12,28.16%,-92.44%,1.13,47.77,Yes / Yes,0.01,34.35%,-,1.03,24.79,7.45%,-15.75%,45.95%,Aug 06 AMC,661.81K,26.17,9.14%,25.79%,34.01%,"

","679,537",5.57%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.36,8.84%,127.44M,2.21%,473.19M,18.77,0.20,0.00%,116.59M,20.52%,-57.85M,-,-0.00,17.19%,0.02%,10.12%,1.22B,0.39,27.16%,99.33%,0.28,-72.61%,2.73,1.36,405.88%,-4.29%,0.02M,-,2.20,1.69,-,-9.63%,2.62,21.91,-77.31%,-,-,-,-12.58%,-83.12%,-,-,1.61,26.18%,17.21%,41.22%,0.28,-,1.80,69.95%,-3.73%,58.60,6.76%,8.20%,3476,0.26,-1.34%,-4.74%,1.00,4.55,No / Yes,0.04,88.56%,-,0.87,3.58,-2.36%,-133.33%,5.18%,Aug 22 BMO,72.98K,3.70,8.06%,14.38%,-63.53%,"

","63,394",3.35%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,33.98,0.29,36.09%,76.17M,2.52%,968.57M,-,-0.19,-0.48%,63.49M,-3.56%,30.22M,-,-0.10,51.92%,6.19%,11.94%,537.45M,1.80,-146.15%,2.78%,7.61,-5.89%,0.25,39.58,11.05%,4.65%,3.93M,-12.56%,5.27,1.85,-,855.40%,7.21,15.35,-29.86%,-,11.15,-,5.26%,-36.48%,1.20,-,7.44,17.01%,89.51%,35.23%,0.38,-,7.44,-44.78%,11.55%,56.06,4.13%,4.11%,1000,22.71,-32.11%,5.62%,2.62,9.10,Yes / Yes,22.52,-50.07%,0.00%,0.60,9.81,5.30%,189.99%,-27.44%,Aug 07 AMC,516.29K,9.75,2.35%,5.75%,-9.01%,"

","311,008",-0.61%,ZIP
