Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,49.33,0.79,16.14%,172.26M,-0.74%,6.60B,28.98,1.34,-9.97%,142.32M,3.71%,137.70M,3.10,0.28,93.88%,5.49%,25.08%,1.55B,4.25,27.71%,8.78%,5.08,20.25%,9.34,4.16,8.38%,4.94%,7.81M,29.88%,1.11,35.13,15.89%,8.52%,27.55,40.64,32.27%,0.27 (0.68%),24.45,18.47%,6.47%,-4.28%,1.15,0.32 (0.82%),1.71,0.20%,41.40%,41.20%,0.90,"Nov 20, 2024",2.70,28.10%,16.27%,62.08,1.85%,2.13%,2400,0.35,2.55%,8.87%,2.25,38.71,Yes / Yes,0.34,6.98%,45.61%,0.42,39.41,0.95%,5.82%,2.91%,Oct 29 AMC,1.54M,38.90,3.51%,8.10%,19.55%,"

","640,429",-1.29%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.33,7.65%,153.54M,0.10%,1.52B,17.39,0.57,-6.76%,141.79M,5.20%,-47.27M,-,0.11,73.44%,2.69%,12.23%,445.68M,3.41,70.45%,5.73%,1.36,-5.08%,1.27,7.82,1.33%,-6.17%,3.81M,19.40%,3.54,2.80,15.00%,-31.02%,7.70,10.85,5.43%,-,-,9.40%,-7.99%,-8.66%,1.67,-,2.71,12.97%,68.16%,28.70%,0.10,-,2.71,60.38%,-6.31%,71.44,0.41%,0.53%,1618,2.12,7.33%,-10.61%,3.00,10.00,Yes / Yes,2.08,70.33%,-,0.87,9.90,2.46%,98.33%,6.80%,Aug 21 AMC,2.81M,9.91,0.15%,7.59%,8.06%,"

","2,441,070",0.10%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,32.83,5.32,0.08%,458.37M,0.22%,78.79B,27.36,6.38,0.00%,450.80M,-10.19%,2.43B,3.53,1.37,96.30%,0.96%,-4.94%,9.15B,8.61,10.67%,-1.51%,2.18,0.53%,11.59,15.07,8.41%,17.07%,4.32M,1.15%,3.80,45.97,9.29%,47.13%,144.80,201.92,-11.52%,1.70 (0.97%),34.14,11.57%,20.27%,-13.52%,0.90,1.73 (0.99%),2.27,8.05%,68.49%,20.60%,4.32,"Oct 31, 2024",3.69,8.09%,36.45%,39.97,2.04%,2.34%,14100,1.29,9.33%,26.55%,1.50,222.92,Yes / Yes,1.29,16.43%,30.71%,1.51,177.04,4.34%,8.49%,11.02%,Nov 04 BMO,1.98M,174.63,-3.09%,-6.79%,-2.29%,"

","2,999,269",-1.36%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.78,1.42,0.86%,606.77M,-8.12%,12.51B,10.63,1.97,0.00%,592.88M,-17.67%,1.19B,1.14,0.40,29.67%,3.48%,6.30%,5.61B,2.23,13.48%,-1.74%,7.60,-11.28%,10.31,2.03,18.16%,9.95%,20.63M,-14.23%,4.71,4.44,13.00%,14.81%,15.90,27.50,-1.69%,0.68 (3.25%),-,13.37%,12.68%,-23.93%,-0.10,0.97 (4.64%),1.22,15.78%,31.13%,31.61%,0.74,"Sep 10, 2024",1.26,-0.18%,24.65%,29.69,3.10%,2.41%,23554,0.30,3.60%,21.14%,1.31,29.05,Yes / Yes,0.12,-3.11%,40.76%,0.98,20.80,0.90%,2.93%,6.28%,Nov 19 AMC,2.72M,20.92,-9.78%,-11.55%,-2.36%,"

","2,664,574",0.58%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.39,38.31%,152.49M,5.99%,31.79B,59.70,3.49,-0.15%,94.08M,8.85%,-57.71M,-,0.63,48.13%,4.59%,8.09%,2.17B,14.67,-10.59%,-0.95%,2.39,16.28%,8.36,24.95,22.45%,-1.39%,4.32M,11.44%,15.80,13.19,18.50%,-5.77%,153.45,259.61,-5.89%,-,54.35,-10.72%,-4.38%,-19.69%,0.82,-,1.04,48.57%,77.87%,35.87%,5.90,-,1.04,72.20%,-5.71%,70.21,3.37%,2.77%,7348,0.97,34.07%,-2.66%,1.73,214.50,Yes / Yes,0.04,53.13%,-,0.64,209.85,4.48%,24.95%,30.30%,Dec 02 AMC,1.81M,208.50,9.01%,14.98%,9.90%,"

","1,159,456",-0.64%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.53,13.67%,70.77M,3.67%,281.50M,-,-3.12,-0.12%,61.39M,32.55%,-179.28M,-,-0.64,88.19%,11.49%,26.20%,40.56M,6.94,41.84%,-17.67%,3.54,-66.97%,4.98,0.79,-20.21%,-34.60%,7.05M,-66.35%,5.49,0.72,-,-42.89%,2.66,18.07,-73.93%,-,-,-50.05%,-45.41%,-78.14%,1.86,-,7.29,-20.00%,96.77%,48.50%,0.35,-,7.29,45.45%,-515.94%,62.39,9.72%,10.31%,168,0.12,-,-442.02%,1.89,11.00,Yes / Yes,0.11,28.19%,-,0.68,3.92,-,-47.48%,-,Aug 09 BMO,1.99M,3.95,16.42%,15.70%,-50.25%,"

","1,348,943",0.77%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,29.60,2.79,15.01%,307.79M,3.04%,25.43B,15.57,5.31,-1.47%,261.60M,19.88%,875.37M,4.93,1.31,58.37%,3.48%,42.29%,4.59B,5.54,2.34%,-0.22%,2.76,29.19%,27.68,2.99,-0.49%,9.01%,9.09M,31.64%,24.46,3.38,6.00%,11.27%,55.06,87.15,14.91%,-,14.78,-,10.22%,-5.18%,-0.03,-,4.45,95.81%,74.59%,50.07%,2.01,-,4.45,508.08%,17.80%,69.24,3.33%,2.40%,7420,0.01,2.76%,19.08%,2.47,76.54,Yes / Yes,0.00,17.25%,0.00%,0.88,85.04,1.20%,14.44%,2.09%,Nov 25 AMC,3.29M,82.63,7.21%,15.10%,27.70%,"

","2,905,543",-2.83%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.78,0.59%,99.12M,-13.44%,2.64B,-,-1.78,-11.47%,98.53M,1.91%,-270.85M,-,-0.73,43.32%,4.73%,56.15%,355.75M,7.43,18.44%,6.96%,6.01,33.82%,6.78,3.93,36.93%,-26.70%,4.66M,-5.89%,7.22,3.69,-,-34.98%,13.48,36.60,-2.41%,-,-,-16.93%,-40.20%,-27.13%,1.00,-,2.87,2095.12%,63.17%,97.85%,1.80,-,3.01,10.91%,-95.07%,41.98,7.10%,4.91%,2175,0.19,35.01%,-76.13%,1.27,50.94,Yes / Yes,0.01,40.53%,-,2.67,29.95,0.02%,94.89%,47.72%,Nov 12 BMO,775.75K,26.67,-11.76%,2.90%,32.48%,"

","2,072,098",-10.95%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.36,8.87%,127.44M,-2.81%,485.98M,19.27,0.20,0.00%,116.56M,2.70%,-57.85M,-,-0.00,17.14%,0.03%,14.46%,1.22B,0.40,26.09%,99.53%,0.48,-68.54%,2.73,1.39,405.88%,-4.29%,0.04M,-,2.20,1.73,-,-9.63%,2.62,21.91,-76.70%,-,-,-,-12.58%,-82.66%,-,-,1.61,26.18%,17.21%,45.04%,0.24,-,1.80,69.95%,-3.73%,53.06,5.93%,6.03%,3476,0.26,-1.34%,-4.74%,1.00,4.55,No / Yes,0.04,88.56%,-,0.34,3.89,-2.36%,-133.33%,5.18%,Nov 22 BMO,81.04K,3.80,0.26%,8.68%,-56.61%,"

","27,447",-2.31%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,309.39,0.03,36.08%,76.17M,-13.87%,934.04M,-,-0.18,-0.48%,63.49M,-1.95%,3.57M,-,-0.11,53.03%,6.07%,11.29%,498.90M,1.87,-129.44%,2.48%,8.06,-3.53%,0.14,68.72,-35.01%,0.55%,3.86M,-20.73%,5.09,1.88,-,430.38%,7.21,15.35,-31.22%,-,13.92,-,0.63%,-37.72%,1.22,-,7.35,17.01%,89.13%,32.59%,0.50,-,7.35,-94.10%,5.24%,47.55,6.25%,4.57%,1000,40.75,-30.73%,0.72%,2.62,10.40,Yes / Yes,40.47,-111.35%,0.00%,0.85,10.10,4.27%,70.54%,-24.77%,Nov 06 AMC,478.33K,9.56,-1.52%,-0.46%,-6.51%,"

","407,080",-5.35%,ZIP
