Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.62,4.07%,68.96M,-11.48%,768.11M,-,-0.93,-,67.30M,-9.73%,-122.70M,-,-0.68,97.46%,8.05%,-25.91%,76.30M,10.07,-3.28%,1.22%,10.11,-11.62%,4.87,2.25,44.43%,-23.51%,5.42M,13.71%,3.22,3.40,-1.14%,-30.54%,7.97,17.70,-25.20%,-,-,15.81%,-34.61%,-38.14%,1.24,-,3.40,273.04%,85.33%,37.39%,0.69,-,3.40,6.94%,-157.03%,33.86,6.05%,5.45%,286,0.05,0.38%,-160.80%,1.44,21.56,Yes / Yes,0.05,-53.94%,-,2.17,11.75,-31.34%,-211.87%,83.33%,Mar 05 AMC,535.81K,10.95,-10.42%,-17.71%,-13.22%,"

","1,163,247",-6.81%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,32.22,0.92,11.47%,170.31M,-10.04%,5.00B,19.77,1.50,-58.47%,149.44M,-14.26%,160.20M,3.52,0.29,90.74%,3.06%,-19.65%,1.57B,3.19,4.88%,-2.21%,4.57,-18.25%,9.32,3.18,11.73%,5.98%,4.57M,-8.43%,1.17,25.28,9.16%,9.96%,28.25,41.15,-20.51%,0.37 (1.25%),18.42,-7.41%,7.54%,-27.95%,1.06,0.34 (1.15%),1.81,0.51%,41.36%,4.96%,1.04,"Feb 20, 2025",2.91,44.23%,16.48%,25.11,3.90%,2.73%,2500,0.35,2.35%,10.23%,2.25,39.43,Yes / Yes,0.34,166.58%,35.98%,1.32,30.66,1.11%,14.78%,3.90%,Feb 04 AMC,999.95K,29.65,-10.56%,-15.94%,-15.19%,"

","1,316,208",-3.29%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,27.76,5.47,0.10%,448.47M,-6.98%,67.94B,22.40,6.77,-1.26%,447.34M,-9.28%,2.49B,3.43,1.42,95.29%,1.59%,-6.69%,9.26B,7.34,2.88%,-0.30%,2.35,-21.16%,10.64,14.27,11.23%,17.43%,7.12M,-6.90%,4.44,34.19,8.10%,50.91%,144.80,200.33,-6.87%,1.96 (1.29%),29.57,11.91%,24.46%,-24.26%,0.93,1.80 (1.18%),1.08,8.22%,69.10%,4.79%,4.25,"Apr 21, 2025",1.75,7.70%,36.65%,32.09,3.05%,2.40%,13800,1.42,8.33%,26.86%,1.50,206.15,Yes / Yes,1.13,12.87%,32.86%,1.19,159.61,0.86%,2.77%,4.70%,Feb 13 BMO,3.02M,151.73,-6.79%,-8.56%,-13.84%,"

","3,611,923",-4.94%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.27,1.48,0.86%,592.17M,-8.32%,10.76B,9.40,1.93,0.00%,587.06M,-11.37%,1.22B,0.87,0.42,25.36%,2.69%,-4.52%,6.15B,1.75,16.04%,-5.92%,6.03,-32.60%,10.74,1.69,13.42%,9.74%,15.79M,-15.76%,5.17,3.51,14.07%,14.45%,17.89,27.50,-7.06%,0.73 (4.02%),-,8.46%,14.32%,-33.93%,-0.12,0.97 (5.34%),1.04,14.25%,30.97%,1.57%,0.61,"Apr 10, 2025",1.07,-0.16%,24.90%,33.74,2.24%,2.67%,-,0.28,12.67%,19.90%,1.40,25.99,Yes / Yes,0.01,14.33%,45.74%,1.17,19.11,10.92%,-11.92%,21.51%,Mar 18 AMC,2.62M,18.17,-8.78%,-7.78%,-12.41%,"

","3,069,669",-4.92%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.10,37.92%,154.72M,-15.68%,27.03B,48.96,3.57,-0.42%,96.06M,-13.60%,-15.53M,-,0.76,49.61%,6.46%,-3.85%,2.42B,11.16,-3.38%,3.07%,3.23,2.93%,10.39,16.81,15.75%,-0.35%,6.20M,-6.25%,18.62,9.38,10.32%,-1.21%,153.45,217.84,-3.18%,-,38.90,-10.72%,-0.94%,-19.82%,1.16,-,1.15,48.57%,77.68%,13.83%,9.76,-,1.15,89.39%,-4.09%,33.42,5.87%,4.29%,7348,0.77,27.77%,-0.64%,1.72,238.44,Yes / Yes,0.03,73.68%,-,2.98,192.21,2.13%,13.49%,23.41%,Mar 05 AMC,1.92M,174.67,-13.17%,-13.53%,-8.71%,"

","5,707,259",-9.13%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,21.16,3.20,14.60%,263.11M,-9.47%,20.68B,12.23,5.54,-2.80%,260.68M,-10.24%,1.01B,16.15,1.31,62.23%,2.81%,-16.95%,4.67B,4.43,-2.43%,6.86%,2.82,0.21%,29.22,2.32,2.46%,9.66%,7.33M,7.17%,25.57,2.65,1.31%,11.92%,55.06,92.80,-16.98%,-,11.43,106.45%,11.26%,-26.99%,0.79,-,4.46,78.74%,75.94%,23.05%,2.60,-,4.46,55.96%,19.00%,27.41,3.51%,2.68%,7412,0.01,3.05%,21.65%,2.32,91.61,Yes / Yes,0.00,21.68%,0.00%,1.68,73.25,0.80%,8.10%,3.29%,Feb 24 AMC,2.60M,67.75,-9.39%,-14.28%,-6.99%,"

","4,378,640",-7.51%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.60,0.94%,109.64M,-14.80%,3.48B,132.92,0.24,-15.12%,108.60M,-10.23%,-257.10M,-,-0.46,50.87%,7.29%,28.05%,398.99M,8.73,43.69%,10.48%,8.42,24.05%,7.80,4.07,116.33%,-23.14%,7.92M,99.81%,8.02,3.96,-,-31.41%,13.48,39.77,21.31%,-,-,-3.18%,-30.08%,-20.12%,1.00,-,3.38,118.89%,62.94%,135.68%,2.31,-,3.51,24.92%,-70.71%,40.13,6.39%,5.15%,1869,0.18,49.59%,-64.44%,1.29,53.83,Yes / Yes,0.02,18.42%,-,1.86,36.69,-0.24%,-22.87%,65.68%,Feb 27 BMO,940.92K,31.77,-12.15%,-2.73%,24.12%,"

","1,754,366",-13.41%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-3.61,-,253.10M,-12.20%,5.39B,16.30,1.31,-,-,-29.02%,-891.82M,-,1.08,4.08%,-,-21.46%,10.55B,0.51,75.23%,71.88%,2.20,-17.92%,-6.35,-,240.69%,-21.49%,1.40M,-,4.85,4.39,-,-,13.00,33.32,-24.95%,-,-,-,-,-36.07%,-,-,0.48,146.49%,16.40%,63.85%,1.83,-,0.62,25.35%,-9.12%,33.24,5.43%,6.80%,17439,-,45.22%,-8.46%,1.00,39.31,Yes / Yes,-,67.77%,-,1.50,23.70,-0.44%,-71.34%,40.01%,Mar 20 BMO,636.61K,21.30,-20.52%,-18.81%,-6.78%,"

","953,264",-10.13%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,8.35,4.96,1.60%,147.87M,-16.33%,6.11B,7.25,5.71,-2.22%,145.20M,-17.76%,730.00M,1.16,1.18,78.55%,4.00%,-23.45%,4.99B,1.22,6.69%,2.88%,3.53,-9.41%,40.97,1.01,8.10%,0.88%,5.80M,-2.66%,-,-,7.17%,13.15%,39.05,63.22,-23.71%,1.73 (4.18%),6.29,3.54%,9.98%,-34.53%,0.89,1.68 (4.06%),-,10.13%,-,5.99%,2.16,"Feb 13, 2025",0.35,13.79%,20.26%,23.72,5.36%,3.63%,9406,0.82,7.91%,14.62%,2.87,60.06,Yes / Yes,0.19,72.54%,33.52%,2.18,43.81,4.18%,6.00%,4.59%,Apr 21 AMC,1.64M,41.39,-14.74%,-21.28%,-19.54%,"

","3,582,255",-5.52%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.70,17.83,1.07%,120.42M,-19.12%,1.51B,-,-1.36,0.00%,119.17M,-36.67%,2.15B,-,1.88,52.77%,10.92%,-46.29%,8.43B,0.18,-91.32%,12.63%,2.02,-44.40%,33.52,0.37,-188.28%,21.76%,13.01M,16.32%,17.56,0.71,-,66.17%,9.38,29.00,-41.69%,0.69 (5.54%),0.49,-,24.69%,-56.83%,1.76,7.10 (56.68%),1.17,42.24%,32.89%,33.50%,1.21,"Mar 24, 2025",1.25,179.57%,29.52%,27.41,6.81%,5.95%,6700,1.49,63.25%,25.48%,4.00,16.07,Yes / Yes,1.15,477.65%,22.25%,1.62,13.49,6.89%,33.49%,79.84%,Mar 12 BMO,6.44M,12.52,-25.85%,-31.86%,-35.95%,"

","10,432,446",-7.19%,ZIM
