Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,39.29,0.77,16.03%,172.26M,-0.56%,5.19B,23.03,1.32,-16.49%,143.52M,1.13%,135.60M,2.51,0.32,88.22%,2.78%,-6.33%,1.54B,3.37,24.23%,6.04%,4.29,-8.75%,9.32,3.26,9.34%,4.67%,3.99M,2.78%,0.95,31.87,15.65%,8.04%,25.09,34.58,3.16%,0.26 (0.87%),18.40,18.47%,6.37%,-12.26%,1.16,0.31 (1.02%),1.75,0.20%,40.45%,20.92%,0.96,"Aug 20, 2024",2.83,183.51%,15.70%,46.86,3.04%,2.86%,2400,0.34,0.50%,8.80%,2.25,36.00,Yes / Yes,0.33,34.01%,45.61%,0.74,30.32,0.70%,5.16%,2.18%,Jul 30 AMC,929.95K,30.34,-2.59%,-0.54%,-0.58%,"

","684,089",0.07%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.81%,137.79M,-3.79%,1.24B,16.20,0.52,-8.58%,136.53M,-6.90%,-62.61M,-,0.10,74.32%,4.99%,-20.36%,438.33M,2.83,29.29%,-0.36%,6.13,-3.13%,0.94,8.90,21.09%,-8.44%,6.81M,-19.90%,3.69,2.27,-,-51.53%,7.05,10.85,-10.96%,-,-,9.40%,-11.66%,-22.86%,1.72,-,2.50,12.97%,67.51%,18.72%,0.31,-,2.50,50.48%,-8.58%,33.82,2.88%,3.17%,1618,2.90,7.97%,-14.28%,1.86,12.00,Yes / Yes,2.85,34.02%,-,0.50,8.47,0.88%,61.76%,6.47%,May 22 AMC,1.11M,8.37,-7.38%,-10.44%,-6.65%,"

","551,546",-1.18%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,36.28,5.11,0.08%,458.37M,2.58%,83.93B,28.90,6.41,-5.32%,452.67M,4.23%,2.34B,3.79,1.46,98.42%,1.03%,10.18%,8.91B,9.41,9.26%,0.02%,2.08,-5.36%,10.94,16.93,10.27%,16.79%,4.65M,-2.17%,3.47,53.32,9.57%,48.88%,144.80,201.92,-6.14%,1.71 (0.92%),39.91,11.57%,20.02%,-8.26%,0.86,1.67 (0.90%),2.09,8.05%,68.32%,27.94%,5.05,"Jul 18, 2024",3.45,7.38%,36.05%,57.88,2.80%,2.38%,14100,1.36,8.43%,26.29%,1.32,220.06,Yes / Yes,1.36,-5.60%,30.71%,0.84,188.30,2.10%,5.04%,8.30%,Aug 06 BMO,2.23M,185.25,2.35%,5.04%,4.40%,"

","1,881,662",-1.62%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.85,1.43,1.10%,606.77M,8.02%,11.89B,9.86,2.01,0.00%,593.93M,-2.17%,1.19B,0.92,0.43,40.64%,2.80%,-5.76%,5.52B,2.15,14.56%,3.56%,5.54,16.06%,9.92,2.00,18.51%,9.82%,16.63M,-24.77%,4.58,4.32,15.01%,15.03%,15.90,26.88,-6.95%,0.70 (3.55%),-,13.37%,13.12%,-26.34%,-0.12,0.62 (3.13%),1.11,15.78%,31.20%,24.57%,0.68,"Apr 09, 2024",1.15,7.93%,24.81%,49.97,3.90%,2.89%,23554,0.27,3.63%,21.49%,1.20,29.84,Yes / Yes,0.13,-18.31%,0.00%,0.40,19.99,7.20%,-22.68%,4.72%,Aug 20 AMC,3.00M,19.80,1.67%,-5.53%,-4.95%,"

","1,191,446",-0.95%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.50,38.66%,147.17M,2.86%,26.35B,52.39,3.33,-0.12%,92.72M,-11.00%,-73.50M,-,0.70,46.70%,4.83%,1.40%,2.03B,12.98,68.40%,5.55%,2.11,-30.09%,7.22,24.13,10.41%,-1.99%,4.48M,24.28%,14.82,11.77,26.82%,-8.68%,131.59,259.61,-21.30%,-,47.92,-17.41%,-3.23%,-32.84%,0.82,-,1.67,52.19%,77.75%,32.50%,7.20,-,1.67,73.33%,-6.90%,42.73,4.32%,3.86%,5962,1.13,37.16%,-3.62%,1.60,231.17,Yes / Yes,1.08,139.17%,-,0.42,171.71,3.19%,33.96%,32.09%,Sep 03 AMC,2.12M,174.36,-4.67%,-5.04%,-11.24%,"

","895,497",1.54%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.75,12.49%,70.77M,-16.90%,213.03M,-,-3.57,-0.19%,62.14M,-24.62%,-194.65M,-,-0.87,112.17%,18.21%,-76.04%,40.56M,5.25,38.82%,-0.94%,7.97,-74.00%,5.38,0.56,-30.63%,-34.97%,11.31M,-88.27%,6.00,0.50,-,-42.98%,3.19,29.03,-80.20%,-,-,-50.05%,-45.92%,-89.67%,1.72,-,6.59,-20.00%,96.71%,-5.96%,0.42,-,6.59,21.74%,-527.00%,27.92,9.94%,9.71%,168,0.12,-,-479.92%,2.27,10.10,Yes / Yes,0.11,32.87%,-,0.51,3.31,-,-47.48%,-,Aug 09 BMO,1.42M,3.00,-24.00%,-49.01%,-73.75%,"

","719,391",-9.37%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,20.97,2.69,14.94%,309.25M,-3.61%,17.44B,11.03,5.11,-0.62%,263.07M,-0.39%,838.33M,13.98,1.21,58.94%,2.95%,-7.77%,4.56B,3.82,-3.15%,-0.53%,2.45,-11.77%,26.83,2.10,1.29%,8.90%,7.77M,-15.28%,23.88,2.36,1.50%,11.31%,55.60,75.90,-21.60%,-,10.60,-,10.05%,-25.72%,-0.04,-,4.36,95.81%,74.87%,1.40%,1.40,-,4.36,19565.00%,17.35%,39.91,2.05%,2.25%,7420,0.01,3.13%,18.37%,2.57,74.61,Yes / Yes,0.00,1250.20%,0.00%,0.55,56.21,1.35%,13.52%,3.25%,Aug 21 AMC,3.18M,56.38,-3.68%,-4.43%,-11.64%,"

","1,741,686",0.30%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.07,0.53%,99.12M,-10.71%,1.61B,-,-1.81,-14.58%,98.59M,-8.86%,-298.33M,-,-0.76,44.15%,4.22%,-22.61%,322.71M,4.99,15.04%,-1.99%,6.37,-17.06%,7.18,2.27,38.43%,-28.50%,4.16M,-38.36%,7.37,2.21,-,-36.46%,13.48,31.22,-40.50%,-,-,-16.93%,-42.02%,-47.92%,1.08,-,3.29,2095.12%,62.95%,20.62%,1.15,-,3.46,24.90%,-109.67%,36.13,10.54%,5.72%,2175,0.12,28.16%,-92.44%,1.15,50.63,Yes / Yes,0.01,34.35%,-,0.89,17.25,7.45%,-15.75%,45.95%,Aug 06 AMC,652.12K,16.26,-11.92%,-11.54%,-22.60%,"

","581,477",-5.74%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.87%,127.44M,-1.07%,353.01M,4.39,0.63,0.00%,116.14M,-26.91%,-126.89M,-,0.00,1.46%,0.04%,-78.19%,1.20B,0.29,128.60%,-,0.29,-84.39%,2.82,0.98,2411.11%,-4.29%,0.05M,-,2.21,1.26,-,-9.63%,2.62,21.91,-83.02%,-,-,-,-27.40%,-87.36%,-,-,1.63,26.18%,16.84%,5.73%,0.30,-,1.82,18.59%,-4.42%,31.36,6.85%,6.99%,3476,0.28,-3.00%,-10.53%,1.00,15.94,No / Yes,0.04,44.09%,-,0.14,2.77,-5.44%,-26.68%,-8.66%,Aug 22 BMO,163.94K,2.77,-11.10%,-44.15%,-77.90%,"

","23,751",0.00%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,27.15,0.29,30.19%,76.17M,-6.82%,773.62M,-,-0.19,-0.62%,69.32M,-9.84%,30.22M,2.64,-0.10,58.52%,4.34%,-27.94%,537.45M,1.44,-146.24%,-1.82%,5.28,-45.68%,0.25,31.62,11.02%,4.65%,3.01M,-50.06%,5.27,1.48,10.30%,855.40%,7.21,16.89,-43.96%,-,8.90,-,5.26%,-53.86%,1.21,-,7.44,17.01%,89.51%,8.04%,0.55,-,7.44,-44.78%,11.55%,41.15,9.38%,5.79%,1000,22.71,-32.11%,5.62%,2.62,9.10,Yes / Yes,22.52,-50.07%,0.00%,1.55,8.24,5.30%,190.25%,-27.44%,Aug 07 AMC,569.97K,7.79,-9.42%,-13.02%,-32.40%,"

","885,775",-5.46%,ZIP
