Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,49.72,0.64,16.78%,172.26M,-2.46%,5.46B,24.79,1.28,-2.86%,143.14M,0.63%,112.70M,3.48,0.26,84.85%,3.79%,12.05%,1.53B,3.56,18.04%,5.96%,5.55,19.56%,9.30,3.41,11.75%,3.77%,5.43M,54.06%,0.79,39.91,14.28%,6.48%,20.06,34.58,7.85%,0.27 (0.86%),23.46,18.47%,5.28%,-8.27%,1.22,0.30 (0.95%),1.77,0.20%,38.51%,58.17%,0.85,"Feb 16, 2024",3.02,36.01%,14.25%,46.79,2.83%,2.53%,2400,0.34,19.40%,7.36%,2.25,35.29,Yes / Yes,0.33,38.11%,45.61%,0.80,31.66,1.78%,13.04%,4.85%,Apr 23 AMC,978.38K,31.72,-1.82%,-0.67%,8.06%,"

","782,097",0.19%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.49,7.31%,137.79M,-0.35%,1.24B,16.29,0.52,-7.08%,135.36M,-4.51%,-68.19M,-,0.07,74.15%,4.16%,-0.47%,431.66M,2.87,21.72%,-0.37%,4.16,10.43%,0.92,9.25,29.46%,-9.14%,5.63M,-2.53%,3.52,2.41,-,-59.08%,7.05,12.12,-9.89%,-,-,9.40%,-12.86%,-30.11%,1.89,-,2.37,12.97%,66.48%,20.14%,0.32,-,2.37,47.34%,-13.09%,45.61,4.11%,3.37%,1618,3.02,8.98%,-15.80%,1.57,11.57,Yes / Yes,2.97,39.06%,-,1.90,8.37,-0.10%,140.00%,7.40%,Feb 28 AMC,1.35M,8.47,-3.09%,-2.04%,-5.27%,"

","2,568,684",1.19%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,30.18,5.07,0.09%,458.37M,-8.45%,70.06B,23.70,6.46,-8.57%,457.47M,-11.33%,2.34B,3.10,1.35,95.49%,0.80%,-20.71%,8.54B,8.20,8.67%,0.02%,1.17,-12.25%,10.90,14.04,11.68%,16.05%,3.65M,-12.36%,4.46,34.33,9.73%,49.86%,148.48,201.92,-22.47%,1.74 (1.14%),43.22,11.57%,19.95%,-24.22%,0.87,1.56 (1.02%),2.00,8.05%,68.28%,3.06%,4.80,"Apr 18, 2024",3.36,12.77%,35.92%,28.26,3.20%,2.41%,14100,1.36,5.74%,27.43%,1.42,223.99,Yes / Yes,1.35,15.54%,30.71%,1.59,149.77,1.13%,-5.80%,8.48%,May 02 BMO,3.13M,153.02,-7.48%,-14.78%,-15.33%,"

","4,967,205",2.17%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.01,1.49,0.60%,598.62M,-5.47%,11.59B,9.83,1.97,0.00%,595.01M,-11.23%,1.23B,0.73,0.34,42.78%,3.13%,7.62%,5.45B,2.13,15.45%,3.46%,4.24,-19.83%,9.82,1.97,16.50%,10.37%,18.62M,-31.85%,4.82,4.01,17.80%,15.22%,15.90,30.05,-9.02%,0.71 (3.67%),-,13.36%,13.00%,-35.57%,-0.03,0.62 (3.20%),1.13,15.63%,30.73%,21.80%,0.62,"Apr 09, 2024",1.34,23.33%,24.42%,37.94,2.05%,2.76%,-,0.26,3.58%,22.62%,1.19,28.87,Yes / Yes,0.13,2.31%,0.00%,1.02,19.54,-2.59%,-0.99%,5.91%,Mar 19 AMC,4.39M,19.36,-7.99%,-2.52%,-13.54%,"

","4,498,113",-0.92%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.94,40.47%,147.17M,-7.52%,26.12B,53.02,3.29,-0.42%,89.21M,-10.16%,-138.67M,-,0.65,45.54%,5.95%,-24.92%,1.90B,13.78,54.58%,5.60%,2.22,3.44%,6.40,27.23,18.83%,-3.98%,5.31M,65.31%,16.41,10.62,38.21%,-18.64%,84.93,259.61,-21.32%,-,52.18,-17.41%,-6.46%,-32.85%,0.84,-,1.90,53.60%,77.40%,105.25%,5.86,-,1.90,58.51%,-9.70%,27.09,2.39%,2.41%,5962,1.29,40.62%,-7.32%,1.54,261.57,Yes / Yes,1.24,51.94%,-,0.62,174.85,3.42%,30.99%,35.45%,Feb 29 AMC,2.39M,174.32,-7.94%,-18.00%,-5.98%,"

","1,490,479",-0.30%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-4.56,10.10%,70.77M,-18.17%,913.96M,-,-3.77,-0.10%,63.80M,-10.06%,-292.19M,-,-0.77,110.01%,24.34%,-3.74%,0.00M,-,18.03%,-0.98%,18.97,-32.00%,6.18,2.08,-2.93%,-52.39%,15.53M,-29.39%,6.81,1.89,-,-67.09%,9.56,31.46,-14.98%,-,-,-50.05%,-60.82%,-59.06%,1.76,-,7.16,-20.00%,-,34.73%,1.07,-,7.16,-0.81%,0.00%,40.72,6.99%,6.68%,168,0.10,-,-,1.40,33.56,Yes / Yes,0.10,7.17%,-,0.49,13.27,-,-5.87%,-,Feb 27 BMO,818.61K,12.88,-10.93%,-7.15%,-27.95%,"

","398,224",-2.94%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,28.86,2.05,24.25%,260.90M,-7.16%,18.23B,11.79,5.03,-0.40%,232.98M,-10.13%,637.46M,19.24,1.19,58.95%,5.44%,-14.21%,4.53B,4.03,-5.54%,-0.54%,3.64,-5.53%,26.07,2.27,2.19%,7.06%,12.67M,-14.71%,22.66,2.62,1.50%,8.96%,58.87,75.90,-17.56%,-,12.39,-,7.90%,-21.90%,-0.05,-,4.38,95.81%,74.72%,0.70%,1.51,-,4.38,516.13%,11.60%,27.04,2.02%,2.05%,7420,0.01,3.06%,14.08%,2.69,78.27,Yes / Yes,0.01,368.46%,0.00%,0.64,60.24,1.54%,23.91%,2.56%,Feb 26 AMC,3.48M,59.28,-7.99%,-9.10%,-11.73%,"

","2,239,241",-1.59%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.46,0.41%,98.72M,-9.99%,1.42B,-,-1.81,-11.99%,98.31M,-21.93%,-334.62M,-,-0.51,42.49%,3.93%,-40.73%,266.72M,5.34,9.15%,-1.98%,5.66,-42.82%,8.19,1.76,42.50%,-29.66%,3.87M,-62.56%,8.17,1.77,-,-36.34%,14.04,39.50,-47.24%,-,-,-16.93%,-41.61%,-63.49%,1.14,-,4.41,2095.12%,64.08%,2.71%,0.81,-,4.63,25.17%,-141.19%,31.51,4.45%,4.33%,2175,0.02,24.03%,-125.46%,1.17,53.06,Yes / Yes,0.01,-52.98%,-,0.59,14.20,-8.76%,-90.47%,5.16%,Feb 27 AMC,683.47K,14.42,-10.28%,-21.80%,-40.53%,"

","400,982",1.55%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.85,8.87%,127.44M,-16.70%,1.82B,15.70,0.91,0.00%,116.14M,-22.93%,-136.80M,-,-0.06,0.63%,0.02%,-10.22%,1.23B,1.48,263.91%,-,0.36,-,2.82,5.08,539.46%,-4.29%,0.02M,-,2.35,6.09,-,-9.63%,13.89,21.91,-12.20%,-,-,-,-28.89%,-34.65%,-,-,1.56,26.18%,16.66%,3.13%,1.57,-,1.73,26.52%,-4.62%,34.85,9.42%,9.58%,-,0.26,-0.20%,-11.13%,1.00,21.38,No / Yes,0.05,63.33%,-,1.33,14.28,-,-,6.47%,Mar 19 BMO,57.18K,14.32,-15.76%,-19.99%,-17.70%,"

","76,068",0.28%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,22.23,0.47,30.28%,76.17M,-10.53%,1.03B,75.33,0.14,-0.96%,69.07M,-10.14%,49.10M,2.16,-0.06,51.41%,5.13%,-27.23%,645.72M,1.59,-118.11%,-1.83%,6.18,-3.08%,0.08,122.49,265.27%,7.15%,3.55M,-41.05%,5.25,1.98,10.30%,265.50%,10.27,19.29,-25.40%,-,10.05,-,8.77%,-46.24%,1.24,-,6.57,17.01%,89.72%,0.97%,0.38,-,6.57,-9.45%,13.48%,28.98,3.33%,2.71%,1000,66.40,-28.62%,7.60%,2.38,14.20,Yes / Yes,65.87,-67.13%,0.00%,0.87,10.54,6.05%,-32.61%,-35.42%,Feb 22 AMC,574.17K,10.37,-8.89%,-17.18%,-25.47%,"

","498,185",-1.61%,ZIP
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.06,4.36,1.65%,148.15M,-9.22%,5.85B,8.57,4.61,-0.50%,145.72M,-0.73%,644.00M,-,0.95,79.52%,6.47%,-4.03%,4.63B,1.26,-3.17%,2.23%,2.91,14.26%,34.46,1.15,9.43%,0.76%,9.43M,31.89%,-,-,-8.32%,12.95%,18.26,46.15,-9.96%,1.66 (4.21%),7.41,1.26%,10.25%,-14.41%,1.13,1.64 (4.15%),-,9.97%,-,116.32%,1.35,"Feb 14, 2024",0.26,-24.81%,17.59%,39.86,2.89%,2.89%,9679,0.86,39.40%,13.92%,3.00,45.45,Yes / Yes,0.13,-57.69%,37.74%,0.46,40.41,-3.06%,-11.39%,20.67%,Apr 22 BMO,3.24M,39.50,-5.22%,-2.87%,5.28%,"

","1,484,057",-2.25%,ZION
