Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,37.57,0.98,11.57%,168.52M,0.82%,6.18B,24.99,1.47,-57.94%,148.79M,4.38%,169.50M,4.83,0.36,91.77%,3.48%,10.83%,1.58B,3.91,4.79%,1.21%,5.32,-8.33%,9.19,4.00,9.60%,6.29%,5.18M,20.90%,0.86,42.72,7.78%,10.49%,27.74,41.15,-1.50%,0.37 (1.00%),23.77,-7.41%,8.11%,-10.72%,1.03,0.35 (0.95%),1.72,-5.41%,41.66%,32.44%,0.76,"May 20, 2025",2.87,38.39%,16.67%,58.49,0.23%,1.50%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,0.42,36.59,1.36%,6.90%,4.01%,Apr 22 AMC,974.34K,36.74,0.56%,8.10%,2.65%,"

","410,463",0.41%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,30.01,5.57,0.10%,446.04M,-1.88%,74.39B,24.48,6.83,-0.65%,444.77M,4.92%,2.52B,3.65,1.62,96.03%,2.30%,1.65%,9.29B,8.01,5.38%,-0.39%,3.54,-4.39%,10.44,16.01,9.43%,17.70%,10.21M,-5.48%,3.87,43.23,8.23%,51.85%,139.70,200.33,2.56%,1.99 (1.19%),32.61,11.91%,25.04%,-16.59%,0.94,1.86 (1.12%),1.04,8.14%,69.48%,19.61%,3.92,"Jul 18, 2025",1.74,7.23%,37.01%,55.76,2.15%,1.66%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,0.78,164.61,1.37%,5.00%,1.37%,May 06 BMO,2.88M,167.10,1.32%,5.52%,-2.54%,"

","2,232,530",1.51%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,11.22,1.57,0.86%,593.65M,3.04%,10.46B,9.70,1.82,0.00%,588.53M,-5.88%,1.30B,1.02,0.40,22.11%,2.28%,-10.38%,6.26B,1.67,8.28%,-8.39%,4.25,-5.47%,10.73,1.64,12.66%,10.29%,13.39M,-26.12%,5.35,3.29,11.03%,15.68%,16.34,27.50,-9.87%,0.68 (3.85%),-,8.45%,15.06%,-35.93%,-0.18,0.70 (3.97%),1.02,13.97%,29.66%,7.83%,0.50,"Apr 10, 2025",1.05,10.00%,24.06%,47.64,2.11%,2.87%,24471,0.27,13.41%,20.76%,1.38,23.39,Yes / Yes,0.01,38.73%,45.76%,0.46,17.80,-9.78%,-15.96%,8.02%,May 20 AMC,3.15M,17.62,0.07%,-3.66%,-13.28%,"

","1,447,186",-1.01%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.92%,155.70M,1.00%,46.39B,81.68,3.65,-0.54%,96.65M,27.85%,-38.78M,-,0.80,54.86%,9.03%,49.46%,2.55B,18.22,-0.04%,9.55%,3.27,44.92%,11.59,25.70,14.41%,-0.81%,8.73M,66.53%,19.30,15.44,11.53%,-2.68%,153.45,306.77,65.16%,-,67.13,-10.72%,-2.11%,-2.87%,1.09,-,1.18,48.24%,77.33%,94.18%,8.17,-,1.18,49.20%,-4.59%,79.25,1.12%,2.56%,7348,0.68,25.46%,-1.52%,1.69,304.51,Yes / Yes,0.02,-121.43%,-,0.51,299.90,1.74%,11.64%,22.57%,May 29 AMC,2.67M,297.97,10.94%,27.81%,46.93%,"

","1,355,674",-0.64%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.84,3.33,14.64%,261.11M,-1.94%,24.03B,14.00,5.67,-1.64%,258.27M,-2.34%,1.05B,9.50,1.38,62.60%,2.72%,8.56%,4.70B,5.11,1.20%,-0.36%,2.97,-4.74%,29.34,2.71,1.17%,9.87%,7.02M,25.83%,25.82,3.08,2.51%,12.19%,55.06,92.80,-2.70%,-,14.11,106.45%,11.73%,-14.43%,0.69,-,4.48,49.60%,75.85%,44.22%,1.69,-,4.48,24.11%,18.13%,46.94,0.94%,1.12%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.69,80.26,0.72%,9.22%,2.93%,May 21 AMC,2.37M,79.41,-2.50%,2.87%,2.81%,"

","1,634,467",-1.06%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,28.49%,4.39B,111.64,0.36,-22.78%,108.40M,36.80%,-252.07M,-,-0.39,50.87%,4.59%,13.15%,418.33M,10.50,47.63%,6.38%,4.32,42.86%,7.48,5.35,126.31%,-23.32%,4.98M,110.53%,7.80,5.13,-,-32.05%,16.01,39.77,52.73%,-,-,-3.18%,-30.63%,0.58%,0.96,-,3.09,98.38%,63.45%,149.84%,1.73,-,3.26,28.63%,-64.09%,73.44,2.77%,4.52%,1869,0.24,43.72%,-60.26%,1.33,52.67,Yes / Yes,0.02,18.43%,-,0.77,37.87,-5.41%,92.78%,22.19%,May 08 BMO,1.15M,40.00,22.67%,26.31%,39.82%,"

","887,538",5.62%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-1.61%,6.64B,12.10,2.17,-,-,-6.59%,-710.26M,-,-0.86,4.03%,-,-20.10%,11.52B,0.58,61.79%,-2.48%,1.14,4.25%,-12.89,-,249.48%,-11.48%,0.92M,9.15%,5.39,4.87,-,-,13.00,33.32,-7.54%,-,-,-,-,-21.24%,0.15,-,0.45,118.66%,17.93%,101.85%,0.94,-,0.59,37.41%,-7.36%,49.12,0.59%,2.10%,17439,-,43.08%,-6.16%,1.00,39.53,Yes / Yes,-,66.34%,-,0.46,26.17,19.27%,-136.23%,47.60%,May 15 BMO,807.07K,26.24,-5.15%,8.23%,7.83%,"

","373,526",0.27%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.70,5.13,1.68%,147.57M,3.21%,7.35B,9.00,5.54,-1.38%,145.09M,7.07%,756.00M,1.60,1.31,78.49%,3.95%,5.22%,4.98B,1.47,5.12%,-2.15%,3.01,-15.78%,42.43,1.17,6.39%,0.91%,5.73M,21.35%,-,-,6.07%,13.06%,39.32,63.22,-8.20%,1.74 (3.49%),7.52,3.54%,10.04%,-21.23%,0.86,1.70 (3.41%),-,8.98%,-,26.65%,1.23,"May 15, 2025",0.15,28.90%,21.03%,61.14,1.50%,1.72%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.36,49.30,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.90M,49.80,3.30%,7.47%,-3.11%,"

","681,536",1.01%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.87,19.53,1.18%,120.46M,1.61%,2.05B,-,-1.91,0.00%,119.04M,19.34%,2.35B,-,1.22,48.41%,18.40%,-16.15%,8.87B,0.23,-86.23%,-8.10%,3.07,-17.41%,32.86,0.52,-177.87%,23.04%,21.90M,-8.46%,19.19,0.89,-,72.40%,11.03,29.00,-20.68%,0.93 (5.47%),0.58,-,27.51%,-41.28%,1.75,7.61 (44.71%),1.10,20.63%,34.71%,54.33%,0.81,"Jun 02, 2025",1.18,192.29%,31.33%,51.58,2.70%,3.12%,6700,1.49,65.83%,26.52%,4.12,15.12,Yes / Yes,1.16,226.86%,22.25%,0.67,17.38,9.06%,30.79%,28.46%,May 19 BMO,7.13M,17.03,-3.52%,9.88%,-9.65%,"

","4,797,486",-2.01%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.52,0.33,78.19%,252.58M,2.35%,3.55B,17.66,0.49,0.00%,55.08M,5.45%,83.40M,1.36,-,11.97%,7.55%,17.57%,2.11B,1.68,19.44%,-5.02%,4.30,5.45%,3.76,2.32,20.31%,2.78%,4.16M,-30.06%,0.74,11.70,19.56%,8.89%,6.05,12.77,5.33%,0.14 (1.65%),18.30,-,4.94%,-31.87%,0.74,0.13 (1.49%),0.80,-,55.89%,43.80%,0.22,"Jul 07, 2025",1.41,-37.52%,9.45%,63.44,0.86%,1.05%,7395,1.13,2.26%,3.96%,2.75,8.76,Yes / Yes,0.78,-54950.00%,41.30%,0.51,8.64,-4.68%,-3.11%,-,Mar 27 BMO,966.86K,8.70,1.40%,10.60%,4.50%,"

","494,763",0.69%,ZGN
